Filename	Class
2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML	CTRL
2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML	CTRL
2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML	CTRL
2024_POS_Anid-p2_1_Run179.mzML	EXP
2024_POS_Anid-p2_1_Run220.mzML	EXP
2024_POS_Anid-p2_1_Run241.mzML	EXP
