filename	ATTRIBUTE_GROUP
2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML	CTRL
2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML	CTRL
2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML	CTRL
2024_POS_Anid-TJGIp4_1_Run182.mzML	EXP
2024_POS_Anid-TJGIp4_1_Run211.mzML	EXP
2024_POS_Anid-TJGIp4_1_Run232.mzML	EXP
