row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_Y-p9_1_Run101.mzML Peak area,2024_NEG_Y-EV_1_CTRL_Run89.mzML Peak area,2024_NEG_Y-p9_2_Run121.mzML Peak area,2024_NEG_Y-EV_2_CTRL_Run118.mzML Peak area,2024_NEG_Y-EV_3_CTRL_Run139.mzML Peak area,2024_NEG_Y-p9_3_Run156.mzML Peak area,Unnamed: 19
88,85.02941853623862,0.55094,,,,27.0,,,,,,,1561199.6,2167861.2,1709373.1,2023626.4,559091.25,494708.06,
38,85.02942813659459,0.38748816,,,,8.0,0.0,[M+H]+,,2.0,38;39,84.02157,743968.1,1332960.4,1111376.5,1059721.9,952515.9,967443.3,
186,85.06588315910372,3.1312057999999996,,,,,,,,,,,21238.926,200423.47,54782.09,234140.6,428468.75,39834.187999999995,
84,87.00861765299447,0.53837496,,,,27.0,,,,,,,2059969.6,973430.9,1978946.4,1781740.6,1682582.2,748698.06,
29,87.00861812422545,0.38479576,,,,8.0,,,,,,,1133300.5,881645.94,891252.94,900738.25,1186008.9,885542.06,
521,89.0244132555097,9.805384,,,,,,,,,,,1258975.4,5976888.0,5570372.0,1273390.0,1206353.0,5998335.5,
523,89.02441382004156,9.962304,,,,,,,,,,,6701237.0,1256348.4,1078864.9,6460971.5,6124960.5,1145272.0,
506,89.02441696596995,8.96804,,,,,,,,,,,1659293.9,662958.06,1629261.5,1553249.5,1799351.2,1381291.5,
7,92.92802878985009,0.3402313,,,,,,,,,,,226596.97,129087.43,195980.98,133467.64,295466.34,173341.23,
573,96.96012735773928,10.618988,,,,,,,,,,,8356776.0,8486505.0,7722166.0,3694926.5,8677302.0,2653390.2,
4,96.96015260808622,0.32298990000000005,,,,,,,,,,,918111.25,567085.0,815112.9,668463.2,646148.06,881842.25,
5,96.96963299653677,0.3310482,,,,,,,,,,,1624650.9,1613287.5,2460342.2,1939389.8,1521483.4,2865274.2,
504,100.93365008883131,8.869475,,,,,,,,,,,1088444.2,568021.8,967867.3,662212.06,1283986.9,718121.56,
501,100.93365125744002,8.82235,,,,,,,,,,,911782.3,374453.38,2175600.5,398919.56,2992499.5,430379.56,
490,100.93365236051106,8.437116,,,,,,,,,,,1268485.6,371033.4,1084606.5,313244.03,874049.56,717268.3,
448,100.93365429129958,7.9380817,,,,,,,,,,,597022.6,639161.1,568324.0,1072795.1,652849.2,628820.3,
469,100.93365284395679,8.226847,,,,,,,,,,,263141.78,1087178.4,510740.5,1116299.4,450149.7,1086531.6,
462,100.93365287998111,8.077616,,,,,,,,,,,513974.47,1167684.6,468651.88,394709.12,485824.72,636773.0,
465,100.93365289839329,8.147227,,,,,,,,,,,498705.9,3975952.5,432420.22,359006.7,479332.1,507604.5,
471,100.93365423092564,8.271365,,,,,,,,,,,2268840.5,1417400.0,572825.8,2047086.9,666276.5,3072513.0,
439,100.93365501563845,7.841203,,,,,,,,,,,529552.9,1271478.2,462861.56,1150849.9,453735.34,503643.5,
525,100.93365815420107,10.225085,,,,,,,,,,,1442433.1,1448070.4,518475.25,333885.62,587081.5,1009377.1,
10,102.95686134694569,0.34486207,,,,19.0,,,,,,,573972.2,377074.2,371514.66,365040.6,573377.75,351537.25,
85,111.00883509518549,0.53488487,,,,27.0,,,,,,,22713690.0,12356229.0,14860097.0,21954690.0,25884776.0,11863024.0,
43,111.0088401489886,0.3883851,,,,8.0,,,,,,,10686383.0,7592627.5,8929784.0,9212510.0,12294356.0,8669738.0,
49,112.01219832899916,0.3847963,,,,,,,,,,,218367.33,407722.72,506028.84,382384.4,630465.06,329108.78,
12,112.98567584708462,0.34946606,,,,19.0,,,,,,,1456569.0,1240679.5,1048432.4,1186654.0,1389233.0,969108.3,
546,112.98567491289543,10.283394,,,,,,,,,,,1409656.4,3818942.2,672916.3,3771856.0,1897721.2,2879389.0,
187,113.06084714030595,3.1321228,,,,,,,,,,,0.0,37502.145,0.0,41764.9,91464.484,0.0,
164,113.06085411782983,2.7991183,,,,,,,,,,,108875.305,313835.66,177280.98,351036.4,720924.5,126448.77,
488,115.92075014745129,8.44152,,,,,,,,,,,2069990.0,2218319.2,2361404.5,3052021.8,2199949.0,1531718.4,
502,115.92075079986738,8.824008000000001,,,,,,,,,,,3995094.0,1088393.5,2252280.5,4090532.0,1962684.5,1932638.0,
467,115.9207529634784,8.130019,,,,,,,,,,,1649166.5,15589761.0,1890566.2,2897094.8,2434756.0,1516685.2,
477,115.92075334159422,8.282138,,,,37.0,,,,,,,4774023.5,1783379.1,1443100.1,10993412.0,2740897.8,5255717.0,
438,115.92075521473205,7.8392805999999995,,,,17.0,,,,,,,924680.4,2061448.5,2482018.5,1938771.2,2443409.5,2900992.2,
457,115.92075660899526,7.9522386,,,,1.0,,,,,,,1907051.1,2352779.5,2395684.8,1588231.2,2104493.5,2523759.8,
528,115.92076151674652,10.225411,,,,39.0,,,,,,,3186829.5,4106015.0,3661225.5,3961647.5,3673958.8,3082390.5,
533,116.92856915857712,10.336093,,,,,,,,,,,1303566.1,1693864.1,1328579.9,1620666.6,1367544.5,1535162.9,
456,116.92856648846904,7.944088000000001,,,,,,,,,,,1226313.9,2649624.8,4915855.0,1560133.2,1406071.5,1944502.8,
441,116.92856783734636,7.873785000000001,,,,,,,,,,,4765228.0,10945287.0,759633.2,6527461.0,5038330.0,5751757.5,
104,117.01935734889072,0.6553434,,,,,,,,,,,6390997.0,2589090.2,9945341.0,2500304.0,4921846.0,8390193.0,
138,117.0557634536345,2.1265574000000003,,,,22.0,,,,,,,2546590.5,2737682.0,2548146.8,3140698.2,5628634.0,2162508.2,
574,128.0353433136111,10.63265,,,,,,,,,,,1544444.1,2201193.0,2788665.8,2937577.5,3250581.8,1789643.6,
93,128.0353563620122,0.6109399,,,,,,,,,,,2761421.0,2988915.0,2123137.0,2294682.8,4522505.0,2557836.2,
54,128.03536625779992,0.40257242,,,,,,,,,,,1082397.0,628474.2,1194082.1,870518.0,1769616.9,1098663.9,
90,129.01936562575898,0.5509102,,,,27.0,,,,,,,3535450.8,6093642.5,4932062.0,6498432.0,6017221.0,4727965.5,
41,129.01937147808252,0.38753116,,,,8.0,,,,,,,2245942.2,4233665.0,3371431.8,3499771.0,2602403.0,3014370.8,
148,129.05574786937504,2.4363344,,,,53.0,,,,,,,1776044.4,821257.75,1128536.8,1109955.6,7938902.5,582973.1,
172,131.0714041863985,2.9243963,,,,,,,,,,,4355618.5,4909828.0,4405938.5,5368762.5,8910363.0,3710081.8,
14,132.03025397764014,0.35515332,,,,34.0,,,,,,,295299.34,597256.44,425157.38,688869.75,415305.94,571937.94,
100,132.03025726420483,0.64417845,,,,,,,,,,,71687.01,224569.45,38570.242,568549.7,20968.137,22207.426,
60,132.03026791361913,0.39337274,,,,25.0,,,,,,,224958.14,588190.4,249407.06,634138.44,348667.0,496156.34,
278,132.86785696135243,5.9239370000000005,,,,,,,,,,,139888.7,178595.38,269855.47,105897.945,638650.56,148669.66,
279,132.86785913143163,6.0867515,,,,,,,,,,,222688.73,113125.695,241568.47,54442.65,286309.16,551823.6,
485,132.86786048998482,8.451654,,,,,,,,,,,111110.97,75139.33,97511.36,142024.44,156024.1,62340.07,
526,132.86786654829194,10.210358,,,,,,,,,,,176076.02,221110.73,169021.23,166446.5,162863.33,160470.5,
564,132.86787033556402,10.494689,,,,,,,,,,,1048548.06,846102.0,1337414.1,402300.03,1317733.0,1297976.5,
103,133.01425581029454,0.64744604,,,,,,,,,,,1584842.5,1097659.5,284249.66,1064056.0,676022.2,298629.53,
50,133.01426986119986,0.39193046,,,,,,,,,,,1581040.2,1909259.9,2682925.2,1856834.1,2591198.0,2258207.2,
524,134.89464977351497,10.20225,,,,,,,,,,,95404.71,199631.44,121346.22,168424.02,116290.28,170283.16,
487,134.89466371604843,8.408437,,,,,,,,,,,1047748.9,2330416.0,701500.75,1374920.5,583123.6,1507032.9,
475,134.89466728122994,8.279988000000001,,,,37.0,,,,,,,1173508.4,3362314.5,414791.06,1365443.9,991368.3,1463889.0,
