row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML Peak area,GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML Peak area,GF_S4_MC_RCG_3_pos_20210511_Run170.mzML Peak area,GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML Peak area,GF_S4_MC_RCG_2_pos_20210511_Run90.mzML Peak area,GF_S4_MC_RCG_1_pos_20210511_Run70.mzML Peak area,
9177,81.52049701476366,10.596119,,,,50,,,,,,,2.096267E7,1.7443514E7,2.0759792E7,2.2351994E7,1.7889068E7,1.5872286E7,
9159,82.53701520360092,10.525098,,,,269,,,,,,,1057941.2,748858.0,1248409.2,1238929.0,767457.3,726630.3,
608,84.04437662175131,0.6414899,,,,127,,,,,,,955835.6,1380322.0,25795.9,423075.62,49733.133,77743.78,
2074,84.04442305507898,1.5700561,,,,215,,,,,,,409427.78,63289.54,9854377.0,3005939.5,7506930.5,7233376.0,
648,84.08078064533218,0.5981207,,,,,,,,,,,862802.75,438932.44,6150843.5,1.1549085E7,2879800.0,1.3401104E7,
324,84.08078741528529,0.4845396,,,,174,,,,,,,9808898.0,1.1414111E7,3.359443E7,1.3086403E7,1.7049256E7,2.6441964E7,
9182,84.95965003978307,10.606013,,,,50,,,,,,,2470491.8,1751762.2,2174703.5,2484688.5,1732720.6,1880109.8,
16,84.9597012226871,0.19772427,,,,,,,,,,,2862996.0,1013314.8,710714.4,157978.03,2483934.8,449589.2,
2,84.95970477272515,0.05166936,,,,,,,,,,,319734.8,759208.6,324964.94,644541.6,780263.75,2341085.0,
879,86.06004930822444,0.7668577,,,,,,,,,,,1.5792183E7,2.9983332E7,1.3238035E7,3.6954776E7,1.9852972E7,1.8726872E7,
670,86.06005154758539,0.70377547,,,,,,,,,,,8352520.0,6633347.5,720444.3,7897731.5,1223918.0,1096340.2,
4148,86.09640943952427,2.5804293,,,,,,,,,,,3016999.0,4976873.0,3465783.0,4219339.0,2992118.5,1861288.4,
715,86.09641422042968,0.66891986,,,,274,,,,,,,2.2435098E8,2.4482752E8,4.2676733E8,3.208461E8,3.1621702E8,3.6997968E8,
2810,86.09642707033078,2.0415537,,,,,,,,,,,1.8164618E7,1.3045444E7,1.2636807E7,2.8024118E7,1.0650456E7,1.5573295E7,
3231,86.09643411746136,2.2282999,,,,,,,,,,,4452251.5,4574654.0,1270623.0,7461569.5,5206512.5,1.0953188E7,
923,87.06337552012116,0.7713098,,,,,,,,,,,161093.52,463427.56,123947.21,1539292.4,150249.69,246702.6,
2027,89.059700930729,1.5908092,,,,,,,,,,,0,0,12076.078,8701131.0,1435886.6,0,
2274,89.05972304390322,1.7505251,,,,,,,,,,,0,43398.742,4443693.5,625854.4,6566946.5,4841938.0,
2155,89.05972819589154,1.6962229,,,,,,,,,,,0,0,905391.7,8038967.0,479855.88,524575.9,
362,90.05494872901829,0.4963541,,,,,,,,,,,3796744.5,3100551.5,329566.03,7486891.0,2894676.2,3181935.0,
