Filename,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML,NEG_TJGIp8_1_Run20.mzML,NEG_TJGIp8_2_Run85.mzML,NEG_TJGIp8_3_Run207.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
82/153.0558mz/2.16min,26660.945,38744.57,53826.625,24286.904,40947.543,39556.258
83/131.0714mz/2.21min,137986.11,166555.34,169418.98,64959.973,191112.77,149451.88
84/180.0337mz/2.26min,25159.244,39853.14,40124.16,0.0,138873.84,0.0
85/196.0108mz/2.26min,2137854.2,3994986.5,3915618.8,1437519.2,6093508.0,2380141.8
86/181.0718mz/2.27min,0.0,0.0,0.0,507751.75,7759.7847,160507.28
87/144.0455mz/2.34min,869289.56,680520.56,722656.75,557366.7,700661.8,642250.06
88/158.0823mz/2.36min,143659.61,148174.6,168394.48,183415.73,232426.53,173348.61
89/188.0353mz/2.4min,717033.7,737707.56,786489.0,554856.06,682327.7,747963.7
90/139.0401mz/2.45min,380847.6,1000188.75,1121717.4,565893.6,1031145.4,1179230.9
92/181.0718mz/2.53min,0.0,0.0,0.0,10892.727,197896.31,127163.59
93/769.2339mz/2.57min,689802.56,981869.2,1100387.2,1104619.9,1312687.0,994137.25
94/815.2396mz/2.57min,480706.06,748264.3,877930.06,983166.56,960518.3,791331.5
95/178.051mz/2.62min,150918.5,179995.73,181987.83,90212.22,266228.12,187344.4
96/158.0823mz/2.72min,608420.6,534149.56,567824.4,676702.8,616116.8,573480.6
97/444.2004mz/2.73min,10987.552,32905.71,31348.61,21370.762,22900.945,27018.307
98/151.0611mz/2.8min,0.0,0.0,0.0,0.0,29783.531,0.0
99/181.0718mz/2.77min,0.0,0.0,0.0,0.0,420399.6,37413.96
100/158.0823mz/2.81min,1320021.0,1062837.8,1061862.4,1322704.0,1348986.5,1136948.8
101/131.0714mz/2.81min,3969693.8,5380116.5,4644734.0,3295844.2,4259197.5,4227766.5
105/426.1898mz/2.88min,120845.28,217184.0,214696.7,168874.75,169011.55,203935.06
106/171.1027mz/2.95min,257055.6,42814.19,37708.93,190412.58,112506.8,36878.156
107/186.1135mz/2.95min,1674071.9,1777681.5,1475168.5,1683008.6,490008.1,429859.25
108/426.1899mz/2.97min,823611.0,1445008.5,1351070.6,1082682.4,1062808.9,1251434.1
109/192.0666mz/2.97min,674453.3,478064.7,520074.75,671235.4,703471.6,516585.0
110/153.0557mz/2.98min,205231.05,700604.56,825801.06,265429.16,721724.4,875708.75
111/456.2004mz/2.99min,69451.23,115060.05,118270.31,85095.24,97533.72,93527.96
112/165.0557mz/3.02min,710869.06,951157.7,894746.1,594863.3,815981.6,836554.94
113/173.0819mz/3.04min,484495.03,371902.28,408927.53,515750.28,405298.66,395150.38
114/164.0354mz/3.05min,596248.4,621138.6,616422.75,440354.28,630709.25,506348.25
115/186.0772mz/3.06min,751721.4,827539.5,852534.44,918942.06,1111438.6,898875.3
116/456.2005mz/3.1min,479606.62,690616.44,641559.7,517838.97,562679.75,590243.5
117/227.129mz/3.19min,178045.78,181693.89,193533.22,119513.95,112305.09,183942.94
119/245.0932mz/3.2min,1894369.5,2654307.2,2527735.5,1949956.4,2608668.5,2554407.5
120/195.0663mz/3.21min,33409.28,27895.129,50549.05,49531.777,58239.953,38438.715
121/177.0557mz/3.26min,66379.195,56910.664,55697.73,62701.617,75989.64,66332.19
122/178.051mz/3.25min,575404.44,568215.5,574364.94,354712.56,546809.75,518881.47
123/187.0976mz/3.36min,92946.82,125076.46,211190.56,113557.05,122913.6,142006.89
124/144.0455mz/3.27min,513206.5,301320.53,319832.7,376148.53,377208.4,288401.7
125/261.1344mz/3.27min,344645.75,421772.78,395828.06,425321.12,412850.66,433751.97
126/177.0557mz/3.3min,88605.086,74620.5,109777.08,104208.24,125254.65,89926.01
127/173.082mz/3.31min,30709.826,56400.992,29860.58,74544.39,0.0,0.0
128/487.3057mz/3.32min,35397.53,0.0,0.0,28351.752,0.0,0.0
129/138.0197mz/3.32min,1879500.2,1327426.9,1155854.9,2064647.6,1661187.5,1197250.6
130/261.1344mz/3.36min,3143275.0,3644073.5,3471753.5,3893967.2,3582498.0,3917471.8
132/245.0455mz/3.38min,30733.21,29190.623,23235.484,45475.35,56458.51,29658.379
133/269.1031mz/3.41min,36412.746,37768.895,50124.723,44559.54,41907.53,47303.16
134/177.0557mz/3.41min,92775.5,97754.79,137077.78,130270.234,127639.44,121139.97
136/509.1564mz/3.44min,48140.594,0.0,0.0,0.0,0.0,0.0
137/277.0723mz/3.44min,170910.34,162168.1,260119.14,496001.2,459158.22,259431.69
139/187.0976mz/3.45min,7811067.5,5778342.0,6005728.0,10239796.0,8077217.0,7041347.0
140/209.0795mz/3.45min,512816.75,468116.38,478276.28,657306.1,597017.06,578479.2
141/145.087mz/3.45min,345834.47,632303.06,517989.66,320743.7,417972.56,446198.16
142/228.1031mz/3.49min,522694.94,179305.78,184535.11,263135.53,220418.39,158820.47
143/191.0748mz/3.48min,0.0,84008.68,97079.984,84367.09,129100.555,60455.05
144/237.0767mz/3.48min,411952.44,0.0,0.0,0.0,3370.8574,0.0
145/165.0557mz/3.53min,54281.195,43442.84,30326.121,32656.195,36051.28,27263.27
147/177.0557mz/3.53min,770437.7,822041.0,1061123.5,1014469.4,1020706.25,1046482.3
148/269.1031mz/3.53min,439501.22,464396.16,589770.7,568933.94,574653.0,598993.4
149/195.0663mz/3.53min,65132.766,60196.402,89083.94,84231.96,86722.23,86762.1
150/145.087mz/3.54min,728878.44,854496.75,800462.4,718360.6,767662.25,718515.3
151/227.129mz/3.54min,0.0,84119.94,47461.285,7136.9805,38618.58,47801.938
152/466.221mz/3.59min,147359.38,77799.5,72748.99,46554.668,49358.53,63071.016
153/191.0749mz/3.59min,140575.33,485606.0,588695.0,97282.05,699281.4,421546.72
154/144.0455mz/3.59min,3563355.5,1725043.1,2189190.0,2278455.8,2490994.8,1949420.1
155/466.2211mz/3.66min,277676.1,528740.9,502405.34,351228.38,339489.16,469135.38
156/292.1192mz/3.69min,474759.53,428621.88,530174.2,472725.78,635458.94,301318.4
157/459.2825mz/3.71min,334381.44,0.0,0.0,364503.94,263428.7,0.0
158/471.166mz/3.69min,88657.53,214109.84,246078.38,59366.008,245992.83,190950.27
159/214.145mz/3.69min,560923.9,277626.44,353474.4,179971.02,53822.836,52862.52
160/489.1767mz/3.7min,192830.44,123879.79,152680.61,144566.03,155194.78,102300.766
161/191.0749mz/3.67min,823386.6,292975.84,347983.0,331708.84,327874.34,170665.55
162/215.1289mz/3.73min,78154.22,158736.62,162292.69,102546.1,156845.48,163123.58
164/171.1027mz/3.75min,827897.3,636515.8,669460.8,945011.94,945387.6,761361.1
165/195.0663mz/3.76min,299838.8,399830.56,492116.16,689928.5,599853.1,571466.56
166/516.2239mz/3.77min,449636.16,137273.45,346968.84,7043.4497,147237.03,135318.88
167/191.0748mz/3.73min,534429.3,5514.8105,0.0,252540.61,187043.83,0.0
168/159.1027mz/3.79min,376076.34,505325.47,536920.94,466242.5,447925.44,433537.7
169/471.166mz/3.79min,604134.75,443201.2,554430.5,653299.9,571543.06,511413.16
170/507.1427mz/3.79min,1837114.1,851515.1,871990.3,2138950.8,1232912.6,788254.44
171/534.1616mz/3.79min,510990.53,250383.6,237187.33,620898.4,372420.12,214198.06
172/517.1715mz/3.79min,2809660.0,2656481.2,3619063.8,3312974.2,3630423.2,3344781.2
173/518.1748mz/3.79min,798614.56,765300.0,963319.44,930034.1,971616.25,900684.1
176/236.0962mz/3.8min,11244.371,2589477.8,2939752.5,0.0,2668807.5,1562568.0
177/227.1289mz/3.83min,7573.177,41661.56,42204.26,43083.492,51229.215,46540.04
179/489.1768mz/3.87min,890836.1,1195220.8,1515112.0,1303175.6,1554308.6,1243838.8
180/525.1533mz/3.87min,657861.6,326114.12,322174.53,876227.6,514911.47,245396.83
181/535.1824mz/3.87min,254274.53,298314.25,376663.25,331251.72,427220.44,306863.62
182/317.0303mz/3.87min,1212668.6,424457.56,519295.22,496901.62,0.0,0.0
185/596.2844mz/3.92min,1007834.25,1132255.8,1201808.5,1234067.2,1126432.1,1005916.25
187/473.1819mz/3.92min,394973.72,308128.3,391990.03,228763.08,444283.7,313348.9
188/213.0154mz/3.94min,255784.5,453168.0,520454.78,369953.72,652267.5,568127.94
190/459.2028mz/3.94min,475694.56,297472.2,292179.12,250704.25,455337.1,263038.84
191/236.0962mz/3.94min,3429346.5,0.0,0.0,2204626.5,0.0,0.0
194/419.1713mz/3.95min,150144.81,69168.44,78719.15,105959.03,119938.11,64775.023
195/469.1503mz/3.95min,149681.92,84507.15,100070.586,137085.05,113146.1,80176.69
196/411.1814mz/3.97min,49496.035,94494.65,104091.586,98476.97,130052.55,96177.875
197/187.0976mz/3.99min,4354.2363,33010.613,40597.242,16076.368,7607.9624,9817.935
198/245.0456mz/3.98min,241149.53,242211.9,221514.36,431294.62,401861.9,225377.95
200/171.1028mz/4.01min,593193.3,396569.9,440998.44,411314.5,378813.1,375217.78
202/525.1533mz/3.93min,64351.137,80140.83,71293.14,241789.06,134447.53,61265.383
203/535.1824mz/4.01min,50740.297,42131.13,57889.312,48998.15,61522.973,42528.395
205/487.1613mz/4.02min,169003.61,98659.99,121429.15,95171.164,116204.84,95304.36
206/228.1605mz/4.03min,561243.9,334784.34,406644.44,227461.53,53429.887,55415.273
207/431.2076mz/4.03min,223404.12,205440.89,197484.31,271727.38,293976.56,188473.97
208/489.177mz/4.03min,162193.38,313695.97,373678.22,156838.47,370833.8,359695.78
209/225.1134mz/4.05min,314786.84,774979.0,742940.8,612526.75,706364.9,738315.9
