row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp8_3_Run207.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML Peak area,NEG_TJGIp8_2_Run85.mzML Peak area,NEG_TJGIp8_1_Run20.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML Peak area,
56,89.02432681221978,0.48764703,,,,,,,,,,,1364038.6,1364576.5,1474720.8,407344.44,527241.06,159543.7,
13,92.92795531528155,0.35605454,,,,56,,,,,,,590562.3,584895.7,252152.98,634158.0,818688.75,718702.06,
2740,92.92796644374346,10.267144,,,,,,,,,,,0,0,0,46885.617,128517.11,348263.6,
12,94.92502505638952,0.3591896,,,,,,,,,,,407091.06,395113.12,244855.61,434395.22,562610.7,481417.66,
2741,94.92503268714067,10.26536,,,,,,,,,,,0,0,0,7410.9746,75909.7,222897.62,
1215,96.96004355612291,5.944864,,,,,,,,,,,17410.578,225756.75,213947.89,842875.25,3226.8806,6921.543,
2818,96.96004988139975,11.02153,,,,,,,,,,,4467649.5,4319244.5,4220628.0,3825115.8,3167861.8,2944546.8,
14,96.96012095232277,0.35980657,,,,,,,,,,,881229.06,3457486.8,3391302.0,3257532.5,4923235.5,5279361.0,
47,96.96954990748067,0.40566877,,,,56,,,,,,,3288610.0,3194722.0,2817780.0,3206127.8,5296737.5,3762788.5,
2503,99.92576486255136,8.432149,,,,,,,,,,,3823117.8,4458412.5,6803937.5,6540479.5,5.062299E7,7724770.5,
2212,99.92576529718353,7.9422646,,,,,,,,,,,2.7016732E7,5621899.0,6142553.0,6741313.5,6718518.0,7348781.5,
2401,99.92576645495251,8.135434,,,,61,,,,,,,4471079.5,3.2378754E7,3.806818E7,4.0506736E7,7483307.5,3.0641618E7,
2366,100.93358645605701,8.134674,,,,61,,,,,,,2423142.8,4344964.5,1.8416428E7,1.8796876E7,1.208116E7,9976747.0,
2746,102.95684888806426,10.27595,,,,,,,,,,,16577.658,30093.826,77245.35,153942.17,354148.72,697101.75,
2533,106.04101939270743,8.53646,,,,,,,,,,,234820.95,468373.4,769985.9,23920.111,17805.457,6019.629,
2494,106.04102593176702,8.417114,,,,,,,,,,,235390.94,796625.25,721816.5,44735.2,6857.357,6019.629,
2454,106.0410392146513,8.312244,,,,,,,,,,,119188.35,134117.05,161158.44,24690.61,6857.357,0,
2670,106.0410641403208,9.848206,,,,,,,,,,,139764.92,526645.75,349451.7,58844.168,26558.879,0,
