row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp4_3_Run189.mzML Peak area,NEG_TJGIp4_2_Run109.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGIp4_1_Run44.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,Unnamed: 19
51,89.02429746339935,0.49550740000000004,,,,,,,,,,,1912781.0,1351770.8,1317736.0,1050155.1,382581.2,681499.56,
1946,89.02429822381657,10.099727,,,,,,,,,,,87573.2,121768.77,58891.414000000004,216528.02,155129.98,72806.22,
6,92.92794973980459,0.34431508,,,,64.0,,,,,,,902876.4,812929.56,1063920.2,805686.2,894798.6,1000870.56,
5,94.92502359688228,0.34351614,,,,64.0,,,,,,,608979.06,546866.8,697151.94,540541.2,583884.56,659705.4,
672,96.96005506276592,5.874823,,,,,,,,,,,165240.28,431947.38,187033.5,429924.38,308999.5,1251070.6,
2050,96.96007371442845,11.0035095,,,,,,,,,,,4039595.0,3830455.2,3948840.0,3626771.5,3910449.2,3078400.2,
3,96.96013058237652,0.32772076,,,,,,,,,,,7478829.5,1859903.0,3073985.5,7526863.0,10520700.0,13735668.0,
35,96.96949617314795,0.39414874,,,,64.0,,,,,,,5672014.5,5858588.0,5932888.5,7741171.0,8238824.0,7692605.0,
1963,99.9257497681667,10.198625,,,,,,,,,,,1932521.5,2584653.8,2335280.5,2469560.5,2590366.8,2707960.8,
1516,99.9257725875624,7.755314,,,,,,,,,,,23528670.0,5196976.0,4983425.0,4185599.2,5231164.5,5018063.0,
1826,99.92578627043264,8.448494,,,,,,,,,,,4190782.8,29180936.0,4864153.0,31710810.0,6086673.5,43126170.0,
1654,99.92579267895957,8.137048,,,,,,,,,,,4141953.8,5232003.5,31503694.0,5397885.0,34104164.0,8149373.5,
1814,100.92595557629751,8.449012,,,,,,,,,,,354218.97,598261.5,545988.06,785524.8,451309.8,4942311.0,
1492,100.93359221872385,7.7106449999999995,,,,20.0,,,,,,,7231130.0,8000796.0,4083570.0,4073995.0,3988894.2,5677018.5,
1705,100.933600382832,8.139086,,,,32.0,,,,,,,2683761.0,11734804.0,16547613.0,5782328.0,14243608.0,11269412.0,
