row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_TJGIp10_2_Run132.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML Peak area,POS_TJGIp10_3_Run209.mzML Peak area,POS_TJGIp10_1_Run22.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML Peak area,
6724,81.52048489648733,10.5717945,,,,183,,,,,,,1.9038972E7,2.0330492E7,1.932696E7,2.0969284E7,1.2134698E7,1.0930083E7,
103,83.049096424957,0.4113114,,,,,,,,,,,450592.44,193496.98,95195.48,73492.87,497071.7,1276522.5,
6735,84.95962376441499,10.596851,,,,,,,,,,,1002179.3,856062.9,1067251.5,1451990.0,516739.75,787097.7,
126,84.95969539410675,0.5019472,,,,,,,,,,,666224.6,935086.5,1016364.6,1007190.1,546676.25,329141.2,
165,86.0600636149386,0.76664335,,,,,,,,,,,204712.42,288769.25,164002.6,464938.53,1517579.6,1558851.8,
6661,86.09634031257936,10.3010645,,,,,,,,,,,59846.21,18367.115,16918.752,87084.516,266539.34,120400.73,
119,86.09639902780611,0.47532663,,,,,,,,,,,115801.64,224805.0,348697.5,135185.25,205104.39,96101.31,
128,86.0964124409486,0.5429134,,,,,,,,,,,154398.23,271063.38,363237.25,79104.28,542367.25,253938.94,
143,86.09642246935873,0.6240197,,,,,,,,,,,1239695.2,288692.1,577467.8,1304995.4,542367.25,253938.94,
180,86.09643563462642,0.8018677,,,,,,,,,,,483709.16,290758.75,1747173.1,917292.7,162190.42,140926.78,
160,86.09643986916394,0.7555042,,,,,,,,,,,1981172.9,2311470.8,318435.1,2317951.8,665054.6,140926.78,
210,86.09644281714502,0.9939733,,,,,,,,,,,154868.47,234320.4,104759.19,145812.19,85439.75,112737.56,
201,86.09644813916071,0.9524271,,,,,,,,,,,117128.195,295125.56,245333.12,133184.81,85439.75,137475.56,
231,86.09645606300502,1.1957353,,,,,,,,,,,141785.66,86714.81,209827.58,63901.43,113850.93,111993.92,
67,87.04403784864063,0.37442768,,,,218,,,,,,,923809.3,1008534.3,938313.06,1045337.8,298145.06,1264428.5,
446,87.04413693134428,3.302943,,,,212,,,,,,,627910.56,1744242.0,1678397.4,1008855.5,1050526.1,2501364.0,
550,88.02159450438235,3.6924841,,,,,,,,,,,165834.34,243793.14,212226.08,142498.03,112717.766,415053.3,
6692,90.50664382863657,10.479282,,,,,,,,,,,659218.1,665931.5,742608.75,685433.7,1354547.1,1193958.5,
6726,90.52582222753169,10.573558,,,,183,,,,,,,4.007061E7,4.075902E7,3.454431E7,4.2680132E7,2.6833658E7,2.5556516E7,
28,90.97661383982039,0.33683455,,,,36,,,,,,,805648.25,771972.6,809093.56,813104.4,863091.7,1124686.0,
3082,91.05421159158095,6.468689,,,,,,,,,,,398377.28,389777.7,451423.6,379012.03,611483.06,1117498.4,
6707,94.04501189618672,10.524205,,,,227,,,,,,,4087266.2,3544035.2,3881946.2,4259045.0,2851467.5,2823702.2,
105,95.04908704272869,0.40595558,,,,,,,,,,,85237.61,229805.03,69181.586,41783.76,141605.61,1323119.4,
6725,97.9912748508279,10.572585,,,,183,,,,,,,8008609.0,8213572.5,8150723.5,8552402.0,5005065.0,4909932.0,
6789,98.51198757717998,10.877068,,,,,,,,,,,146774.67,176896.31,757514.06,749674.5,1.3180697E7,1.4610938E7,
2904,98.9840923800398,6.149851,,,,,,,,,,,92240.0,240951.81,224073.03,250316.89,461261.3,170876.22,
107,99.04401712836483,0.41994503,,,,218,11,[M+H]+,,2,107;95,98.03674,895823.56,954612.5,664165.0,250165.94,1047558.8,1935217.6,
176,99.04406895270337,0.806308,,,,,,,,,,,246806.33,67327.12,639737.06,233288.78,778119.6,911429.1,
214,99.04407001406759,1.0406843,,,,,,,,,,,2170441.8,1923112.9,1126086.2,178671.12,1374017.4,1490168.0,
225,99.0440821210815,1.1133558,,,,,,,,,,,65110.203,119180.25,76664.08,172492.0,206365.86,253543.62,
6699,99.51214940868778,10.477529,,,,23,,,,,,,2160880.5,2216460.5,2468286.2,2589249.8,3003962.2,2500161.2,
6736,99.53105938748257,10.594287,,,,183,,,,,,,2677651.5,5048832.0,3275779.8,2842760.5,4184301.2,3241129.2,
246,100.07567764566322,1.4730897,,,,,,,,,,,398890.62,870536.3,103874.13,775541.0,862185.7,2078955.6,
262,100.07572175791044,1.9257616,,,,,,,,,,,500883.7,576748.1,480026.66,536266.4,520832.4,608962.75,
6640,100.1119643394464,10.210526,,,,,,,,,,,284645.56,265359.12,354635.1,371899.12,413496.75,1536176.1,
6562,101.0708745030419,10.144971,,,,,,,,,,,4680913.0,4146327.8,5404393.0,2.8113654E7,4870542.0,8588518.0,
5652,101.0709614748684,8.474213,,,,,,,,,,,1.0853659E7,1.4318638E7,6367637.5,4094779.0,6191776.0,3669102.8,
5776,101.07096476093278,8.573102,,,,,,,,,,,6934358.0,7328652.5,1299393.1,1.1707873E7,4710555.5,1.1664939E7,
6722,102.03377675364517,10.569435,,,,183,,,,,,,6.844038E7,7.262579E7,6.9583464E7,7.2457E7,4.8471056E7,4.5418084E7,
155,102.09134270088431,0.6889921,,,,,,,,,,,64511.336,61879.58,93312.8,57647.375,68730.16,98989.56,
315,102.09137732453733,2.4862225,,,,,,,,,,,6570561.0,5278792.5,4972333.5,3776070.5,3301480.8,8724145.0,
283,102.09138326449441,2.1281736,,,,,,,,,,,792596.3,950261.06,638013.6,723187.0,500247.44,410428.34,
6721,102.53535753315475,10.5684595,,,,183,,,,,,,5924442.0,6308962.0,5874560.0,6305047.5,4196288.0,3903091.5,
401,103.07535734674839,3.0852566,,,,58,,,,,,,937394.94,2013739.2,1977390.1,867985.06,1083398.8,1985031.4,
437,103.07536403175418,3.269785,,,,45,,,,,,,61356.62,348278.88,341012.1,49589.395,60405.816,243595.92,
6733,104.03012985960872,10.576026,,,,183,,,,,,,1727311.5,1864478.5,1795491.4,1820938.5,365388.94,182343.34,
40,104.10690775417208,0.35959134,,,,218,,,,,,,2.918009E7,1.5009112E7,1.2645378E7,2.828343E7,2.5543758E7,2.012232E7,
212,104.1069531493546,1.0474906,,,,,,,,,,,429491.5,1383505.8,324723.53,303731.9,339174.62,94554.82,
244,104.10695539882532,1.4680918,,,,,,,,,,,445181.38,524697.56,192498.83,687557.0,420358.84,47647.617,
229,104.10697338579745,1.2116944,,,,,,,,,,,449295.2,473602.12,414270.12,159219.4,485413.6,77080.914,
261,104.10699349438686,1.8833389,,,,,,,,,,,492832.84,555454.75,469133.16,364443.06,217691.47,126538.47,
1572,105.06979956715827,5.079102,,,,193,,,,,,,1051587.6,352323.22,907261.0,807273.6,1931758.8,824594.56,
474,105.0699225596817,3.4508524,,,,68,,,,,,,576565.3,562311.5,554116.75,558283.5,516582.56,334054.03,
1054,109.10106285256022,4.7325573,,,,189,,,,,,,845755.1,748056.94,577693.5,576539.94,666948.94,328968.97,
414,109.10122985923842,3.1402228,,,,,,,,,,,550188.0,648579.4,555626.56,497272.28,667207.94,722184.4,
6691,109.52150807969271,10.448834,,,,,,,,,,,106894.59,201259.03,403426.06,273480.34,1475710.0,1398754.5,
18,110.00864114150238,0.31189886,,,,,,,,,,,0,0,0,0,106595.914,248236.72,
6685,110.0199551062913,10.437572,,,,,,,,,,,5487529.5,2865058.2,4998742.0,2833193.2,1647795.1,1599958.0,
6770,110.01995684970525,10.795291,,,,,,,,,,,1378212.2,959820.5,1275480.9,1015687.56,1.689453E7,1.9023556E7,
6701,111.02011536383752,10.486703,,,,23,,,,,,,1.8188182E7,1.9081046E7,1.9126024E7,1.9370734E7,2.441174E7,2.1248524E7,
6734,111.03897149299986,10.587838,,,,183,,,,,,,5680307.0,4963103.0,6345572.0,5278525.0,3191588.0,3418344.0,
6696,111.52172353745993,10.477036,,,,23,,,,,,,1030357.1,1546162.8,1529854.1,1591647.4,2027017.0,1775072.0,
6698,112.01776948248578,10.476056,,,,23,,,,,,,7073042.5,7483856.0,7435302.5,7646960.0,9436254.0,8316292.0,
102,113.03448939788085,0.4387248,,,,,,,,,,,60825.242,157526.69,72731.78,102441.016,53566.836,911465.8,
98,113.05961432837002,0.39626813,,,,218,,,,,,,617793.1,700746.1,506794.88,708137.3,632669.8,2193681.5,
290,113.0597118758002,2.221113,,,,186,,,,,,,1650948.8,2031160.0,1780983.4,1453377.5,1600132.0,2503632.0,
5466,113.1323542233489,8.295636,,,,141,,,,,,,332957.25,123113.53,477782.53,248413.6,535141.1,587219.4,
6823,113.96359724175028,11.0232115,,,,,,,,,,,739999.3,509610.0,651241.4,494595.16,8486171.0,9627222.0,
392,114.05499407034176,3.0596507,,,,,,,,,,,441345.38,378720.88,341927.53,240619.61,382031.9,372128.5,
305,114.0913632281297,2.3992891,,,,,,,,,,,1262276.6,1077517.9,1236144.5,1001946.5,1778580.5,1993567.9,
345,114.09139946865116,2.7260373,,,,117,,,,,,,296879.78,268298.75,246469.36,175845.52,295334.97,295603.5,
53,115.03654353704957,0.36627114,,,,218,3,[M-2H2O+Na]+,,2,58;53,128.06911,2577169.0,2138151.2,2131712.8,2125272.0,1268747.2,1372461.6,
2359,116.05277588488093,5.5986195,,,,168,,,,,,,569795.3,411880.4,471737.34,268634.53,259243.31,466570.78,
293,116.05281575205515,2.264017,,,,,,,,,,,165253.1,98870.98,145005.38,46260.414,15646.527,14489.091,
545,116.05284772922893,3.6941597,,,,56,,,,,,,627254.6,943821.56,787424.4,561911.75,419356.53,1471848.9,
2955,116.07046334719412,6.262154,,,,96,,,,,,,652678.4,394708.66,340197.12,461719.62,629360.7,266667.4,
95,116.0705639261364,0.3917161,,,,218,11,[M+NH4]+,,2,107;95,98.03674,971658.3,1280041.1,931821.6,1494586.5,1078930.1,1555290.1,
111,117.05459197066368,0.39562544,,,,,,,,,,,272155.2,327477.53,256047.34,111471.2,199560.94,1617804.8,
