Filename,2024_POS_CC-Media_1_Run17.mzML,2024_POS_CC-Media_2_Run53.mzML,2024_POS_CC-Media_3_Run73.mzML,2024_POS_CC_1_Run20.mzML,2024_POS_CC_2_Run47.mzML,2024_POS_CC_3_Run61.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
139/169.0971mz/2.01min,3117425.8,3806310.5,3679893.2,207091.27,211851.77,215859.81
140/99.5121mz/2.09min,596759.8,194192.6,280972.9,282870.84,646871.1,642649.8
141/244.1907mz/2.1min,422991.53,444829.5,417894.16,362358.0,378928.16,448430.34
142/181.0971mz/2.12min,2017993.2,2054366.5,1777118.5,898039.1,811825.75,944581.0
143/245.0954mz/2.12min,9154800.0,9386015.0,8383015.0,4122480.2,3831443.2,4424619.0
144/184.1695mz/2.21min,2082657.1,2186274.5,2187359.5,1963623.9,2006927.0,2359434.5
145/188.0705mz/2.25min,286855.78,425306.12,574436.6,0.0,0.0,0.0
146/217.1247mz/2.25min,583650.44,568937.8,595524.8,490726.38,512937.16,524780.9
147/218.1281mz/2.25min,8175724.0,7871707.0,8153080.5,6703308.0,7037200.0,7092236.5
148/200.1046mz/2.25min,6927637.5,6543445.5,6781853.5,5724253.5,6020740.5,5971879.5
150/199.1012mz/2.25min,534224.9,485974.97,517833.6,442934.53,478102.5,489736.03
151/228.1342mz/2.26min,561765.1,653747.9,680055.56,65897.21,66325.99,69661.64
152/195.1227mz/2.28min,708630.7,651713.0,598727.1,662007.2,661755.6,609265.1
153/244.2012mz/2.3min,872505.56,886138.4,906691.4,1004005.1,822472.06,880687.3
154/181.0971mz/2.33min,82195.06,87628.52,80876.516,0.0,0.0,0.0
155/244.2012mz/2.36min,1371355.2,1315652.2,1334244.2,2119867.8,1235168.4,1254858.4
156/228.1342mz/2.36min,406297.4,454702.03,470691.16,11890.19,6004.746,24199.39
157/140.1434mz/2.38min,391098.62,375478.7,379253.16,367361.7,349478.0,329299.75
158/171.1128mz/2.42min,449232.25,551811.2,578775.75,53590.836,23131.408,65629.39
159/136.0623mz/2.43min,38228.082,34023.863,40267.234,0.0,0.0,0.0
160/298.0968mz/2.44min,3131717.2,3507146.0,3642462.2,0.0,0.0,0.0
161/171.1128mz/2.48min,451671.38,554582.4,591741.44,36292.492,42967.31,42031.406
162/244.2012mz/2.51min,375641.22,399902.4,397376.9,317576.8,316261.53,321047.5
163/276.1342mz/2.52min,364329.2,427124.7,430434.4,25185.693,29060.229,30139.29
