"","Filename","Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML","NEG_TJGIp4_1_Run59.mzML","NEG_TJGIp4_2_Run88.mzML","NEG_TJGIp4_3_Run183.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","184/117.0557mz/2.03min","484198.75","399097.06","358505.22","796698.8","213056.9","465177.75"
"3","185/229.1193mz/2.04min","25836.178","0.0","11552.524","39050.703","36791.777","35756.656"
"4","186/213.0881mz/2.05min","1091048.2","514003.97","510449.16","1279399.6","1072546.1","1185685.6"
"5","187/231.1349mz/2.06min","3652.4658","17903.43","0.0","45003.18","43025.676","54853.324"
"6","188/259.1298mz/2.07min","19048.47","3515.23","24645.182","48442.477","35827.81","40676.562"
"7","189/225.0881mz/2.09min","6004520.5","4990119.5","4938899.0","7017096.0","5816437.5","6445846.5"
"8","190/218.1034mz/2.11min","4320134.0","3436624.8","3550657.0","5906236.5","4457022.5","4848010.0"
"9","191/188.0928mz/2.13min","176442.84","154817.62","152205.61","249324.56","221155.9","213445.02"
"10","192/144.0666mz/2.14min","5394218.5","4937351.0","4786195.0","4748745.5","5679834.0","5100172.5"
"11","193/145.0506mz/2.14min","1459906.6","947109.44","1365864.5","2102616.8","2014698.6","1779122.9"
"12","195/156.0666mz/2.12min","182484.94","212364.72","254973.14","321059.28","292978.53","266381.62"
"13","196/116.0354mz/2.19min","0.0","0.0","0.0","0.0","49618.254","0.0"
"14","199/118.051mz/2.24min","18882.148","649110.5","90557.43","865815.2","1067187.4","118521.336"
"15","200/117.0193mz/2.24min","0.0","18134.8","4761.6846","161033.7","547924.25","0.0"
"16","201/200.0929mz/2.21min","56982.645","44631.227","38872.867","81200.66","70324.04","57256.68"
"17","203/111.02mz/2.22min","0.0","42644.79","91616.734","253792.47","499451.3","145537.72"
"18","204/128.0354mz/2.21min","0.0","76845.91","10085.252","140337.95","316980.75","167342.73"
"19","205/181.0718mz/2.22min","0.0","88382.33","7849.6255","464707.12","92868.0","5731.8193"
"20","206/243.1349mz/2.25min","311795.7","263653.3","207391.83","507695.84","311071.78","354957.56"
"21","207/151.0401mz/2.28min","112174.46","114893.83","118775.25","144949.66","118499.945","115683.64"
"22","208/222.0772mz/2.34min","818667.06","649239.7","706508.5","1028182.2","957289.5","940081.5"
"23","209/144.0455mz/2.35min","1134322.8","1529922.9","914013.1","996317.1","1030267.4","888150.0"
"24","210/227.1038mz/2.35min","3848231.8","3287584.5","3230047.2","4529011.5","3922402.5","4004439.0"
"25","212/158.0822mz/2.37min","1828318.2","1765233.9","1912167.6","2247775.5","2478217.8","2017511.4"
"26","213/116.0717mz/2.37min","237953.25","262732.8","227124.1","290129.2","331202.53","288706.5"
"27","214/226.0697mz/2.37min","57712.727","65718.34","70620.15","58646.97","60469.562","72856.375"
"28","215/230.0669mz/2.38min","281491.9","146582.28","569162.7","474388.1","746994.9","535190.75"
"29","216/194.0458mz/2.39min","1008394.7","880258.56","931751.8","1349855.5","1222059.2","1277166.0"
"30","218/227.1399mz/2.4min","703846.9","1044382.94","364868.78","1078261.4","848043.1","783036.8"
"31","219/188.0353mz/2.4min","262610.22","228752.94","278123.0","317917.7","309605.7","302812.4"
"32","220/136.0404mz/2.41min","472529.47","462486.0","399410.94","531565.6","554119.7","474838.06"
"33","222/259.1298mz/2.41min","1285481.5","911272.06","1139344.6","1829587.4","1549146.2","1558965.1"
"34","223/457.1869mz/2.41min","0.0","0.0","36945.47","0.0","504740.62","0.0"
"35","224/175.0612mz/2.44min","1118792.1","636195.44","1110509.6","2097221.5","1611842.6","1374857.5"
"36","225/118.051mz/2.43min","0.0","260649.62","43292.113","314233.34","261975.19","49930.51"
"37","227/227.1038mz/2.47min","2508676.2","2110531.8","2159141.2","3036565.0","2677574.2","2684844.5"
"38","228/192.0667mz/2.47min","163705.55","170025.83","131128.92","184685.38","219639.16","200290.81"
"39","229/117.0194mz/2.51min","0.0","4698.158","6212.1357","16491.25","92193.89","17589.588"
"40","230/111.02mz/2.5min","0.0","23186.646","77343.69","46941.207","316271.44","44286.574"
"41","232/213.0881mz/2.5min","75845.19","65390.56","64601.875","95974.98","79112.21","86593.39"
"42","233/118.051mz/2.52min","0.0","70373.91","63809.93","203918.45","193238.7","119841.91"
"43","234/181.0718mz/2.51min","0.0","0.0","5535.595","276410.44","386574.8","22095.668"
"44","235/126.0019mz/2.5min","526087.6","498238.84","656017.5","702628.44","739492.25","651888.7"
"45","236/169.9918mz/2.5min","414287.28","355276.5","489161.56","557184.1","598626.4","502542.8"
"46","237/214.1085mz/2.53min","179606.6","150680.62","121577.18","190012.64","194559.19","174478.64"
"47","238/287.1248mz/2.54min","706222.3","396277.1","714045.06","624960.56","580602.06","563316.0"
"48","240/228.0878mz/2.57min","756341.0","664314.9","404302.22","369045.34","823875.2","832851.7"
"49","241/245.0931mz/2.57min","81417.99","100174.03","57272.156","102223.86","94475.01","102389.7"
"50","243/131.0713mz/2.61min","48298.773","63421.98","33981.957","64718.984","31325.479","47380.97"
"51","244/243.1713mz/2.62min","335589.7","419121.4","136899.42","468242.47","391821.34","329889.5"
"52","246/178.051mz/2.62min","597586.7","491990.5","472134.47","696506.44","669548.0","663050.8"
"53","247/238.0756mz/2.62min","357451.22","682753.06","314668.56","394155.7","519129.72","418129.47"
"54","248/360.1776mz/2.63min","41165.62","7090.4233","41698.816","64104.477","43017.695","57560.86"
"55","249/229.1193mz/2.63min","460689.97","353183.6","297997.9","481355.6","494458.5","452405.3"
"56","250/236.0929mz/2.64min","80319.44","65900.336","64573.55","96607.95","84792.07","81426.3"
"57","251/202.1085mz/2.65min","459944.16","472625.3","413619.75","700902.75","509505.62","524350.5"
"58","252/181.0718mz/2.61min","183037.02","0.0","5535.595","59587.164","74400.97","15201.383"
"59","253/457.1868mz/2.67min","0.0","0.0","17128.979","0.0","633377.6","0.0"
"60","254/130.0873mz/2.66min","2964133.0","2402479.8","2596846.0","3372772.8","3263963.0","3091886.2"
"61","255/241.1194mz/2.66min","3031254.2","2654453.0","2715671.8","3664443.0","3021277.5","3135312.0"
"62","256/173.0931mz/2.66min","578107.0","493154.12","548014.2","775243.1","709060.56","678508.8"
"63","257/275.1037mz/2.68min","259420.53","210319.55","238605.03","335660.94","271748.88","285219.97"
"64","258/300.1563mz/2.71min","703999.8","485325.3","548870.06","834255.9","970657.1","864875.1"
"65","259/243.0597mz/2.75min","163934.34","90389.24","121319.11","89124.84","109453.23","89935.03"
"66","260/273.1456mz/2.77min","617942.3","343253.8","134917.94","431123.8","229943.9","207296.53"
"67","261/339.1536mz/2.74min","292753.78","452634.53","452869.9","208763.69","309578.38","384083.75"
"68","263/158.0822mz/2.73min","10356726.0","8738520.0","9436480.0","8324480.5","11028184.0","9589888.0"
"69","264/226.0698mz/2.81min","343167.8","486590.28","522175.97","273314.16","307262.03","615088.5"
"70","265/208.0073mz/2.74min","586219.6","474160.2","395234.97","782361.5","667721.7","716119.7"
"71","267/243.1712mz/2.73min","330586.03","352127.7","80205.23","374341.38","331941.28","318537.4"
"72","268/259.1298mz/2.74min","2037500.6","1541911.8","1492008.9","2270291.0","1991572.4","1988114.9"
"73","270/257.1506mz/2.76min","135746.03","95735.49","116602.83","187491.4","152659.52","150432.75"
"74","271/107.0502mz/2.76min","552512.7","500641.3","457783.1","736142.1","576741.8","568576.44"
"75","272/168.0302mz/2.76min","413154.28","297372.06","479714.5","460993.9","518312.25","467368.4"
"76","273/360.1775mz/2.76min","574933.06","385329.5","401196.12","709652.06","787771.56","727859.56"
"77","275/151.0401mz/2.77min","379430.2","361607.84","289071.16","525477.6","424283.66","414732.75"
"78","276/483.2457mz/2.8min","57600.29","122353.74","91236.125","77063.46","49338.246","56758.168"
"79","277/229.1193mz/2.77min","1071317.9","816333.94","771753.1","1117381.2","1124140.4","1056357.1"
"80","280/192.0666mz/2.78min","198011.17","173240.45","160429.67","183448.45","250793.34","207794.05"
"81","282/243.0597mz/2.8min","173242.53","152619.64","225416.16","159518.9","95496.66","83512.695"
"82","283/131.0713mz/2.78min","2635607.2","2287156.5","2581735.0","3149727.5","1783592.5","2614587.2"
"83","284/116.0506mz/2.79min","579471.06","533882.6","503076.97","584678.2","582744.9","571467.5"
"84","285/188.0353mz/2.79min","255086.11","240752.45","258941.02","269240.3","268137.16","261265.16"
"85","286/172.0979mz/2.8min","274846.53","253183.5","247923.86","295046.12","265741.12","268052.94"
"86","287/158.0822mz/2.81min","16140113.0","13992656.0","14843354.0","13215311.0","15087323.0","14986698.0"
"87","288/339.1536mz/2.81min","340754.22","526496.2","422900.0","262472.84","366086.4","440122.53"
"88","291/243.1712mz/2.78min","90005.06","230432.89","118117.74","139635.88","249797.61","257546.47"
"89","292/384.1427mz/2.84min","119126.79","111526.87","86832.59","100875.23","115020.24","110045.5"
"90","293/273.1456mz/2.83min","971221.3","548493.9","561010.4","1072138.8","934393.4","829150.0"
"91","295/118.051mz/2.84min","308257.38","21806.055","70652.54","37394.203","49543.33","35917.312"
"92","297/243.1348mz/2.86min","939040.3","753862.44","511201.06","917518.94","811915.0","812657.25"
"93","298/483.2457mz/2.86min","251351.03","169377.56","160470.47","338647.34","253008.7","264310.2"
"94","299/241.1194mz/2.86min","8719396.0","6975125.0","7035724.5","9562330.0","8222950.0","8491050.0"
"95","300/293.1143mz/2.86min","668926.0","452183.38","491722.7","658181.75","747812.7","706277.7"
"96","301/255.1349mz/2.87min","214599.08","167421.02","183979.55","240002.92","226726.31","210398.53"
"97","302/159.0662mz/2.87min","359835.75","272527.34","274901.0","376464.25","379408.84","366961.66"
"98","303/426.1897mz/2.88min","481859.12","500399.06","275540.94","343441.56","422275.75","369653.4"
"99","304/341.1004mz/2.91min","336308.22","302784.1","258234.2","299237.62","375033.94","291318.94"
"100","306/227.1037mz/2.9min","151110.27","115161.68","143404.52","161943.31","176360.39","156044.44"
