"","filter","Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML","NEG_TJGIp4_1_Run59.mzML","NEG_TJGIp4_2_Run88.mzML","NEG_TJGIp4_3_Run183.mzML"
"234/181.0718mz/2.51min",13815.6315,1107.119,1107.119,5535.595,276410.44,386574.8,22095.668
"235/126.0019mz/2.5min",653953.1,526087.6,498238.84,656017.5,702628.44,739492.25,651888.7
"236/169.9918mz/2.5min",495852.18,414287.28,355276.5,489161.56,557184.1,598626.4,502542.8
"237/214.1085mz/2.53min",177042.62,179606.6,150680.62,121577.18,190012.64,194559.19,174478.64
"238/287.1248mz/2.54min",602781.31,706222.3,396277.1,714045.06,624960.56,580602.06,563316
"240/228.0878mz/2.57min",710327.95,756341,664314.9,404302.22,369045.34,823875.2,832851.7
"241/245.0931mz/2.57min",97324.52,81417.99,100174.03,57272.156,102223.86,94475.01,102389.7
"243/131.0713mz/2.61min",47839.8715,48298.773,63421.98,33981.957,64718.984,31325.479,47380.97
"244/243.1713mz/2.62min",363705.52,335589.7,419121.4,136899.42,468242.47,391821.34,329889.5
"246/178.051mz/2.62min",630318.75,597586.7,491990.5,472134.47,696506.44,669548,663050.8
"247/238.0756mz/2.62min",406142.585,357451.22,682753.06,314668.56,394155.7,519129.72,418129.47
"248/360.1776mz/2.63min",42358.2555,41165.62,7090.4233,41698.816,64104.477,43017.695,57560.86
"249/229.1193mz/2.63min",456547.635,460689.97,353183.6,297997.9,481355.6,494458.5,452405.3
"250/236.0929mz/2.64min",80872.87,80319.44,65900.336,64573.55,96607.95,84792.07,81426.3
"251/202.1085mz/2.65min",491065.46,459944.16,472625.3,413619.75,700902.75,509505.62,524350.5
"252/181.0718mz/2.61min",37394.2735,183037.02,1107.119,5535.595,59587.164,74400.97,15201.383
"253/457.1868mz/2.67min",3425.7958,3425.7958,3425.7958,17128.979,3425.7958,633377.6,3425.7958
"254/130.0873mz/2.66min",3028009.6,2964133,2402479.8,2596846,3372772.8,3263963,3091886.2
"255/241.1194mz/2.66min",3026265.85,3031254.2,2654453,2715671.8,3664443,3021277.5,3135312
"256/173.0931mz/2.66min",628307.9,578107,493154.12,548014.2,775243.1,709060.56,678508.8
"257/275.1037mz/2.68min",265584.705,259420.53,210319.55,238605.03,335660.94,271748.88,285219.97
"258/300.1563mz/2.71min",769127.85,703999.8,485325.3,548870.06,834255.9,970657.1,864875.1
"259/243.0597mz/2.75min",99921.235,163934.34,90389.24,121319.11,89124.84,109453.23,89935.03
"260/273.1456mz/2.77min",286598.85,617942.3,343253.8,134917.94,431123.8,229943.9,207296.53
"261/339.1536mz/2.74min",346831.065,292753.78,452634.53,452869.9,208763.69,309578.38,384083.75
"263/158.0822mz/2.73min",9513184,10356726,8738520,9436480,8324480.5,11028184,9589888
"264/226.0698mz/2.81min",414879.04,343167.8,486590.28,522175.97,273314.16,307262.03,615088.5
"265/208.0073mz/2.74min",626970.65,586219.6,474160.2,395234.97,782361.5,667721.7,716119.7
"267/243.1712mz/2.73min",331263.655,330586.03,352127.7,80205.23,374341.38,331941.28,318537.4
"268/259.1298mz/2.74min",1989843.65,2037500.6,1541911.8,1492008.9,2270291,1991572.4,1988114.9
"270/257.1506mz/2.76min",143089.39,135746.03,95735.49,116602.83,187491.4,152659.52,150432.75
"271/107.0502mz/2.76min",560544.57,552512.7,500641.3,457783.1,736142.1,576741.8,568576.44
"272/168.0302mz/2.76min",464181.15,413154.28,297372.06,479714.5,460993.9,518312.25,467368.4
"273/360.1775mz/2.76min",642292.56,574933.06,385329.5,401196.12,709652.06,787771.56,727859.56
"275/151.0401mz/2.77min",397081.475,379430.2,361607.84,289071.16,525477.6,424283.66,414732.75
"276/483.2457mz/2.8min",67331.875,57600.29,122353.74,91236.125,77063.46,49338.246,56758.168
"277/229.1193mz/2.77min",1063837.5,1071317.9,816333.94,771753.1,1117381.2,1124140.4,1056357.1
"280/192.0666mz/2.78min",190729.81,198011.17,173240.45,160429.67,183448.45,250793.34,207794.05
"282/243.0597mz/2.8min",156069.27,173242.53,152619.64,225416.16,159518.9,95496.66,83512.695
"283/131.0713mz/2.78min",2598161.1,2635607.2,2287156.5,2581735,3149727.5,1783592.5,2614587.2
"284/116.0506mz/2.79min",575469.28,579471.06,533882.6,503076.97,584678.2,582744.9,571467.5
"285/188.0353mz/2.79min",260103.09,255086.11,240752.45,258941.02,269240.3,268137.16,261265.16
"286/172.0979mz/2.8min",266897.03,274846.53,253183.5,247923.86,295046.12,265741.12,268052.94
"287/158.0822mz/2.81min",14915026,16140113,13992656,14843354,13215311,15087323,14986698
"288/339.1536mz/2.81min",394493.2,340754.22,526496.2,422900,262472.84,366086.4,440122.53
"291/243.1712mz/2.78min",185034.385,90005.06,230432.89,118117.74,139635.88,249797.61,257546.47
"292/384.1427mz/2.84min",110786.185,119126.79,111526.87,86832.59,100875.23,115020.24,110045.5
"293/273.1456mz/2.83min",881771.7,971221.3,548493.9,561010.4,1072138.8,934393.4,829150
"295/118.051mz/2.84min",43468.7665,308257.38,21806.055,70652.54,37394.203,49543.33,35917.312
"297/243.1348mz/2.86min",812286.125,939040.3,753862.44,511201.06,917518.94,811915,812657.25
"298/483.2457mz/2.86min",252179.865,251351.03,169377.56,160470.47,338647.34,253008.7,264310.2
"299/241.1194mz/2.86min",8357000,8719396,6975125,7035724.5,9562330,8222950,8491050
"300/293.1143mz/2.86min",663553.875,668926,452183.38,491722.7,658181.75,747812.7,706277.7
"301/255.1349mz/2.87min",212498.805,214599.08,167421.02,183979.55,240002.92,226726.31,210398.53
"302/159.0662mz/2.87min",363398.705,359835.75,272527.34,274901,376464.25,379408.84,366961.66
"303/426.1897mz/2.88min",395964.575,481859.12,500399.06,275540.94,343441.56,422275.75,369653.4
"304/341.1004mz/2.91min",301010.86,336308.22,302784.1,258234.2,299237.62,375033.94,291318.94
"306/227.1037mz/2.9min",153577.355,151110.27,115161.68,143404.52,161943.31,176360.39,156044.44
"307/384.1427mz/2.92min",332001.875,363994.97,333187.22,214100.08,330816.53,361926.56,330003.8
"308/130.0873mz/2.91min",1414932.05,1443396,1059819.4,1174779,1452720.1,1477839.1,1386468.1
"309/172.0979mz/2.92min",12468429.5,12052883,9004134,22610090,12815879,12943574,12120980
"310/240.0853mz/2.92min",422932.19,364629.56,384759.4,923733.6,817009.44,417321.1,428543.28
"311/367.1848mz/2.91min",305005.725,236999.95,285713.66,298677.2,432292.56,311334.25,530238.75
