"","Filename","2024_POS_Anid-EV-gpdA_CTRL_1_Run188.mzML","2024_POS_Anid-EV-gpdA_CTRL_2_Run208.mzML","2024_POS_Anid-EV-gpdA_CTRL_3_Run238.mzML","2024_POS_Anid-TJGIp11_1_Run167.mzML","2024_POS_Anid-TJGIp11_2_Run205.mzML","2024_POS_Anid-TJGIp11_3_Run252.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"66","499/218.1281mz/2.27min","4484799.5","5246766.5","4342598.0","4168066.0","4603571.0","5050437.5"
"67","500/217.1247mz/2.27min","289853.34","356101.22","296557.7","270425.75","322826.1","302872.78"
"68","501/311.1229mz/2.32min","12625.1875","790118.25","24296.514","20403.398","32155.04","583249.6"
"69","502/196.0969mz/2.25min","72357.125","12027.899","84548.664","456727.16","215386.03","171050.47"
"70","503/200.1045mz/2.27min","3386623.2","3899763.0","3312418.8","3435080.5","3311324.8","3863287.5"
"71","504/206.1005mz/2.26min","411973.9","145532.02","552030.4","701176.5","451145.56","290886.84"
"72","505/229.1547mz/2.27min","121901.95","26253.457","105223.26","258275.45","139304.39","128134.12"
"73","506/189.0739mz/2.27min","473836.16","229976.23","621110.8","776037.3","543058.1","361151.2"
"74","507/127.0389mz/2.26min","3267688.2","1725964.8","4606239.5","5919399.5","4243208.5","4070819.5"
"75","508/340.1864mz/2.27min","276561.28","0.0","344550.9","395442.97","713964.2","34692.043"
"76","509/358.1972mz/2.26min","482946.9","3738.665","596848.1","619630.94","1199604.8","132994.34"
"77","511/247.1288mz/2.31min","246411.06","82946.086","621547.2","720938.4","421317.62","26009.078"
"78","512/292.1655mz/2.28min","13012629.0","25541.371","8849565.0","10857797.0","11432488.0","1299543.9"
"79","513/195.1227mz/2.28min","2994633.5","2401309.2","2226063.0","2177748.5","2264956.8","2376441.2"
"80","514/218.1081mz/2.28min","438679.2","546638.7","422937.97","454122.44","382031.4","448713.06"
"81","515/217.1046mz/2.29min","5290632.5","6639692.0","5127948.5","5568897.0","4780562.0","5457949.0"
"82","516/322.176mz/2.29min","846602.2","0.0","479552.38","486701.38","473016.1","31958.785"
"83","517/202.1072mz/2.37min","189658.38","2549355.8","585519.9","1111186.1","649732.1","1104218.2"
"84","519/116.0786mz/2.3min","40711.44","867101.0","77435.49","50695.12","78306.8","845146.06"
"85","520/115.0753mz/2.3min","1324203.9","18243468.0","2426079.2","2679954.2","2381824.5","11498180.0"
"86","521/208.0969mz/2.3min","393408.97","49867.28","17513.084","394929.38","148535.95","53304.44"
"87","522/245.1495mz/2.31min","88868.83","1927020.9","87304.47","172186.25","228620.1","514228.62"
"88","523/135.0416mz/2.31min","791193.7","3884266.0","1810119.9","2702116.2","1871146.6","2380149.0"
"89","524/408.2127mz/2.31min","287499.44","0.0","352649.0","358725.28","319329.1","3444.0745"
"90","525/95.0491mz/2.31min","67836.234","2316544.2","887087.25","1375201.2","845190.9","1412610.1"
"91","526/113.0597mz/2.31min","35816188.0","270747040.0","100486120.0","150261840.0","100083780.0","170301090.0"
"92","528/114.063mz/2.31min","2025948.8","18051572.0","5618607.0","8440930.0","5573897.5","9148850.0"
"93","530/225.1121mz/2.31min","0.0","1282319.5","135381.12","227929.78","147325.88","225230.33"
"94","532/231.1703mz/2.32min","267242.12","261081.22","362283.34","544082.2","343469.47","195024.47"
"95","533/267.1315mz/2.32min","58754.07","1923990.9","179068.0","254985.53","173046.45","541580.8"
"96","537/139.123mz/2.33min","0.0","4333.92","31247.797","1058040.1","24714.195","34001.465"
"97","538/183.1126mz/2.33min","16365.311","12713.384","59210.0","1144422.2","61182.332","90385.35"
"98","539/244.2012mz/2.33min","545096.44","764936.1","528767.2","451660.94","556037.75","559076.44"
"99","541/190.0861mz/2.33min","209009.11","39353.758","104339.66","1069814.9","627268.06","184135.88"
"100","544/269.1114mz/2.29min","44935.36","455586.25","222388.16","160226.14","115457.125","162499.78"
