"","filter","Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML","Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML","Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML","POS_D5-227-C4-a_Run313.mzML","POS_D5-227-C4-b_Run316.mzML","POS_D5-227-C4-c_Run319.mzML"
"32/217.1048mz/2.25min",970729.225,873157.44,1119584.6,874888.25,1093876,1045753.25,895705.2
"33/140.0684mz/2.42min",80731.87,38273.098,86922.38,86683.18,74780.56,44762.83,108542.72
"34/316.2117mz/2.51min",196091.425,378905,172567.9,192132.47,168050.2,200050.38,219273.7
"35/316.2117mz/2.67min",289471.5,483951.94,316461.5,108783.01,172499.8,360925.62,262481.5
"36/89.0598mz/2.74min",451103.705,1227202.5,457790.88,361792.6,179913.94,444416.53,877115.06
"37/272.1856mz/2.75min",313439.125,457010.9,316054.78,286595.44,208603.23,499106.94,310823.47
"38/217.1072mz/2.8min",359304.485,302399.5,251867.11,562677.25,416209.47,282754.12,446351.94
"39/257.0996mz/2.8min",966198.65,635531,551323.1,1194898,1161320.4,771076.9,1216808
"40/138.0551mz/2.84min",658988.42,729429,699165.94,635383.44,481869.78,526436.25,682593.4
"41/120.0445mz/2.84min",2294966.1,2561646,2504766,2225040,1660799.6,1829577.2,2364892.2
"42/171.0993mz/2.86min",1650838.54,498830.28,483364.94,267178.84,2923744.8,2802846.8,3016733.8
"44/345.1519mz/3.14min",259261.84,252543.84,184725.34,539637.94,423075.3,173772.1,265979.84
"45/172.1333mz/3.19min",1182403.85,1050209.2,1000862.06,1013033.6,1317225.6,1314598.5,1344955.6
"46/194.1154mz/3.19min",6399732.5,5550690,5608868.5,5752086.5,7047378.5,8388168.5,8329619
"47/212.1259mz/3.19min",712298.7,552988.1,538453.6,551343.1,871609.3,903809,904358.8
"48/217.1073mz/3.35min",79848.865,87067.195,85421.49,84089.23,75608.5,70349.48,39871.695
"49/239.0891mz/3.35min",740506.325,585025.5,621064.56,785703.9,964848.94,872212.25,695308.75
"50/219.0571mz/3.53min",631837.525,472468.16,704063.7,571939.8,691735.25,829306.06,515062.44
"51/233.0727mz/3.56min",135195.177,111962.734,61915.23,174515.22,170132.69,73640.56,158427.62
"52/255.0546mz/3.56min",131454.2825,103437.08,40652.473,154486.44,220868.98,108422.125,218942.19
