"","Filename","Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML","Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML","Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML","POS_D5-227-C4-a_Run313.mzML","POS_D5-227-C4-b_Run316.mzML","POS_D5-227-C4-c_Run319.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","32/217.1048mz/2.25min","873157.44","1119584.6","874888.25","1093876.0","1045753.25","895705.2"
"3","33/140.0684mz/2.42min","38273.098","86922.38","86683.18","74780.56","44762.83","108542.72"
"4","34/316.2117mz/2.51min","378905.0","172567.9","192132.47","168050.2","200050.38","219273.7"
"5","35/316.2117mz/2.67min","483951.94","316461.5","108783.01","172499.8","360925.62","262481.5"
"6","36/89.0598mz/2.74min","1227202.5","457790.88","361792.6","179913.94","444416.53","877115.06"
"7","37/272.1856mz/2.75min","457010.9","316054.78","286595.44","208603.23","499106.94","310823.47"
"8","38/217.1072mz/2.8min","302399.5","251867.11","562677.25","416209.47","282754.12","446351.94"
"9","39/257.0996mz/2.8min","635531.0","551323.1","1194898.0","1161320.4","771076.9","1216808.0"
"10","40/138.0551mz/2.84min","729429.0","699165.94","635383.44","481869.78","526436.25","682593.4"
"11","41/120.0445mz/2.84min","2561646.0","2504766.0","2225040.0","1660799.6","1829577.2","2364892.2"
"12","42/171.0993mz/2.86min","498830.28","483364.94","267178.84","2923744.8","2802846.8","3016733.8"
"13","44/345.1519mz/3.14min","252543.84","184725.34","539637.94","423075.3","173772.1","265979.84"
"14","45/172.1333mz/3.19min","1050209.2","1000862.06","1013033.6","1317225.6","1314598.5","1344955.6"
"15","46/194.1154mz/3.19min","5550690.0","5608868.5","5752086.5","7047378.5","8388168.5","8329619.0"
"16","47/212.1259mz/3.19min","552988.1","538453.6","551343.1","871609.3","903809.0","904358.8"
"17","48/217.1073mz/3.35min","87067.195","85421.49","84089.23","75608.5","70349.48","39871.695"
"18","49/239.0891mz/3.35min","585025.5","621064.56","785703.9","964848.94","872212.25","695308.75"
"19","50/219.0571mz/3.53min","472468.16","704063.7","571939.8","691735.25","829306.06","515062.44"
"20","51/233.0727mz/3.56min","111962.734","61915.23","174515.22","170132.69","73640.56","158427.62"
"21","52/255.0546mz/3.56min","103437.08","40652.473","154486.44","220868.98","108422.125","218942.19"
"22","53/201.0597mz/3.65min","183206.77","150574.69","383144.03","362590.8","267916.2","383928.12"
"23","54/217.1072mz/3.66min","123977.27","96024.46","165238.33","246992.11","161557.77","251932.02"
"24","55/385.1467mz/3.66min","311265.3","259329.77","648033.3","631451.06","453251.5","678267.25"
"25","56/345.1542mz/3.66min","50080.805","46512.25","134678.56","119824.375","77639.13","105919.195"
"26","57/140.0683mz/3.72min","70989.58","104845.33","104798.42","119944.78","61316.28","124868.28"
"27","58/322.0967mz/3.77min","60915.984","55392.29","106577.98","117616.06","66957.68","96891.7"
"28","59/302.1304mz/3.8min","955356.5","634986.25","1293005.6","1200070.9","653919.56","1038155.1"
"29","60/324.1124mz/3.8min","2224620.2","1698226.6","3029360.2","3698251.5","2170226.0","3290217.8"
"30","61/468.2439mz/3.85min","326846.06","266037.78","521222.72","167217.89","113728.23","185092.19"
"31","62/217.1073mz/3.85min","77007.41","56348.49","150358.2","124556.414","81030.15","131062.21"
"32","63/245.0859mz/3.85min","520364.78","465661.06","900811.2","832593.25","617000.2","888676.2"
"33","64/433.2066mz/3.85min","140299.77","108370.22","256059.61","223665.48","150550.61","235979.0"
"34","65/451.2172mz/3.85min","556432.06","477445.4","979511.1","842133.4","593124.5","892105.2"
"35","66/473.1993mz/3.85min","2087157.5","1775188.2","3451053.8","2892090.0","2104210.0","3114405.2"
"36","67/300.1148mz/3.9min","959815.4","733447.1","1374672.9","1111181.5","718099.6","931709.6"
"37","68/322.0967mz/3.9min","789315.5","610660.44","1131831.0","1291675.6","847295.0","1114873.1"
"38","69/203.0622mz/3.91min","159196.42","175056.88","221874.0","148479.1","138514.08","135928.48"
"39","70/561.2516mz/4.0min","252184.88","131366.05","417414.56","373809.84","208791.33","353407.8"
"40","71/222.1465mz/4.06min","555436.4","555364.0","546055.1","852409.94","875288.44","892642.8"
"41","72/325.1256mz/4.24min","856377.1","824488.94","809217.3","1032419.8","956689.5","940684.1"
"42","73/233.0727mz/4.36min","430908.72","316282.84","681919.6","581928.8","366116.72","538303.8"
"43","74/255.0545mz/4.36min","429370.25","324965.4","696547.7","867419.94","560720.8","825420.75"
"44","75/266.1726mz/4.37min","88478.78","83416.31","90807.68","153164.1","220705.05","112727.37"
"45","76/226.1802mz/4.37min","138396.81","117282.11","127039.375","193092.44","290968.03","147773.64"
"46","77/244.1908mz/4.37min","51615.07","45961.19","52564.145","81524.625","129815.21","58247.633"
"47","78/236.1621mz/4.45min","82167.91","66461.484","77752.49","116044.875","134111.28","128275.5"
"48","80/689.299mz/4.5min","553162.1","431136.62","874201.06","705779.7","508476.62","714042.1"
"49","81/450.2336mz/4.54min","2713164.2","2280884.2","3885283.5","1813992.4","1325019.6","1544219.2"
"50","82/433.2069mz/4.54min","5378270.0","4720300.0","8173895.5","8606180.0","6439620.0","7498083.0"
"51","83/236.0806mz/4.55min","2251770.5","2062183.1","3239293.5","3583265.8","2859071.5","3218828.2"
"52","84/455.1888mz/4.55min","36426240.0","33078956.0","46258470.0","46884028.0","40627910.0","43246900.0"
"53","86/244.0668mz/4.55min","392515.88","343792.88","535368.5","429815.97","346638.25","390942.72"
"54","87/230.9846mz/4.69min","722326.3","755746.25","758790.56","864620.25","865214.4","801744.94"
"55","88/211.9708mz/4.69min","3885960.8","4098365.8","4073209.0","4788912.5","4630215.0","4470155.0"
"56","90/229.9813mz/4.69min","8713632.0","9201769.0","9118387.0","10523054.0","10450190.0","9799658.0"
"57","91/231.9792mz/4.69min","8553489.0","9007000.0","8944106.0","10332395.0","10220990.0","9606152.0"
"58","92/232.9824mz/4.69min","706129.5","762901.06","750166.3","862995.44","861966.06","815228.1"
"59","93/469.1091mz/4.69min","407673.62","341365.66","429135.84","552341.4","427882.66","479797.53"
"60","94/447.1271mz/4.69min","489896.84","396407.16","514181.6","561403.2","428942.38","482258.3"
"61","95/247.0883mz/4.7min","456514.1","474250.84","599881.7","528117.2","465944.0","503333.06"
"62","96/269.0702mz/4.71min","414863.53","436035.22","552757.1","654576.25","571656.1","620908.94"
"63","97/568.2964mz/4.72min","768481.94","756033.0","653115.9","302360.4","293207.4","276538.28"
"64","98/573.2518mz/4.73min","4522530.0","4588901.5","4186200.5","4587822.0","4274630.0","4258534.0"
"65","99/228.1959mz/4.82min","216914.27","135601.77","210690.34","295555.28","426254.6","361673.84"
"66","100/250.1778mz/4.82min","560718.4","393789.3","574866.4","812627.5","1112639.0","947297.25"
"67","101/270.1465mz/4.85min","496937.72","353035.2","666895.4","813759.5","494409.72","807077.06"
"68","102/470.1854mz/4.9min","47850.35","41782.254","58176.324","69595.08","50052.66","62961.035"
"69","103/448.2033mz/4.9min","95138.88","83090.31","121074.984","144730.98","104898.445","127935.1"
"70","104/272.2583mz/5.14min","187945.6","198759.75","187495.86","400645.34","431603.56","450244.4"
"71","105/300.2896mz/5.2min","45915.094","24881.229","57127.92","100373.11","92282.484","97031.74"
"72","106/318.3001mz/5.23min","2385896.0","2681978.2","2260510.0","1871236.9","2050777.5","2516322.2"
"73","107/344.1303mz/5.23min","716908.6","616682.4","1003180.8","1150034.1","896911.4","964512.25"
"74","108/649.3066mz/5.23min","1071198.9","881551.06","1451975.6","1681264.9","1261199.2","1382605.0"
"75","109/666.3332mz/5.23min","998123.44","802883.44","1186714.6","695218.44","536106.75","573566.8"
"76","110/671.2887mz/5.24min","10904982.0","9207097.0","13314125.0","14799092.0","12067417.0","12901437.0"
"77","113/203.0621mz/5.28min","368459.94","289328.8","399944.6","385308.47","293564.66","343460.16"
"78","114/298.274mz/5.3min","593503.06","598996.5","555201.94","924682.6","961921.6","910681.9"
"79","115/338.2663mz/5.39min","171246.66","188109.28","177548.64","486210.2","501721.75","495358.16"
"80","116/256.2999mz/5.42min","11307937.0","11312143.0","11063268.0","3516186.5","3529491.2","3504678.2"
"81","117/284.6054mz/5.43min","601384.6","552727.4","640882.44","836534.7","697585.75","738411.6"
"82","118/448.2035mz/5.43min","7044495.5","6236443.5","7188043.0","7487972.0","6073702.0","6778436.5"
"83","119/470.1855mz/5.43min","12976840.0","11808889.0","13135237.0","15616253.0","13508541.0","14580292.0"
"84","120/917.3816mz/5.43min","682053.44","563541.94","722467.9","980033.25","701048.6","843330.94"
"85","121/264.0921mz/5.43min","458984.72","398626.7","472174.56","628145.8","516741.03","553345.7"
"86","122/273.0974mz/5.43min","265238.6","237976.38","284715.2","363460.22","289078.34","324697.88"
"87","123/398.2415mz/5.45min","0.0","0.0","0.0","0.0","0.0","420581.88"
"88","124/304.2998mz/5.45min","420237.8","1600779.4","781189.0","519355.53","801461.5","630343.6"
"89","125/284.2947mz/5.47min","122752.555","143970.66","93965.07","110115.84","118604.31","159161.1"
"90","126/302.3053mz/5.47min","4338535.0","4959930.0","3558313.5","3988916.8","4488032.0","5258165.0"
"91","127/303.3086mz/5.47min","842388.94","950029.44","669317.3","761576.8","859897.94","1030469.4"
"92","129/338.2664mz/5.49min","146732.7","143734.78","136945.6","467210.53","502652.88","502673.06"
"93","130/322.2714mz/5.57min","458712.03","531342.1","355391.0","478249.28","553330.44","583871.8"
"94","131/300.2897mz/5.57min","23287200.0","25048578.0","17675370.0","23112948.0","25557102.0","27810996.0"
"95","132/437.1932mz/5.57min","2009082.9","2349523.8","2140853.8","2088710.1","2042118.5","1789722.2"
"96","133/344.3158mz/5.6min","1565503.1","1719950.9","1235153.4","1206889.2","1338993.9","1400753.2"
"97","135/195.1017mz/5.61min","763165.75","753661.0","792258.3","866589.56","864088.2","848832.4"
"98","137/346.3314mz/5.65min","4567720.0","4998122.5","4014102.8","2579394.8","3027374.5","4394263.5"
"99","138/347.3348mz/5.65min","972210.75","1045634.9","693086.06","529249.06","629037.6","926036.94"
"100","139/105.0335mz/5.68min","1846915.0","2467678.5","2597630.5","2034567.6","1991553.8","2609961.8"
