row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp3_2_Run127.mzML Peak area,NEG_TJGIp3_3_Run165.mzML Peak area,NEG_TJGIp3_1_Run41.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,
51,89.0243038846239,0.4929619,,,,,,,,,,,773420.06,1272880.6,627703.56,1317736.0,440990.25,735227.44,
4,92.92795287423324,0.34281614,,,,4,,,,,,,729293.3,782267.8,856435.56,1063920.2,894798.6,1000870.56,
5,94.92502627481275,0.34281614,,,,4,,,,,,,488117.1,528303.44,580703.94,697151.94,583884.56,659705.4,
688,96.96004364941324,5.9012947,,,,,,,,,,,151765.19,46635.914,165842.38,169731.31,320663.62,1251070.6,
2056,96.96007528591726,10.994061,,,,,,,,,,,4037471.2,4002435.2,3628094.8,3948840.0,3910449.2,3078400.2,
3,96.96012986532726,0.32801452,,,,,,,,,,,6626747.0,5020431.0,8693693.0,3073985.5,1.05207E7,1.3735668E7,
35,96.96949979505202,0.39719948,,,,12,,,,,,,5797339.0,5981307.5,8218160.0,5932888.5,8238824.0,7692605.0,
1972,99.92575237976071,10.201917,,,,,,,,,,,1978894.4,2149814.2,2467629.8,2357819.2,2584446.2,2707960.8,
1836,99.92576537576217,8.455985,,,,,,,,,,,3.305373E7,2.4977962E7,3.2841748E7,4987146.5,6111562.0,4.312617E7,
1655,99.92577234337097,8.145661,,,,,,,,,,,5983350.0,4077860.8,5535646.5,3.1503694E7,3.4104164E7,8149373.5,
1821,100.92593385031155,8.444055,,,,,,,,,,,736201.94,530121.0,423709.66,545988.06,451309.8,4942311.0,
1506,100.93358149753396,7.715571,,,,55,,,,,,,3139535.8,5946524.0,4238576.5,4139555.5,4012904.5,5677018.5,
1693,100.93359077495889,8.13486,,,,17,,,,,,,2.2087788E7,2435695.8,5908635.0,1.6547613E7,1.4243608E7,1.1269412E7,
44,101.02439440111063,0.4512098,,,,,,,,,,,157103.75,1185744.4,96932.375,420220.06,235903.69,124437.65,
33,103.00367599338222,0.39131823,,,,12,,,,,,,607409.75,750269.9,675641.5,1361157.9,1058081.2,1063521.4,
1822,106.04099685313902,8.417531,,,,,,,,,,,966660.6,103418.67,4999.754,22998.25,404567.88,0,
1960,106.04103931699596,10.16991,,,,,,,,,,,1758943.8,135779.69,13870.822,103950.016,2485600.2,28653.504,
1943,106.04104552694177,9.867805,,,,,,,,,,,2180447.5,58641.266,22538.371,54827.957,1434502.8,28956.605,
1936,106.04105198275755,9.704119,,,,,,,,,,,62291.86,63519.004,8054.3438,32517.996,374948.34,9931.633,
1951,106.04106223579964,10.028893,,,,,,,,,,,138560.2,45971.15,12851.735,69418.38,476928.7,28956.605,
1847,106.04106295759833,8.545574,,,,,,,,,,,1128314.9,33245.316,8975.744,22598.383,694467.6,21196.8,
1922,106.04107200575571,9.510402,,,,,,,,,,,279137.7,87922.88,18690.367,39969.29,221833.27,8401.852,
1919,106.04106573951238,9.446407,,,,,,,,,,,504887.28,80769.266,18690.367,39969.29,712484.7,13906.945,
102,107.05025624222058,2.7560778,,,,,,,,,,,385297.7,501406.34,545015.3,798886.56,649416.2,595567.7,
2000,112.98559570481639,10.246993,,,,,,,,,,,6368325.0,5368252.5,6353702.0,6271658.5,8357584.0,8260289.5,
2034,112.98562809312568,10.465877,,,,,,,,,,,3551718.8,3948680.0,5076407.0,4409410.0,4733209.0,4527687.0,
1983,113.92619323786981,10.207955,,,,,,,,,,,535920.44,403301.47,471081.66,464608.16,494704.1,509037.97,
1515,113.92620830449204,7.7238593,,,,55,,,,,,,1158471.9,3252197.2,1201655.4,1003339.44,1403445.8,1677141.2,
1835,113.92621572383986,8.461225,,,,,,,,,,,1434959.5,1010368.3,3152395.0,1159907.0,732813.8,1891957.0,
1733,113.92623278777076,8.138154,,,,17,,,,,,,8066906.0,888904.94,2141371.2,6382793.5,5106408.5,3205554.2,
1284,114.9340352417184,7.4453278,,,,5,,,,,,,581358.4,737720.2,451003.94,984459.1,687006.4,376597.53,
1441,114.93406112653868,7.682096,,,,115,,,,,,,1865781.6,1224885.6,1068891.9,2126714.5,1542290.0,1832431.9,
1721,114.93407906368054,8.137284,,,,,,,,,,,1042928.9,708429.0,2002806.2,1058015.1,2845032.8,5101859.5,
46,115.00367239916716,0.4441484,,,,,,,,,,,927420.5,1218950.4,1124842.5,1590499.5,1136219.5,1034208.5,
55,115.00369089913814,0.58934426,,,,,,,,,,,833086.5,2562940.8,1014602.4,1799291.5,992917.8,966245.1,
