Filename,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML,NEG_TJGIp3_1_Run41.mzML,NEG_TJGIp3_2_Run127.mzML,NEG_TJGIp3_3_Run165.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
78/218.1033mz/2.11min,1986247.5,2228749.8,2710956.0,1977195.9,1755513.2,2245025.8
79/145.0506mz/2.14min,1106338.2,1026941.06,1326368.9,789837.0,779420.4,982891.9
80/118.051mz/2.24min,0.0,390735.03,151663.38,150910.52,56413.656,122379.305
84/158.0822mz/2.37min,233479.2,274345.84,332609.88,305821.7,269430.84,342602.72
85/194.0458mz/2.39min,1609258.8,1813843.2,2139740.0,2011866.4,1803289.1,2265369.5
86/144.0454mz/2.4min,1157537.1,1319045.4,1455662.1,1327828.5,953533.1,1160964.1
87/188.0353mz/2.4min,1692900.9,2059580.0,2387149.5,1981499.6,1523954.5,1883684.1
88/136.0404mz/2.41min,818329.06,652536.8,773130.7,898225.6,734524.75,877796.56
89/175.0612mz/2.43min,1486586.5,1411843.0,1914304.5,1287085.5,938487.06,1454827.1
90/139.0401mz/2.46min,592632.4,642751.44,742142.7,612227.6,516565.78,681847.7
92/118.051mz/2.5min,0.0,149009.9,148308.2,183305.2,590579.56,171894.78
93/146.9659mz/2.54min,176466.69,0.0,0.0,144367.25,139352.72,58401.723
94/172.098mz/2.55min,30476.516,38202.93,54200.137,0.0,3759.5403,19215.674
95/130.0873mz/2.57min,38307.04,150833.4,172575.66,49667.176,54117.68,59162.004
96/228.0878mz/2.57min,753315.44,417336.62,498275.94,257474.52,189925.73,227831.44
97/121.0295mz/2.57min,638061.44,818958.6,839435.0,843145.2,654775.06,850663.06
98/159.0663mz/2.61min,332953.25,320898.0,393009.72,299590.8,245031.77,281602.75
99/178.051mz/2.62min,622003.2,602802.94,712450.5,559986.75,450144.25,558486.94
100/158.0822mz/2.73min,816245.3,1053163.0,1315479.2,913943.3,763867.9,951847.1
101/136.0404mz/2.73min,66161.14,129846.07,167205.69,140101.33,67812.51,132594.19
102/107.0503mz/2.76min,595567.7,649416.2,798886.56,545015.3,385297.7,501406.34
103/151.04mz/2.76min,427729.84,478197.75,596941.2,385272.7,286460.8,372649.9
104/131.0713mz/2.78min,4101108.8,3590300.8,4442848.0,6943414.5,4565399.5,5951127.5
105/188.0353mz/2.78min,74767.61,74520.31,97247.41,31940.744,33636.44,43587.29
106/457.1869mz/2.8min,540976.44,0.0,5248.1226,0.0,0.0,0.0
107/501.1766mz/2.8min,2235403.5,24619.193,96303.375,115841.914,0.0,0.0
108/158.0822mz/2.81min,827401.56,1078931.0,1284084.1,977795.56,813722.1,970063.6
109/293.1143mz/2.85min,146973.92,104458.57,126393.85,394918.72,367462.0,437847.97
110/159.0663mz/2.87min,627582.8,531884.5,655401.25,655586.2,475454.94,613854.94
111/426.1899mz/2.92min,140842.95,245380.86,272410.38,132187.55,205866.28,197556.42
112/185.0819mz/2.89min,56959.445,47552.36,54623.066,7406.5254,7133.0303,19307.85
113/172.098mz/2.91min,1627517.1,1472463.9,1040718.06,1681184.2,744552.94,917610.8
114/130.0873mz/2.91min,166496.08,202936.02,204167.9,99513.78,151621.92,101225.74
115/118.051mz/2.9min,117083.08,282126.3,42014.984,70534.26,70952.91,65723.8
116/186.1136mz/2.95min,1179859.0,924461.06,1100495.5,619072.9,556669.2,609602.25
117/171.1027mz/2.95min,687633.5,507766.84,591816.1,417016.72,198954.88,218560.31
118/189.0769mz/2.96min,438997.56,370401.44,500234.94,412233.6,263823.28,387932.4
119/426.1898mz/2.97min,308615.3,378038.34,423064.12,275942.1,349880.3,346209.47
120/221.0932mz/3.01min,503060.47,284848.9,331253.44,397416.34,237895.58,290090.0
121/165.0557mz/3.02min,1189414.2,1087369.9,1387514.0,1383000.0,1035403.9,1347865.2
122/194.0458mz/3.03min,122264.27,107688.45,142449.52,107823.95,95488.89,129197.3
124/173.0819mz/3.05min,1518530.5,1581946.0,1884898.4,1090596.9,957221.3,1140491.8
125/164.0354mz/3.05min,2157244.5,2455485.5,2840776.8,2458743.8,1812761.2,2142779.8
126/120.0455mz/3.05min,490706.8,548120.7,624624.94,562690.5,404057.25,480394.62
127/136.0404mz/3.05min,126655.53,139687.1,166903.9,143259.2,95273.51,124129.86
128/351.0598mz/3.05min,98330.305,249345.89,286337.16,160586.08,144784.11,194219.84
129/118.051mz/3.02min,183894.88,20718.166,155461.38,190176.53,169946.19,214817.8
130/243.1238mz/3.14min,34305.18,33753.207,44311.453,26497.846,11298.317,20546.088
131/188.0354mz/3.15min,87383.234,73895.51,97018.5,80635.68,50956.402,63909.75
132/159.1027mz/3.15min,41772.6,37734.777,48960.438,16535.7,4053.9124,11605.101
133/294.0984mz/3.19min,96996.95,64497.562,80383.516,391682.22,455853.47,559652.5
134/160.0405mz/3.2min,784631.44,704773.2,724018.2,611011.94,473748.72,520970.84
