"","PC1","PC2","PC3","PC4","PC5","PC6"
"POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML",-17.686,1.2939,3.9223,2.7558,-0.54838,1.929e-15
"POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML",7.0637,-2.0527,-3.4281,2.5746,-3.9711,1.197e-14
"POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML",10.374,7.1698,1.7394,-2.0478,-0.9202,5.4696e-15
"POS_TJGIp7_1_Run16.mzML",-13.558,0.098398,-4.8279,-3.2349,0.81634,1.6653e-15
"POS_TJGIp7_2_Run140.mzML",5.3815,-6.3013,3.8679,-2.7423,-0.006187,5.5494e-15
"POS_TJGIp7_3_Run155.mzML",8.424,-0.20812,-1.2737,2.6946,4.6295,1.1102e-16
