"","filter","POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML","POS_TJGIp7_1_Run16.mzML","POS_TJGIp7_2_Run140.mzML","POS_TJGIp7_3_Run155.mzML"
"4062/331.2839mz/7.4min",280003.685,229043.42,411272.88,272560.62,287446.75,466162.06,157970.67
"4067/412.3289mz/7.4min",519678.92,509135.4,472630.34,427617.66,703276.8,530222.44,589018.25
"4072/375.3044mz/7.4min",2661895.75,3139467.8,2207893.2,1597077.9,2973875.5,2969358,2354433.5
"4074/376.3076mz/7.4min",722477.5,773531.25,645245.56,619998.9,842668.8,1128298.2,671423.75
"4076/411.3256mz/7.4min",1780767.55,2149331,1736920.5,1404526.1,1824614.6,1840659,1586262.8
"4078/313.2733mz/7.4min",556089.595,331094.66,645081.7,533362.75,495521,736724.25,578816.44
"4084/413.3047mz/7.4min",449932.925,1074703.8,394778.38,262415.84,1109079.1,505087.47,392703.56
"4085/524.3712mz/7.36min",218338.115,4422115,168529.89,153077.92,7181637.5,268146.34,13972.621
"4087/377.3201mz/7.4min",4210948.15,3115958.5,4713615.5,3708280.8,3621565,6277430,5050923
"4088/395.3305mz/7.4min",6835299.5,5632103,7266139.5,5120100,6404459.5,8523472,7757697
"4091/441.3724mz/7.4min",403312.935,790190,305389.6,213496.55,660728.1,474881.34,331744.53
"4092/497.3598mz/7.4min",193249.155,502425.97,118368.234,53995.87,389159.22,260505.23,125993.08
"4093/575.3451mz/7.4min",56500.03,378334.34,36775.242,7355.0484,316814.84,67255.53,45744.53
"4095/325.3097mz/7.4min",479235.91,349773.56,547167.6,420714.72,358706.53,580701.2,537757.1
"4097/814.5585mz/7.38min",843682.525,815080.75,641510.06,611145.5,1008365.5,872284.3,1234664.6
"4100/574.5667mz/7.39min",50548.446,252742.23,50548.446,50548.446,1016029.06,50548.446,50548.446
"4113/453.2978mz/7.45min",379844.04,1261663.9,194337.98,27834.848,1289112.8,565350.1,103104.086
"4114/291.2315mz/7.42min",727528.575,534845.7,792849.9,678519.75,661793.44,954056.44,776537.4
"4121/391.2992mz/7.43min",827198.845,912229.94,759259.75,312349.78,1035849.9,895137.94,733884.5
"4122/311.2577mz/7.43min",3462656.5,4209109.5,2186734.2,1878927.4,4033467.8,4639358.5,2891845.2
"4123/405.1694mz/7.43min",213310.215,1109559.6,63804.3,57645.85,520244.34,362583.22,64037.21
"4128/427.1513mz/7.44min",65830.904,761872.4,24274.898,6966.9976,313896.94,107386.91,9904.008
"4132/409.3098mz/7.44min",4479795,4620065.5,2589189.5,2517935.5,4339524.5,5178357,8959576
"4133/410.3137mz/7.42min",991946.65,1407619.1,642021.2,634123.94,1293787.5,1455286.1,690105.8
"4143/279.2316mz/7.44min",866238.25,1111126.6,525412.44,414411.75,1070681.4,1170262.2,661795.1
"4144/465.2972mz/7.44min",742719.155,3460028.8,527199.7,246153.3,2305806.5,933251.56,552186.75
"4145/460.3415mz/7.44min",249999.385,832290.06,155119.55,97543.89,699997.5,317051.38,182947.39
"4146/558.4149mz/7.44min",3258167.85,2051198.2,3239311.5,3277024.2,2253955,6290619.5,4039889.5
"4148/333.2408mz/7.44min",1930004.75,2053852.9,1806156.6,733602.9,4758502,3224785.2,1087402.6
"4149/393.3151mz/7.46min",1993908.4,2319512.2,1498169.8,1132883.1,3634742,2256059.2,1731757.6
"4151/425.3044mz/7.44min",1586852.4,2609347.8,974626.4,782457.25,2459639,1794742.2,1378962.6
"4152/428.4094mz/7.46min",7561398,1233052.8,8957532,10504160,1233052.8,15791851,6165264
"4154/781.5558mz/7.44min",10030.76765,570.72266,28316.502,2358496.5,570.72266,2853.6133,17207.922
"4157/407.294mz/7.49min",671823.65,610225.1,884866.4,348694.8,846734.56,733422.2,562022.9
"4159/804.5496mz/7.44min",189014.042,4866.3368,5520115,353696.4,4866.3368,24331.684,3756146.8
"4162/796.548mz/7.43min",1263599.65,100405.13,3876229.5,263325.2,929952.8,3327239,1597246.5
"4163/449.3023mz/7.44min",807272.2,1778534.8,622630.9,168071.44,1962681.6,991913.5,571173.2
"4165/315.3254mz/7.44min",461651.065,268222.25,542147.6,400062.88,125893.375,649450.75,523239.25
"4167/349.2346mz/7.45min",104446.045,374719.3,62339.098,22117.13,178939.06,146469.44,62422.65
"4169/472.4357mz/7.47min",437096.185,21039.614,785430.7,768994.3,21039.614,2028866.1,105198.07
"4170/780.5517mz/7.44min",49902.7935,5737.1954,108423.164,5142498.5,5737.1954,28685.977,71119.61
"4175/429.4128mz/7.47min",2171569.1,356787.2,2559202.2,2954944.2,356787.2,4541634.5,1783936
"4180/368.4247mz/7.45min",1408425.55,273345.22,1450125,2546733.8,273345.22,2772885.8,1366726.1
"4185/355.3203mz/7.45min",405455.845,729705.56,335960.97,203833.89,710722.1,474950.72,299505.8
"4187/437.3023mz/7.45min",519907.1,1756832.4,402548.2,133711.62,1304808.1,637266,386179.4
"4191/415.3203mz/7.45min",1784661.7,3482267.5,1600874.5,977415.3,2986000.2,1968448.9,1492469.1
"4195/354.2999mz/7.46min",485055.91,1062755.9,401165.22,258051.86,563030.7,887049.1,407081.12
"4196/337.3207mz/7.46min",300133.68,360115.84,246786.2,160655.4,371319.16,353481.16,225165.3
"4199/369.2397mz/7.46min",441459.045,446595.56,411741.25,188284.92,631561.7,806827.94,436322.53
"4203/347.2578mz/7.46min",621713,684972.4,468754.12,275469.06,1042615.5,953414.75,558453.6
"4205/672.421mz/7.47min",827632.98,662.8918,1369229.6,677324.9,3314.459,977941.06,1150221.5
"4210/650.4388mz/7.49min",11391217,11906.168,10885889,12103432,10016.909,19309796,11896545
"4211/774.5635mz/7.46min",2987892.1,27391.056,2476967.2,3498817,136955.28,5010453,3838240.5
"4212/403.3203mz/7.48min",972268.35,1469094.4,852156,571974.75,1530141.9,1065535,879001.7
"4213/600.5822mz/7.46min",13048.4624,65242.312,13048.4624,13048.4624,1183772.1,13048.4624,13048.4624
"4215/426.3082mz/7.46min",505566.24,695388.44,450883.9,177845.22,1251316.2,494318.78,516813.7
"4216/481.2921mz/7.48min",2948728.5,16093390,1911737.2,1183228,8896473,3241060,2656397
"4217/315.2315mz/7.48min",3634338,9759059,2573275.8,1911263,10199266,3911878.5,3356797.5
"4218/497.266mz/7.48min",158794.73,264346.6,120453.65,66158.44,473858.78,197135.81,86570.945
"4220/728.4461mz/7.47min",344347.92,4710.1758,551455.7,212423.72,23550.879,476272.12,488421.03
"4221/427.3204mz/7.47min",4875715.25,4957875.5,4452699,3708893.8,5758956,4958653,4793555
"4223/332.258mz/7.48min",258436.16,1059799.8,164536.52,84063.1,1119278.4,253484.1,263388.22
