"MetaboAnalyst_ID","GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML","GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML","GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML","GF_PF_MC_RCG_1_pos_20210511_Run78.mzML","GF_PF_MC_RCG_2_pos_20210511_Run96.mzML","GF_PF_MC_RCG_3_pos_20210511_Run197.mzML","shared_name"
"9220/463.3778mz/8.42min",2.41764436721528,2.06413728995571,2.14444740299365,2.66902265049222,2.64692277581176,2.24667711434736,"9220"
"9223/690.4337mz/8.41min",2.77859381194552,2.8881723056099,2.8174141821158,-0.426157904955259,0.29629041838062,3.018812479848,"9223"
"9227/395.367mz/8.44min",2.60118541746236,2.62316426070865,2.67070968532785,2.96189771716231,2.82180968227558,2.70484799907957,"9227"
"9228/714.4699mz/8.41min",2.24691270087885,3.16581651842132,2.773999067859,1.65616922857446,1.68028487665636,2.52480505111741,"9228"
"9233/191.1793mz/8.44min",2.37569405471036,2.14042249377734,2.33344153274743,2.61827166630885,2.5705187776532,2.04765847780531,"9233"
"9235/352.3391mz/8.47min",2.55577241469647,2.69769182720143,2.39534768051022,2.69467212403984,2.99221890926835,3.08836777817957,"9235"
"9248/409.3825mz/8.48min",2.53621602333586,2.27449037776299,2.42381804631301,2.60532782242643,2.58402902585561,2.20329989064469,"9248"
"9249/427.3931mz/8.48min",2.60835552401968,2.30594469838659,2.47663419082418,2.63361669656806,2.5999168703126,2.25823659319137,"9249"
"9253/287.2367mz/8.49min",2.58785512395125,1.41585981339702,1.75130562310173,2.69387798248321,2.64103188849276,1.6579784048594,"9253"
"9255/377.3201mz/8.5min",3.11283338879391,2.11286311299585,2.21139224972913,2.25559405836597,2.80257889852247,2.1889322481319,"9255"
"9260/289.2523mz/8.51min",2.29092292179012,1.8269369973342,1.98725094299491,2.32397431218614,2.36834727432624,1.86894697966419,"9260"
"9261/429.3724mz/8.51min",2.47396943353483,2.42450813148193,2.40498386421129,3.03719291132018,2.84955193945039,2.64421588658344,"9261"
"9266/625.5511mz/8.5min",2.93499731785436,1.30771047624052,0.625252318628604,2.54898196586696,3.14039101071784,1.41182324039633,"9266"
"9274/338.3414mz/8.54min",2.13367126306137,1.54532209311982,2.11427142322465,2.23764837478018,2.21591127367313,2.14747019143028,"9274"
"9278/101.0709mz/8.55min",3.57279366407702,4.09409657852084,4.17430034920038,4.48791986939205,4.50500388745626,3.37492075660389,"9278"
"9280/441.2975mz/8.57min",2.4323912247319,2.58281914705777,2.5831614035659,3.18180905641396,2.81890136693311,2.54794037272837,"9280"
"9281/427.3933mz/8.57min",2.63499829618985,2.26697293226447,2.41666275926993,2.59624471144093,2.52899800964717,2.09069863036022,"9281"
"9282/409.3826mz/8.57min",2.38251466186528,1.9791948331556,2.14454223453693,2.25247470134902,2.24399517826306,1.87515607227658,"9282"
"9283/419.3153mz/8.57min",2.85005438690785,2.5779227496353,2.67300285015881,3.07156922834734,2.98966903137153,2.56540639702807,"9283"
"9286/522.5971mz/8.59min",2.36947378483197,2.09145318924529,2.12728605331596,1.14802013996337,2.57448407031615,2.25682506524998,"9286"
"9287/352.3391mz/8.53min",3.1065748678171,2.08257802170885,3.2694077834339,3.05954073995946,2.14617408842858,2.81138589988723,"9287"
"9300/340.3572mz/8.66min",2.59481970277925,2.09240364279089,2.21793498468062,2.58713058137565,2.51288410382097,2.03796140185691,"9300"
"9302/476.3555mz/8.67min",2.31499784681832,1.68366982884741,1.98063602658795,2.299110027704,2.34661721820344,1.6535146251626,"9302"
"9307/279.2317mz/8.69min",2.63257696841519,2.42061768781476,2.46955865113495,2.78604583479778,2.63335870860888,2.34161587391597,"9307"
"9309/601.4801mz/8.7min",2.2664855295968,2.66806910184554,2.69250078677812,3.13471805850573,2.67713422342054,2.71137702321321,"9309"
"9316/449.3411mz/8.72min",3.06511899853921,1.9625975429941,2.12355427204275,2.58263625923662,2.96514679907787,2.27173118294926,"9316"
"9318/419.3515mz/8.74min",2.50258845747325,2.11079195568974,2.18907150213628,2.57146564630454,2.56634963111665,2.18736146689436,"9318"
"9320/377.3201mz/8.75min",3.85889598436596,2.501241726647,2.77479675292388,2.59137959641873,3.44361915634633,2.67888480020356,"9320"
"9323/550.6283mz/8.84min",2.83585279167135,2.98317826482171,2.75270540453741,3.34897666711015,3.3812298823644,3.08515786359281,"9323"
"9324/393.3149mz/8.79min",3.08736247436537,2.42244338119476,2.29310632434149,2.93060460373,2.95581844610528,2.45070645742222,"9324"
"9325/352.3391mz/8.79min",3.5475077107681,2.76036625086394,2.80546022671106,3.5531789212356,3.11830829445132,2.53725355307157,"9325"
"9328/101.0709mz/8.81min",3.61221260367544,3.41220664624454,3.23793253859367,3.74687990129054,3.16346445652527,4.24345282800956,"9328"
"9333/149.0232mz/8.82min",2.43430872542837,2.11585217607999,2.16921208194269,2.65250129412362,2.59593769195454,2.10938946085354,"9333"
"9334/447.3467mz/8.82min",2.90563871365143,2.65391212148721,2.71741792652763,3.15487994119143,3.06505202296864,2.66569381257126,"9334"
"9336/469.3285mz/8.82min",2.58966327226006,2.89225555773184,2.89412958599248,3.41000868210329,3.03243591290978,2.9300279866875,"9336"
"9337/448.3497mz/8.82min",2.36743122862712,2.09521629667108,2.16296813011602,2.60775774079865,2.51677349034188,2.08075520560789,"9337"
"9338/429.3724mz/8.83min",3.74366377049405,3.21666014872014,3.25887015679807,3.67399378245293,3.77032889719465,3.27974850595161,"9338"
"9339/763.5477mz/8.82min",1.89594016702191,2.12274468075992,2.02728898085429,2.79654168587615,2.43981029457765,1.80229810818149,"9339"
"9340/165.0909mz/8.83min",3.43134699868559,2.9060750126006,2.94665137088398,3.33675032540506,3.46327724836182,2.95681563591426,"9340"
"9341/448.3861mz/8.83min",3.1289533960554,2.62536769734435,2.67186708110637,3.08243619165865,3.17827324036778,2.69063905935923,"9341"
"9342/447.3828mz/8.83min",3.63262261301926,3.12591879306473,3.17551695742541,3.59039003320609,3.67887242964594,3.19608837429635,"9342"
"9347/663.4913mz/8.84min",2.47067269669603,2.62640913556777,2.55877526965891,3.31337411928681,2.92882262108409,2.64516067647576,"9347"
"9360/393.3148mz/8.87min",2.91125249487891,2.24854826920346,2.41362458298975,2.84938099279112,2.83329319678829,2.22157631855821,"9360"
