"","filter","GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML","GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML","GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML","GF_PF_MC_RCG_1_pos_20210511_Run78.mzML","GF_PF_MC_RCG_2_pos_20210511_Run96.mzML","GF_PF_MC_RCG_3_pos_20210511_Run197.mzML"
"7061/467.2864mz/4.01min",248901.14,175028.83,141733.66,179990.31,385830.97,317811.97,523640.56
"7082/383.2298mz/4.0min",473524.82,274428.4,174846.6,406245.84,703900.4,546217.4,540803.8
"7088/352.2019mz/4.01min",224952.94,206793.94,159862.64,243111.94,447202.53,354392.8,134012.83
"7093/436.2437mz/4.02min",148563.1805,5211.6402,5211.6402,26058.201,638521.56,872631.44,271068.16
"7098/676.3085mz/4.03min",192824.53,54451.555,46365.11,115900.09,382504.03,351471.66,269748.97
"7099/623.3399mz/4.02min",3471045.25,1911528.1,1343827.4,2560284.5,4469330,5247207,4381806
"7102/645.3216mz/4.03min",367069.61,221004.03,220749.34,293806.6,440332.62,532768.6,561008.9
"7103/473.2758mz/4.03min",871833.85,1533547.4,1229695.8,1464926.2,402523.5,513971.9,312639.44
"7109/365.1243mz/4.03min",503780.4345,9810.569,1585.3594,7926.797,1188272.6,1471181.2,997750.3
"7111/669.3603mz/4.03min",190255.55,243659.22,141970.34,276539.16,172649.72,207861.38,161622.7
"7113/406.1948mz/4.03min",463880.94,733587.6,760191.3,826245.5,158955.31,194174.28,134060.9
"7114/747.3711mz/4.03min",2678330.1,3361351.5,2614354,3556627.5,2629546,2727114.2,2106097
"7115/384.2127mz/4.03min",3230997.75,5982511.5,4341477,6529141.5,1848803.5,2120518.5,1230418.4
"7117/376.1865mz/4.04min",224428.78,320952.7,250352.42,323810.3,189505.3,198505.14,157940.75
"7121/430.2mz/4.03min",642964,1067998.8,713798.7,1578744.2,75800.59,572129.3,24048.986
"7122/557.297mz/4.04min",198500.81,136834.8,85728.16,203014.62,283547.97,261350.88,193987
"7124/370.2699mz/4.05min",157715.3535,440043.62,297971.66,441647.53,17459.047,7617.4185,1523.4837
"7126/467.2864mz/4.05min",581765.33,223910.86,178804.47,203237.58,1110511.6,939619.8,1044460.94
"7127/211.1693mz/4.05min",155150.84,89162.57,80880.305,71577.22,245989.17,221139.11,443749.7
"7130/339.7025mz/4.05min",797262.6,1711862.2,1053147.1,1254787.9,449516.88,541378.1,78268.68
"7133/660.8814mz/4.06min",200773.385,500762.62,134452.67,587398.06,195420.66,206126.11,24108.762
"7135/552.3029mz/4.07min",445555.85,229375.73,44171.723,272009.9,1107340.1,1044963.5,619101.8
"7136/586.3241mz/4.07min",327387.785,78010.44,53150.96,84892.32,644007.75,569883.25,780169.75
"7138/331.1862mz/4.07min",570275.23,299860.44,203856.75,407960.16,732590.3,785378.2,766932.25
"7141/523.253mz/4.08min",129556.056,46283.562,47702.062,40626.023,330726.56,211410.05,424990.3
