"","FC","log2(FC)","raw.pval","-log10(p)"
"8712/371.3151mz/7.36min",2.2381,1.1623,0.0041649,2.3804
"7438/277.2159mz/4.5min",2.4372,1.2852,0.0042277,2.3739
"7924/612.3748mz/5.23min",4.0015,2.0005,0.0042373,2.3729
"8220/553.4245mz/5.89min",4.1464,2.0519,0.0043405,2.3625
"7444/353.2295mz/4.5min",2.025,1.0179,0.0044359,2.353
"7446/195.1379mz/4.5min",2.3291,1.2198,0.0044939,2.3474
"7320/351.2142mz/4.31min",2.6818,1.4232,0.0045703,2.3401
"7699/244.1541mz/4.86min",4.1407,2.0499,0.0047219,2.3259
"7217/237.1596mz/4.19min",2.2828,1.1908,0.0047911,2.3196
"7453/149.1324mz/4.51min",2.6843,1.4246,0.0048431,2.3149
"7434/171.0916mz/4.49min",4.5358,2.1814,0.0048918,2.3105
"7426/230.2113mz/4.47min",12.828,3.6813,0.0049463,2.3057
"7712/278.1384mz/4.88min",4.7114,2.2362,0.0050421,2.2974
"7452/177.1273mz/4.51min",2.5725,1.3632,0.0051529,2.288
"8170/330.2998mz/5.81min",0.059672,-4.0668,0.0052858,2.2769
"7334/370.2697mz/4.34min",0.23624,-2.0817,0.0053526,2.2714
"7625/149.1325mz/4.75min",2.5634,1.358,0.0055094,2.2589
"7904/309.242mz/5.18min",0.23333,-2.0995,0.0056361,2.249
"7261/511.2549mz/4.24min",3.7168,1.8941,0.0056611,2.2471
"7412/344.1812mz/4.43min",0.19952,-2.3254,0.0057383,2.2412
"7378/509.1439mz/4.42min",5.2812,2.4009,0.0059989,2.2219
"8264/349.2345mz/6.05min",0.46689,-1.0988,0.0060052,2.2215
"7788/277.1795mz/4.98min",2.7048,1.4355,0.0061658,2.21
"8045/319.1875mz/5.49min",2.1779,1.123,0.0064351,2.1914
"7488/218.1175mz/4.56min",4.3235,2.1122,0.0064984,2.1872
"7940/317.0916mz/5.27min",4.4066,2.1397,0.0065206,2.1857
"7363/210.1025mz/4.39min",5.7226,2.5167,0.006526,2.1854
"7725/313.248mz/4.89min",5.7749,2.5298,0.0067031,2.1737
"7786/295.19mz/4.97min",2.7558,1.4625,0.0067367,2.1716
"7462/231.1591mz/4.52min",4.3004,2.1045,0.0071852,2.1436
"7226/717.3869mz/4.21min",2.0328,1.0234,0.0074835,2.1259
"8572/344.3155mz/6.9min",2.3913,1.2578,0.0075744,2.1207
