"","Filename","GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML","GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML","GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML","GF_PF_MC_RCG_1_pos_20210511_Run78.mzML","GF_PF_MC_RCG_2_pos_20210511_Run96.mzML","GF_PF_MC_RCG_3_pos_20210511_Run197.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","7061/467.2864mz/4.01min","175028.83","141733.66","179990.31","385830.97","317811.97","523640.56"
"3","7082/383.2298mz/4.0min","274428.4","174846.6","406245.84","703900.4","546217.4","540803.8"
"4","7088/352.2019mz/4.01min","206793.94","159862.64","243111.94","447202.53","354392.8","134012.83"
"5","7093/436.2437mz/4.02min","0.0","0.0","26058.201","638521.56","872631.44","271068.16"
"6","7098/676.3085mz/4.03min","54451.555","46365.11","115900.09","382504.03","351471.66","269748.97"
"7","7099/623.3399mz/4.02min","1911528.1","1343827.4","2560284.5","4469330.0","5247207.0","4381806.0"
"8","7102/645.3216mz/4.03min","221004.03","220749.34","293806.6","440332.62","532768.6","561008.9"
"9","7103/473.2758mz/4.03min","1533547.4","1229695.8","1464926.2","402523.5","513971.9","312639.44"
"10","7109/365.1243mz/4.03min","9810.569","0.0","7926.797","1188272.6","1471181.2","997750.3"
"11","7111/669.3603mz/4.03min","243659.22","141970.34","276539.16","172649.72","207861.38","161622.7"
"12","7113/406.1948mz/4.03min","733587.6","760191.3","826245.5","158955.31","194174.28","134060.9"
"13","7114/747.3711mz/4.03min","3361351.5","2614354.0","3556627.5","2629546.0","2727114.2","2106097.0"
"14","7115/384.2127mz/4.03min","5982511.5","4341477.0","6529141.5","1848803.5","2120518.5","1230418.4"
"15","7117/376.1865mz/4.04min","320952.7","250352.42","323810.3","189505.3","198505.14","157940.75"
"16","7121/430.2mz/4.03min","1067998.8","713798.7","1578744.2","75800.59","572129.3","24048.986"
"17","7122/557.297mz/4.04min","136834.8","85728.16","203014.62","283547.97","261350.88","193987.0"
"18","7124/370.2699mz/4.05min","440043.62","297971.66","441647.53","17459.047","7617.4185","0.0"
"19","7126/467.2864mz/4.05min","223910.86","178804.47","203237.58","1110511.6","939619.8","1044460.94"
"20","7127/211.1693mz/4.05min","89162.57","80880.305","71577.22","245989.17","221139.11","443749.7"
"21","7130/339.7025mz/4.05min","1711862.2","1053147.1","1254787.9","449516.88","541378.1","78268.68"
"22","7133/660.8814mz/4.06min","500762.62","134452.67","587398.06","195420.66","206126.11","24108.762"
"23","7135/552.3029mz/4.07min","229375.73","44171.723","272009.9","1107340.1","1044963.5","619101.8"
"24","7136/586.3241mz/4.07min","78010.44","53150.96","84892.32","644007.75","569883.25","780169.75"
"25","7138/331.1862mz/4.07min","299860.44","203856.75","407960.16","732590.3","785378.2","766932.25"
"26","7141/523.253mz/4.08min","46283.562","47702.062","40626.023","330726.56","211410.05","424990.3"
"27","7142/501.2707mz/4.08min","290619.0","192500.39","289063.62","1582741.5","1270280.1","1737300.8"
"28","7143/398.2284mz/4.08min","1958503.2","1336319.5","2157784.2","1487590.1","1538982.2","960468.0"
"29","7148/550.3599mz/4.08min","795786.06","537333.75","880746.44","311075.44","300585.78","134093.53"
"30","7149/510.2925mz/4.09min","356024.06","246045.89","373065.16","273299.53","238905.5","172295.56"
"31","7150/207.138mz/4.09min","319680.12","306379.16","156907.97","291513.53","189221.61","521373.8"
"32","7151/216.1595mz/4.09min","389349.84","236694.62","481984.2","526951.9","345120.3","222880.36"
"33","7158/177.0547mz/4.1min","435520.75","256904.0","514979.3","361534.22","424345.75","441819.4"
"34","7159/526.295mz/4.1min","362383.34","304778.78","461254.2","3115.0654","6986.932","0.0"
"35","7163/352.1693mz/4.11min","459876.78","300001.25","399544.2","54870.344","47787.805","6757.5493"
"36","7164/458.2521mz/4.1min","473779.66","368122.12","494869.0","0.0","0.0","0.0"
"37","7166/120.0444mz/4.11min","357692.56","269951.03","418970.12","226009.19","333503.03","242692.73"
"38","7167/410.2283mz/4.11min","381868.6","267376.6","429115.62","647148.2","553534.06","551103.2"
"39","7168/966.5294mz/4.11min","117505.52","75385.27","117834.07","445790.12","431301.72","602188.06"
"40","7169/360.1915mz/4.11min","1206261.0","747232.94","1050884.1","2390987.5","2494260.5","3009022.8"
"41","7171/428.2542mz/4.11min","270584.38","231584.33","219296.58","1088776.0","792120.5","309995.22"
"42","7173/510.3279mz/4.11min","365970.12","288624.97","345342.56","196348.95","138529.55","41114.855"
"43","7177/481.3021mz/4.11min","92602.64","49282.99","113938.516","346331.44","411450.1","203273.16"
"44","7178/453.7576mz/4.12min","1375800.4","1174786.0","1046402.2","1439939.6","938463.9","386724.75"
"45","7180/157.0761mz/4.12min","283564.3","179003.5","322176.6","362243.2","352073.7","381519.22"
"46","7181/315.2065mz/4.13min","202968.62","114932.53","261607.33","559688.1","411432.16","0.0"
"47","7190/230.1135mz/4.14min","1089507.4","780521.94","1196683.6","561195.1","487507.6","431167.3"
"48","7194/683.3607mz/4.15min","1059081.1","713157.9","1445147.0","584220.8","796393.94","473046.22"
"49","7195/234.0219mz/4.15min","3478278.5","3039854.5","4904287.0","3189178.5","3583428.0","1980952.2"
"50","7196/204.102mz/4.15min","168879.39","128951.234","189029.98","704220.06","610963.1","515066.8"
"51","7197/364.2031mz/4.11min","1116649.4","917673.7","1177533.6","76130.516","83345.16","31224.45"
"52","7198/727.4022mz/4.16min","417222.62","306861.47","468046.22","0.0","0.0","0.0"
"53","7199/271.0712mz/4.16min","236439.78","169994.77","396226.72","1854677.6","2114555.8","5076059.0"
"54","7203/515.2868mz/4.17min","383322.16","234650.89","365378.9","583519.44","613849.75","372736.22"
"55","7204/349.1906mz/4.17min","504346.0","324733.47","552386.1","500108.38","457133.1","70302.72"
"56","7208/239.1025mz/4.18min","244152.55","101479.266","471079.7","747247.7","1294309.2","785900.6"
"57","7213/377.2262mz/4.19min","401081.94","297279.4","363584.22","236539.28","275318.78","195880.38"
"58","7214/376.2228mz/4.19min","1949052.5","1513861.9","2007758.4","1177021.4","1427313.8","1031840.6"
"59","7217/237.1596mz/4.19min","250527.34","192637.48","232779.16","349177.94","356997.3","432415.72"
"60","7220/245.1132mz/4.2min","905216.25","1309852.6","1724356.9","1133414.9","1277808.9","724538.3"
"61","7221/250.1437mz/4.28min","3189698.5","2516204.8","3900152.2","1472771.1","2032381.0","269958.12"
"62","7222/987.0622mz/4.2min","609580.94","457479.78","594659.7","935593.1","987488.7","521776.34"
"63","7223/658.3771mz/4.2min","843873.94","681256.5","860923.8","1265054.5","1391663.1","754963.0"
"64","7225/353.7283mz/4.2min","1231227.2","1107905.9","1118882.0","484704.12","469681.3","274717.75"
"65","7226/717.3869mz/4.21min","485755.53","436355.75","477986.03","698767.8","762962.25","608867.4"
"66","7228/658.0428mz/4.21min","756865.5","580624.1","790357.25","1079650.2","1199862.9","647218.7"
"67","7230/706.4492mz/4.2min","322296.62","247993.1","288987.6","113749.086","94893.64","41234.227"
"68","7231/335.1388mz/4.21min","816261.6","604538.5","1011359.0","383688.84","535344.7","111210.734"
"69","7232/915.4969mz/4.21min","307537.9","103987.22","155518.95","0.0","0.0","0.0"
"70","7237/458.2519mz/4.21min","560697.3","415674.03","628134.06","0.0","0.0","0.0"
"71","7241/342.2385mz/4.22min","426133.97","365352.28","424520.12","776582.1","839285.44","1237921.2"
"72","7242/402.2233mz/4.22min","61109.14","39529.918","80247.11","341498.8","475134.16","627163.4"
"73","7243/139.1117mz/4.23min","209550.61","219643.67","237911.16","227638.9","264196.2","486919.5"
"74","7245/273.0326mz/4.23min","213696.31","159852.94","340962.75","281247.3","372351.6","239396.97"
"75","7248/331.081mz/4.23min","0.0","0.0","0.0","230738.02","261866.95","1246767.1"
"76","7253/454.3103mz/4.24min","1405263.8","1217316.2","1260936.6","187151.4","254438.48","19907.36"
"77","7255/356.2541mz/4.23min","11995174.0","9871211.0","12399261.0","15351443.0","15191743.0","11266139.0"
"78","7256/479.3225mz/4.23min","374403.8","270529.06","299783.7","549705.94","330495.94","135160.08"
"79","7258/395.1752mz/4.24min","311477.6","304597.1","238719.97","36237.46","15870.369","14457.139"
"80","7259/453.3069mz/4.24min","5836330.0","5082613.0","5249282.5","1394236.0","1315745.5","592167.4"
"81","7261/511.2549mz/4.24min","567311.75","537985.25","373428.72","1433844.9","813373.9","1797536.6"
"82","7262/384.2126mz/4.21min","333357.34","221381.89","332356.1","98495.03","15724.754","26512.186"
"83","7263/192.1383mz/4.24min","679005.8","442118.06","696027.5","794455.8","738705.06","808808.1"
"84","7264/301.1544mz/4.25min","658078.1","410349.53","922730.06","806278.06","886340.9","130720.625"
"85","7273/450.2592mz/4.24min","0.0","0.0","8544.221","708446.5","756753.6","106281.48"
"86","7282/270.1123mz/4.27min","424791.7","388766.28","521742.6","235736.22","234359.05","194653.52"
