row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML Peak area,POS_D5-227-C4-c_Run319.mzML Peak area,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML Peak area,POS_D5-227-C4-a_Run313.mzML Peak area,POS_D5-227-C4-b_Run316.mzML Peak area,
585,80.947889147993,10.182286,,,,,,,,,,,849612.6,815978.7,419410.25,930464.2,430480.2,426599.3,
389,80.9479397488082,7.7861733,,,,46,,,,,,,878339.6,868997.2,349134.78,608120.56,266259.75,203804.67,
426,80.94794801674536,7.881284,,,,8,,,,,,,766733.0,662708.0,427939.5,554205.44,449766.1,451763.3,
289,80.94795141559364,7.3767486,,,,23,,,,,,,605250.75,696817.56,319653.16,453578.38,306817.28,280347.5,
681,81.52054398897023,10.475795,,,,58,,,,,,,2.7274882E7,2.7966768E7,1.9567444E7,2.9259034E7,2.4399018E7,3.2031852E7,
24,84.95981347528213,0.43816838,,,,17,,,,,,,2980972.5,1.0379863E7,1.0477679E7,4228403.0,4306099.5,1.0598834E7,
36,89.05982282777468,2.7427797,,,,,,,,,,,457790.88,361792.6,877115.06,1227202.5,179913.94,444416.53,
623,89.50669994382947,10.325674,,,,50,,,,,,,1.144064E7,1.2806039E7,1.3061906E7,1.1433834E7,1.3834353E7,1.7164474E7,
651,90.5067293226454,10.36576,,,,50,,,,,,,4709399.5,4725757.5,4615774.5,4638022.0,4672403.5,4754406.0,
690,90.52592081914088,10.495674,,,,58,,,,,,,4.0922364E7,3.760239E7,2.3022508E7,4.135648E7,3.096674E7,3.5682348E7,
381,90.97672712481518,7.769123,,,,46,,,,,,,730679.2,801242.75,1062892.0,602204.5,947749.06,815084.2,
441,90.97674307136361,7.875895,,,,8,48,[M-H2O+2H]+2,,2,432;441,197.94983,1133448.1,1185922.0,1647065.6,912886.9,1501906.2,1610803.6,
272,90.97674746745604,7.3714066,,,,23,35,[M-H2O+2H]+2,,2,273;272,197.9498,1378564.1,1555573.4,1908158.0,1160519.4,1541150.1,1608862.6,
654,91.50442982642926,10.366634,,,,50,,,,,,,1792999.4,1804893.0,1727138.6,1763337.5,1801066.5,1808931.4,
674,94.04513798341951,10.44559,,,,65,,,,,,,4974401.0,4732135.5,3544377.5,4939875.0,4236966.0,5057754.5,
624,97.5144467459415,10.327252,,,,50,,,,,,,1307722.9,1278102.9,1268300.0,1388868.0,1328728.8,1558939.1,
9,97.96886000762775,0.03678187,,,,0,,,,,,,110124.95,114579.016,509947.75,84880.164,438567.06,375729.88,
11,97.96886130591567,0.31832352,,,,27,,,,,,,158515.05,188352.1,325817.1,189730.44,367770.44,369891.12,
691,97.99139966106384,10.499595,,,,58,,,,,,,9588389.0,9387882.0,8752665.0,9013835.0,8103848.5,8834656.0,
625,98.51208107998436,10.327321,,,,50,,,,,,,2.3580524E7,2.2928398E7,2.364668E7,2.2551964E7,2.6339154E7,2.4974844E7,
676,102.03390520765474,10.470619,,,,58,,,,,,,1.4028165E8,1.4515152E8,9.799472E7,1.3853955E8,1.4836262E8,1.493828E8,
677,102.53547117370415,10.471492,,,,58,,,,,,,1.2205041E7,1.2592613E7,8556187.0,1.1980027E7,1.2850412E7,1.2073048E7,
687,104.03025884463479,10.483414,,,,58,,,,,,,3615046.0,3703096.5,2453623.0,3202513.0,3774768.8,3734054.5,
139,105.03354975612342,5.6756845,,,,24,,,,,,,2467678.5,2597630.5,2609961.8,1846915.0,2034567.6,1991553.8,
629,109.02249532057213,10.331758,,,,50,60,[M+NH4]+,,2,629;614,90.98881,7381046.5,5644671.0,6115394.5,5669208.0,6531312.5,7869827.0,
670,109.52172595859587,10.386314,,,,50,,,,,,,5096003.0,5259094.5,4516605.0,4941068.0,4708231.0,4990618.5,
619,110.02011156213077,10.323174,,,,50,,,,,,,9.046508E7,9.133548E7,9.635358E7,8.930242E7,1.0296521E8,1.2439513E8,
622,110.52178696103054,10.324999,,,,50,61,[M+Na]+,,2,622;626,87.53233,6168187.0,7821718.5,7211804.0,6615303.0,7796668.5,9331716.0,
652,111.02022248566645,10.365762,,,,50,68,[M+NH4]+,,2,642;652,92.98662,7.939425E7,8.0734264E7,7.706961E7,7.915511E7,7.8772264E7,7.855312E7,
692,111.03904990223049,10.500557,,,,58,,,,,,,1.2155978E7,1.1574239E7,1.0350148E7,1.0615713E7,1.0005923E7,1.0077844E7,
655,111.51895287275575,10.366633,,,,50,,,,,,,2008572.1,2014142.6,1851910.2,1924844.1,1933437.4,1928289.1,
301,111.51901468136094,7.548559,,,,,,,,,,,154800.56,161542.95,486497.28,110816.56,133383.33,52183.95,
653,111.52179524400883,10.365762,,,,50,,,,,,,6787262.5,6880642.5,6571350.0,6691522.5,6639408.5,6673338.0,
321,111.52189093809045,7.5674396,,,,,,,,,,,796321.94,784079.6,2088896.2,770685.06,963532.06,976060.06,
656,112.01785407506357,10.366634,,,,50,,,,,,,3.1093494E7,3.1442178E7,3.0030758E7,3.0950596E7,3.0679788E7,3.079E7,
334,112.01795261505475,7.6447635,,,,,,,,,,,3286691.0,3190599.8,4118229.2,2871398.5,4006704.2,9624838.0,
647,112.51959959636729,10.364018,,,,50,,,,,,,2206800.8,2212751.0,2162272.2,2166385.2,2199533.2,2213497.5,
660,113.01661020300719,10.370122,,,,50,,,,,,,4348225.0,4455318.5,4394876.0,4360230.5,4311856.0,4332504.5,
326,113.01671801929865,7.608441,,,,,,,,,,,211073.23,491958.28,614573.9,464726.38,1156206.8,1149887.6,
302,113.01671808411338,7.5586586,,,,,,,,,,,501714.44,482587.4,1343462.2,485964.8,596327.1,600368.06,
627,113.96361191045241,10.329858,,,,50,62,[M-H2O+K]+,,2,637;627,93.01144,7057517.0,7176085.0,8792495.0,8225338.5,8419808.0,7998411.5,
17,113.96380090392627,0.32465294,,,,27,,,,,,,2057201.1,2389126.8,2793116.2,1645683.8,1546512.4,2721262.2,
8,113.96380425798536,0.036783602,,,,0,,,,,,,2782697.0,2835497.2,2675935.8,2728314.8,2533778.8,2469168.2,
648,114.01651372362119,10.364045,,,,50,,,,,,,1105818.0,1113333.8,1082703.8,1043150.6,1111450.9,1090674.9,
666,115.96400973067205,10.375226,,,,50,,,,,,,2001137.5,2425267.5,2284065.2,2156360.2,1799583.6,2019932.6,
18,116.97197993472052,0.32465363,,,,27,,,,,,,983248.2,930963.44,1086518.5,593772.5,907255.25,805868.94,
