Filename,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_pos_20210511_Run46.mzML,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_pos_20210511_Run102.mzML,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_pos_20210511_Run212.mzML,POS_TJGIp4_1_Run58.mzML,POS_TJGIp4_2_Run87.mzML,POS_TJGIp4_3_Run182.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
389/215.139mz/2.0min,1639552.4,1920729.1,824239.4,1782522.6,1856054.1,1932483.8
390/268.1038mz/2.02min,214579.5,288999.16,161000.48,213570.75,252728.03,57627.13
396/282.1195mz/2.06min,5885477.5,3995361.5,5428877.0,7126240.5,5253047.5,5783443.5
401/209.0922mz/2.07min,1065235.9,663763.75,518901.34,1096532.6,1635809.1,1483921.2
403/227.1026mz/2.09min,6146038.0,3345160.0,2800670.0,4681491.5,5911167.5,6200953.5
405/249.0845mz/2.09min,434928.22,470702.34,477632.34,268510.47,513389.9,792363.3
406/220.118mz/2.11min,4392232.5,3409234.8,3418168.2,5703281.0,4224093.0,4710470.0
407/242.0998mz/2.11min,1761321.8,1258452.6,1249365.2,2242608.2,1542336.9,1721873.0
409/232.1543mz/2.11min,2883095.2,2189403.2,4195066.5,5178261.5,3560175.8,4597321.0
410/146.0812mz/2.15min,274050.7,293631.6,198358.1,275827.3,419771.88,448834.4
414/185.0784mz/2.16min,789885.9,584951.44,961772.06,1196135.0,703817.25,1288563.6
416/279.1337mz/2.19min,214923.39,214585.88,154509.67,270608.88,281629.84,292208.38
417/228.1343mz/2.18min,418087.22,523553.4,521412.88,620873.56,706595.56,838915.9
418/242.1862mz/2.19min,3949589.8,3631734.5,4120439.2,5072346.0,5433159.0,5909236.0
420/195.1227mz/2.21min,728535.3,272987.88,157287.23,217254.02,308885.84,166684.42
421/188.0706mz/2.21min,703947.5,922993.44,447469.5,770711.75,800214.3,914991.44
422/205.0972mz/2.21min,510955.12,722376.4,372508.2,581342.94,648908.7,791577.1
423/113.0597mz/2.22min,940789.6,444636.38,164390.31,1163338.6,1045338.4,1483522.0
424/217.1047mz/2.21min,1562316.5,807337.6,1162833.4,199767.97,1019133.44,894838.1
429/245.1495mz/2.25min,768418.56,500321.16,347812.16,1060711.6,566518.9,510178.1
430/267.1316mz/2.25min,1034247.4,626639.1,431292.25,1358846.6,939607.7,878911.9
432/215.1391mz/2.26min,893013.1,938326.3,906783.2,1051599.8,1098975.6,1320495.0
433/130.0652mz/2.28min,216365.88,236797.8,209149.83,304261.84,291211.1,326269.6
434/285.1345mz/2.27min,401036.25,417917.3,438049.8,544952.94,533731.06,621452.8
435/270.1923mz/2.28min,3154053.2,2997062.0,2914346.8,3790610.8,3407188.8,3669863.2
436/231.1702mz/2.29min,3577227.8,4399265.5,1768226.1,4539532.0,4088404.5,3807279.0
438/276.1317mz/2.3min,548467.3,626318.75,336216.72,783788.75,492448.34,615663.25
439/254.1498mz/2.3min,817623.3,579913.6,564067.5,954967.9,714153.94,667060.5
440/185.071mz/2.3min,144291.08,276265.53,125850.01,70022.06,176731.97,169738.52
442/220.1191mz/2.31min,124246.305,89875.92,97301.57,168882.67,126183.17,147820.4
444/140.1434mz/2.33min,274539.8,270887.5,225363.38,297472.03,231708.94,214378.69
445/195.1129mz/2.33min,4022520.2,4228880.0,4311527.0,4621173.5,4288853.0,5534099.5
448/171.1128mz/2.34min,3383424.8,3620208.8,3757079.2,3859145.2,4322830.5,3951598.8
451/116.0706mz/2.34min,884011.3,1034218.94,439523.56,1072552.8,1003204.3,948546.56
452/86.0965mz/2.35min,250790.58,844068.6,344866.44,802927.06,797879.3,930663.9
453/146.0601mz/2.35min,5429271.0,7267810.5,4426745.5,4910937.5,4529967.0,5048357.5
454/146.1175mz/2.35min,2343234.5,1928920.4,2272741.8,3083894.5,3246454.5,3886893.2
456/147.0633mz/2.35min,498898.53,666864.2,379591.97,439853.56,398164.03,419278.22
457/229.1185mz/2.36min,2472978.0,2108107.0,1938658.0,2798563.5,2435792.8,2526774.8
459/229.1546mz/2.36min,12922668.0,14750199.0,6118693.0,15279415.0,14464808.0,13448485.0
461/160.0968mz/2.37min,440638.34,403381.8,397757.75,496277.38,459045.44,541264.8
462/182.0787mz/2.37min,189069.55,176389.12,210568.73,208390.48,163441.66,241017.06
