Filename,2024_POS_CC_1_Run20.mzML,2024_POS_CC_2_Run47.mzML,2024_POS_CC_3_Run61.mzML,2024_POS_CC-AZA_1_Run23.mzML,2024_POS_CC-AZA_2_Run38.mzML,2024_POS_CC-AZA_3_Run70.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
444/524.3944mz/7.31min,132284.05,77275.1,360450.0,32770.688,79491.78,267949.7
446/729.5177mz/7.31min,92396.375,33237.89,602652.44,70989.805,163503.05,32115.121
449/689.9992mz/7.34min,0.0,547304.2,0.0,454913.44,44553.96,455891.75
450/581.2753mz/7.35min,435113.9,163950.86,427954.47,203878.5,187091.89,112318.11
451/689.4975mz/7.35min,0.0,454336.56,0.0,617966.2,130930.55,929404.06
453/256.2635mz/7.36min,430029.5,423257.06,447031.03,391809.88,390424.4,380713.53
455/563.2648mz/7.39min,2799069.8,1802751.6,2237734.0,1250373.2,1097509.6,892516.3
456/282.1362mz/7.39min,535024.94,470439.75,387469.5,476214.9,606985.8,393182.22
457/564.2683mz/7.39min,1019680.7,660168.9,840343.5,456087.4,421655.8,318432.34
458/341.2839mz/7.4min,252910.94,150291.23,693452.8,131015.65,96323.72,270759.22
459/669.3285mz/7.42min,58086.2,0.0,121263.33,67478.82,0.0,0.0
460/386.3263mz/7.43min,2564700.5,1464718.6,2726730.8,1040000.56,975461.06,914477.2
462/387.3298mz/7.46min,590459.25,338732.34,677706.3,181661.39,220555.75,229541.12
463/408.3083mz/7.43min,1170040.1,304561.22,912911.5,147163.98,130469.22,146630.9
464/692.5218mz/7.39min,0.0,3052577.8,4534463.5,1920776.9,351386.22,821427.2
466/397.3099mz/7.5min,149476.98,44601.594,331605.56,48577.535,43656.945,14248.775
469/702.4998mz/7.47min,0.0,805200.94,0.0,888474.94,213237.88,212129.31
470/704.522mz/7.5min,0.0,1609845.5,80003.53,96661760.0,280238270.0,66673536.0
471/706.5282mz/7.5min,0.0,89032.75,0.0,10058475.0,29761248.0,7002957.0
473/726.5036mz/7.47min,0.0,123452.81,0.0,5603557.5,5440276.0,2766071.2
475/782.5687mz/7.47min,0.0,127683.09,0.0,0.0,7091.037,53132.812
477/700.4884mz/7.47min,0.0,6317392.5,4149.034,2469063.8,1304888.4,2785524.2
478/678.5065mz/7.42min,0.0,237265340.0,78234.336,66461804.0,42441612.0,76378430.0
479/680.5125mz/7.4min,0.0,22162624.0,0.0,6290918.5,3976934.5,7264566.0
480/681.515mz/7.4min,0.0,3658298.2,0.0,853419.0,668838.94,1244211.9
481/716.4615mz/7.46min,0.0,1012026.2,0.0,326457.62,125277.78,151636.4
482/760.5838mz/7.47min,0.0,6820307.0,67244.8,0.0,593699.4,2172660.0
483/808.5836mz/7.47min,0.0,223600.94,0.0,0.0,28558.75,95672.48
487/714.5026mz/7.51min,0.0,119885.875,135218.72,163839.23,47099.105,133795.92
489/728.5196mz/7.48min,0.0,0.0,1540399.2,0.0,0.0,0.0
493/331.2638mz/7.52min,276439.2,4607.492,52967.832,39589.688,27468.96,0.0
495/706.5377mz/7.49min,0.0,0.0,25654712.0,0.0,0.0,0.0
496/742.4785mz/7.52min,0.0,13837.768,0.0,500830.72,475807.2,666165.56
497/524.3945mz/7.5min,82392.03,263985.4,824331.0,4810.4473,9859.781,234585.98
499/716.5198mz/7.51min,0.0,5413.5127,0.0,1063844.9,1123648.6,181801.83
500/282.2791mz/7.52min,1936338.8,1989211.8,2290065.5,2033422.1,1943576.5,1805077.8
501/386.3263mz/7.52min,4164666.2,1643352.6,3279685.0,1320243.5,1527613.4,759186.7
502/707.5315mz/7.56min,0.0,37527.145,0.0,2180115.0,5267433.5,5602069.0
503/387.3298mz/7.52min,997254.4,380591.6,777847.56,306351.56,351338.75,155533.84
505/408.3083mz/7.52min,1356490.4,313104.75,826013.06,119913.64,155976.95,31890.465
506/354.3366mz/7.57min,78915.31,325884.06,143703.42,237649.33,54629.07,186942.94
507/397.3099mz/7.54min,311417.0,96494.04,483759.84,98728.57,129721.05,41634.953
510/726.5038mz/7.58min,0.0,1557331.0,0.0,6022722.0,5902065.5,5199406.0
513/691.53mz/7.56min,408654.9,48700.71,278005.03,0.0,0.0,0.0
515/497.36mz/7.56min,411505.0,61380.406,227513.2,48461.93,64783.06,4554.293
517/706.5282mz/7.57min,0.0,2136635.0,0.0,12925490.0,12396176.0,31764682.0
518/669.3284mz/7.57min,106467.58,0.0,197825.12,137323.42,3925.5066,0.0
519/455.3521mz/7.6min,354719.75,81696.734,519052.1,20565.525,21888.137,78805.164
522/311.258mz/7.59min,1280813.8,1088206.2,2570127.2,750975.3,861918.5,1119765.8
524/441.3766mz/7.59min,1571349.4,714873.0,1431813.4,615718.8,798922.9,404416.4
526/279.2318mz/7.6min,104329.93,84364.93,232593.02,56431.59,63305.184,88187.06
527/462.3551mz/7.59min,4464424.5,1231984.8,3284688.0,704530.2,839203.0,323673.6
528/440.3735mz/7.59min,5187358.5,2368003.8,4699214.5,2323921.8,2733276.8,1430108.6
529/357.2998mz/7.6min,1010971.06,598495.56,909195.06,765350.6,779578.44,514321.5
530/312.2614mz/7.59min,246464.55,206950.64,509221.3,144086.17,161409.3,230434.8
531/333.24mz/7.59min,203601.39,167819.62,343585.44,91533.836,92055.0,127776.125
532/339.2892mz/7.64min,405750.5,143884.53,356638.62,192397.42,269385.66,189933.42
534/265.2526mz/7.64min,157325.1,98056.33,139418.03,107707.3,138381.1,120374.695
535/508.4mz/7.6min,231617.55,136717.84,219693.06,83172.24,144248.95,119586.54
536/422.3631mz/7.6min,623162.25,277439.25,562340.06,282936.75,317721.44,158649.62
538/354.3365mz/7.6min,714735.6,470990.53,911739.0,353732.8,501581.44,244108.7
539/376.3187mz/7.6min,420608.1,139788.05,422823.75,65754.28,93100.26,27371.227
540/336.3259mz/7.61min,221122.31,154349.2,286090.5,118210.375,144276.39,32909.938
541/331.2633mz/7.63min,245693.8,20257.5,169734.66,49123.812,46590.473,24415.81
543/704.5223mz/7.63min,0.0,20331336.0,39023.766,118120950.0,103418520.0,304918880.0
547/421.3465mz/7.65min,230483.56,96439.4,1046938.8,351528.12,133576.16,427052.28
551/439.357mz/7.65min,395501.66,545851.0,1135547.6,326088.97,263240.16,514764.44
552/357.2787mz/7.67min,1032303.94,724204.25,1662623.6,691597.25,845647.0,757088.0
554/714.5019mz/7.68min,0.0,137817.62,0.0,163595.83,67252.91,80513.92
557/497.3601mz/7.69min,135351.66,36596.914,144145.9,60764.324,80636.68,48954.754
558/479.3493mz/7.68min,746683.25,102521.375,593283.5,177135.44,175893.66,80412.99
560/743.5603mz/7.68min,687385.25,135159.5,465768.4,53554.65,87068.58,37179.52
563/495.3442mz/7.68min,540115.3,163937.08,1467241.2,128406.43,153851.42,292498.66
565/726.5039mz/7.68min,0.0,3090965.0,0.0,7777944.0,6020549.5,6390990.0
566/742.478mz/7.68min,0.0,243172.17,0.0,1197597.8,1025518.2,629845.06
569/357.2997mz/7.68min,1156175.1,687453.44,1011366.5,857054.75,919898.56,661749.9
570/700.4885mz/7.66min,0.0,1139032.2,0.0,1391992.2,1677243.2,1211436.0
571/379.2818mz/7.68min,472827.22,52729.035,192671.88,55864.98,73501.28,9865.684
572/339.2892mz/7.68min,485049.84,254325.5,403657.6,336334.03,350677.66,249684.92
574/746.5687mz/7.68min,0.0,291716.88,1280130.6,0.0,425899.7,338463.62
578/265.2526mz/7.69min,261957.95,156542.48,215768.48,188036.3,199265.75,156138.75
580/581.3119mz/7.69min,366071.62,170827.67,340176.16,306470.3,355451.62,181515.05
582/654.3317mz/7.7min,3312514.8,1873238.6,4090298.8,507347.06,602798.44,1251968.9
583/659.2867mz/7.7min,790604.9,360207.25,1075629.8,91781.625,110444.055,193256.31
584/637.3049mz/7.7min,897364.7,496261.8,1159171.6,133518.94,144363.92,366529.66
586/437.3413mz/7.71min,151145.2,100028.9,343678.66,97726.66,111151.47,218453.36
587/397.3099mz/7.76min,564827.56,146838.38,633907.94,189523.28,272839.12,48545.227
589/490.3889mz/7.76min,470720.8,97158.18,618927.8,235895.88,94249.625,772768.94
591/522.3782mz/7.71min,0.0,76722.75,969627.4,0.0,0.0,137885.72
592/328.3209mz/7.74min,221520.3,87575.086,164891.4,103910.375,100066.72,54617.367
595/408.3086mz/7.77min,58458.47,172722.94,1128635.8,46310.46,23194.727,132019.08
596/468.4044mz/7.75min,133364.45,50176.215,142252.48,79393.68,79073.836,31614.094
599/628.4993mz/7.75min,333872.72,71465.04,104253.09,331182.72,116324.04,103576.38
602/228.1958mz/7.8min,140588.52,318605.72,1342528.2,161228.55,77704.79,358903.66
603/173.1325mz/7.8min,7446.9014,76368.09,351525.8,15939.307,0.0,88236.86
605/208.1696mz/7.78min,0.0,58833.02,293701.25,3786.119,0.0,65156.21
609/584.4731mz/7.76min,547539.3,124821.98,159594.02,560934.06,177963.6,165447.22
610/226.1801mz/7.79min,59382.027,406357.06,1784599.4,34501.082,29771.406,477307.56
611/244.1907mz/7.8min,77306.7,66335.08,356307.7,103358.31,29224.906,77024.336
612/191.1431mz/7.81min,3549.2642,65699.734,321619.88,8143.125,0.0,82214.0
613/229.1993mz/7.82min,7503.9097,56149.043,177371.3,14440.53,0.0,77387.38
614/771.6458mz/7.81min,0.0,21283.238,427802.06,0.0,0.0,30143.21
615/540.4466mz/7.77min,854104.5,200294.1,264942.5,844103.56,295289.38,275158.44
616/496.4204mz/7.78min,1089871.4,284365.9,365973.25,1052077.6,376834.1,396319.7
618/452.3943mz/7.78min,1250759.1,326636.16,462404.06,1160598.4,442884.53,462024.38
619/413.3048mz/7.78min,607426.56,145554.78,510506.16,109536.09,326845.97,141999.84
620/364.342mz/7.78min,946921.4,231243.25,339089.28,705536.8,258578.77,269026.84
621/347.3154mz/7.78min,386420.4,88954.31,146343.52,300533.28,111274.47,112586.11
622/408.3681mz/7.78min,1300045.6,345319.7,487522.34,1080976.1,440210.03,450256.5
623/522.4151mz/7.77min,464403.75,203620.12,501823.03,269096.88,392201.94,134128.66
624/356.3158mz/7.79min,1345794.0,339723.6,954438.8,412116.25,531175.5,212102.55
627/397.3099mz/7.8min,1352729.9,362768.6,1146602.5,328481.72,535963.1,47042.086
628/492.4046mz/7.81min,562017.94,347574.94,1862355.4,296801.78,325714.03,1023920.06
629/476.4098mz/7.82min,551214.6,191101.03,450669.44,318666.34,356024.25,132680.31
631/495.344mz/7.85min,285679.22,38290.86,538022.6,30707.188,35183.375,70198.63
632/719.5416mz/7.84min,0.0,16085.836,6020296.0,165866.62,957527.3,99543.91
634/430.3313mz/7.83min,331523.5,131761.84,284935.0,207737.64,226680.78,75946.375
637/740.5195mz/7.84min,0.0,137924.28,2090882.2,186410.17,92837.484,81855.8
638/664.4909mz/7.88min,0.0,5531481.0,3780.7612,28688780.0,52618264.0,21997044.0
639/760.5841mz/7.84min,0.0,2027119.0,93639.85,0.0,4326915.0,2237137.8
640/714.5032mz/7.86min,0.0,198676.58,22989.715,198727.12,43504.82,97851.664
641/686.4724mz/7.84min,0.0,265881.94,0.0,1681400.0,1896105.6,947381.7
643/729.5152mz/7.84min,0.0,344819.03,3490.4023,423563.1,112278.43,298096.56
644/284.1519mz/7.84min,237156.94,35796.07,332250.25,233002.83,56113.656,38299.992
645/716.4615mz/7.84min,0.0,272167.28,0.0,270976.53,217677.86,217986.05
646/778.3229mz/7.84min,659018.06,175049.66,238000.84,396071.7,433286.53,78470.76
647/228.1958mz/7.84min,174679.8,867165.06,2489330.5,215651.48,91910.01,718469.6
648/244.1907mz/7.84min,81179.88,485668.1,1479212.8,109694.11,33346.45,421022.03
651/198.1852mz/7.82min,3578.269,87635.164,285348.8,9505.381,0.0,42470.547
653/209.1536mz/7.8min,28037.766,172819.23,702720.4,46403.254,0.0,163800.84
654/250.1777mz/7.84min,22865.357,44358.008,290471.88,0.0,0.0,14143.039
655/409.3118mz/7.84min,49835.215,128534.63,768507.56,4744.328,4181.9277,64267.82
657/706.5376mz/7.84min,0.0,0.0,6480662.0,0.0,0.0,0.0
658/728.5195mz/7.84min,0.0,0.0,3217982.5,0.0,0.0,0.0
659/732.5531mz/7.83min,0.0,0.0,8542608.0,0.0,466875.78,0.0
661/793.6269mz/7.84min,0.0,31126.068,303347.2,0.0,0.0,4667.3525
662/707.5315mz/7.84min,0.0,2005957.8,0.0,5588278.0,1737775.1,1177472.8
663/408.3083mz/7.84min,235525.6,558628.6,3194186.8,105604.19,34556.113,280261.56
664/718.5371mz/7.84min,0.0,59535.547,29805176.0,412364.2,2183543.2,255171.62
665/788.6139mz/7.86min,0.0,1111176.8,2079186.8,0.0,3076431.8,593117.75
666/226.1801mz/7.84min,66350.61,415213.1,1209765.6,93497.93,29771.406,345666.84
667/782.5667mz/7.84min,0.0,544906.94,38758.14,0.0,257910.34,336869.2
670/726.5038mz/7.84min,0.0,25419424.0,16111.809,23644026.0,20185966.0,16200759.0
671/702.4955mz/7.86min,0.0,554755.56,4962.204,625971.6,550053.94,444694.62
675/704.5221mz/7.84min,0.0,70505496.0,193741.88,301600060.0,73325010.0,68876890.0
676/720.5163mz/7.84min,1739515.4,954764.7,2181628.2,1799478.1,1662798.8,1014363.06
677/700.4884mz/7.84min,0.0,5979472.5,260791.16,6119678.0,5510228.0,4552427.0
678/331.2631mz/7.84min,394843.62,115897.48,223915.17,172065.1,206298.6,37791.31
679/478.3866mz/7.84min,276671.66,29803.652,119186.414,30087.459,42354.586,0.0
681/808.5823mz/7.86min,0.0,795787.9,32157.363,0.0,299214.75,513904.4
682/746.5688mz/7.86min,0.0,181280.9,807740.7,0.0,1065034.5,303239.12
683/497.3598mz/7.86min,458188.03,51908.59,1077213.4,78971.0,138818.52,190913.28
684/810.5961mz/7.84min,0.0,241834.61,334397.88,0.0,206757.95,145493.97
685/580.3969mz/7.84min,5337797.0,1483205.1,3664876.0,1725550.9,2220656.5,1029987.56
686/678.5064mz/7.84min,0.0,19260688.0,1111630.8,23989772.0,19752664.0,19068216.0
687/744.5522mz/7.83min,0.0,9061.182,304073.97,22130.406,72609.71,6075.4346
688/754.5346mz/7.89min,0.0,0.0,2360708.0,0.0,36624.0,0.0
689/768.5501mz/7.88min,0.0,3717.0068,630776.56,0.0,96678.49,0.0
690/742.4778mz/7.84min,0.0,1108891.4,0.0,824038.8,568497.0,662505.2
693/602.3792mz/7.84min,650810.9,139824.38,476461.6,146067.05,179642.77,36515.01
696/692.5209mz/7.86min,0.0,178322.97,430418.03,469444.4,179230.03,264747.4
697/488.3736mz/7.85min,151369.95,159027.5,2789295.2,40894.586,50075.766,2808424.0
698/742.4992mz/7.84min,848546.0,252449.83,1550279.8,315414.22,319753.75,64823.37
700/606.5087mz/7.88min,158455.52,131824.62,107450.984,64271.586,66038.21,164762.95
701/481.3653mz/7.85min,1082905.1,205156.73,727398.2,273151.25,352682.44,55394.17
702/743.5028mz/7.84min,352721.22,98577.21,656093.2,188795.89,184412.8,8279.646
705/441.3729mz/7.85min,682252.8,231986.4,710376.06,268601.84,550924.4,222714.5
