filename	ATTRIBUTE_GROUP
Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML	CTRL
Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML	CTRL
Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML	CTRL
POS_D5-211-C4-a_Run181.mzML	EXP
POS_D5-211-C4-b_Run184.mzML	EXP
POS_D5-211-C4-c_Run187.mzML	EXP
