#SampleID	BarcodeSequence	LinkerPrimerSequence	filename	ATTRIBUTE_GNPSDefaultGroup
NEG_TJGIp11_1_Run26.mzML	GATACA	GATACA	NEG_TJGIp11_1_Run26.mzML	G1
NEG_TJGIp11_2_Run124.mzML	GATACA	GATACA	NEG_TJGIp11_2_Run124.mzML	G1
NEG_TJGIp11_3_Run150.mzML	GATACA	GATACA	NEG_TJGIp11_3_Run150.mzML	G1
NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML	GATACA	GATACA	NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML	G2
NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML	GATACA	GATACA	NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML	G2
NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML	GATACA	GATACA	NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML	G2
2024_NEG_Anid-TJGIp11_1_Run168.mzML	GATACA	GATACA	2024_NEG_Anid-TJGIp11_1_Run168.mzML	G3
2024_NEG_Anid-TJGIp11_2_Run206.mzML	GATACA	GATACA	2024_NEG_Anid-TJGIp11_2_Run206.mzML	G3
2024_NEG_Anid-TJGIp11_3_Run253.mzML	GATACA	GATACA	2024_NEG_Anid-TJGIp11_3_Run253.mzML	G3
2024_NEG_Anid-EV-gpdA_CTRL_1_Run189.mzML	GATACA	GATACA	2024_NEG_Anid-EV-gpdA_CTRL_1_Run189.mzML	G4
2024_NEG_Anid-EV-gpdA_CTRL_2_Run209.mzML	GATACA	GATACA	2024_NEG_Anid-EV-gpdA_CTRL_2_Run209.mzML	G4
2024_NEG_Anid-EV-gpdA_CTRL_3_Run239.mzML	GATACA	GATACA	2024_NEG_Anid-EV-gpdA_CTRL_3_Run239.mzML	G4
