Filename,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML,NEG_D5-211-C3-a_Run146.mzML,NEG_D5-211-C3-b_Run149.mzML,NEG_D5-211-C3-c_Run152.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
29/217.1047mz/2.24min,873157.44,1119584.6,874888.25,0.0,0.0,0.0
30/140.0683mz/2.44min,43240.918,86922.38,86683.18,0.0,0.0,0.0
31/316.2115mz/2.52min,378905.0,172567.9,192132.47,0.0,0.0,0.0
32/316.2116mz/2.68min,483951.94,316461.5,108783.01,0.0,0.0,0.0
33/89.0598mz/2.75min,1227202.5,462431.1,361792.6,0.0,0.0,0.0
34/272.1855mz/2.75min,457010.9,316054.78,286595.44,0.0,0.0,0.0
35/217.1071mz/2.8min,302399.5,251867.11,562677.25,0.0,0.0,0.0
36/257.0995mz/2.8min,635531.0,551323.1,1194898.0,0.0,0.0,0.0
37/120.0445mz/2.83min,2561646.0,2504766.0,2225040.0,0.0,0.0,0.0
38/138.0551mz/2.83min,729429.0,699165.94,635383.44,0.0,0.0,0.0
40/345.1518mz/3.13min,252543.84,184725.34,539637.94,0.0,0.0,0.0
41/172.1333mz/3.19min,1050209.2,1000862.06,1013033.6,0.0,0.0,0.0
42/194.1153mz/3.19min,5550690.0,5608868.5,5752086.5,0.0,0.0,0.0
44/239.089mz/3.35min,585025.5,621064.56,785703.9,0.0,0.0,0.0
45/217.0421mz/3.52min,0.0,0.0,0.0,1107309.1,974535.7,1102772.1
46/219.0571mz/3.52min,472468.16,704063.7,571939.8,0.0,0.0,0.0
47/233.0726mz/3.55min,111962.734,61915.23,174515.22,0.0,0.0,0.0
48/255.0545mz/3.55min,103437.08,40652.473,154486.44,0.0,0.0,0.0
49/201.0596mz/3.65min,183206.77,150574.69,383144.03,0.0,0.0,0.0
50/217.1071mz/3.66min,123977.27,96024.46,165238.33,0.0,0.0,0.0
51/385.1465mz/3.65min,311265.3,259329.77,648033.3,0.0,0.0,0.0
52/345.1541mz/3.66min,50080.805,46512.25,134678.56,0.0,0.0,0.0
53/140.0683mz/3.74min,70989.58,104845.33,104798.42,0.0,0.0,0.0
54/322.0966mz/3.77min,60915.984,55392.29,106577.98,0.0,0.0,0.0
55/302.1304mz/3.8min,955356.5,634986.25,1293005.6,0.0,0.0,0.0
56/324.1123mz/3.8min,2224620.2,1698226.6,3029360.2,0.0,0.0,0.0
57/217.1072mz/3.85min,77007.41,56348.49,150358.2,0.0,0.0,0.0
58/468.2438mz/3.85min,326846.06,266037.78,521222.72,0.0,0.0,0.0
59/449.2026mz/3.85min,0.0,0.0,0.0,670034.0,535135.6,751295.25
60/245.0858mz/3.85min,520364.78,465661.06,900811.2,0.0,0.0,0.0
61/433.2065mz/3.85min,140299.77,108370.22,256059.61,0.0,0.0,0.0
62/451.2171mz/3.85min,556432.06,477445.4,979511.1,0.0,0.0,0.0
63/473.1992mz/3.85min,2087157.5,1775188.2,3451053.8,0.0,0.0,0.0
64/300.1147mz/3.9min,959815.4,733447.1,1374672.9,0.0,0.0,0.0
65/322.0965mz/3.9min,789315.5,610660.44,1131831.0,0.0,0.0,0.0
66/203.0621mz/3.91min,159196.42,175056.88,221874.0,0.0,0.0,0.0
67/561.2514mz/4.0min,252184.88,131366.05,417414.56,0.0,0.0,0.0
68/222.1464mz/4.05min,555436.4,555364.0,540602.9,0.0,0.0,0.0
69/325.1255mz/4.24min,856377.1,824488.94,809217.3,0.0,0.0,0.0
70/233.0726mz/4.36min,430908.72,316282.84,681919.6,0.0,0.0,0.0
71/255.0544mz/4.36min,429370.25,324965.4,696547.7,0.0,0.0,0.0
72/266.1726mz/4.37min,88478.78,83416.31,90807.68,0.0,0.0,0.0
