Filename,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML,POS_D5-227-C3-a_Run274.mzML,POS_D5-227-C3-b_Run277.mzML,POS_D5-227-C3-c_Run280.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
467/351.2506mz/7.88min,954807.4,1233496.9,1332614.5,1082919.8,1169338.4,1282558.8
468/351.2144mz/7.88min,347831.1,411891.94,446646.34,391328.88,412187.47,435508.88
469/373.2325mz/7.88min,288056.03,366857.03,393746.16,435033.3,476112.78,510448.34
470/810.5976mz/7.88min,417331.88,667023.6,445068.88,586735.0,1014394.5,780471.2
471/352.3393mz/7.88min,1808270.0,1893316.8,2116893.0,2030313.8,2016540.8,2205760.5
473/730.5382mz/7.94min,2663547.5,204582.55,203609.03,456073.53,0.0,7044.762
476/752.52mz/7.89min,5045745.5,824222.5,733279.56,2445387.0,132445.06,177004.3
477/851.7099mz/7.9min,810859.9,1233433.5,1707522.1,2092139.8,2509163.0,3636347.5
480/557.2815mz/7.9min,202671.77,190055.75,233730.38,204877.81,197054.42,219957.8
482/579.2635mz/7.9min,866906.25,837409.8,983598.94,1133709.0,998933.94,1126666.5
483/827.7094mz/7.9min,0.0,181370.19,101686.37,248451.64,667991.9,147179.4
484/443.2046mz/7.9min,256284.84,784429.4,707211.6,0.0,0.0,0.0
487/310.3104mz/7.92min,286023.66,285787.44,353732.3,128554.734,526107.9,290250.9
488/284.2948mz/7.99min,505266.97,662740.4,595347.56,543656.7,489910.2,518254.94
489/365.2662mz/7.99min,449623.97,636855.8,447716.22,541686.44,601114.94,471015.44
490/730.5381mz/8.06min,1185475.1,355673.56,564718.6,3382164.5,193421.77,228876.67
491/336.3259mz/8.04min,302088.5,532987.06,410842.88,42301.176,224380.2,214570.88
494/395.3309mz/8.21min,184385.89,273674.53,233971.42,192871.3,239489.73,233677.58
495/377.3202mz/8.22min,390388.2,603593.0,438621.12,300071.97,341928.7,397569.44
496/633.1501mz/8.21min,39677.7,38938.953,48785.3,329166.25,301910.94,339324.47
497/712.4887mz/8.27min,1524847.8,185058.81,564535.9,399863.84,50431.195,97400.875
498/827.7082mz/8.22min,19120.559,275322.0,314126.4,481690.8,685315.3,281284.84
502/752.52mz/8.22min,664969.75,443000.44,639587.6,1368792.8,410894.2,705335.9
503/825.6939mz/8.22min,503529.84,367237.78,443980.25,50317.67,77794.59,77768.2
504/421.2509mz/8.22min,254979.75,406899.88,329974.97,245693.03,220675.89,221724.92
509/851.7101mz/8.22min,1333924.0,1856737.5,2629098.2,2544930.8,2678446.8,4495634.0
512/769.6315mz/8.22min,117950.51,212591.97,246872.52,319448.22,232547.77,449386.06
513/881.7559mz/8.22min,0.0,0.0,0.0,354209.38,253032.06,183326.16
514/797.663mz/8.22min,150689.39,187892.52,232712.34,347502.03,293336.0,246673.52
517/690.5067mz/8.26min,3554107.8,1408355.6,1716797.9,1679454.8,168159.66,251115.9
519/617.4173mz/8.29min,240920.62,285782.78,367754.25,235758.75,250621.7,391700.88
521/312.3259mz/8.33min,271022.06,225806.31,239779.52,184833.62,231554.72,252329.36
522/321.3152mz/8.35min,278626.53,425720.4,345397.97,35179.676,235187.95,171206.83
523/338.3417mz/8.35min,30027784.0,44236464.0,36216170.0,7483769.5,25102526.0,19777590.0
524/675.6757mz/8.35min,199077.45,422496.22,288511.2,0.0,163194.94,90409.2
525/250.1778mz/8.35min,225416.72,282392.97,223699.14,0.0,111776.74,64125.895
527/413.266mz/8.38min,3535303.8,3392231.8,3114337.2,2380244.8,2601576.0,2737100.0
528/716.522mz/8.39min,2342433.8,242027.98,439808.1,0.0,0.0,0.0
529/391.2842mz/8.38min,953992.5,841100.75,846391.3,439361.0,562607.0,624555.8
531/393.2973mz/8.39min,1295659.9,1391640.1,1666456.9,2114974.0,2518783.5,2280870.5
532/738.5038mz/8.41min,1407809.5,189471.67,333868.6,0.0,0.0,0.0
533/136.0217mz/8.41min,4908357.5,4750310.0,4705572.0,879461.25,868747.3,883986.4
534/312.3259mz/8.43min,738204.8,1043701.44,812029.94,510823.34,550032.4,529111.8
535/352.3393mz/8.53min,14913989.0,14001724.0,14051035.0,7564707.0,7849914.0,7782965.5
537/562.4253mz/8.6min,238766.05,306745.84,392646.94,253481.44,263624.62,245367.62
538/717.5055mz/8.6min,171270.83,186867.28,168409.05,297240.97,257947.94,223083.31
539/213.983mz/8.57min,1994470.4,1185502.4,997182.8,394211.1,363343.1,323456.94
540/366.3729mz/8.67min,672036.06,682396.2,1274133.4,1702790.0,262454.22,808006.7
541/340.3573mz/8.68min,360157.78,395351.1,360366.03,88917.47,126386.984,163308.69
542/421.2843mz/8.7min,39503.242,0.0,544583.6,69056.32,15501.48,17024.764
543/546.4306mz/8.71min,2547870.2,3230274.2,2132130.0,2482060.8,2384353.2,1421139.6
545/201.9758mz/8.69min,1050704.6,1094939.9,1111101.2,204113.45,473657.53,473974.62
546/394.3225mz/8.75min,528430.2,637982.5,550920.1,270570.7,295113.75,260280.12
548/377.3201mz/8.82min,4158353.5,4752001.0,4635601.5,3832307.2,3728881.0,3742265.2
549/378.3235mz/8.82min,1273558.2,707867.56,677691.2,569405.9,547661.3,517033.97
551/378.3235mz/8.96min,980374.0,1422119.9,1361969.6,605891.4,767066.6,756515.06
552/827.7102mz/8.97min,0.0,2831852.0,3174166.8,662051.44,3527016.8,635410.5
553/377.3202mz/8.96min,4215079.5,4631715.0,4508707.0,2397165.0,2564776.5,2601855.5
556/379.3359mz/8.97min,7193674.5,7445887.0,7377834.0,6026566.5,5760625.0,5726870.5
557/380.3391mz/8.97min,2094809.4,2213999.2,2171573.5,1765365.4,1695709.5,1691198.8
559/879.7409mz/8.97min,0.0,1694077.5,2082753.4,11350560.0,11632467.0,2917110.8
560/395.3307mz/8.97min,736489.9,797982.8,856263.4,481789.84,554676.9,589756.75
561/851.7101mz/8.97min,47442770.0,35842640.0,43310576.0,14580503.0,17871196.0,22762344.0
562/855.735mz/8.97min,0.0,574787.6,613937.06,962579.5,1125132.1,1326037.4
563/481.2924mz/8.97min,3224580.5,3402445.5,3630187.8,2261629.8,2489057.5,3088704.8
564/823.6792mz/8.97min,19843360.0,38034332.0,34571148.0,28060772.0,18457014.0,13631712.0
566/717.5063mz/9.07min,786512.4,731920.94,549103.3,743586.75,927989.1,1049798.6
567/352.3393mz/9.08min,2278663.5,2067670.5,2068960.6,1070038.8,1157986.5,1108654.0
568/463.3314mz/9.19min,69743.04,11934.977,844327.6,101284.97,38499.707,30477.473
569/717.5065mz/9.28min,551051.2,680482.9,529708.5,661065.1,697521.2,830550.5
570/587.4645mz/9.62min,1608323.6,1162991.4,818069.2,606026.75,730561.75,772948.94
571/853.7255mz/9.66min,0.0,3328128.0,5849166.0,38855696.0,38427710.0,24297544.0
572/613.4226mz/9.62min,8090862.0,6477231.0,7746319.0,3420978.0,3628793.0,6220590.0
574/879.741mz/9.6min,0.0,15525624.0,16684394.0,1549111.4,1316447.1,2124348.8
575/451.2453mz/9.64min,319912.94,400998.7,530607.25,723382.25,769271.9,1109157.0
576/383.1827mz/9.64min,337914.0,409138.06,545625.9,748098.9,798956.06,1160921.1
577/519.308mz/9.64min,227845.66,275203.97,373357.5,500369.47,522808.66,761457.8
578/587.3708mz/9.63min,231599.55,272103.28,365805.88,494130.1,512496.8,749605.06
579/717.5064mz/9.69min,365122.2,371264.3,416805.22,484890.03,618923.3,679802.06
580/537.3947mz/9.79min,400313.9,347149.06,513985.62,203172.2,210904.02,293053.38
581/610.1839mz/9.82min,117245.87,139515.42,158075.06,467810.94,456425.84,471799.16
583/717.5063mz/9.91min,350573.12,392545.62,398805.84,468632.34,563137.7,577073.0
584/226.9515mz/9.94min,1305106.5,2297287.8,2240422.0,2881098.8,2676401.8,3182362.0
585/855.7348mz/9.96min,0.0,1421039.5,1520326.9,2064339.9,952317.7,10210025.0
588/853.7245mz/9.98min,50672.434,29267010.0,31912024.0,5171488.0,6406659.0,1494520.8
589/717.5062mz/10.02min,234693.66,318403.22,187372.4,358379.9,344112.06,211640.36
590/743.616mz/10.02min,1837562.8,1158102.0,1080965.8,609657.0,644292.56,1496064.5
591/771.6473mz/10.0min,3348006.2,1932172.8,1818407.0,716915.25,548324.3,193256.28
593/736.5422mz/10.09min,445496.5,484503.8,489708.22,360460.97,420955.66,415156.47
594/726.462mz/10.09min,1458831.4,1490331.4,1479277.5,1088607.4,1254687.6,1318849.9
595/663.4538mz/10.09min,1568897.5,1552794.9,1554554.9,774289.7,834517.44,959612.7
596/685.4358mz/10.09min,15361326.0,14116750.0,13868548.0,10295249.0,11446101.0,12379968.0
597/708.5112mz/10.09min,764150.0,797242.3,780993.2,523460.72,485704.38,618001.44
598/146.9804mz/10.17min,9715590.0,3439236.0,3229767.8,4809484.0,4863132.0,4916628.5
599/144.9822mz/10.18min,21425664.0,7507640.0,15264123.0,10743690.0,10874472.0,11063982.0
600/769.6314mz/10.19min,310694.56,275523.56,232787.92,556965.8,415159.84,853385.1
602/797.6628mz/10.18min,452274.28,411810.28,383048.53,1343102.1,1118833.4,509716.2
603/80.9479mz/10.18min,930464.2,849612.6,815978.7,416123.47,414292.3,429466.9
604/101.071mz/10.18min,2138950.8,2082775.5,2031272.8,1785833.0,1848094.9,1793434.0
606/589.4801mz/10.2min,3322679.2,3077128.5,2157884.0,2290099.8,2340193.5,2326357.2
607/216.9228mz/10.2min,3525483.2,2452230.2,1746166.8,1174321.4,1222931.2,1236715.0
610/738.5041mz/10.22min,1247813.9,990230.25,1094689.1,871924.8,449265.0,652900.5
611/615.4955mz/10.22min,847147.75,914513.8,969591.4,653748.4,1573705.1,534545.3
612/498.9009mz/10.23min,185653.3,200455.1,187797.25,350811.34,385848.34,372337.12
613/158.9641mz/10.22min,2624077.2,1906315.6,1869687.1,2227177.2,2195454.5,2468912.8
614/690.5065mz/10.23min,366437.78,355409.12,380627.47,853040.56,274410.6,362473.0
615/752.5196mz/10.23min,114339.96,26865.898,67724.96,335582.9,86828.99,229403.77
616/226.9515mz/10.23min,7775669.0,3827481.2,3718035.5,5026028.5,5291388.5,5223256.5
617/362.9261mz/10.23min,506429.0,499602.03,484203.6,796752.6,856931.44,839431.1
618/430.9135mz/10.23min,441608.06,446381.62,441494.3,778770.94,839952.1,822490.44
620/140.0683mz/10.25min,659295.6,560391.5,596098.6,469525.56,479883.2,540071.4
621/304.8941mz/10.26min,203640.98,247588.03,254306.25,400662.25,475012.06,427399.0
