CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1649	1752	1	0.9599	-124.125
250	1720	1	0.9481	-112.161
1427	1683	1	0.9542	-0.001
1427	1605	1	0.8371	24.000
1649	1966	1	0.9251	-24.000
1713	1808	1	0.9334	13.980
1735	1752	1	0.9553	-15.995
1377	1738	1	0.8607	43.042
1203	2005	1	0.8402	15.995
1314	1610	1	0.98	-108.131
1269	1553	1	0.9727	0.000
1622	1687	1	0.8996	-26.014
250	1261	1	0.9767	-108.130
1610	1698	1	0.9878	-0.000
1619	1972	1	0.9844	24.000
1440	1966	1	0.9351	0.000
688	784	1	0.8517	0.101
1425	1805	1	0.9762	108.130
1413	2005	1	0.9258	27.995
1752	1805	1	0.9489	124.125
1395	1605	1	0.8979	14.016
1567	1972	1	0.9715	0.000
1314	1451	1	0.9022	-108.130
1457	1968	1	0.9904	0.000
1116	1269	1	0.9576	24.000
842	1453	1	0.8999	-262.229
1233	1377	1	0.9663	-0.000
1553	1700	1	0.9953	-14.016
1657	1965	1	0.8998	-2.018
1420	1536	1	0.9712	-0.000
1657	1696	1	0.8637	-2.017
1657	1698	1	0.8965	-29.030
1440	1735	1	0.9927	-84.131
1488	1698	1	0.8735	-29.031
250	1700	1	0.9575	-98.146
1099	2005	1	0.9997	-108.131
1462	1800	1	0.9178	0.001
1649	1972	1	0.9877	0.000
1627	1711	1	0.9804	-0.000
1171	1720	1	0.9651	-4.031
1752	1975	1	0.9522	15.995
1622	1727	1	0.9753	-0.000
1420	1605	1	0.9559	-108.130
1553	1720	1	0.9776	-28.031
1233	1552	1	0.8602	24.000
1261	1553	1	0.9878	24.000
1377	1683	1	0.9217	-27.995
1425	1972	1	0.977	108.131
1698	1825	1	0.889	29.027
1649	1975	1	0.9899	-108.131
842	924	1	0.9935	24.000
1425	1548	1	0.9604	84.130
1803	1968	1	0.9657	0.000
1453	1711	1	0.9074	-0.001
722	1683	1	0.8988	-290.225
1703	2011	1	0.9335	0.003
1713	1752	1	0.9107	24.000
1457	1738	1	0.9893	-0.000
1116	1676	1	0.9838	24.000
1050	1314	1	0.8221	15.995
1171	1269	1	0.9499	24.000
1460	1462	1	0.9446	-108.131
1881	1965	1	0.8971	-2.014
1377	1427	1	0.9477	-27.994
1011	1478	1	0.825	73.017
1748	1940	1	0.8817	40.031
1478	1553	1	0.9717	14.016
1269	1676	1	0.965	-0.000
1099	1203	1	0.8409	-124.125
1552	1660	1	0.9669	1.033
1687	2014	1	0.8607	-13.980
1622	2005	1	0.9806	0.000
722	1622	1	0.8342	-238.230
1605	1623	1	0.8707	11.018
1610	1825	1	0.9006	29.027
1552	2005	1	0.9856	0.000
842	1627	1	0.9713	-262.229
1440	1738	1	0.9098	-108.131
1427	1968	1	0.8687	71.037
1719	1997	1	0.927	-38.015
1269	1478	1	0.9682	-14.016
1440	1808	1	0.9155	-110.146
1269	1720	1	0.973	-28.031
1233	1683	1	0.9328	-27.995
1713	1966	1	0.939	124.126
2011	2021	1	0.9248	24.000
1553	1748	1	0.9604	-40.031
1445	1965	1	0.9181	-0.003
1567	1975	1	0.9696	-108.131
250	1171	1	0.9925	-108.130
1617	1748	1	0.9886	0.000
1451	1657	1	0.8605	29.029
1462	1968	1	0.8524	-38.015
1605	1679	1	0.921	-0.000
1657	1825	1	0.9896	-0.003
1488	1881	1	0.9877	-0.005
1719	1999	1	0.9327	-0.000
1536	1679	1	0.9122	-108.131
1696	1881	1	0.8614	2.014
1530	1617	1	0.9449	24.000
1622	1660	1	0.9587	1.033
1548	1619	1	0.9744	-0.000
1425	1752	1	0.9509	-15.995
1269	1410	1	0.9584	0.000
857	858	2	0.8448	-10.028
590	814	2	0.9807	-28.031
815	858	2	0.8828	-14.015
504	550	2	0.8616	-14.016
812	950	2	0.8646	0.000
590	661	2	0.9446	-14.016
