row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML Peak area,GF_CC_MC_RCG_2_pos_20210511_Run111.mzML Peak area,GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML Peak area,GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML Peak area,GF_CC_MC_RCG_3_pos_20210511_Run176.mzML Peak area,GF_CC_MC_RCG_1_pos_20210511_Run75.mzML Peak area,Unnamed: 19
33,80.94786445557678,0.3405031,,,,40.0,3.0,[M+Na]+,,2.0,33;40,57.95864,363083.66,340774.44,275731.66,348504.88,311983.72,331178.97,
8943,81.52049512412644,10.576688,,,,13.0,,,,,,,20962670.0,18462486.0,22351994.0,17443514.0,20611390.0,17517344.0,
589,84.04438317833174,0.6229508,,,,142.0,,,,,,,955835.6,418799.56,423075.62,1380322.0,88422.98,76896.35,
1898,84.04443167146809,1.577619,,,,,,,,,,,409427.78,1097736.8,3005939.5,63289.54,1535411.0,1462901.0,
628,84.08078619093385,0.60947484,,,,,,,,,,,862802.75,3601904.8,11549085.0,438932.44,4857662.5,5109184.0,
319,84.08079440630299,0.48618890000000003,,,,222.0,,,,,,,9808898.0,12296609.0,13086403.0,11414111.0,16812464.0,13517801.0,
22,84.0808063702229,0.35519502,,,,,,,,,,,299298.5,520743.6,1132411.1,1294033.1,932251.1,963479.4,
1643,84.08081097614566,1.283657,,,,,,,,,,,73800.94,1102294.5,357078.5,492040.6,2687948.8,1438470.5,
8956,84.95964524481377,10.600094,,,,13.0,,,,,,,2470491.8,1506394.6,2484688.5,1751762.2,2518822.8,1764047.9,
15,84.95969389723189,0.18376637,,,,,,,,,,,2862996.0,858427.44,215108.97,1013314.8,236169.66,449832.25,
858,86.06003099280794,0.78202224,,,,244.0,,,,,,,15792183.0,26956208.0,36954776.0,29983332.0,22106742.0,19934408.0,
617,86.06004455696724,0.6793305000000001,,,,,,,,,,,8352520.0,1617685.9,7897731.5,6633347.5,925490.6,1583755.5,
3742,86.09640217855805,2.5787873,,,,,,,,,,,3127765.2,4027728.0,4504521.0,4976873.0,3597447.0,4541496.0,
683,86.09640596154036,0.6756765,,,,274.0,,,,,,,224350980.0,352109200.0,320846100.0,244827520.0,346762020.0,353978270.0,
2467,86.09642655023184,2.0638266,,,,152.0,,,,,,,18164618.0,15758015.0,28024118.0,13045444.0,21100530.0,18685400.0,
2905,86.09643435523476,2.2079904,,,,,,,,,,,4452251.5,2333538.5,7461569.5,4574654.0,2617450.0,1938570.2,
952,87.06335964856281,0.79320437,,,,,,,,,,,161093.52,188000.16,1539292.4,463427.56,193477.6,74775.58,
1118,88.07567336536188,0.9058656999999999,,,,,,,,,,,1245447.6,1963523.0,4095914.2,1050843.2,2862545.2,1968553.4,
1822,89.05971741033977,1.5247303,,,,,,,,,,,0.0,4945392.0,1885323.2,0.0,2178380.0,861631.25,
1649,89.0597165994306,1.346201,,,,,,,,,,,0.0,2768500.0,669565.4,0.0,953416.9,3416450.5,
1904,89.05972016642694,1.5784867,,,,,,,,,,,0.0,5920460.0,8701131.0,0.0,2187551.2,6170010.5,
2057,89.05972573827087,1.7298686999999997,,,,,,,,,,,0.0,590932.6,1067343.9,43398.742,2885440.8,4892247.0,
2151,89.05973507664706,1.8277518,,,,,,,,,,,0.0,990192.1,789617.4,208257.58,2440981.5,945644.75,
1047,90.05494769413103,0.8740101,,,,,,,,,,,648142.0,3453787.2,4608488.0,572271.4,18281176.0,16673104.0,
325,90.0549577935696,0.4920934,,,,222.0,,,,,,,3796744.5,8185205.5,7486891.0,3100551.5,1420446.9,3269749.2,
2005,90.05499629926233,1.6487775000000002,,,,,,,,,,,17784.945,221553.84,162401.31,13823.572,1137587.1,2870661.8,
2080,90.0549970190896,1.7816154,,,,,,,,,,,17784.945,367950.1,153972.2,13834.163999999999,8368287.5,463423.0,
1778,90.05500409894897,1.4357708999999999,,,,,,,,,,,31358.715,118487.37,222010.23,32669.805,18036744.0,13498247.0,
1593,90.09136865322935,1.2719841,,,,,,,,,,,9492.508,59140.484000000004,36194.117,5113.5674,12408070.0,7605057.0,
2197,90.09138300525416,1.9334376,,,,,,,,,,,4867.072,62791.633,27485.077999999998,0.0,2017689.6,210957.3,
1992,90.09139463661323,1.6657133000000002,,,,,,,,,,,4554.5913,73929.19,56467.062000000005,0.0,3669722.0,416923.5,
8945,90.52583276073491,10.582429,,,,13.0,,,,,,,42708910.0,39409564.0,43708844.0,36592052.0,41237932.0,36825400.0,
7538,91.05418157961843,6.466913,,,,,,,,,,,425385.75,562031.1,411567.62,379797.25,523211.78,702634.25,
1509,91.05422969936785,1.2108952,,,,45.0,,,,,,,9066734.0,12722748.0,12775176.0,8114647.5,13145340.0,12785253.0,
5538,91.05425832198155,3.3395965,,,,,,,,,,,493804.84,294545.44,188221.53,1496237.6,142882.48,823818.94,
1482,93.06991154836493,1.1918908000000001,,,,45.0,,,,,,,3460040.5,5013320.5,4952162.0,3954651.5,5440009.5,4914603.0,
8926,94.04502350008111,10.524526,,,,193.0,,,,,,,4119539.5,3809134.8,4323375.5,3696415.8,3990362.0,2894363.0,
883,95.01608564612837,0.7988251999999999,,,,,,,,,,,1326438.8,1605435.2,1676631.9,1440855.1,983163.06,1287805.0,
562,95.02395241732893,0.6103807,,,,155.0,31.0,[M-H2O+Na]+,,2.0,586;562,90.0451,72989.03,998851.7,923872.75,587784.8,1064157.8,1173319.8,
1276,95.0491291444876,1.0699896999999998,,,,,,,,,,,616517.4,1876498.1,1653482.0,643074.56,530728.2,2341420.2,
1510,95.04914795727447,1.1894728,,,,,,,,,,,1193823.5,3194269.2,2058893.1,1295568.6,4619035.5,2087007.5,
1596,95.049156728609,1.252461,,,,,,,,,,,1911230.0,804728.8,697024.25,730788.6,542080.94,1071443.6,
1802,95.0491712946818,1.4386078000000002,,,,,,,,,,,185707.14,136406.62,705762.7,50789.402,368117.12,134785.12,
213,96.04436113910972,0.45396724,,,,222.0,,,,,,,1579724.5,2950889.5,2645343.5,2854376.2,2664095.8,3520627.2,
40,96.92179747273408,0.34486035,,,,40.0,3.0,[M+K]+,,2.0,33;40,57.95864,352864.7,310401.56,225298.38,325981.78,188708.84,299524.0,
8948,97.99128374164837,10.590034,,,,13.0,,,,,,,7537006.5,7488439.0,8379140.5,7228523.5,7973631.5,7232627.5,
8914,98.5119489342085,10.4456625,,,,,,,,,,,555608.25,632662.1,579329.5,591253.9,1380410.9,595176.4,
8969,98.51200014892757,10.930655999999999,,,,,,,,,,,835544.6,823976.1,615372.56,5570139.5,458576.5,979889.0,
7613,98.98410485422608,6.623937599999999,,,,,,,,,,,49418.05,28099.152000000002,51715.63,158691.27,3843.869,2062107.2,
427,99.09164512291012,0.5169154,,,,222.0,,,,,,,1124324.5,3412520.0,3538903.2,1860298.6,6017713.5,4996168.5,
8920,99.51216356635557,10.494517,,,,24.0,,,,,,,2579817.2,2251465.0,2639366.0,2092925.8,2299378.2,2318033.2,
8953,99.53106928616388,10.595927,,,,13.0,,,,,,,2489901.8,2083914.2,2262237.8,2578284.5,2631510.0,2822290.2,
2632,100.07568975851696,2.1510112,,,,,,,,,,,1352385.0,2251575.2,2674476.2,1881292.1,2546395.0,2419987.2,
1562,100.0756962805014,1.2837758999999997,,,,,,,,,,,27291268.0,10234394.0,15318076.0,24127496.0,14936252.0,5183607.0,
1733,100.07569930112088,1.4486983999999998,,,,,,,,,,,10138723.0,13336821.0,19364980.0,48739124.0,121707820.0,23419500.0,
1828,100.07570405300226,1.4882879999999998,,,,99.0,46.0,[M+H]+,,2.0,1825;1828,99.0684,88412670.0,170804380.0,269879700.0,142123740.0,158738510.0,265581180.0,
8870,100.11197964242413,10.199977,,,,,,,,,,,337944.9,377385.34,190580.86,203635.31,433474.75,757912.44,
8417,101.07092125666277,8.553821000000001,,,,,,,,,,,35902336.0,36640310.0,35938770.0,9234436.0,31262162.0,46995970.0,
614,101.10729370057858,0.6466593,,,,187.0,,,,,,,337570.28,1305549.2,1700238.4,876664.1,1456369.2,1901958.6,
8941,102.03378863857981,10.575014999999999,,,,13.0,,,,,,,70341240.0,67594370.0,74144210.0,67297540.0,66956740.0,65132932.0,
1434,102.04635185995785,1.169741,,,,45.0,41.0,[M+H]+,,1.0,1505,101.03907,178973.92,2258613.8,2154374.0,283233.12,2322319.0,1800900.4,
2643,102.09134984372608,2.1245987,,,,,,,,,,,4767843.5,7705306.0,13860233.0,7725475.5,14026903.0,10210545.0,
8940,102.53536342482607,10.574147,,,,13.0,,,,,,,6121507.5,5878899.0,6445375.5,5855995.5,5784655.5,5666934.0,
1865,103.05420754590193,1.5050011,,,,,,,,,,,815342.4,2102132.2,4290757.0,1278091.5,2695832.5,3906425.8,
4803,103.05420935485856,3.0140912999999996,,,,173.0,,,,,,,709250.9,910463.4,285821.56,1239948.9,711180.9,232143.33,
1501,103.05421014130552,1.2035182,,,,45.0,43.0,[M+H]+,,2.0,1478;1501,102.04696,74410640.0,118013520.0,110983220.0,84001144.0,127955090.0,120135544.0,
2107,103.05424685230857,1.7939720000000001,,,,,,,,,,,118401.97,154371.1,2964091.8,191436.97,1002132.1,647757.2,
308,103.1229331067936,0.47574627,,,,222.0,,,,,,,61499.246,1299159.1,1395036.8,137952.72,2500684.0,2276790.2,
17,103.12295083053198,0.35864222,,,,,,,,,,,112198.5,61640.887,39809.29,186428.64,100928.28,81203.14,
8942,104.03013887705272,10.575014999999999,,,,13.0,,,,,,,1755339.9,1697981.8,1881848.1,1680522.6,1654619.6,1550855.5,
959,104.1069103438275,0.86872435,,,,,,,,,,,1060467.6,826691.94,853649.8,844004.44,550816.0,1699884.5,
1181,104.1069339637537,0.9378926,,,,,,,,,,,268464.66,3883726.2,1623623.6,929987.56,3441533.2,3674856.8,
11,104.10693583988031,0.14046146,,,,,,,,,,,471571.75,171664.73,441419.53,1077569.5,291949.12,63288.844000000005,
106,104.10696157280898,0.38980207,,,,222.0,,,,,,,83258590.0,92938230.0,90038960.0,89703810.0,88783700.0,88538376.0,
7041,105.06980935432232,5.0804343,,,,277.0,,,,,,,150776.8,249851.84,293270.38,241500.11,466920.25,357893.34,
1905,105.06987174030638,1.5805787,,,,,,,,,,,288247.16,167111.16,8471435.0,4030003.5,1334398.1,361971.12,
6298,105.06990090797363,3.873131,,,,92.0,,,,,,,721976.1,1159794.8,1190571.9,1046977.6,1391930.0,1491771.0,
3525,107.04906667762098,2.5107310000000003,,,,253.0,,,,,,,4418055.0,6276525.0,6189675.5,2773116.8,6056022.5,6793315.0,
3952,107.04906895956293,2.6034580000000003,,,,,,,,,,,931547.44,1255588.0,1106584.6,445394.03,5311767.0,1744448.8,
1515,107.0491220577683,1.2040429,,,,45.0,,,,,,,10756685.0,12349077.0,15365340.0,9793773.0,13671732.0,13934419.0,
1739,107.0491367131305,1.351641,,,,,,,,,,,1698839.9,2152075.2,1058714.5,1634507.0,958023.0,3030297.0,
2011,107.04913857807392,1.6491362,,,,,,,,,,,141659.19,4097787.0,1688960.4,277502.88,11463599.0,7022295.5,
209,108.04432093479492,0.45248738,,,,222.0,,,,,,,969310.1,2379756.0,2336614.8,2037221.0,3514899.0,2832933.2,
8915,110.01994630319687,10.448014,,,,,,,,,,,4692990.0,1841618.1,2216503.2,1408534.4,2916721.8,6079248.0,
384,110.05999543378955,0.5033255999999999,,,,222.0,,,,,,,1253434.4,2698449.8,2446546.5,3057869.8,3525204.5,3935895.2,
2352,110.07121458158122,2.01188,,,,23.0,,,,,,,2555935.8,1690482.4,5393474.0,4729838.0,1301562.4,228607.53,
8917,111.02012650187146,10.486946000000001,,,,24.0,,,,,,,18906584.0,16104782.0,18769420.0,17183288.0,17478144.0,18358314.0,
8946,111.03899202507331,10.583051,,,,13.0,,,,,,,4745972.5,5046772.5,4077490.0,3966643.8,4878245.5,5229585.5,
971,111.05523279515928,0.86350775,,,,1.0,,,,,,,1880739.2,5390757.0,3839634.0,1335045.1,2808494.5,4360617.5,
2093,111.05526122096585,1.8089689999999998,,,,,,,,,,,75245.33,124741.875,76197.16,5520.334,4628021.0,153106.89,
8921,111.52173800161384,10.483113000000001,,,,24.0,,,,,,,1613226.1,938208.2,1545317.4,1400951.2,904028.25,1540321.1,
8924,112.01778450107427,10.504862,,,,24.0,,,,,,,7333812.0,6263314.0,7281614.0,6679142.0,6724318.5,7159291.0,
49,112.03685977274773,0.35466135,,,,40.0,6.0,[M+H]+,,3.0,49;53;52,111.02958000000001,1434801.1,3676724.8,3472976.2,2106772.5,2480451.8,4181318.0,
644,112.0868551077792,0.60119605,,,,,,,,,,,158520.52,257939.1,589023.5,368492.66,5956398.5,7025663.0,
336,112.08686682591372,0.49282742,,,,,,,,,,,1065104.2,2691167.0,3230553.2,2378982.8,9559355.0,1741371.4,
