sample_name,filepath
2024_POS_Y-p12_1_Run94.mzML,2024_POS_Y-p12_1_Run94.mzML
2024_POS_Y-p12_2_Run111.mzML,2024_POS_Y-p12_2_Run111.mzML
2024_POS_Y-p12_3_Run132.mzML,2024_POS_Y-p12_3_Run132.mzML
2024_POS_Y-EV_1_CTRL_Run88.mzML,2024_POS_Y-EV_1_CTRL_Run88.mzML
2024_POS_Y-EV_2_CTRL_Run117.mzML,2024_POS_Y-EV_2_CTRL_Run117.mzML
2024_POS_Y-EV_3_CTRL_Run138.mzML,2024_POS_Y-EV_3_CTRL_Run138.mzML
POS_TJGIp4_1_Run43.mzML,POS_TJGIp4_1_Run43.mzML
POS_TJGIp4_2_Run108.mzML,POS_TJGIp4_2_Run108.mzML
POS_TJGIp4_3_Run188.mzML,POS_TJGIp4_3_Run188.mzML
POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML,POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML
POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML,POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML
POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML,POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML
POS_TJGIp10_1_Run22.mzML,POS_TJGIp10_1_Run22.mzML
POS_TJGIp10_2_Run132.mzML,POS_TJGIp10_2_Run132.mzML
POS_TJGIp10_3_Run209.mzML,POS_TJGIp10_3_Run209.mzML
POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML,POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML
POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML,POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML
POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML,POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML
