#SampleID	BarcodeSequence	LinkerPrimerSequence	filename	ATTRIBUTE_GNPSDefaultGroup
2024_POS_Y-p12_1_Run94.mzML	GATACA	GATACA	2024_POS_Y-p12_1_Run94.mzML	G1
2024_POS_Y-p12_2_Run111.mzML	GATACA	GATACA	2024_POS_Y-p12_2_Run111.mzML	G1
2024_POS_Y-p12_3_Run132.mzML	GATACA	GATACA	2024_POS_Y-p12_3_Run132.mzML	G1
2024_POS_Y-EV_1_CTRL_Run88.mzML	GATACA	GATACA	2024_POS_Y-EV_1_CTRL_Run88.mzML	G2
2024_POS_Y-EV_2_CTRL_Run117.mzML	GATACA	GATACA	2024_POS_Y-EV_2_CTRL_Run117.mzML	G2
2024_POS_Y-EV_3_CTRL_Run138.mzML	GATACA	GATACA	2024_POS_Y-EV_3_CTRL_Run138.mzML	G2
POS_TJGIp4_1_Run43.mzML	GATACA	GATACA	POS_TJGIp4_1_Run43.mzML	G3
POS_TJGIp4_2_Run108.mzML	GATACA	GATACA	POS_TJGIp4_2_Run108.mzML	G3
POS_TJGIp4_3_Run188.mzML	GATACA	GATACA	POS_TJGIp4_3_Run188.mzML	G3
POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML	GATACA	GATACA	POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML	G4
POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML	GATACA	GATACA	POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML	G4
POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML	GATACA	GATACA	POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML	G4
POS_TJGIp10_1_Run22.mzML	GATACA	GATACA	POS_TJGIp10_1_Run22.mzML	G5
POS_TJGIp10_2_Run132.mzML	GATACA	GATACA	POS_TJGIp10_2_Run132.mzML	G5
POS_TJGIp10_3_Run209.mzML	GATACA	GATACA	POS_TJGIp10_3_Run209.mzML	G5
POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML	GATACA	GATACA	POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML	G6
POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML	GATACA	GATACA	POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML	G6
POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML	GATACA	GATACA	POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML	G6
