"","Filename","Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_pos_20210511_Run46.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_pos_20210511_Run102.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_pos_20210511_Run212.mzML","POS_TJGIp3_1_Run55.mzML","POS_TJGIp3_2_Run137.mzML","POS_TJGIp3_3_Run173.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","404/268.1038mz/2.01min","214579.5","288999.16","161000.48","315907.56","373860.2","631285.1"
"3","408/282.1195mz/2.06min","5885477.5","3995361.5","5428877.0","5031519.5","5251629.5","5516030.0"
"4","411/209.0922mz/2.07min","1065235.9","663763.75","518901.34","983674.44","923699.56","1216438.1"
"5","415/227.1026mz/2.1min","6146038.0","3345160.0","2800670.0","3600225.5","6212313.0","3382020.8"
"6","420/220.118mz/2.11min","4392232.5","3409234.8","3418168.2","4814251.0","4519542.5","4698329.0"
"7","421/242.0998mz/2.11min","1761321.8","1258452.6","1249365.2","2055183.4","1639464.1","1679428.4"
"8","422/232.1543mz/2.11min","2883095.2","2189403.2","4195066.5","4410390.5","4167418.5","5076020.0"
"9","426/146.0812mz/2.15min","282647.84","293631.6","198358.1","338805.22","584323.6","216701.75"
"10","429/185.0785mz/2.15min","789885.9","604017.5","961772.06","918099.7","1046969.4","957302.94"
"11","433/279.1337mz/2.19min","214923.39","214585.88","154509.67","289480.1","531222.06","286118.03"
"12","434/228.1343mz/2.18min","437869.78","523553.4","505238.22","485339.4","580201.94","718901.8"
"13","435/242.1862mz/2.19min","3949589.8","3631734.5","4120439.2","4060219.2","5235483.5","5683529.5"
"14","437/188.0706mz/2.21min","703947.5","922993.44","450127.44","966685.5","793524.44","585156.0"
"15","438/195.1228mz/2.21min","728535.3","272987.88","157287.23","272933.2","262079.52","105457.33"
"16","440/205.0972mz/2.21min","510955.12","722376.4","372508.2","710058.4","658570.0","524119.9"
"17","441/217.1047mz/2.21min","1562316.5","807337.6","1162833.4","728265.0","1387687.8","1020221.25"
"18","442/113.0597mz/2.22min","940789.6","444636.38","164390.31","385198.8","205170.47","1233151.6"
"19","446/245.1495mz/2.25min","768418.56","509280.06","347812.16","987271.75","552800.8","586249.5"
"20","447/267.1315mz/2.25min","1034247.4","643264.6","431292.25","1339791.2","961967.06","1000417.0"
"21","448/215.1391mz/2.25min","893013.1","938326.3","906783.2","871825.1","1245367.2","1603729.0"
"22","455/285.1345mz/2.27min","406620.0","422278.16","443370.72","514504.88","659175.0","648138.1"
"23","458/270.1923mz/2.28min","3154053.2","2997062.0","2914346.8","3476492.5","3926503.2","3807394.2"
"24","459/231.1702mz/2.29min","3577227.8","4399265.5","1768226.1","3861778.8","4440891.5","2985074.2"
"25","460/185.071mz/2.3min","144291.08","276265.53","125850.01","50227.234","60624.543","136337.97"
"26","461/254.1498mz/2.3min","817623.3","579913.6","564067.5","771605.0","575834.9","804786.5"
"27","465/100.0757mz/2.35min","213745.44","367517.8","119089.71","117116.03","340556.84","226024.84"
"28","466/171.1128mz/2.33min","3383424.8","3620208.8","3757079.2","3720130.2","5225556.5","6259031.0"
"29","467/195.1129mz/2.33min","4022520.2","4228880.0","4311527.0","4022760.8","5942680.0","6402991.0"
"30","472/116.0706mz/2.35min","884011.3","1034218.94","439523.56","970018.3","1119686.1","905479.06"
