"","filter","Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_pos_20210511_Run46.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_pos_20210511_Run102.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_pos_20210511_Run212.mzML","POS_TJGIp3_1_Run55.mzML","POS_TJGIp3_2_Run137.mzML","POS_TJGIp3_3_Run173.mzML"
"404/268.1038mz/2.01min",302453.36,214579.5,288999.16,161000.48,315907.56,373860.2,631285.1
"408/282.1195mz/2.06min",5340253.25,5885477.5,3995361.5,5428877,5031519.5,5251629.5,5516030
"411/209.0922mz/2.07min",953687,1065235.9,663763.75,518901.34,983674.44,923699.56,1216438.1
"415/227.1026mz/2.1min",3491123.15,6146038,3345160,2800670,3600225.5,6212313,3382020.8
"420/220.118mz/2.11min",4455887.5,4392232.5,3409234.8,3418168.2,4814251,4519542.5,4698329
"421/242.0998mz/2.11min",1659446.25,1761321.8,1258452.6,1249365.2,2055183.4,1639464.1,1679428.4
"422/232.1543mz/2.11min",4181242.5,2883095.2,2189403.2,4195066.5,4410390.5,4167418.5,5076020
"426/146.0812mz/2.15min",288139.72,282647.84,293631.6,198358.1,338805.22,584323.6,216701.75
"429/185.0785mz/2.15min",937701.32,789885.9,604017.5,961772.06,918099.7,1046969.4,957302.94
"433/279.1337mz/2.19min",250520.71,214923.39,214585.88,154509.67,289480.1,531222.06,286118.03
"434/228.1343mz/2.18min",514395.81,437869.78,523553.4,505238.22,485339.4,580201.94,718901.8
"435/242.1862mz/2.19min",4090329.2,3949589.8,3631734.5,4120439.2,4060219.2,5235483.5,5683529.5
"437/188.0706mz/2.21min",748735.97,703947.5,922993.44,450127.44,966685.5,793524.44,585156
"438/195.1228mz/2.21min",267506.36,728535.3,272987.88,157287.23,272933.2,262079.52,105457.33
"440/205.0972mz/2.21min",591344.95,510955.12,722376.4,372508.2,710058.4,658570,524119.9
"441/217.1047mz/2.21min",1091527.325,1562316.5,807337.6,1162833.4,728265,1387687.8,1020221.25
"442/113.0597mz/2.22min",414917.59,940789.6,444636.38,164390.31,385198.8,205170.47,1233151.6
"446/245.1495mz/2.25min",569525.15,768418.56,509280.06,347812.16,987271.75,552800.8,586249.5
"447/267.1315mz/2.25min",981192.03,1034247.4,643264.6,431292.25,1339791.2,961967.06,1000417
"448/215.1391mz/2.25min",922554.75,893013.1,938326.3,906783.2,871825.1,1245367.2,1603729
"455/285.1345mz/2.27min",478937.8,406620,422278.16,443370.72,514504.88,659175,648138.1
"458/270.1923mz/2.28min",3315272.85,3154053.2,2997062,2914346.8,3476492.5,3926503.2,3807394.2
"459/231.1702mz/2.29min",3719503.3,3577227.8,4399265.5,1768226.1,3861778.8,4440891.5,2985074.2
"460/185.071mz/2.3min",131093.99,144291.08,276265.53,125850.01,50227.234,60624.543,136337.97
"461/254.1498mz/2.3min",675759.3,817623.3,579913.6,564067.5,771605,575834.9,804786.5
