row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_POS_Y-p11_2_Run126.mzML Peak area,2024_POS_Y-EV_1_CTRL_Run88.mzML Peak area,2024_POS_Y-p11_1_Run97.mzML Peak area,2024_POS_Y-EV_2_CTRL_Run117.mzML Peak area,2024_POS_Y-p11_3_Run150.mzML Peak area,2024_POS_Y-EV_3_CTRL_Run138.mzML Peak area,Unnamed: 19
1362,81.52053214562348,10.592037,,,,36.0,,,,,,,1874730.0,1298430.9,2814614.0,2048135.9,2495474.8,2801214.8,
90,86.05998749357086,0.3722777,,,,6.0,8.0,[M-H2O+NH4]+,,2.0,86;90,86.03671999999999,1889620.5,2535565.2,1212307.5,2146844.8,1637138.8,2376739.0,
307,86.09637584467275,0.757112,,,,1.0,,,,,,,23253376.0,29222214.0,20217358.0,31438838.0,24850462.0,37559760.0,
13,86.99266928453619,0.30912638,,,,8.0,,,,,,,2078245.1,2191176.2,1841664.4,2075990.8,1875555.9,1898474.2,
86,87.04400639642272,0.37146416,,,,6.0,8.0,[M+H]+,,3.0,91;90;86,86.03671999999999,1891683.8,4662048.0,1497114.4,3150667.2,2666481.8,2122963.5,
14,88.99020167530121,0.30912638,,,,8.0,,,,,,,278428.6,284126.22,242294.14,257233.16,224675.56,230743.7,
1359,89.50666496220184,10.442928,,,,39.0,,,,,,,3642021.8,3121094.2,3741314.5,4038837.2,4501190.0,4362821.5,
1365,89.50668043056938,11.26072,,,,,,,,,,,710467.6,824199.3,1027803.5,782090.94,276309.1,3885134.8,
134,90.05489619279713,0.386922,,,,6.0,,,,,,,1905292.2,1768891.8,1130737.5,3453285.0,1501872.6,2021661.2,
1246,90.97657886986656,9.97529,,,,,,,,,,,201970.36,415365.56,19267.588,251695.27,270628.84,10318.33,
50,90.97658457853744,0.34705576,,,,45.0,,,,,,,665021.94,665725.7,763625.0,614941.9,668027.4,751666.2,
1305,90.97658452147158,10.276902,,,,43.0,,,,,,,693223.25,1107538.2,256385.44,677817.06,683062.3,282108.38,
493,92.04938067129095,2.8271751,,,,5.0,,,,,,,825215.0,983452.44,829701.06,1039924.25,828885.2,1323065.5,
303,92.11016293174092,0.7534068,,,,1.0,19.0,[M-H2O+H]+,,2.0,303;306,109.11306,3602369.5,3373048.2,3653572.0,3355009.5,3399810.5,2930042.2,
377,99.51213586069537,2.101177,,,,,,,,,,,183087.1,604648.75,371848.3,176740.92,232094.86,371107.56,
1363,102.03376564888529,10.600886000000001,,,,36.0,,,,,,,4310044.0,2721007.0,5037692.5,3663893.2,5263051.0,5065212.0,
91,104.07052273939398,0.3722777,,,,6.0,8.0,[M+NH4]+,,2.0,91;86,86.03671999999999,11969029.0,25588516.0,7285823.5,21944868.0,12798398.0,12695111.0,
71,104.10690719889622,0.36170159999999996,,,,55.0,,,,,,,6569652.0,11136255.0,5398342.5,9964729.0,8809043.0,8563206.0,
18,105.0032138704342,0.310752,,,,8.0,,,,,,,3591654.8,3790231.0,3218513.8,3840637.2,3361293.5,3004909.2,
20,107.00075448759138,0.310752,,,,8.0,,,,,,,529871.94,565459.06,466120.22,539706.44,463721.0,419021.62,
11,110.0086255389856,0.30746976,,,,8.0,,,,,,,690755.94,692179.25,641927.25,567547.2,629377.1,622955.7,
954,110.01995792672156,8.133922,,,,,,,,,,,4937230.5,7271506.5,1749507.0,7289523.0,7318561.5,928183.75,
1346,110.01996578418577,10.414466000000001,,,,39.0,,,,,,,10448029.0,8090847.5,9364726.0,8484945.0,12193022.0,11015573.0,
1070,111.02015019749514,8.683791000000001,,,,,,,,,,,129787.086,2129466.5,108071.45,532977.94,251850.55,114679.836,
1356,111.02015744412053,10.440617999999999,,,,38.0,,,,,,,8144091.5,8019495.5,8308067.5,7834245.0,8082762.5,8275968.0,
1354,112.01786406058271,10.438586,,,,38.0,,,,,,,3133157.5,3091126.5,3165085.5,3062900.0,3003795.2,3176359.8,
1071,112.01787189154102,8.661342999999999,,,,,,,,,,,225630.86,814643.44,10001.445,32639.832000000002,22400.951,41970.78,
950,112.01787376562432,8.10985,,,,,,,,,,,229265.44,352391.4,66957.734,525682.5,93764.39,83759.61,
380,112.07561956343685,2.1225824,,,,,,,,,,,244333.7,293251.7,201675.86,386460.12,231140.83,334832.03,
1347,113.96361253859466,10.419252,,,,39.0,,,,,,,1029737.25,310268.3,821580.9,493161.2,1178627.2,393369.25,
1,113.96364162189495,0.033472978,,,,0.0,,,,,,,424755.84,366060.0,426432.94,381924.66,457994.78,412180.97,
435,114.09128361770264,2.4864311000000003,,,,,,,,,,,1225129.6,1272100.5,1286902.1,1308511.4,1310778.4,2045529.2,
85,115.03652035350171,0.37065068,,,,6.0,,,,,,,770431.2,940564.8,1036496.3,1076824.2,797417.56,1984607.1,
97,115.04790182664308,0.37390473,,,,6.0,,,,,,,4400249.5,3213370.5,4140066.5,3015107.5,4386014.5,3110078.0,
120,116.0705473524198,0.38366795,,,,6.0,,,,,,,51946656.0,59866676.0,67172380.0,62976950.0,62505092.0,96599704.0,
112,117.0738983836009,0.38285413,,,,6.0,,,,,,,2751160.0,1935351.0,3015416.2,2765347.8,3200362.5,4185785.5,
208,118.08619589554554,0.50031614,,,,7.0,,,,,,,21735758.0,33367596.0,46763556.0,58048256.0,53869280.0,68447420.0,
181,118.08619602394195,0.43039570000000005,,,,,,,,,,,39192676.0,58750940.0,19844320.0,16115295.0,12443526.0,25568578.0,
368,118.94255763948891,1.756261,,,,,,,,,,,898408.3,1101445.1,252929.98,983436.8,241827.0,52453.293,
366,118.94255840821677,1.6297392,,,,,,,,,,,99215.34,114823.38,798382.56,194549.9,127461.17,86473.336,
363,118.94256558111609,1.5043458,,,,,,,,,,,86116.0,104330.1,99166.06,47516.227,952640.6,126871.375,
