row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_POS_Y-p10_3_Run144.mzML Peak area,2024_POS_Y-EV_1_CTRL_Run88.mzML Peak area,2024_POS_Y-EV_2_CTRL_Run117.mzML Peak area,2024_POS_Y-p10_1_Run103.mzML Peak area,2024_POS_Y-EV_3_CTRL_Run138.mzML Peak area,2024_POS_Y-p10_2_Run129.mzML Peak area,Unnamed: 19
120,117.07389867769713,0.38178429999999997,,,,5.0,,,,,,,3353668.2,1935351.0,2765347.8,3802868.0,4185785.5,3351393.5,
191,118.08619546324259,0.44663492,,,,,,,,,,,57939296.0,58750940.0,16115295.0,23316810.0,25568578.0,24650948.0,
226,118.0861956512182,0.50175,,,,26.0,,,,,,,33161898.0,33367596.0,58048256.0,47908492.0,68447420.0,61336132.0,
413,118.94255681285942,1.8406040000000001,,,,,,,,,,,224139.8,254916.92,46342.117,768860.2,130124.055,199282.92,
412,118.94255814791477,1.730586,,,,,,,,,,,243191.42,1101445.1,983436.8,56738.164000000004,52453.293,822009.1,
408,118.94255980140265,1.619517,,,,,,,,,,,1002826.6,114823.38,47516.227,175679.42,90882.95,99275.55,
3,118.94257732592452,0.03363745,,,,0.0,,,,,,,2639383.8,2765334.0,2740714.2,2689776.0,2635529.5,2711630.5,
219,119.08956144778631,0.47742143,,,,26.0,,,,,,,2727655.5,2729126.2,2796365.0,2799771.0,3001247.8,2785391.5,
550,120.04438344950745,2.825776,,,,15.0,,,,,,,75234860.0,106981460.0,109321090.0,85418400.0,144984910.0,22348558.0,
175,120.06546886819858,0.39236036,,,,5.0,,,,,,,6217385.0,1142717.9,1994891.5,1772386.6,1990415.8,11620526.0,
405,120.08073050755469,1.4676633,,,,65.0,,,,,,,11117113.0,10021885.0,10843091.0,11574898.0,13674307.0,17365022.0,
551,121.04769231483074,2.825776,,,,15.0,,,,,,,5707980.0,8066635.0,8297497.5,6430195.0,10920018.0,1619590.2,
128,122.08436491484244,0.38422490000000004,,,,5.0,,,,,,,957501.9,935445.06,696866.0,919613.6,225984.55,896546.75,
