"","FC","log2(FC)","raw.pval","-log10(p)"
"554/637.3049mz/7.71min",0.33947,-1.5587,0.019623,1.7072
"231/328.321mz/5.8min",0.4901,-1.0288,0.020379,1.6908
"553/654.3317mz/7.7min",0.37328,-1.4217,0.027999,1.5529
"1496/608.4284mz/10.31min",0.40563,-1.3018,0.036995,1.4319
"472/387.3298mz/7.49min",0.34464,-1.5369,0.038675,1.4126
"552/659.2868mz/7.7min",0.29784,-1.7474,0.044524,1.3514
"474/386.3263mz/7.52min",0.36036,-1.4725,0.0474,1.3242
