"","Filename","2024_POS_CC_1_Run20.mzML","2024_POS_CC_2_Run47.mzML","2024_POS_CC_3_Run61.mzML","2024_POS_CC-NaB_1_Run29.mzML","2024_POS_CC-NaB_2_Run50.mzML","2024_POS_CC-NaB_3_Run56.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","103/99.5121mz/2.1min","284606.53","646871.1","642649.8","540781.75","291377.62","291945.3"
"3","104/244.1907mz/2.1min","362358.0","378928.16","448430.34","381004.34","344923.53","375560.4"
"4","105/181.0971mz/2.12min","898039.1","811825.75","944581.0","988401.0","996221.4","1019009.0"
"5","106/245.0954mz/2.12min","4122480.2","3831443.2","4424619.0","4577829.5","4663369.5","4786656.0"
"6","107/184.1695mz/2.21min","1963623.9","2006927.0","2359434.5","2134971.2","1852114.8","2118754.0"
"7","108/217.1247mz/2.25min","490726.38","512937.16","524780.9","532120.3","511960.28","527572.9"
"8","109/218.1281mz/2.25min","6703308.0","7037200.0","7092236.5","7412760.0","7166185.5","7316413.5"
"9","110/199.1012mz/2.25min","442934.53","478102.5","489736.03","502175.47","482817.9","482796.22"
"10","111/200.1046mz/2.25min","5724253.5","6020740.5","5971879.5","6281107.0","6010011.0","6106682.5"
"11","113/195.1227mz/2.29min","662007.2","661755.6","609265.1","666496.06","606233.5","559981.0"
"12","115/244.2012mz/2.36min","2119867.8","1235168.4","1254858.4","2147822.5","1232838.0","2095142.9"
"13","116/244.2012mz/2.51min","317576.8","316261.53","321047.5","325065.34","329480.47","323452.7"
"14","117/184.1695mz/2.52min","189120.73","199355.02","262391.03","211392.34","197524.72","238893.69"
"15","118/316.2117mz/2.58min","518763.5","555945.0","515751.84","522767.8","540688.75","397545.84"
"16","119/261.1234mz/2.6min","3745073.2","3550931.0","3679835.0","3799929.2","3727608.2","3744845.8"
"17","120/259.2202mz/2.66min","444309.44","450825.1","453464.7","474518.9","437914.03","467538.44"
"18","121/130.159mz/2.69min","415925.8","421903.75","418963.97","432426.8","370467.62","381097.22"
"19","122/185.0855mz/2.7min","777895.7","524594.1","382658.53","507029.1","472245.53","347087.62"
"20","123/197.1285mz/2.71min","2253950.2","2233381.2","2507296.8","2413044.0","2468679.5","2456501.5"
"21","124/202.1801mz/2.73min","117968.21","137273.95","177111.53","127031.016","138448.56","180868.44"
"22","125/316.2117mz/2.74min","1072906.8","1166596.2","1235190.8","1116720.2","1161619.1","862161.9"
"23","126/214.1801mz/2.75min","77211.89","85959.45","88138.39","76220.8","79338.09","105473.32"
"24","127/185.1284mz/2.8min","77001.2","61179.35","73187.625","85703.23","84590.88","81727.055"
"25","128/259.2202mz/2.79min","201252.77","200408.77","200241.4","215122.06","203887.92","201204.7"
"26","129/272.1856mz/2.82min","1246104.6","1329863.4","1344371.1","1356015.2","1367964.6","1127752.4"
"27","130/120.0443mz/2.83min","583206.75","258310.25","378867.56","198453.9","191368.27","183274.67"
"28","131/138.0549mz/2.83min","601815.75","265142.75","393499.62","211397.14","196236.88","195533.58"
"29","132/181.0971mz/2.84min","85198.02","95668.05","72708.77","52398.348","50950.16","43490.277"
"30","133/185.1284mz/2.85min","55443.945","68127.84","79606.73","74258.42","89239.61","78047.8"
"31","134/183.0917mz/2.96min","757174.4","518081.8","571238.75","475617.03","517934.94","435304.2"
"32","135/244.2012mz/3.06min","39026.684","44383.53","44044.227","43418.617","35760.38","42478.0"
"33","136/211.1441mz/3.14min","2833066.5","2714042.2","2883836.8","2902422.0","2825441.8","2821109.2"
"34","137/211.144mz/3.24min","3156233.5","2982399.8","3417069.0","3362284.2","3385941.0","3381120.0"
"35","138/245.1284mz/3.26min","1398522.4","1330699.2","1425901.0","1368519.9","1402270.1","1415329.9"
"36","139/320.1703mz/3.29min","44587.94","36998.15","42043.977","39560.676","38641.02","44986.156"
"37","140/245.1284mz/3.39min","3259170.0","2998391.5","3290411.8","3070446.2","3247126.2","3093416.2"
"38","141/228.2321mz/3.47min","374266.97","387021.8","435638.53","419874.12","394070.06","396003.28"
"39","142/264.1335mz/3.47min","1062805.0","737559.6","876122.44","714335.3","731944.56","528852.25"
"40","145/215.053mz/3.54min","2483226.5","1904962.6","3271536.0","1946198.8","1891297.2","1800328.6"
"41","146/214.0499mz/3.54min","27752528.0","21875316.0","26346566.0","20711076.0","21915054.0","21894790.0"
"42","147/228.2321mz/3.54min","147417.58","139505.05","161905.42","156605.22","131890.62","151044.97"
"43","148/274.1648mz/3.55min","835814.9","809188.4","832806.6","856775.56","795110.3","816730.9"
"44","149/228.2321mz/3.65min","1943579.0","1970114.9","2159286.5","2139418.2","1932992.4","1902479.1"
"45","150/246.1335mz/3.67min","215748.77","202918.1","201266.3","220222.12","200538.25","216942.6"
"46","151/586.2703mz/3.73min","1014120.25","897805.44","367355.75","916425.0","594451.56","422915.62"
"47","152/320.1703mz/3.75min","70265.625","54729.83","52197.117","50464.28","53112.67","53360.906"
"48","153/195.1379mz/3.84min","77177.36","83246.664","99103.6","145074.67","80389.63","101910.266"
"49","154/514.2855mz/3.97min","951709.75","1089534.6","1340759.6","1065424.1","946545.06","1009273.2"
"50","156/320.1703mz/4.32min","6276044.5","4979478.0","4532468.0","4570246.5","5138561.0","5120725.5"
"51","157/325.1257mz/4.32min","694140.5","478547.88","467068.2","532352.2","571670.9","627487.3"
"52","158/195.1379mz/4.34min","826656.94","741257.94","812256.3","804723.94","830605.1","797999.5"
"53","159/364.1965mz/4.4min","492407.03","402542.47","407481.97","411369.06","439137.94","443286.0"
"54","160/226.1801mz/4.42min","1213328.6","1208796.8","1239245.2","1230717.9","1231219.9","1129735.8"
"55","161/244.1907mz/4.42min","836944.6","809258.7","819670.94","845572.3","838847.5","774999.06"
"56","163/408.2226mz/4.47min","523569.12","495124.94","503237.3","475582.75","479958.2","536038.3"
"57","164/214.1801mz/4.51min","566948.5","409036.22","281583.0","476869.06","475515.25","272927.53"
"58","165/392.1914mz/4.56min","2679363.2","2131720.2","2003049.5","1990678.9","2072232.6","2266090.5"
"59","166/583.2912mz/4.61min","144715.45","39467.914","25571.318","37720.21","41412.574","13102.916"
"60","167/246.2427mz/4.69min","421906.94","241016.22","361673.1","202917.86","176830.17","160788.6"
"61","168/211.9705mz/4.74min","3010576.2","3086185.2","3181167.0","3173414.2","3274011.5","3002373.0"
"62","169/230.9844mz/4.75min","586435.44","618256.9","628901.94","636096.9","655652.7","601611.1"
"63","170/213.9685mz/4.75min","2951436.0","2976733.5","3062890.5","3111608.5","3145837.2","2931542.0"
"64","171/229.9811mz/4.75min","7010560.0","7350487.0","7657618.0","7583912.0","7842850.5","7239192.5"
"65","172/231.979mz/4.75min","6890246.0","7271303.5","7597168.0","7470625.5","7768712.0","7179729.0"
"66","173/232.9823mz/4.75min","559345.1","622539.4","637876.25","629699.06","642238.94","560750.25"
"67","175/270.2063mz/4.78min","372678.72","331885.22","357785.06","384849.88","347138.25","347779.53"
"68","176/656.071mz/4.78min","1124599.2","1268443.9","1618905.1","1418818.5","1316310.8","1365305.0"
"69","181/573.2513mz/4.8min","1187876.4","1231127.5","1249859.4","1082912.4","1119267.1","1385626.1"
"70","182/551.2695mz/4.81min","427248.25","440641.84","459741.7","369809.3","412103.47","487074.44"
"71","183/568.2961mz/4.81min","14026671.0","13417324.0","14107290.0","12972651.0","12718756.0","15056523.0"
"72","184/274.274mz/4.85min","286962.53","183454.72","226529.44","216692.6","259885.58","224603.52"
"73","185/230.2477mz/4.87min","430348.7","260901.88","379399.28","253361.11","297072.53","239581.84"
"74","186/229.1991mz/4.88min","664404.25","658708.5","552259.4","694349.7","709258.9","479729.88"
"75","187/250.1777mz/4.88min","782530.8","806940.25","665428.2","843565.4","872855.75","592771.8"
"76","188/228.1958mz/4.88min","5062860.0","4957938.5","4184122.5","5334351.0","5376234.0","3604703.8"
"77","189/158.1539mz/4.95min","798888.1","761025.3","778231.94","793109.8","772881.06","740709.25"
"78","190/640.3173mz/4.96min","683654.5","641711.44","712445.0","641428.75","585896.4","680427.5"
"79","191/398.23mz/4.99min","986272.94","584495.2","932737.4","475670.25","641656.8","436817.16"
"80","192/371.2742mz/5.0min","56089.42","30918.408","60613.79","18057.408","28526.348","11873.729"
"81","193/440.277mz/5.03min","2661892.5","1602689.8","2627320.8","1722773.9","2069952.4","1628391.6"
"82","194/412.2457mz/5.06min","122609.53","80857.24","115685.586","61993.945","74536.35","57292.477"
"83","195/230.2478mz/5.09min","75506.43","44479.016","0.0","6184.4463","21864.744","21261.463"
"84","196/398.23mz/5.1min","3267316.8","2135922.0","3356334.2","1703246.0","2591554.8","1732626.6"
"85","197/426.2614mz/5.11min","185890.55","87180.02","172563.95","69673.29","101298.836","74927.7"
"86","198/440.277mz/5.14min","8193631.5","6154331.5","9456741.0","6650787.5","8821287.0","7052098.0"
"87","199/412.2457mz/5.17min","484739.34","358331.8","528420.25","259763.23","367766.75","264253.16"
"88","200/274.274mz/5.2min","416781.6","240222.11","325205.22","193780.0","185512.55","169505.5"
"89","201/404.2066mz/5.21min","452540.28","363168.97","337792.12","315381.56","399526.7","311905.16"
"90","202/387.1801mz/5.21min","435207.62","353825.66","350158.44","307850.5","379284.1","297438.4"
"91","203/426.2614mz/5.21min","334620.34","158632.94","321417.06","142715.4","240789.12","144299.75"
"92","204/752.3999mz/5.3min","1024753.75","598757.56","825044.6","522689.97","597049.1","518150.03"
"93","205/583.2914mz/5.32min","0.0","0.0","53795.195","0.0","0.0","0.0"
"94","206/482.2876mz/5.42min","481890.78","265811.56","451697.53","361438.44","487425.47","377032.75"
"95","207/426.2614mz/5.55min","932896.2","571551.94","960616.5","485973.16","696826.7","480395.8"
"96","208/371.2742mz/5.56min","591540.94","420440.84","617121.25","335581.06","401863.53","302361.56"
"97","209/468.3082mz/5.6min","245384.17","162268.0","256384.77","166018.1","201861.0","169905.33"
"98","210/678.3631mz/5.63min","592393.4","293052.84","394728.75","293536.16","317540.75","286181.88"
"99","213/446.2535mz/5.63min","318903.28","348832.88","299378.1","302737.84","360381.3","341274.28"
"100","215/415.2113mz/5.64min","2142358.5","2188887.2","1995079.8","1609125.9","2100362.0","2060812.8"
