"","filter","2024_POS_CC_1_Run20.mzML","2024_POS_CC_2_Run47.mzML","2024_POS_CC_3_Run61.mzML","2024_POS_CC-NaB_1_Run29.mzML","2024_POS_CC-NaB_2_Run50.mzML","2024_POS_CC-NaB_3_Run56.mzML"
"103/99.5121mz/2.1min",416363.525,284606.53,646871.1,642649.8,540781.75,291377.62,291945.3
"104/244.1907mz/2.1min",377244.28,362358,378928.16,448430.34,381004.34,344923.53,375560.4
"105/181.0971mz/2.12min",966491,898039.1,811825.75,944581,988401,996221.4,1019009
"106/245.0954mz/2.12min",4501224.25,4122480.2,3831443.2,4424619,4577829.5,4663369.5,4786656
"107/184.1695mz/2.21min",2062840.5,1963623.9,2006927,2359434.5,2134971.2,1852114.8,2118754
"108/217.1247mz/2.25min",518859.03,490726.38,512937.16,524780.9,532120.3,511960.28,527572.9
"109/218.1281mz/2.25min",7129211,6703308,7037200,7092236.5,7412760,7166185.5,7316413.5
"110/199.1012mz/2.25min",482807.06,442934.53,478102.5,489736.03,502175.47,482817.9,482796.22
"111/200.1046mz/2.25min",6015375.75,5724253.5,6020740.5,5971879.5,6281107,6010011,6106682.5
"113/195.1227mz/2.29min",635510.35,662007.2,661755.6,609265.1,666496.06,606233.5,559981
"115/244.2012mz/2.36min",1675000.65,2119867.8,1235168.4,1254858.4,2147822.5,1232838,2095142.9
"116/244.2012mz/2.51min",322250.1,317576.8,316261.53,321047.5,325065.34,329480.47,323452.7
"117/184.1695mz/2.52min",205373.68,189120.73,199355.02,262391.03,211392.34,197524.72,238893.69
"118/316.2117mz/2.58min",520765.65,518763.5,555945,515751.84,522767.8,540688.75,397545.84
"119/261.1234mz/2.6min",3736227,3745073.2,3550931,3679835,3799929.2,3727608.2,3744845.8
"120/259.2202mz/2.66min",452144.9,444309.44,450825.1,453464.7,474518.9,437914.03,467538.44
"121/130.159mz/2.69min",417444.885,415925.8,421903.75,418963.97,432426.8,370467.62,381097.22
"122/185.0855mz/2.7min",489637.315,777895.7,524594.1,382658.53,507029.1,472245.53,347087.62
"123/197.1285mz/2.71min",2434772.75,2253950.2,2233381.2,2507296.8,2413044,2468679.5,2456501.5
"124/202.1801mz/2.73min",137861.255,117968.21,137273.95,177111.53,127031.016,138448.56,180868.44
"125/316.2117mz/2.74min",1139169.65,1072906.8,1166596.2,1235190.8,1116720.2,1161619.1,862161.9
