"","filter","2024_POS_CC_1_Run20.mzML","2024_POS_CC_2_Run47.mzML","2024_POS_CC_3_Run61.mzML","2024_POS_CC-NaB_1_Run29.mzML","2024_POS_CC-NaB_2_Run50.mzML","2024_POS_CC-NaB_3_Run56.mzML"
"126/214.1801mz/2.75min",82648.77,77211.89,85959.45,88138.39,76220.8,79338.09,105473.32
"127/185.1284mz/2.8min",79364.1275,77001.2,61179.35,73187.625,85703.23,84590.88,81727.055
"128/259.2202mz/2.79min",201228.735,201252.77,200408.77,200241.4,215122.06,203887.92,201204.7
"129/272.1856mz/2.82min",1337117.25,1246104.6,1329863.4,1344371.1,1356015.2,1367964.6,1127752.4
"130/120.0443mz/2.83min",228382.075,583206.75,258310.25,378867.56,198453.9,191368.27,183274.67
"131/138.0549mz/2.83min",238269.945,601815.75,265142.75,393499.62,211397.14,196236.88,195533.58
"132/181.0971mz/2.84min",62553.559,85198.02,95668.05,72708.77,52398.348,50950.16,43490.277
"133/185.1284mz/2.85min",76153.11,55443.945,68127.84,79606.73,74258.42,89239.61,78047.8
"134/183.0917mz/2.96min",518008.37,757174.4,518081.8,571238.75,475617.03,517934.94,435304.2
"135/244.2012mz/3.06min",42948.3085,39026.684,44383.53,44044.227,43418.617,35760.38,42478
"136/211.1441mz/3.14min",2829254.15,2833066.5,2714042.2,2883836.8,2902422,2825441.8,2821109.2
"137/211.144mz/3.24min",3371702.1,3156233.5,2982399.8,3417069,3362284.2,3385941,3381120
"138/245.1284mz/3.26min",1400396.25,1398522.4,1330699.2,1425901,1368519.9,1402270.1,1415329.9
"139/320.1703mz/3.29min",40802.3265,44587.94,36998.15,42043.977,39560.676,38641.02,44986.156
"140/245.1284mz/3.39min",3170271.2,3259170,2998391.5,3290411.8,3070446.2,3247126.2,3093416.2
"141/228.2321mz/3.47min",395036.67,374266.97,387021.8,435638.53,419874.12,394070.06,396003.28
"142/264.1335mz/3.47min",734752.08,1062805,737559.6,876122.44,714335.3,731944.56,528852.25
"145/215.053mz/3.54min",1925580.7,2483226.5,1904962.6,3271536,1946198.8,1891297.2,1800328.6
"146/214.0499mz/3.54min",21904922,27752528,21875316,26346566,20711076,21915054,21894790
"147/228.2321mz/3.54min",149231.275,147417.58,139505.05,161905.42,156605.22,131890.62,151044.97
"148/274.1648mz/3.55min",824768.75,835814.9,809188.4,832806.6,856775.56,795110.3,816730.9
"149/228.2321mz/3.65min",1956846.95,1943579,1970114.9,2159286.5,2139418.2,1932992.4,1902479.1
"150/246.1335mz/3.67min",209333.435,215748.77,202918.1,201266.3,220222.12,200538.25,216942.6
"151/586.2703mz/3.73min",746128.5,1014120.25,897805.44,367355.75,916425,594451.56,422915.62
"152/320.1703mz/3.75min",53236.788,70265.625,54729.83,52197.117,50464.28,53112.67,53360.906
"153/195.1379mz/3.84min",91175.132,77177.36,83246.664,99103.6,145074.67,80389.63,101910.266
"154/514.2855mz/3.97min",1037348.65,951709.75,1089534.6,1340759.6,1065424.1,946545.06,1009273.2
"156/320.1703mz/4.32min",5050101.75,6276044.5,4979478,4532468,4570246.5,5138561,5120725.5
"157/325.1257mz/4.32min",552011.55,694140.5,478547.88,467068.2,532352.2,571670.9,627487.3
"158/195.1379mz/4.34min",808490.12,826656.94,741257.94,812256.3,804723.94,830605.1,797999.5
"159/364.1965mz/4.4min",425253.5,492407.03,402542.47,407481.97,411369.06,439137.94,443286
"160/226.1801mz/4.42min",1222023.25,1213328.6,1208796.8,1239245.2,1230717.9,1231219.9,1129735.8
"161/244.1907mz/4.42min",828307.77,836944.6,809258.7,819670.94,845572.3,838847.5,774999.06
"163/408.2226mz/4.47min",499181.12,523569.12,495124.94,503237.3,475582.75,479958.2,536038.3
"164/214.1801mz/4.51min",442275.735,566948.5,409036.22,281583,476869.06,475515.25,272927.53
"165/392.1914mz/4.56min",2101976.4,2679363.2,2131720.2,2003049.5,1990678.9,2072232.6,2266090.5
"166/583.2912mz/4.61min",38594.062,144715.45,39467.914,25571.318,37720.21,41412.574,13102.916
"167/246.2427mz/4.69min",221967.04,421906.94,241016.22,361673.1,202917.86,176830.17,160788.6
"168/211.9705mz/4.74min",3129799.7,3010576.2,3086185.2,3181167,3173414.2,3274011.5,3002373
"169/230.9844mz/4.75min",623579.42,586435.44,618256.9,628901.94,636096.9,655652.7,601611.1
"170/213.9685mz/4.75min",3019812,2951436,2976733.5,3062890.5,3111608.5,3145837.2,2931542
"171/229.9811mz/4.75min",7467199.5,7010560,7350487,7657618,7583912,7842850.5,7239192.5
"172/231.979mz/4.75min",7370964.5,6890246,7271303.5,7597168,7470625.5,7768712,7179729
"173/232.9823mz/4.75min",626119.23,559345.1,622539.4,637876.25,629699.06,642238.94,560750.25
"175/270.2063mz/4.78min",352782.295,372678.72,331885.22,357785.06,384849.88,347138.25,347779.53
"176/656.071mz/4.78min",1340807.9,1124599.2,1268443.9,1618905.1,1418818.5,1316310.8,1365305
"181/573.2513mz/4.8min",1209501.95,1187876.4,1231127.5,1249859.4,1082912.4,1119267.1,1385626.1
"182/551.2695mz/4.81min",433945.045,427248.25,440641.84,459741.7,369809.3,412103.47,487074.44
"183/568.2961mz/4.81min",13721997.5,14026671,13417324,14107290,12972651,12718756,15056523
"184/274.274mz/4.85min",225566.48,286962.53,183454.72,226529.44,216692.6,259885.58,224603.52
"185/230.2477mz/4.87min",278987.205,430348.7,260901.88,379399.28,253361.11,297072.53,239581.84
"186/229.1991mz/4.88min",661556.375,664404.25,658708.5,552259.4,694349.7,709258.9,479729.88
"187/250.1777mz/4.88min",794735.525,782530.8,806940.25,665428.2,843565.4,872855.75,592771.8
"188/228.1958mz/4.88min",5010399.25,5062860,4957938.5,4184122.5,5334351,5376234,3604703.8
"189/158.1539mz/4.95min",775556.5,798888.1,761025.3,778231.94,793109.8,772881.06,740709.25
"190/640.3173mz/4.96min",661069.47,683654.5,641711.44,712445,641428.75,585896.4,680427.5
"191/398.23mz/4.99min",613076,986272.94,584495.2,932737.4,475670.25,641656.8,436817.16
"192/371.2742mz/5.0min",29722.378,56089.42,30918.408,60613.79,18057.408,28526.348,11873.729
"193/440.277mz/5.03min",1896363.15,2661892.5,1602689.8,2627320.8,1722773.9,2069952.4,1628391.6
"194/412.2457mz/5.06min",77696.795,122609.53,80857.24,115685.586,61993.945,74536.35,57292.477
"195/230.2478mz/5.09min",21563.1035,75506.43,44479.016,1236.88926,6184.4463,21864.744,21261.463
"196/398.23mz/5.1min",2363738.4,3267316.8,2135922,3356334.2,1703246,2591554.8,1732626.6
"197/426.2614mz/5.11min",94239.428,185890.55,87180.02,172563.95,69673.29,101298.836,74927.7
"198/440.277mz/5.14min",7622864.75,8193631.5,6154331.5,9456741,6650787.5,8821287,7052098
"199/412.2457mz/5.17min",363049.275,484739.34,358331.8,528420.25,259763.23,367766.75,264253.16
"200/274.274mz/5.2min",217001.055,416781.6,240222.11,325205.22,193780,185512.55,169505.5
"201/404.2066mz/5.21min",350480.545,452540.28,363168.97,337792.12,315381.56,399526.7,311905.16
"202/387.1801mz/5.21min",351992.05,435207.62,353825.66,350158.44,307850.5,379284.1,297438.4
"203/426.2614mz/5.21min",199711.03,334620.34,158632.94,321417.06,142715.4,240789.12,144299.75
"204/752.3999mz/5.3min",597903.33,1024753.75,598757.56,825044.6,522689.97,597049.1,518150.03
"205/583.2914mz/5.32min",10759.039,10759.039,10759.039,53795.195,10759.039,10759.039,10759.039
"206/482.2876mz/5.42min",414365.14,481890.78,265811.56,451697.53,361438.44,487425.47,377032.75
"207/426.2614mz/5.55min",634189.32,932896.2,571551.94,960616.5,485973.16,696826.7,480395.8
"208/371.2742mz/5.56min",411152.185,591540.94,420440.84,617121.25,335581.06,401863.53,302361.56
"209/468.3082mz/5.6min",185883.165,245384.17,162268,256384.77,166018.1,201861,169905.33
"210/678.3631mz/5.63min",305538.455,592393.4,293052.84,394728.75,293536.16,317540.75,286181.88
"213/446.2535mz/5.63min",330088.78,318903.28,348832.88,299378.1,302737.84,360381.3,341274.28
"215/415.2113mz/5.64min",2080587.4,2142358.5,2188887.2,1995079.8,1609125.9,2100362,2060812.8
"216/432.2378mz/5.64min",2468689,2571387,2528331,2266384,1870261.2,2487629.8,2449748.2
"217/581.3121mz/5.65min",11160.3143,109619.49,4763.4956,938.81368,17557.133,22751.82,4694.0684
"219/716.509mz/5.65min",576899.595,1154070.8,642122.44,812701.3,406749.5,475146.84,511676.75
"223/303.3087mz/5.65min",1163596.75,2123404.8,1267029.6,1692953.5,1060163.9,1002134.9,943093.6
"224/302.3053mz/5.65min",6325077.25,11436500,6792641,8906008,5857513.5,5363669.5,5054275
"225/284.2947mz/5.66min",154753.555,303447.9,162967.89,244343.67,146539.22,124910.21,121364.516
"226/426.2613mz/5.66min",2826921.9,3733901.2,2512296.8,4075763.8,2230966,3141547,2245448.8
"227/307.2478mz/5.68min",450109.98,468750.2,449512.62,450707.34,477791.1,446155.72,434415.3
"228/371.2741mz/5.69min",290794.84,415180.28,294413.38,455190.56,231283.48,287176.3,190398.7
"229/468.3082mz/5.71min",935431.55,991197.1,755599.1,1152739.8,879666,1028542.7,815111.6
"230/440.277mz/5.74min",107871.375,172403.81,109346.3,163653.4,92976.484,106396.45,82388.28
"231/328.321mz/5.8min",246732.385,492394.56,282155.47,379713.75,211309.3,208539.28,167120.5
"233/583.2912mz/5.86min",316892.74,523684.66,318543.2,505732.44,287083.34,315242.28,238206.11
"234/356.3522mz/5.95min",127113.715,199470.02,141983.44,185759.89,96297.586,112243.99,86369.98
"236/583.2912mz/6.05min",464034.37,745941.1,433896.22,607413.1,461615.12,466453.62,333197.12
"237/583.2912mz/6.12min",221140.135,350579.72,213064.66,337968.7,191964.94,229215.61,167955.9
"238/454.2926mz/6.13min",854461.375,1216362.2,761669,1232021.5,776770.5,932152.25,691444.1
"239/371.2741mz/6.17min",431804.965,712887.75,451548.53,715216.4,331035.94,412061.4,272730.97
"240/496.3399mz/6.19min",297575.365,303381.7,246698.89,355581.16,291769.03,320301.4,279048.44
"241/454.2926mz/6.24min",5407475.75,7430002.5,4988814,7518108.5,4745890.5,5826137.5,4457557.5
"242/358.3678mz/6.24min",677040.75,661248.3,692833.2,1627111.8,561540.6,786639.2,615523.8
"243/579.4036mz/6.28min",187680.25,280391.56,184503.02,217586.44,163817.22,190857.48,162049.67
"244/297.2423mz/6.27min",148031.425,148655.23,147407.62,180093.1,156703.33,141946.81,145828.3
"245/374.3627mz/6.27min",222794.6,78463.32,276921.25,699012.5,205256.67,156100.3,240332.53
"246/395.2766mz/6.3min",283176.29,382773.7,230807.28,355762.3,232399.1,308653.88,257698.7
"247/496.3397mz/6.3min",2739088.1,2989532,2241376.5,3375466.5,2541392,2936784.2,2408800.5
"248/480.3082mz/6.3min",2503575.4,4242481.5,2196170,3904135,1903886.9,2810980.8,1818330.9
"249/502.2901mz/6.3min",131320.655,226039.31,116272.42,207855.53,93580.99,146368.89,102925.875
"250/482.3136mz/6.3min",92632.34,165691.4,79410.38,146634.22,70452.01,105854.3,65984.76
"251/440.4096mz/6.3min",568592.75,574250.06,553853.75,567721.44,569464.06,581672.1,504259.47
"252/339.289mz/6.3min",61266.4565,103611.766,53475.543,86666.98,36777.633,69057.37,38699.707
"255/468.3083mz/6.33min",287685.155,406468.56,285673.25,418912.16,236115.75,289697.06,231403.31
"256/522.3552mz/6.37min",804396.85,1212222.2,653791.06,1193402.6,714602.4,894191.3,636750.1
"257/483.3269mz/6.4min",31524.7685,73095.47,31377.074,68762.375,28512.469,31672.463,25293.25
"259/482.314mz/6.41min",350826.675,522022.28,288372.75,480881.78,231915.81,413280.6,224055.67
"260/502.2901mz/6.41min",456106.5,629994.4,402938.12,603201.3,374153.25,509274.88,364645.25
"264/480.3083mz/6.41min",10433649,16565334,8651221,15998008,8429855,12216077,7716435
"266/959.6089mz/6.41min",290891.41,611287.4,206118.98,610481.4,178184.53,375663.84,165203.4
"267/583.2912mz/6.46min",683325.82,1024963.5,657958.94,997620.56,612260.2,708692.7,540403.7
"268/440.3578mz/6.46min",98115.005,99839.71,96390.3,85232.69,103337.61,102611.87,93183.04
"269/353.2685mz/6.46min",1129049.82,1521326.8,922546.44,1814663.9,869557.6,1335553.2,868915.7
"270/393.261mz/6.47min",1009608.95,1339754.4,866359.3,1495963.1,813845.4,1152858.6,843736.4
"271/508.3396mz/6.47min",19050.3515,41868.297,12540.226,38907.137,14968.41,23132.293,5510.4253
"272/371.279mz/6.47min",605904.405,807974.25,502538.06,946421.2,466456.66,709270.75,478770.66
"273/522.3552mz/6.48min",4310772.6,4799610.5,3364305.8,5548329,3973887.2,4647658,3581653.5
"275/365.1358mz/6.54min",320373.26,522036.38,296426.28,462507.6,314999.9,325746.62,302180.8
"276/508.3395mz/6.57min",86919.01,146893.14,75806.875,133505.17,84104.23,89733.79,73848.65
"277/400.3055mz/6.59min",297900.73,451328.5,251977,413622.84,289219.84,306581.62,237581.17
"278/444.3317mz/6.61min",400953.075,650396.7,361575.25,588816.3,390379.9,411526.25,316192.1
"279/488.358mz/6.62min",409598.735,653631,337993.88,588299.9,407704.72,411492.75,328220.94
"280/532.3841mz/6.62min",331030.665,516246.6,284254.53,479786.34,328939.8,333121.53,279776.78
"281/669.3279mz/6.63min",33341.329,57947.742,17006.424,96160.99,3401.2848,49676.234,3401.2848
"283/313.1434mz/6.63min",422208.55,667083.25,374542.4,574642.25,409336.7,435080.4,358254.94
"284/358.2739mz/6.65min",695048.65,1072762.2,877293.44,819912.5,570184.8,490212.3,429201.6
"285/398.2663mz/6.66min",272423.5,465436.38,330661.7,344556.2,210977.61,214185.3,187746.34
"287/583.2912mz/6.67min",1027884.625,1980099.9,966186.25,1593927.2,931879.9,1089583,760081.6
"288/283.2631mz/6.67min",1456822.05,2036659.6,1440401.5,2189052,1272393.9,1473242.6,1230472.1
"289/265.2525mz/6.68min",263125.1,360203.2,259705.45,393826.16,234400.88,266544.75,217563.6
"290/522.3188mz/6.68min",530454.15,1167741.6,231827.39,956361.94,396760.7,664147.6,319266.22
"291/482.324mz/6.71min",261635.59,388187.78,231938.73,366019.97,259312.88,263958.3,224049.33
"292/581.2756mz/6.71min",148914.09,201791.72,132075.48,184306.94,147499.4,150328.78,90989.3
"293/228.2321mz/6.72min",54327.1545,60039.434,50845.383,61009.395,57808.926,41711.47,50753.746
"294/289.2161mz/6.66min",233366.055,237977.33,228754.78,427216.56,228048.3,251557.55,224366.53
"295/395.2767mz/6.75min",37474.0995,41471.047,29983.357,41791.73,33850.152,41098.047,20961.963
"296/297.2423mz/6.77min",1352968.5,1471426.9,1163659.1,1768609,1378405.9,1314898.8,1327531.1
"297/319.2243mz/6.77min",757645.73,886726,655611.8,1019114,741098.6,761394.06,753897.4
"298/567.2599mz/6.77min",666706.905,701683.2,693035.56,518358.88,724447.06,640378.25,438817.06
"299/284.1337mz/6.77min",51907.158,73940.195,53117.48,60785.402,50696.836,49660.484,33312.62
"300/279.2318mz/6.78min",578165.25,629786.56,482344.56,802216.6,584911.06,561058,571419.44
"301/581.2755mz/6.82min",186570.365,230446.7,172228.12,219921.56,190048.34,183092.39,133044.05
"302/482.3239mz/6.82min",1785292.1,2644683.5,1575998.1,2488383.5,1678264,1892320.2,1523143.4
"304/508.3396mz/6.85min",64318.1,100566.945,48741.5,98018.15,52540.09,76096.11,41897.527
"305/567.2599mz/6.87min",545676.8,732913.8,564693.94,528920.2,562433.4,511414.84,381891.44
"306/669.3281mz/6.87min",496659.755,817989.7,141955.81,1355024.5,175329.81,1081040.4,101377.76
"307/283.144mz/6.87min",84178.963,145386.92,10066.047,248361.39,22971.006,189564.31,6632.6895
"308/319.2842mz/6.88min",24073.612,24073.612,24073.612,24073.612,24073.612,24073.612,120368.06
"311/283.2631mz/6.9min",374840.88,609630,341006.7,538834.44,363426.38,386255.38,186010.36
"312/344.3158mz/6.9min",137474.89,189733.34,112735.77,233324.95,134929.25,140020.53,101929.305
"313/265.2525mz/6.9min",38496.6385,60746.46,24087.172,58773.48,38234.23,38759.047,26940.498
"314/366.2978mz/6.9min",22128.4965,48916.566,21781.145,54410.164,16975.305,22475.848,13248.966
"316/496.3399mz/6.93min",32246.64,57260.695,31488.725,54691.766,28176.246,33004.555,24369.004
"317/508.3395mz/6.95min",324263.48,546050.9,249755.6,514311.72,271250.06,377276.9,247952.12
"319/630.5111mz/6.95min",79969.6125,111745.87,76093.125,94213.77,28670.53,83846.1,59957.098
"324/590.4258mz/6.98min",369866.28,435148.2,345716.16,377428.03,411963.06,362304.53,331276.16
"325/581.2755mz/6.99min",229438.13,254946.48,208188.81,333105.47,132845.83,250687.45,172383.75
"326/336.3259mz/7.01min",78256.91,70645.16,85868.66,104868.84,68194.82,119379.664,69195.97
"327/702.4962mz/7.01min",61021.32,61021.32,61021.32,61021.32,305106.6,61021.32,61021.32
"328/692.5217mz/7.01min",157221.2615,2726.2246,300811.4,13631.123,873748.9,364527.9,2726.2246
"330/716.4618mz/7.02min",47751.284,47751.284,47751.284,47751.284,238756.42,47751.284,47751.284
"331/344.3158mz/7.02min",536171.65,710996.5,573794.6,693636.2,429181.56,498548.7,443120.75
"333/366.2977mz/7.03min",40876.8115,48060.08,43550.01,40414.9,6320.3434,41338.723,31601.717
"334/689.4974mz/7.03min",87625.768,87625.768,87625.768,87625.768,438128.84,87625.768,87625.768
"335/297.2421mz/7.06min",46269.363,92143.54,46514.586,67951.92,28728.936,46024.14,35783.156
"336/589.2776mz/7.07min",541335.075,709933.9,567689.25,663690.44,262904.9,493292.6,514980.9
"339/570.3056mz/7.07min",803245,1022029.9,825712.2,931881.5,718038.1,780777.8,657324
"342/567.2962mz/7.07min",77444443,97834300,78654590,91844910,66139230,76234296,65885852
"343/1133.5855mz/7.07min",1840393.25,2896115.2,1895881.4,2485677,1324647.8,1784905.1,1335277.6
"345/569.3024mz/7.07min",5527330,7055741.5,5669133.5,6338970,5162000,5385526.5,4672145.5
"348/284.1519mz/7.07min",53757030,67823160,55977040,61203180,46234460,51537020,49706990
"352/566.2886mz/7.08min",857567.25,1073330.2,880849.7,1131377.8,585148.7,824290.5,834284.8
"354/336.3259mz/7.13min",625081.35,575735.6,651802.1,741881.56,518212.97,803644.56,598360.6
"355/583.2911mz/7.13min",152014.0575,239702.42,13339.254,344250.1,64325.695,261327.02,42934.516
"356/669.3281mz/7.14min",945718.55,1594994,296443.1,2356453.2,263621.5,1849334.4,235525.64
"359/403.2324mz/7.16min",200998.925,337880.7,219683.12,255793.48,163451.31,171410.45,182314.73
"362/275.258mz/7.17min",156255.867,275558.9,185503.77,183415.75,107529.26,129095.984,128285.96
"363/297.2401mz/7.16min",64036.98,156108.44,63711.74,94991.25,28672.979,39729.848,64362.22
"364/350.3263mz/7.18min",409828.915,365319.3,698800.7,454338.53,74854.766,273958.44,1329715.4
"365/319.2842mz/7.18min",535211.3,741985.6,523539,576642.25,546883.6,445065.22,319661.56
"366/336.3108mz/7.18min",784773.02,1076857.8,746945.94,849423.06,822600.1,637129.44,469196
"368/406.329mz/7.18min",53118.0075,85696.21,34921.625,71314.39,14339.132,21809.562,84137.63
"369/556.4415mz/7.18min",175312.195,325206.25,165980.73,181141.84,187752.86,169482.55,140764.36
"370/384.347mz/7.18min",157201.985,156524.22,164877.11,148110.97,117957.32,157879.75,163803.64
"371/380.3369mz/7.19min",863997.7,1153680.1,837024.4,890971,1135369.5,702049.25,518384.88
"372/363.3104mz/7.19min",282885.185,368717.9,262229.12,303541.25,370239.84,234386.84,168759.77
"373/512.4154mz/7.19min",265854.05,508764.25,268122.3,263585.8,346387.97,252375.58,211056.86
"374/424.3631mz/7.19min",651056.07,984443.8,639587.7,662524.44,971660.3,546687.25,431621
"375/468.3891mz/7.19min",404218.1,724471,405666.6,402769.6,616443.7,374573.4,292657.5
"377/583.2911mz/7.19min",63079.324,98345.984,13339.254,172478.7,27812.664,124257.8,5609.6846
"378/669.3282mz/7.18min",670049.15,1131626.2,265789.9,1850537.5,231279.52,1074308.4,173110.81
"380/689.4972mz/7.3min",82818.798,27606.266,194287.75,27606.266,1133247,138031.33,27606.266
"382/366.3mz/7.27min",185107.63,437725.12,178060.16,372269.3,110224.086,157403.34,192155.1
"383/406.2924mz/7.28min",110622.7675,430585.75,67993.055,323153.88,31136.783,66675.7,153252.48
"384/352.3209mz/7.28min",1362554.5,1369743.5,1089660,1998155.9,976074.44,1546547.9,1355365.5
"385/353.3244mz/7.28min",298409.16,305652.6,243778.39,425478.6,209430.95,322419.12,291165.72
"386/374.3027mz/7.29min",408062.05,566049.75,212531.94,766498.25,172003.02,313489.4,502634.7
"387/566.284mz/7.3min",797780.5,1599100.5,886228.6,1075027.4,668722.94,709332.4,704901.44
"391/283.144mz/7.29min",474237.765,645186.9,562244.25,536754,405014.94,411721.53,331648.47
"392/692.5219mz/7.32min",1362975.9,214500.48,1072502.4,1653449.4,3674111.8,3633672,214500.48
"393/565.2805mz/7.3min",2143983.05,4097843.5,2380069.5,2810121.5,1701034.8,1907896.6,1810108.9
"394/700.4882mz/7.3min",7292472.462,925.5848,14580317,4627.924,19051808,15547373,925.5848
"395/782.5669mz/7.3min",66212.30175,767.5167,211740.27,3837.5835,128587.02,767.5167,247727.31
"396/808.5836mz/7.3min",117978.828,39326.276,344274.44,39326.276,196631.38,39326.276,230969.03
"397/716.4618mz/7.3min",445427.664,148475.888,742379.44,148475.888,1253420,1010426.6,148475.888
"398/702.4952mz/7.3min",712514.7,237504.9,1187524.5,237504.9,1785852.2,1403425.4,237504.9
"399/714.5029mz/7.3min",140152.055,20951.028,175548.97,104755.14,237525.17,241276.72,20951.028
"400/719.5413mz/7.33min",126551.122,17512.968,87564.84,230278.27,1335214.5,127254.914,125847.33
"405/341.2839mz/7.35min",131533.023,148989.78,72023.01,302947.22,95056.43,114076.266,200974.95
"408/754.535mz/7.3min",38450.386,5237.7464,5237.7464,115683.95,50712.04,26188.732,94373.23
"409/726.5037mz/7.3min",96026.4726,779.11104,188157.39,3895.5552,190836.31,284552.7,779.11104
"410/513.3549mz/7.31min",27875.36475,48524.54,1445.2379,182287.64,1445.2379,7226.1895,68853.16
"411/728.5194mz/7.3min",41551.241,7044.9124,7044.9124,1347650.5,35224.562,47877.92,104576.52
"412/768.5499mz/7.3min",34996.6975,5802.679,5802.679,66844.66,40980,29013.395,126455.555
"413/423.3619mz/7.31min",93174.025,115329.93,24425.902,263094.12,71018.12,56564.438,214859.78
"414/524.3945mz/7.31min",116270.41,132284.05,77275.1,360450,36377.266,100256.77,190651.62
"416/678.5065mz/7.31min",48751649.78,5753.5312,97339170,164129.56,329243840,229081780,28767.656
"417/729.5188mz/7.32min",72986.705,92396.375,33237.89,602652.44,55162.336,56366.215,89607.195
"418/732.5534mz/7.34min",555685.62,108918.16,108918.16,544590.8,834052.25,566780.44,756166.8
"419/786.6015mz/7.29min",1114968.6435,4075.3574,3198111.2,20376.787,2877874,4075.3574,2209560.5
"422/760.584mz/7.3min",1012558.28,670.29316,2337827.2,143652.36,1881464.2,3351.4658,2376561.5
"423/581.2754mz/7.35min",253843.835,435113.9,163950.86,427954.47,132167.61,187564.77,320122.9
"424/689.4973mz/7.39min",297913.56,99304.52,496522.6,99304.52,881838.25,645903.2,99304.52
"425/256.2635mz/7.36min",422049.39,430029.5,423257.06,447031.03,380766.4,383162.72,420841.72
"426/282.1362mz/7.39min",380651.1,535024.94,470439.75,387469.5,349675.6,373832.7,317444.38
"427/564.2683mz/7.39min",646350.42,1019680.7,660168.9,840343.5,449532.06,507565,632531.94
"428/563.2648mz/7.39min",1770273.7,2799069.8,1802751.6,2237734,1235965.6,1391359.6,1737795.8
"429/341.2839mz/7.39min",230578.75,252910.94,150291.23,693452.8,58542.445,208246.56,364056.12
"431/669.3285mz/7.42min",25145.352,58086.2,8381.784,121263.33,8381.784,41908.92,8381.784
"432/387.3298mz/7.44min",374329.31,590459.25,338732.34,677706.3,215798.81,293101.44,409926.28
"434/386.3263mz/7.43min",1566869.7,2564700.5,1464718.6,2726730.8,940945.94,1272264.2,1669020.8
"435/408.3083mz/7.43min",488870.06,1170040.1,304561.22,912911.5,161377.64,267970.97,673178.9
"436/352.3209mz/7.43min",95141.935,96470.72,74161.9,161649.12,58501.992,110712.484,93813.15
"437/692.522mz/7.41min",988179.83,1103.40312,3052577.8,4534463.5,1200631.6,775728.06,5517.0156
"438/397.3099mz/7.49min",81916.0515,149476.98,44601.594,331605.56,42563.61,51179.523,112652.58
"441/760.5839mz/7.47min",457424.15,1301.35312,6820307,67244.8,1965162.4,6506.7656,847603.5
"444/716.4617mz/7.47min",139255.062,46418.354,1012026.2,46418.354,232091.77,652420.6,46418.354
"445/678.5064mz/7.45min",36841492.168,11356.9586,237265340,78234.336,73604750,84949096,56784.793
"446/680.5125mz/7.43min",4178210.7,1392736.9,22162624,1392736.9,6963684.5,8112617,1392736.9
"447/681.5151mz/7.4min",722504.4,240834.8,3658298.2,240834.8,1204174,1391444.1,240834.8
"448/714.5026mz/7.47min",100133.8275,16076.356,119885.875,142646.42,80381.78,125127.766,16076.356
"450/768.5503mz/7.51min",26174.2765,4887.2672,4887.2672,84044.4,24436.336,27912.217,88222.68
"451/700.4883mz/7.47min",1518162.917,829.8068,6317392.5,4149.034,3032176.8,5074603,829.8068
"452/782.5674mz/7.47min",32672.592,10890.864,127683.09,10890.864,54454.32,10890.864,114998.11
