row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML Peak area,NEG_TJGIp7_3_Run156.mzML Peak area,NEG_TJGIp7_2_Run141.mzML Peak area,NEG_TJGIp7_1_Run17.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML Peak area,Unnamed: 19
50,89.02431462486551,0.48779753,,,,,,,,,,,1474720.8,1364576.5,724402.9,1537461.4,245630.77,159543.7,
12,92.92794777711164,0.36114562,,,,50.0,,,,,,,252152.98,584895.7,686645.6,522625.7,587177.7,718702.06,
2622,92.92795373309023,10.259038,,,,,,,,,,,0.0,0.0,0.0,0.0,248904.55,348263.6,
1075,96.9600039706723,5.712626,,,,,,,,,,,36473.484,52500.777,67759.22,2221396.5,15867.028999999999,26858.705,
2693,96.96007515538216,11.008557000000001,,,,,,,,,,,4220628.0,4319244.5,4330180.0,3974957.2,3121696.2,2944546.8,
11,96.96010524924593,0.35874638,,,,,,,,,,,3391302.0,3457486.8,3445762.5,4147380.2,5199036.0,5279361.0,
37,96.96953526868721,0.39125898,,,,50.0,,,,,,,2817780.0,3194722.0,3435067.8,3617809.8,4931893.0,3762788.5,
2203,99.92576382403908,8.1389,,,,4.0,,,,,,,38068180.0,32378754.0,34944244.0,33868936.0,5872944.0,30641618.0,
2385,99.92576723688968,8.433482000000001,,,,,,,,,,,6699731.0,4424805.0,2139036.5,5538272.5,48537670.0,7477736.0,
9,102.95682591822123,0.33711076,,,,,,,,,,,612048.4,605753.75,662183.6,590187.9,568334.0,648774.0,
2628,102.95685311355301,10.27515,,,,,,,,,,,77245.35,30093.826,57178.66,35903.527,599712.0,697101.75,
2402,106.04102148543234,8.479066,,,,,,,,,,,361172.2,142929.1,227357.97,69631.06,18864.586,6019.629,
2379,106.0410277091758,8.439873,,,,,,,,,,,721816.5,796625.25,842969.2,896849.25,0.0,6019.629,
2412,106.04102948915569,8.552434,,,,,,,,,,,769985.9,468373.4,622426.2,565739.0,18864.586,6019.629,
2601,106.04105696614315,10.174263,,,,,,,,,,,169131.55,441022.4,365990.1,402563.66,0.0,0.0,
2514,106.04106386133121,9.439531,,,,,,,,,,,791412.2,669288.2,990330.8,531461.7,12144.339,8993.395,
2548,106.04107219148821,9.861748,,,,,,,,,,,349451.7,526645.75,269952.16,417017.0,0.0,0.0,
2538,106.04107619008623,9.734789,,,,,,,,,,,966817.9,107382.266,251028.19,523484.62,3443.9136,0.0,
2542,106.04107795936622,9.797706,,,,,,,,,,,357032.9,1073634.0,262448.34,726730.5,0.0,0.0,
2565,106.04109926145628,10.121346,,,,,,,,,,,2520014.5,326055.75,3762911.5,887553.75,0.0,9336.943000000001,
2561,106.04111375810513,10.035021,,,,,,,,,,,239774.64,989800.75,562757.1,622341.2,0.0,9336.943000000001,
2608,112.98563128670028,10.243724,,,,,,,,,,,8466706.0,7671776.0,7026995.0,7493412.0,17338600.0,17180678.0,
2656,112.9856587269735,10.502735000000001,,,,,,,,,,,3967584.8,5319117.5,3936082.0,4215454.5,2030087.1,2012789.8,
