"","Filename","2024_POS_Anid-EV-SA-OA_CTRL_1_Run173.mzML","2024_POS_Anid-EV-SA-OA_CTRL_2_Run217.mzML","2024_POS_Anid-EV-SA-OA_CTRL_3_Run244.mzML","2024_POS_Anid-SA-OA_1_Run170.mzML","2024_POS_Anid-SA-OA_2_Run191.mzML","2024_POS_Anid-SA-OA_3_Run235.mzML"
"47","601/281.1495mz/2.2min","206214.17","79169.79","100372.05","198074.34","51155.855","32327.43"
"48","604/206.0811mz/2.23min","469149.62","108740.266","3165807.8","72762.805","1370214.5","244059.27"
"49","605/240.0865mz/2.21min","300097.56","86837.05","325784.34","240238.66","80576.234","100927.98"
"50","606/221.042mz/2.21min","157032.38","135188.98","348949.78","244872.08","164563.9","160421.33"
"51","609/181.0497mz/2.21min","337392.47","170940.3","504653.2","450062.3","211130.25","203900.06"
"52","612/285.1444mz/2.22min","3910781.2","3673347.2","2222224.2","3290931.5","1276441.4","2273176.5"
"53","613/307.9777mz/2.22min","341639.06","393644.56","265811.53","485678.12","375466.94","352264.7"
"54","614/286.148mz/2.22min","522571.44","484663.34","301457.75","421805.6","153880.47","299816.78"
"55","616/426.2229mz/2.22min","983004.0","2816228.8","4028.8682","563514.8","3610.79","109108.305"
"56","617/352.1864mz/2.23min","758010.4","527109.44","80216.805","505269.75","13351.321","204603.12"
"57","618/102.0912mz/2.23min","911060.06","788481.0","854516.44","927515.0","971342.4","904500.06"
"58","619/184.1695mz/2.24min","3068449.8","2730316.8","2592686.8","2233828.8","2280179.8","2678767.2"
"59","621/185.0783mz/2.24min","1751947.2","963064.75","831578.56","978329.25","634438.94","1063175.8"
"60","622/158.0811mz/2.24min","1175301.2","1241316.5","1256525.4","1299107.6","1045812.25","1063548.9"
"61","623/214.1073mz/2.24min","100136.63","177000.42","97238.055","47746.203","4258.5264","43578.266"
"62","624/323.1386mz/2.25min","140224.42","1123569.8","618186.3","452160.94","124764.12","152970.77"
"63","625/127.0753mz/2.25min","717830.5","394170.88","320496.44","368416.75","190707.58","395900.6"
"64","627/214.0508mz/2.25min","608626.56","439356.2","582534.25","678972.0","786756.56","676500.2"
"65","628/192.0689mz/2.25min","526426.5","459963.06","492906.28","563800.44","582063.94","545971.1"
"66","630/490.164mz/2.25min","797668.1","0.0","16685.428","30499.416","12629.117","228679.62"
"67","633/127.0389mz/2.24min","5750681.0","6642636.5","3729245.0","4851468.0","3375711.8","5014217.5"
"68","634/289.1393mz/2.26min","558030.0","796992.1","582892.8","656447.75","229926.72","569948.1"
"69","635/358.1971mz/2.27min","978686.3","1335274.5","324919.97","242388.7","330761.88","548147.44"
"70","636/200.1045mz/2.27min","3319680.8","3576752.8","3249252.5","4097063.0","3796936.5","3179082.2"
"71","637/205.0971mz/2.27min","2878609.0","3780145.0","2225965.5","3036677.5","2273246.8","2601168.8"
"72","638/188.0705mz/2.27min","3859624.2","4658250.5","2881023.0","3989962.0","2747182.0","3306641.2"
"73","639/218.1281mz/2.27min","4036124.8","4769328.5","4381538.5","5018709.5","5125616.5","4353816.5"
"74","640/217.1247mz/2.27min","289877.22","335207.4","304144.56","338125.56","368926.66","312360.97"
"75","642/189.0739mz/2.27min","463207.1","563963.94","333616.53","457982.53","325373.62","374272.28"
"76","645/340.1865mz/2.28min","341215.38","685437.6","135840.1","135513.11","135790.12","301964.0"
"77","647/195.1227mz/2.28min","416442.9","642348.1","536843.3","524196.0","548773.8","456410.88"
"78","648/184.0968mz/2.29min","273559.53","576554.56","421437.34","626612.1","436921.53","395579.84"
"79","649/224.0895mz/2.28min","229109.14","303883.25","280537.0","563558.5","348443.9","283603.8"
"80","650/202.1072mz/2.29min","193004.67","347982.22","242549.56","349592.0","223721.34","246849.31"
"81","651/217.1046mz/2.29min","874990.7","1605596.4","827423.25","1163000.8","1050431.9","710996.0"
"82","652/332.1128mz/2.29min","102250.32","17645.713","155842.23","23497.354","0.0","0.0"
"83","653/292.1655mz/2.29min","1967209.6","3663807.0","631690.9","1826393.0","381738.47","759863.0"
"84","654/196.0969mz/2.28min","190806.73","169848.34","546617.9","144882.75","280808.16","209309.56"
"85","655/267.0975mz/2.29min","0.0","0.0","465854.1","0.0","0.0","0.0"
"86","656/135.0416mz/2.3min","528683.6","1494167.0","85602.31","513234.53","134457.1","218590.19"
"87","657/322.1763mz/2.3min","246154.11","685008.56","11377.029","163482.03","3836.776","11956.452"
"88","659/229.1546mz/2.3min","643549.4","578472.1","755296.56","745240.9","965847.4","783670.25"
"89","661/408.2127mz/2.3min","1315045.6","1237850.9","130389.98","3151971.0","197854.11","763073.56"
"90","662/220.1542mz/2.32min","135145.56","41189.66","184894.7","62280.324","400196.0","173476.02"
"91","663/208.0968mz/2.31min","10032987.0","2946375.8","1941660.1","1148835.8","121348.55","1322631.1"
"92","664/202.1436mz/2.32min","144511.52","131427.28","306789.16","103114.72","535765.75","249627.53"
"93","666/95.0491mz/2.35min","134748.72","680719.25","80992.91","226008.36","24488.918","115996.12"
"94","667/434.1918mz/2.32min","188568.03","0.0","56789.11","92968.31","548079.44","482969.06"
"95","668/190.0861mz/2.32min","1383168.9","619486.0","255339.11","303772.56","39218.965","212443.36"
"96","669/298.0896mz/2.32min","402806.72","353708.12","301457.84","178507.75","86813.336","208042.64"
"97","670/197.0444mz/2.33min","176794.06","440747.28","5243.292","146432.48","226080.23","293950.97"
"98","671/113.0596mz/2.33min","32762440.0","86933430.0","23443898.0","28275960.0","10375330.0","15372047.0"
"99","673/276.1076mz/2.33min","1661748.1","1453188.9","1299959.5","685098.3","356783.6","820869.7"
"100","674/269.1125mz/2.33min","170267.44","504684.44","369910.12","558160.7","304828.06","507400.0"
