"","Filename","2024_POS_Anid-EV-SA-OA_CTRL_1_Run173.mzML","2024_POS_Anid-EV-SA-OA_CTRL_2_Run217.mzML","2024_POS_Anid-EV-SA-OA_CTRL_3_Run244.mzML","2024_POS_Anid-SA-OA_1_Run170.mzML","2024_POS_Anid-SA-OA_2_Run191.mzML","2024_POS_Anid-SA-OA_3_Run235.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","534/423.1971mz/2.02min","1239412.8","1676624.1","413873.62","1806451.9","216236.94","424695.0"
"3","538/182.0786mz/2.03min","3337555.8","3792855.0","6221402.5","3508394.0","3315290.0","2834883.8"
"4","539/100.0756mz/2.03min","3086812.5","3606199.8","5238860.0","3210214.8","2779915.8","2898210.2"
"5","540/160.0968mz/2.03min","2597328.0","3282323.5","5211949.5","2600778.2","2541452.8","2674368.8"
"6","542/277.1393mz/2.04min","681284.25","338221.75","62189.266","194507.94","8390.04","135270.84"
"7","543/261.1444mz/2.04min","6254490.5","3528379.0","719410.25","3179816.8","1514379.9","1385595.2"
"8","546/283.1265mz/2.03min","464030.84","160537.44","0.0","57766.375","44208.645","37585.336"
"9","547/328.139mz/2.05min","340382.12","349217.28","1164361.8","878200.6","411356.4","625401.5"
"10","548/310.1284mz/2.05min","26097.502","20294.092","178938.4","32472.762","45728.17","80970.9"
"11","550/285.1444mz/2.06min","2192954.8","1621080.2","1030783.75","1667080.2","618572.94","1145562.9"
"12","551/427.1279mz/2.07min","0.0","0.0","1188451.6","0.0","0.0","0.0"
"13","552/113.0596mz/2.08min","1918914.1","1560996.8","1446188.4","1690349.2","987980.8","1299749.5"
"14","553/248.0528mz/2.08min","1109896.5","1601965.5","578900.2","631191.25","1028225.25","1050266.5"
"15","554/243.1338mz/2.09min","1258842.2","533760.06","71034.57","1958206.2","510232.44","1085422.0"
"16","555/226.071mz/2.08min","2857434.8","4961418.0","1934058.9","2296826.8","2489991.8","2703459.8"
"17","556/215.139mz/2.08min","1298263.2","1198627.8","1019892.06","1516160.9","942965.25","935785.8"
"18","557/456.2338mz/2.08min","3054073.8","10774255.0","2309603.8","5745640.5","2360331.8","1823485.6"
"19","558/203.1389mz/2.08min","1341406.0","973058.9","1087776.8","1141133.6","888260.2","878263.4"
"20","560/194.0813mz/2.09min","258262.19","4117.3003","52994.65","0.0","0.0","65608.984"
"21","561/241.1182mz/2.1min","1981046.6","395451.47","541629.7","854456.75","214548.2","341142.8"
"22","562/233.1131mz/2.1min","845191.3","969137.06","300460.56","472222.3","197629.62","355051.97"
"23","563/222.0794mz/2.1min","1371383.0","1614695.0","1005043.06","1532378.8","1226708.5","1155341.9"
"24","564/244.0613mz/2.1min","948685.5","935209.56","693140.6","1015566.94","927102.0","816965.25"
"25","565/255.0952mz/2.1min","1072304.5","1016885.56","338523.16","657398.0","254188.97","306414.53"
"26","567/128.0706mz/2.11min","45027.85","837529.5","201328.19","195276.77","23943.52","134565.22"
"27","572/244.1907mz/2.12min","896829.56","666415.5","565844.2","580817.25","503932.6","667527.3"
"28","573/204.123mz/2.13min","243861.7","388593.8","220059.48","337138.62","183490.14","192705.4"
"29","576/229.1546mz/2.13min","262675.56","234838.11","221610.75","194699.14","233176.83","200226.33"
"30","577/146.1175mz/2.14min","445241.06","420945.34","743017.3","573846.6","307552.88","335351.78"
"31","578/323.1386mz/2.14min","282941.75","478524.38","1379276.1","277048.22","362332.44","300225.53"
"32","579/169.0496mz/2.14min","2658754.8","1233020.1","510158.97","1144614.2","618403.25","1168963.6"
"33","580/323.6402mz/2.14min","66156.64","149306.11","459616.25","55843.062","110856.93","88054.09"
"34","581/186.1124mz/2.16min","232380.14","359191.4","325155.4","613465.1","298169.28","324430.12"
"35","584/324.1917mz/2.16min","5352770.0","4804082.5","3887518.0","4387491.0","4786871.0","4859458.5"
"36","585/227.1026mz/2.14min","611123.94","867844.0","648679.1","582380.4","583731.5","365272.0"
"37","586/325.1953mz/2.16min","889886.1","811433.9","640417.44","745295.6","805901.9","807919.9"
"38","587/473.2239mz/2.17min","0.0","0.0","637084.56","0.0","0.0","0.0"
"39","590/202.1072mz/2.2min","153680.69","165070.28","171726.8","152291.89","153808.33","111446.484"
"40","591/461.2103mz/2.18min","141471.42","83240.54","186081.0","169918.58","126674.555","102704.34"
"41","592/221.1212mz/2.18min","396955.6","363769.8","448745.38","437683.84","301986.34","286481.4"
"42","593/220.1179mz/2.18min","4365965.5","4042504.5","4868310.5","4823047.0","3386802.5","3237755.8"
"43","594/242.0998mz/2.18min","1472055.9","1141940.1","2062366.0","2073467.8","1460360.5","1158591.5"
"44","596/283.1286mz/2.18min","431209.2","292201.25","245491.58","311265.66","557293.56","549962.06"
"45","599/232.1543mz/2.2min","19276680.0","23131990.0","18797050.0","25397702.0","11646595.0","14819038.0"
"46","600/233.1576mz/2.2min","2285087.0","2774339.2","2242265.8","3040436.0","1380549.8","1759119.9"
