"","PC1","PC2","PC3","PC4","PC5","PC6"
"648/184.0968mz/2.29min",0.0049802,-0.0051001,-0.00076053,-0.0099795,0.0068609,0.0082833
"649/224.0895mz/2.28min",0.0078272,-0.00078526,-0.0044535,-0.00060382,0.0035817,-0.0029902
"650/202.1072mz/2.29min",0.0037918,-0.005515,0.0029292,-0.0046046,0.010448,-0.002494
"651/217.1046mz/2.29min",0.0013708,-0.0078647,0.004992,-0.0036632,-0.0089826,-0.0054798
"653/292.1655mz/2.29min",0.0066393,-0.022214,0.033263,0.018436,0.004891,-0.00053818
"654/196.0969mz/2.28min",-0.0084227,0.015264,0.0023361,-0.017898,0.0094543,0.0023615
"656/135.0416mz/2.3min",0.0063131,-0.036029,0.02641,0.026381,-0.0079229,-0.0025472
"659/229.1546mz/2.3min",-0.001792,0.0043423,-0.0065946,0.0016862,0.0054299,0.010996
"661/408.2127mz/2.3min",0.022019,-0.027758,0.016854,0.05692,0.020847,0.011226
"663/208.0968mz/2.31min",-0.0052998,-0.0037443,0.071084,0.04598,0.048517,0.004935
"664/202.1436mz/2.32min",-0.013649,0.011891,-0.018785,-0.013418,-0.0017381,-0.0050455
"668/190.0861mz/2.32min",-0.00033888,-0.009238,0.058258,0.04204,0.028068,0.0049712
"669/298.0896mz/2.32min",-0.004874,-0.0019338,0.03024,0.0092643,0.023742,-0.0096958
"670/197.0444mz/2.33min",-0.0037752,-0.055039,-0.026704,0.062726,-0.014571,-0.0030387
"671/113.0596mz/2.33min",0.0015554,-0.017487,0.033117,-0.0023807,0.0029157,-0.0051802
"673/276.1076mz/2.33min",-0.0057578,-0.0012405,0.031146,0.0078795,0.022643,-0.0080591
"674/269.1125mz/2.33min",0.0058952,-0.0076835,-0.0042393,-0.014931,0.030191,0.0018984
"676/213.0756mz/2.33min",0.019707,-0.0056864,-0.006667,-0.00049666,0.007695,-0.00031785
"681/244.2011mz/2.38min",-0.0073366,0.0023633,-0.018505,-0.02179,0.011623,-0.010038
"682/284.1105mz/2.34min",0.0046793,0.0062182,0.005651,0.013957,0.018924,0.00011837
"685/231.1703mz/2.37min",0.00057873,0.0011444,0.011512,-0.013288,0.00073004,5.6889e-05
"686/262.1284mz/2.34min",0.0012988,-0.0017657,0.013431,0.0092013,0.020761,0.016625
"687/131.0702mz/2.34min",0.0044478,-0.0035014,0.013246,-0.0012651,0.0089819,-0.0086865
"692/240.0863mz/2.36min",-0.013343,-0.0035357,-0.0030377,-0.010399,0.009392,-0.003518
"695/202.1073mz/2.37min",-0.0038661,-0.0042135,0.016595,0.009353,0.0049597,0.0050981
"697/263.1202mz/2.38min",-0.01306,-0.0013689,0.014277,0.015525,0.0014445,0.0028602
"699/131.0532mz/2.38min",-0.012267,-0.0036256,0.019437,0.010598,0.0032938,-0.00010178
