row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML Peak area,GF_PF_MC_RCG_3_pos_20210511_Run197.mzML Peak area,GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML Peak area,GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML Peak area,GF_PF_MC_RCG_2_pos_20210511_Run96.mzML Peak area,GF_PF_MC_RCG_1_pos_20210511_Run78.mzML Peak area,
9795,81.52050416092314,10.580733,,,,79,,,,,,,2.096267E7,2.0800594E7,2.2351994E7,1.7443514E7,1.7761014E7,1.5419835E7,
618,84.04439929481877,0.63431144,,,,227,,,,,,,955835.6,77221.32,423075.62,1380322.0,82196.54,37281.63,
2042,84.04445185152598,1.5896724,,,,,,,,,,,409427.78,1405641.2,3005939.5,63289.54,5353853.5,692091.1,
661,84.0808050924936,0.5999981,,,,,,,,,,,862802.75,3023028.2,1.1549085E7,438932.44,3725379.5,872749.06,
337,84.0808151040432,0.48411107,,,,,,,,,,,9808898.0,9397296.0,1.3086403E7,1.1414111E7,1.1417519E7,1.2805346E7,
9804,84.95965479666978,10.604051,,,,79,,,,,,,2470491.8,2179071.0,2484688.5,1751762.2,1812623.6,1874917.8,
16,84.95972352573936,0.19264059,,,,,,,,,,,2862996.0,172645.6,215108.97,1013314.8,1182141.0,1188277.1,
9,84.95972435515789,0.13143753,,,,,,,,,,,431500.0,2917543.2,625804.2,1431946.4,2259102.2,2239821.0,
674,86.06007288172678,0.7072036,,,,,,,,,,,8352520.0,1164559.0,7897731.5,6633347.5,528426.6,2566534.8,
926,86.0600743776486,0.7866301,,,,,,,,,,,1.5792183E7,2.1825486E7,3.6954776E7,2.9983332E7,1.5361557E7,1.99995E7,
2148,86.06007723876017,1.6455337,,,,,,,,,,,407349.84,8228851.0,756290.56,967606.94,1368248.8,9805103.0,
4037,86.09641493224383,2.597169,,,,,,,,,,,2812249.0,4370419.5,3690026.5,4976873.0,2535633.5,7553924.5,
2647,86.09643270113789,2.0497012,,,,252,,,,,,,1.8164618E7,1.5810833E7,2.8024118E7,1.3045444E7,1.5531615E7,1.7239672E7,
735,86.09643797749094,0.67373186,,,,199,,,,,,,2.2435098E8,3.4347766E8,3.208461E8,2.4482752E8,4.133772E8,4.2329677E8,
3167,86.09643904545557,2.2411711,,,,,,,,,,,4452251.5,7420551.0,7461569.5,4574654.0,2015864.5,1697933.5,
933,87.06340609608509,0.7858131,,,,,,,,,,,161093.52,209244.38,1539292.4,463427.56,105743.31,136287.25,
1918,89.05973682901387,1.477965,,,,,,,,,,,0,1341222.6,8701131.0,0,8001155.5,4291463.0,
2308,89.05974400266459,1.8028238,,,,,,,,,,,0,3087080.8,789617.4,208257.58,2493343.2,602940.9,
1663,89.05974560343793,1.2462202,,,,,,,,,,,3569.2227,3024.8481,512677.38,3309.9258,1285584.0,35223.5,
2076,89.05974833596402,1.5774195,,,,,,,,,,,0,5343438.0,1627126.2,0,392680.97,256243.1,
2125,89.05975187376593,1.6277657,,,,,,,,,,,0,1.0444084E7,8038967.0,0,5982924.0,7004765.5,
365,90.05497975319402,0.49520263,,,,218,,,,,,,3796744.5,2018784.4,7486891.0,3100551.5,2503602.8,1985317.0,
1003,90.05498938346035,0.83645576,,,,,,,,,,,648142.0,5446862.0,426068.06,572271.4,1.1476344E7,7999744.5,
1238,90.05500253337459,0.91294485,,,,,,,,,,,28966.775,2.6252448E7,4608488.0,73703.5,2436687.8,738542.06,
1827,90.05501189641033,1.3830591,,,,,,,,,,,10839.902,1280165.1,222010.23,32669.805,7098394.5,4702927.0,
2143,90.0550167416197,1.6414547,,,,,,,,,,,17784.945,1618047.8,162401.31,13823.572,3570710.5,3196693.2,
1989,90.05501969703921,1.532586,,,,,,,,,,,31358.715,2.0613654E7,162401.31,32669.805,1927882.5,3578137.8,
1071,90.09137550002698,0.8650591,,,,,,,,,,,7162.3213,5087818.5,32219.238,3705.0435,131735.36,2678245.5,
2294,90.09140661517638,1.7793865,,,,,,,,,,,4554.5913,1957309.8,34341.64,0,4930540.5,395577.25,
2196,90.09141245776358,1.6925491,,,,,,,,,,,4554.5913,1931454.5,39852.688,0,281858.56,335975.84,
