Filename,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML,NEG_TJGIp4_1_Run44.mzML,NEG_TJGIp4_2_Run109.mzML,NEG_TJGIp4_3_Run189.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
81/218.1033mz/2.11min,1986247.5,2228749.8,2710956.0,1934724.6,2606630.5,2683187.8
82/145.0506mz/2.14min,1106338.2,1026941.06,1326368.9,940331.4,1384879.5,2010874.0
83/118.051mz/2.26min,0.0,390735.03,150826.5,4540.308,23364.129,79040.07
84/218.1044mz/2.31min,12008.028,31551.707,37827.65,11606.51,38733.746,50024.19
86/158.0822mz/2.37min,233479.2,274345.84,332609.88,224659.39,316443.7,404869.9
87/194.0458mz/2.39min,1609258.8,1813843.2,2139740.0,1680016.8,2317835.2,2455426.0
88/144.0455mz/2.4min,1157537.1,1319045.4,1455662.1,988629.7,1088288.4,1098218.9
89/188.0353mz/2.4min,1692900.9,2059580.0,2387149.5,1421687.1,1607404.8,1743266.1
90/136.0404mz/2.41min,818329.06,652536.8,773130.7,841164.2,917861.1,998841.25
91/175.0612mz/2.44min,1486586.5,1411843.0,1914304.5,1095165.4,1486220.2,1614064.4
92/139.0401mz/2.46min,592632.4,642751.44,742142.7,473785.94,687181.06,811128.25
93/172.0979mz/2.55min,30476.516,38202.93,54200.137,0.0,3726.5786,28581.334
94/228.0878mz/2.57min,753315.44,417336.62,498275.94,200235.2,233886.53,336378.34
95/121.0295mz/2.58min,638061.44,818958.6,839435.0,1220778.1,1124711.0,1113200.9
96/130.0873mz/2.58min,38307.04,164597.6,172575.66,24962.031,123015.64,105907.83
97/159.0663mz/2.61min,332953.25,320898.0,393009.72,233892.64,286595.7,310584.44
98/178.051mz/2.63min,622003.2,602802.94,712450.5,582364.75,788943.44,732010.44
99/158.0823mz/2.73min,816245.3,1053163.0,1315479.2,532714.8,845056.56,886912.75
100/136.0404mz/2.74min,66161.14,129846.07,167205.69,45815.625,111501.42,112876.305
101/107.0503mz/2.76min,595567.7,649416.2,798886.56,513569.12,618554.06,610060.44
102/151.0401mz/2.76min,427729.84,478197.75,596941.2,355457.75,452847.2,464790.84
