row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_Y-p10_3_Run145.mzML Peak area,2024_NEG_Y-p10_1_Run104.mzML Peak area,2024_NEG_Y-p10_2_Run130.mzML Peak area,2024_NEG_Y-EV_1_CTRL_Run89.mzML Peak area,2024_NEG_Y-EV_2_CTRL_Run118.mzML Peak area,2024_NEG_Y-EV_3_CTRL_Run139.mzML Peak area,
92,85.02941983706035,0.56118476,,,,6,,,,,,,1921597.5,1724212.6,1649282.6,2167861.2,2023626.4,559091.25,
30,85.02943282605732,0.38347244,,,,7,,,,,,,985953.7,1053931.2,1013800.3,1332960.4,1059721.9,952515.9,
189,85.06588448195343,3.131444,,,,,,,,,,,177905.7,87265.414,31060.836,200423.47,234140.6,428468.75,
44,87.00861752675415,0.3870627,,,,7,,,,,,,850915.9,947295.8,905933.6,881645.94,900738.25,1186008.9,
83,87.00862378095117,0.5363674,,,,6,,,,,,,1245426.4,1327557.9,2157183.8,973430.9,1781740.6,1682582.2,
515,89.02441481152742,9.97196,,,,,,,,,,,1162043.1,6076271.5,6427031.0,1256348.4,6460971.5,6124960.5,
514,89.02441485840357,9.816628,,,,,,,,,,,6256896.5,1201088.8,1215316.5,5976888.0,1273390.0,1273370.5,
502,89.02441793140105,8.966887,,,,,,,,,,,849722.5,1651220.1,768740.44,662958.06,1553249.5,1799351.2,
8,92.9280328843091,0.34036097,,,,,,,,,,,166357.16,189167.16,198642.16,129087.43,133467.64,295466.34,
562,96.96012798230511,10.621151,,,,,,,,,,,8171078.5,9076936.0,9064067.0,8486505.0,3694926.5,8677302.0,
4,96.96015079042292,0.3215035,,,,,,,,,,,725957.56,625472.5,653235.25,567085.0,668463.2,646148.06,
5,96.96963460573573,0.32939413,,,,,,,,,,,1842814.9,2029781.6,2393411.5,1613287.5,1939389.8,1521483.4,
499,100.93364967527974,8.856369,,,,,,,,,,,707062.7,429570.06,577303.75,721615.2,662212.06,2992499.5,
487,100.93365258800884,8.531516,,,,,,,,,,,184782.64,470506.16,658159.7,259101.08,313244.03,452373.84,
486,100.93365329096878,8.445028,,,,,,,,,,,563141.5,1282970.0,732487.1,371033.4,313244.03,874049.56,
436,100.93365388265083,7.8362637,,,,,,,,,,,361888.0,144373.16,131052.84,1271478.2,1150849.9,453735.34,
459,100.93365404479094,8.107724,,,,,,,,,,,340119.88,530389.5,249109.33,1167684.6,315357.94,485824.72,
450,100.93365451899763,7.9468956,,,,,,,,,,,547734.94,558539.44,520577.38,639161.1,1072795.1,652849.2,
