"","filter","2024_POS_CC_1_Run20.mzML","2024_POS_CC_2_Run47.mzML","2024_POS_CC_3_Run61.mzML","2024_POS_CC-Nam_1_Run32.mzML","2024_POS_CC-Nam_2_Run44.mzML","2024_POS_CC-Nam_3_Run67.mzML"
"110/244.1907mz/2.1min",395029.47,362358,378928.16,448430.34,411130.78,340429.9,449401.94
"111/99.5121mz/2.12min",474482.79,284906.78,646871.1,642649.8,306315.78,267432.1,755131.7
"112/181.0971mz/2.12min",921310.05,898039.1,811825.75,944581,1041455.75,882235.2,1951249.2
"113/245.0954mz/2.12min",4305966.5,4122480.2,3831443.2,4424619,4914674,4187314,8998157
"114/302.1961mz/2.18min",55934.117,49615.59,63591.703,76567.086,60026.75,38618.613,51841.484
"115/184.1695mz/2.21min",2125931.25,1963623.9,2006927,2359434.5,2244935.5,1827498.4,2558988.8
"116/199.1012mz/2.25min",483919.265,442934.53,478102.5,489736.03,500592.75,517951.8,473151.34
"117/217.1247mz/2.25min",518859.03,490726.38,512937.16,524780.9,554856.5,572699.6,507435.94
"119/218.1281mz/2.25min",7119424.75,6703308,7037200,7092236.5,7644217,7631958,7146613
"120/200.1046mz/2.25min",5996310,5724253.5,6020740.5,5971879.5,6338912.5,6489714.5,5947991
"121/195.1227mz/2.28min",657583.45,662007.2,661755.6,609265.1,626975.56,653411.3,689693.9
"123/244.2012mz/2.36min",1678470.6,2119867.8,1235168.4,1254858.4,2128437.8,2102082.8,1225836.1
"124/302.1961mz/2.37min",484595.72,577454.4,460546.97,508644.47,586176.1,357951.28,438480.56
"125/244.2012mz/2.51min",316989.295,317576.8,316261.53,321047.5,309089.5,316606.53,317372.06
"126/184.1695mz/2.53min",226217.845,189120.73,199355.02,262391.03,253080.67,191800.69,272727.22
"127/316.2117mz/2.58min",448500.87,518763.5,555945,515751.84,381249.9,246726.64,303427.34
"128/180.1018mz/2.66min",252930.28,240205.5,227280.17,311742.4,260787.31,245073.25,470488.2
"129/261.1234mz/2.6min",3615383,3745073.2,3550931,3679835,3538920,3442670.5,7132859
"131/259.2202mz/2.66min",455224.66,444309.44,450825.1,453464.7,456984.62,458374.16,490739.2
"132/130.159mz/2.69min",419080.47,415925.8,421903.75,418963.97,419196.97,334881.06,486085.84
"133/185.0855mz/2.69min",322881.545,777895.7,524594.1,382658.53,162019.23,34279.305,263104.56
"134/197.1285mz/2.71min",2333229.65,2253950.2,2233381.2,2507296.8,2390632.5,2275826.8,5236881.5
"135/202.1801mz/2.72min",144741.85,117968.21,137273.95,177111.53,152209.75,119724.555,193976.17
"136/316.2118mz/2.74min",947739.3,1072906.8,1166596.2,1235190.8,822571.8,570350.06,688760.5
"137/214.1801mz/2.75min",87048.92,77211.89,85959.45,88138.39,98091.67,78926.4,99785.18
"138/185.1284mz/2.81min",69059.629,77001.2,61179.35,73187.625,63352.484,64931.633,233723.53
"139/259.2202mz/2.79min",200325.085,201252.77,200408.77,200241.4,193990.34,196248.34,203757.44
"140/272.1856mz/2.82min",1211688.75,1246104.6,1329863.4,1344371.1,1177272.9,837435.7,1051208.9
"141/120.0443mz/2.83min",237993.705,583206.75,258310.25,378867.56,158973.33,125550.7,217677.16
"142/138.0549mz/2.83min",246088.14,601815.75,265142.75,393499.62,158154.5,133851.9,227033.53
"143/181.0971mz/2.84min",68041.7365,85198.02,95668.05,72708.77,21625.293,58953.348,63374.703
"144/185.1284mz/2.87min",72064.4475,55443.945,68127.84,79606.73,76001.055,64579.473,175825.48
"145/183.0917mz/2.96min",544660.275,757174.4,518081.8,571238.75,434578.88,411007.72,1008559.8
"146/244.2012mz/3.06min",40234.527,39026.684,44383.53,44044.227,38827.258,36501.22,41442.37
"147/212.1473mz/3.14min",293914.04,295193.03,283857.72,295125.88,292702.2,272693.28,704541.4
"148/211.1441mz/3.14min",2810654,2833066.5,2714042.2,2883836.8,2788241.5,2648786.5,5919189
"149/249.1332mz/3.2min",267941.405,258104.81,266819.78,269063.03,241464.83,322111.4,283813.5
"150/211.144mz/3.24min",3234675.85,3156233.5,2982399.8,3417069,3313118.2,3125716.8,7236289.5
"151/212.1473mz/3.24min",314855.94,310267.44,302113.53,349035.4,317125.22,312586.66,706356.56
"152/245.1284mz/3.26min",1382077.25,1398522.4,1330699.2,1425901,1352181.9,1365632.1,3005617.8
"153/320.1703mz/3.29min",43315.9585,44587.94,36998.15,42043.977,36976.086,46039.016,46960.54
"154/214.0498mz/3.34min",4228837.5,4383463,4074212,6925016.5,2818639,1627645.5,9495395
"155/182.1903mz/3.35min",346851.7,366698.97,362229.62,320492.4,331473.78,312877.8,404063.7
"156/245.1284mz/3.39min",3161354.9,3259170,2998391.5,3290411.8,3063539.8,2903270.2,6859827
"157/228.2321mz/3.46min",392681.9,374266.97,387021.8,435638.53,398342,318164.53,404995.97
"158/264.1335mz/3.47min",635497.02,1062805,737559.6,876122.44,289480.88,260234.36,533434.44
"161/214.0499mz/3.54min",22347111,27752528,21875316,26346566,18410652,17262834,22818906
"162/274.1648mz/3.54min",834310.75,835814.9,809188.4,832806.6,807907.9,855120.8,842822.75
"163/228.2321mz/3.54min",154286.445,147417.58,139505.05,161905.42,161155.31,131663.42,171643.73
"164/215.053mz/3.54min",2320775.3,2483226.5,1904962.6,3271536,2237215.8,1702744.6,2404334.8
"165/228.2321mz/3.65min",1966809.7,1943579,1970114.9,2159286.5,2031637.8,1536826.9,1963504.5
"166/246.1335mz/3.67min",214661.11,215748.77,202918.1,201266.3,213573.45,218022.69,225093.56
"167/586.2703mz/3.73min",725091.75,1014120.25,897805.44,367355.75,653040.9,136040.25,797142.6
"168/320.1703mz/3.75min",53522.935,70265.625,54729.83,52197.117,50747.28,52316.04,58640
"169/195.1379mz/3.84min",91175.132,77177.36,83246.664,99103.6,73411.05,103241.98,144600.31
"170/514.2855mz/3.97min",1063513.3,951709.75,1089534.6,1340759.6,934704.75,1622697.6,1037492
"171/394.2222mz/4.15min",296169.96,340853.97,262886.66,301948.3,290391.62,278050.6,485014.16
"173/321.1738mz/4.32min",785704.155,944117.44,756909.06,690009.6,748799.7,814499.25,926150.6
"174/320.1703mz/4.32min",5213808.75,6276044.5,4979478,4532468,5014969.5,5412648,6035613.5
"175/325.1256mz/4.32min",575357.53,694140.5,478547.88,467068.2,577646.5,573068.56,739699.94
"176/195.1379mz/4.34min",819456.62,826656.94,741257.94,812256.3,772291.7,828648.4,891319.9
"177/364.1965mz/4.4min",441857.78,492407.03,402542.47,407481.97,449291.16,434424.4,522621.3
"178/226.1801mz/4.42min",1211062.7,1213328.6,1208796.8,1239245.2,1160069.5,1202251.1,1361342.9
"179/244.1907mz/4.42min",817347.52,836944.6,809258.7,819670.94,798180.2,815024.1,905450.8
"181/408.2226mz/4.47min",503205.29,523569.12,495124.94,503237.3,503173.28,482436.62,598264
"182/214.1801mz/4.5min",311922.625,566948.5,409036.22,281583,213310.69,160661.22,342262.25
"183/392.1914mz/4.56min",2176783.35,2679363.2,2131720.2,2003049.5,2160878.5,2192688.2,2749008.5
"184/583.2912mz/4.61min",38904.242,144715.45,39467.914,25571.318,38340.57,5114.2636,74704.32
"186/246.2427mz/4.69min",270118.285,421906.94,241016.22,361673.1,251776.69,150243.66,288459.88
"187/583.2911mz/4.72min",27522.9835,80093.15,28315.516,5795.407,26730.451,1159.0814,91059.23
"189/230.9844mz/4.74min",626698.77,586435.44,618256.9,628901.94,626877.6,626519.94,633134.94
"190/211.9705mz/4.74min",3145756.3,3010576.2,3086185.2,3181167,3115946.8,3175565.8,3214090.2
"191/213.9685mz/4.75min",3046329.85,2951436,2976733.5,3062890.5,3029769.2,3082314.5,3139956
"192/229.9811mz/4.75min",7522109.25,7010560,7350487,7657618,7559650.5,7512066.5,7532152
"193/231.979mz/4.75min",7471312.5,6890246,7271303.5,7597168,7515841,7429775.5,7512849.5
"194/232.9823mz/4.75min",622976.48,559345.1,622539.4,637876.25,623413.56,598751,625369.56
"196/270.2063mz/4.78min",358468.51,372678.72,331885.22,357785.06,358527.4,358409.62,687105.4
"197/656.071mz/4.78min",1334029.85,1124599.2,1268443.9,1618905.1,1185909.5,1399615.8,1591826.5
"200/570.3016mz/4.81min",872939.22,881437.44,845784,890951.25,864441,807035.56,1014897.8
"202/551.2695mz/4.8min",439365.57,427248.25,440641.84,459741.7,438089.3,417575.62,490651.6
"203/568.2961mz/4.8min",13917006,14026671,13417324,14107290,13807341,12857939,16383568
"204/573.2513mz/4.8min",1221921.3,1187876.4,1231127.5,1249859.4,1212715.1,1150784.8,1392568.4
"206/274.274mz/4.85min",228054.22,286962.53,183454.72,226529.44,229579,194015.17,389470.62
"207/230.2477mz/4.87min",354286.875,430348.7,260901.88,379399.28,329174.47,239874.81,483555.6
"208/250.1777mz/4.88min",683965.8,782530.8,806940.25,665428.2,522096.6,531696.5,702503.4
"209/229.1991mz/4.88min",585785.075,664404.25,658708.5,552259.4,443288.66,430830.34,619310.75
"210/228.1958mz/4.88min",4382695,5062860,4957938.5,4184122.5,3335299,3304204.8,4581267.5
"211/158.1539mz/4.95min",777431.02,798888.1,761025.3,778231.94,736117.4,776630.1,807229.4
"212/640.3173mz/4.96min",683056.85,683654.5,641711.44,712445,682459.2,597445.75,740923.5
"213/398.23mz/4.99min",617475.65,986272.94,584495.2,932737.4,450734.97,382721.7,650456.1
"214/371.2741mz/5.0min",31738.2305,56089.42,30918.408,60613.79,12383.886,2476.7772,32558.053
"215/440.277mz/5.03min",2255934.7,2661892.5,1602689.8,2627320.8,1884548.6,1624633.8,3035329.2
"216/412.2458mz/5.06min",90112.04,122609.53,80857.24,115685.586,63787.066,46411.65,99366.84
"217/230.2478mz/5.09min",16692.592,75506.43,44479.016,2535.3634,12676.817,2535.3634,20708.367
"218/398.23mz/5.1min",2164891.1,3267316.8,2135922,3356334.2,1425309,1392891.2,2193860.2
"219/426.2614mz/5.11min",110183.79,185890.55,87180.02,172563.95,85532.89,54255.36,133187.56
"220/440.277mz/5.14min",7428415.5,8193631.5,6154331.5,9456741,6388441,6663199.5,10556321
"221/412.2457mz/5.17min",361544.9,484739.34,358331.8,528420.25,258426.27,227131.48,364758
"222/274.274mz/5.2min",312155.55,416781.6,240222.11,325205.22,299105.88,190946.81,333857.94
"223/404.2066mz/5.2min",360597.815,452540.28,363168.97,337792.12,358026.66,282574.78,699628.1
"224/387.1801mz/5.2min",359706.97,435207.62,353825.66,350158.44,365588.28,272052.94,686265.5
"225/432.2381mz/5.21min",22692.9635,43486.938,17129.707,6172.2373,28256.22,1234.44746,34095.855
"226/426.2614mz/5.21min",188632.65,334620.34,158632.94,321417.06,131934.5,116924.48,218632.36
"227/209.1536mz/5.26min",124347.33,126964.73,111156.71,141147.73,115304.19,121729.93,148736.27
"228/752.3999mz/5.3min",711901.08,1024753.75,598757.56,825044.6,598319.7,515692.8,940345.75
"229/583.2915mz/5.32min",9874.014,9874.014,9874.014,53795.195,9874.014,9874.014,49370.07
"230/482.2876mz/5.42min",423055.315,481890.78,265811.56,451697.53,394413.1,297888.2,826942.6
"231/426.2614mz/5.55min",696059.345,932896.2,571551.94,960616.5,529834.3,448451.88,820566.75
"232/387.193mz/5.56min",318286.75,375780.28,292034.7,393325.56,231721.38,220296.98,344538.8
"233/371.2742mz/5.56min",444418.655,591540.94,420440.84,617121.25,281248.06,200750.58,468396.47
"234/468.3082mz/5.6min",213564.81,245384.17,162268,256384.77,181745.45,166003.8,306537.88
"235/678.3631mz/5.63min",380489.345,592393.4,293052.84,394728.75,366249.94,292603.97,464153.97
"239/446.2535mz/5.64min",306075.58,318903.28,348832.88,299378.1,275026.03,312773.06,271440.9
"240/415.2113mz/5.64min",1987169.65,2142358.5,2188887.2,1995079.8,1687078.2,1848321.5,1979259.5
"241/432.2378mz/5.64min",2275863.4,2571387,2528331,2266384,2008582.1,2174921.8,2285342.8
"243/581.3119mz/5.64min",17490.2888,109619.49,4763.4956,952.69912,30217.082,952.69912,44263.21
"244/716.509mz/5.65min",748205.3,1154070.8,642122.44,812701.3,683709.3,513626,933531.8
"247/303.3087mz/5.65min",1786421.35,2123404.8,1267029.6,1692953.5,1879889.2,1245358,2143675.5
"250/302.3053mz/5.65min",9550636.5,11436500,6792641,8906008,10195265,6690843,11579359
"251/284.2947mz/5.66min",257429.865,303447.9,162967.89,244343.67,270516.06,162028.05,295228.56
"252/426.2613mz/5.66min",3010335.8,3733901.2,2512296.8,4075763.8,2186130,2104461,3508374.8
"253/307.2478mz/5.68min",450109.98,468750.2,449512.62,450707.34,425822.6,447509.9,453339.44
"254/371.2741mz/5.69min",307992.84,415180.28,294413.38,455190.56,188755.05,131596.25,321572.3
"255/468.3082mz/5.71min",914950.02,991197.1,755599.1,1152739.8,819919.7,838702.94,1323800.8
"256/440.277mz/5.74min",132169.15,172403.81,109346.3,163653.4,94519.164,87602.195,154992
"257/328.3209mz/5.8min",318533.905,492394.56,282155.47,379713.75,265805.75,182623.53,354912.34
"259/330.3366mz/5.82min",365594.53,414269.56,316919.5,427820.44,314287.28,279546.66,527845.75
"260/583.2912mz/5.86min",412137.82,523684.66,318543.2,505732.44,314785.47,280891.6,505975.84
"261/356.3522mz/5.95min",163871.665,199470.02,141983.44,185759.89,112915.85,97509.95,247925.1
"263/583.2912mz/6.05min",520654.66,745941.1,433896.22,607413.1,433728.62,328145.03,714842.4
"264/583.2912mz/6.12min",291261.68,350579.72,213064.66,337968.7,244554.66,183693.25,393894.75
"265/476.2744mz/6.13min",54030.7975,63723.285,39900.58,69793.02,44338.31,36833.418,67055.45
"266/454.2926mz/6.13min",1052790.3,1216362.2,761669,1232021.5,889218.4,673331.56,1280790.1
"268/291.1954mz/6.16min",337213.83,394725.72,264026.38,408063.2,279701.94,219045.81,404209.5
"269/371.2741mz/6.17min",470167.345,712887.75,451548.53,715216.4,270765.1,183033.14,488786.16
"270/496.3399mz/6.19min",302878.75,303381.7,246698.89,355581.16,301702.28,302375.8,450873.34
"271/476.2744mz/6.24min",308557.86,341804.62,274416.44,356181,275311.1,244867.11,345705.3
"272/454.2926mz/6.24min",6384028.75,7430002.5,4988814,7518108.5,5338055,4591577.5,7956592.5
"273/358.3678mz/6.25min",667686.95,661248.3,692833.2,1627111.8,493940.75,373097.53,674125.6
"274/579.4036mz/6.28min",201044.73,280391.56,184503.02,217586.44,135116.61,127230.016,225979
"275/331.2301mz/6.27min",276000.3,254930.7,164758.45,221493.52,396098.8,297069.9,779289.1
"276/297.2423mz/6.27min",148639.045,148655.23,147407.62,180093.1,148085.1,148622.86,185579.78
"277/353.212mz/6.27min",95712.095,87976.69,57956.445,70110.82,142164.31,103447.5,271514.34
"278/374.3627mz/6.27min",88994.405,78463.32,276921.25,699012.5,99525.49,44170.758,64901.78
"279/291.1931mz/6.29min",66808.838,57920.156,40533.88,83952.9,75697.52,55439.695,84977.05
"280/395.2766mz/6.3min",312442.34,382773.7,230807.28,355762.3,262658.97,269122.38,596762.6
"282/496.3397mz/6.3min",2825153.4,2989532,2241376.5,3375466.5,2660774.8,2536594.2,4045871.5
"284/480.3082mz/6.3min",2744785.9,4242481.5,2196170,3904135,2023472.8,1684772.8,3293401.8
"285/440.4096mz/6.3min",543051.845,574250.06,553853.75,567721.44,512344.97,370411.2,532249.94
"286/339.289mz/6.3min",65905.4415,103611.766,53475.543,86666.98,41641.21,39458.496,78335.34
"287/502.2901mz/6.32min",178042.015,226039.31,116272.42,207855.53,180366.45,99868.52,175717.58
"288/482.3137mz/6.31min",100934.03,165691.4,79410.38,146634.22,76566.555,58659.918,122457.68
"290/468.3083mz/6.32min",345858.015,406468.56,285673.25,418912.16,278381.25,226133.22,406042.78
"291/522.3552mz/6.37min",950272.6,1212222.2,653791.06,1193402.6,707142.6,639932.1,1305200.9
"292/483.3269mz/6.4min",55297.6425,73095.47,31377.074,68762.375,41832.91,22610.84,70377.73
"293/480.3083mz/6.41min",10971255.5,16565334,8651221,15998008,8023791.5,7231101.5,13291290
"298/502.2901mz/6.41min",471871.01,629994.4,402938.12,603201.3,390563.4,365309.28,540803.9
"299/959.609mz/6.41min",304007.725,611287.4,206118.98,610481.4,166701.36,135032.39,401896.47
"300/583.2912mz/6.46min",893553.13,1024963.5,657958.94,997620.56,789485.7,554140,1236582.6
"301/440.3578mz/6.46min",96965.42,99839.71,96390.3,85232.69,84131.445,97540.54,112804.27
"302/353.2685mz/6.46min",1288451.4,1521326.8,922546.44,1814663.9,1055576,804956.1,1621943.5
