"","Filename","2024_POS_CC_1_Run20.mzML","2024_POS_CC_2_Run47.mzML","2024_POS_CC_3_Run61.mzML","2024_POS_CC-Nam_1_Run32.mzML","2024_POS_CC-Nam_2_Run44.mzML","2024_POS_CC-Nam_3_Run67.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","110/244.1907mz/2.1min","362358.0","378928.16","448430.34","411130.78","340429.9","449401.94"
"3","111/99.5121mz/2.12min","284906.78","646871.1","642649.8","306315.78","267432.1","755131.7"
"4","112/181.0971mz/2.12min","898039.1","811825.75","944581.0","1041455.75","882235.2","1951249.2"
"5","113/245.0954mz/2.12min","4122480.2","3831443.2","4424619.0","4914674.0","4187314.0","8998157.0"
"6","114/302.1961mz/2.18min","49615.59","63591.703","76567.086","60026.75","38618.613","51841.484"
"7","115/184.1695mz/2.21min","1963623.9","2006927.0","2359434.5","2244935.5","1827498.4","2558988.8"
"8","116/199.1012mz/2.25min","442934.53","478102.5","489736.03","500592.75","517951.8","473151.34"
"9","117/217.1247mz/2.25min","490726.38","512937.16","524780.9","554856.5","572699.6","507435.94"
"10","119/218.1281mz/2.25min","6703308.0","7037200.0","7092236.5","7644217.0","7631958.0","7146613.0"
"11","120/200.1046mz/2.25min","5724253.5","6020740.5","5971879.5","6338912.5","6489714.5","5947991.0"
"12","121/195.1227mz/2.28min","662007.2","661755.6","609265.1","626975.56","653411.3","689693.9"
"13","123/244.2012mz/2.36min","2119867.8","1235168.4","1254858.4","2128437.8","2102082.8","1225836.1"
"14","124/302.1961mz/2.37min","577454.4","460546.97","508644.47","586176.1","357951.28","438480.56"
"15","125/244.2012mz/2.51min","317576.8","316261.53","321047.5","309089.5","316606.53","317372.06"
"16","126/184.1695mz/2.53min","189120.73","199355.02","262391.03","253080.67","191800.69","272727.22"
"17","127/316.2117mz/2.58min","518763.5","555945.0","515751.84","381249.9","246726.64","303427.34"
"18","128/180.1018mz/2.66min","240205.5","227280.17","311742.4","260787.31","245073.25","470488.2"
"19","129/261.1234mz/2.6min","3745073.2","3550931.0","3679835.0","3538920.0","3442670.5","7132859.0"
"20","131/259.2202mz/2.66min","444309.44","450825.1","453464.7","456984.62","458374.16","490739.2"
"21","132/130.159mz/2.69min","415925.8","421903.75","418963.97","419196.97","334881.06","486085.84"
"22","133/185.0855mz/2.69min","777895.7","524594.1","382658.53","162019.23","34279.305","263104.56"
"23","134/197.1285mz/2.71min","2253950.2","2233381.2","2507296.8","2390632.5","2275826.8","5236881.5"
"24","135/202.1801mz/2.72min","117968.21","137273.95","177111.53","152209.75","119724.555","193976.17"
"25","136/316.2118mz/2.74min","1072906.8","1166596.2","1235190.8","822571.8","570350.06","688760.5"
