row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp7_2_Run141.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML Peak area,NEG_TJGIp7_3_Run156.mzML Peak area,NEG_TJGIp7_1_Run17.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML Peak area,
50,89.02431462486551,0.48779753,,,,,,,,,,,1537461.4,1364576.5,1474720.8,724402.9,245630.77,159543.7,
12,92.92794777711163,0.36114565,,,,50,,,,,,,522625.7,584895.7,252152.98,686645.6,587177.7,718702.06,
2622,92.92795373309025,10.259038,,,,,,,,,,,0,0,0,0,248904.55,348263.6,
1075,96.96000397067233,5.712627,,,,,,,,,,,2221396.5,52500.777,36473.484,67759.22,15867.029,26858.705,
2693,96.96007515538217,11.008556,,,,,,,,,,,3974957.2,4319244.5,4220628.0,4330180.0,3121696.2,2944546.8,
11,96.96010524924593,0.35874638,,,,,,,,,,,4147380.2,3457486.8,3391302.0,3445762.5,5199036.0,5279361.0,
37,96.96953526868721,0.39125898,,,,50,,,,,,,3617809.8,3194722.0,2817780.0,3435067.8,4931893.0,3762788.5,
2203,99.92576382403907,8.1389,,,,4,,,,,,,3.3868936E7,3.2378754E7,3.806818E7,3.4944244E7,5872944.0,3.0641618E7,
2385,99.92576723688967,8.433482,,,,,,,,,,,5538272.5,4424805.0,6699731.0,2139036.5,4.853767E7,7477736.0,
9,102.95682591822124,0.33711076,,,,,,,,,,,590187.9,605753.75,612048.4,662183.6,568334.0,648774.0,
2628,102.95685311355301,10.27515,,,,,,,,,,,35903.527,30093.826,77245.35,57178.66,599712.0,697101.75,
2402,106.04102148543232,8.479066,,,,,,,,,,,69631.06,142929.1,361172.2,227357.97,18864.586,6019.629,
2379,106.04102770917578,8.439874,,,,,,,,,,,896849.25,796625.25,721816.5,842969.2,0,6019.629,
2412,106.04102948915566,8.552435,,,,,,,,,,,565739.0,468373.4,769985.9,622426.2,18864.586,6019.629,
2601,106.04105696614315,10.174263,,,,,,,,,,,402563.66,441022.4,169131.55,365990.1,0,0,
2514,106.04106386133124,9.439532,,,,,,,,,,,531461.7,669288.2,791412.2,990330.8,12144.339,8993.395,
2548,106.0410721914882,9.861748,,,,,,,,,,,417017.0,526645.75,349451.7,269952.16,0,0,
2538,106.04107619008626,9.73479,,,,,,,,,,,523484.62,107382.266,966817.9,251028.19,3443.9136,0,
2542,106.04107795936625,9.797705,,,,,,,,,,,726730.5,1073634.0,357032.9,262448.34,0,0,
2565,106.04109926145627,10.121346,,,,,,,,,,,887553.75,326055.75,2520014.5,3762911.5,0,9336.943,
2561,106.04111375810513,10.035021,,,,,,,,,,,622341.2,989800.75,239774.64,562757.1,0,9336.943,
2608,112.98563128670027,10.243725,,,,,,,,,,,7493412.0,7671776.0,8466706.0,7026995.0,1.73386E7,1.7180678E7,
2656,112.98565872697348,10.502734,,,,,,,,,,,4215454.5,5319117.5,3967584.8,3936082.0,2030087.1,2012789.8,
2340,113.00275379785582,8.251097,,,,,,,,,,,98064.445,341023.75,414236.8,560143.25,6300213.5,6067553.0,
