row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_CC-Media_1_Run18.mzML Peak area,2024_NEG_CC-Media_1_Run54.mzML Peak area,2024_NEG_CC-Media_1_Run74.mzML Peak area,2024_NEG_CC_2_Run48.mzML Peak area,2024_NEG_CC_3_Run62.mzML Peak area,2024_NEG_CC_1_Run21.mzML Peak area,Unnamed: 19
482,89.02441675195864,9.982633,,,,,,,,,,,910281.75,1217856.1,1197928.4,868413.6,1156765.0,916433.9,
479,89.02441697274719,9.834563000000001,,,,,,,,,,,8888606.0,1201961.2,1183055.9,561398.25,458497.56,552287.7,
46,89.02441799991686,0.41198424,,,,,,,,,,,387956.06,230177.11,232833.28,588634.0,3184018.0,648494.4,
483,89.02441715725958,10.079714,,,,,,,,,,,1118686.4,8279982.0,8243402.5,824399.0,746778.56,774601.7,
539,96.96012660676287,10.613886,,,,,,,,,,,9073602.0,2547528.0,8169517.5,1153870.0,2538561.8,8978525.0,
449,100.93365151721642,8.969108,,,,,,,,,,,361639.88,721486.0,1900238.4,696236.4,530048.6,208869.45,
389,100.9336538347966,8.376992,,,,,,,,,,,868866.6,1330634.2,461190.38,822099.0,264724.84,840325.1,
358,100.93365458425751,8.267987,,,,,,,,,,,1949023.9,4204680.0,5465797.0,1220602.0,2495451.2,805405.94,
321,100.93365475081828,7.968596000000001,,,,,,,,,,,1048909.5,1955329.6,440016.25,1618283.8,1891711.1,1346549.8,
393,100.93365472970652,8.422675,,,,,,,,,,,701282.4,460505.47,943681.2,810787.75,694925.1,599070.4,
353,100.93365497563265,8.205236,,,,,,,,,,,5787218.0,795094.4,984094.8,895883.75,450734.94,1755621.1,
494,100.93365561066273,10.221049,,,,,,,,,,,1037183.9,3210115.0,2785997.0,857878.56,1153091.4,1177540.8,
302,100.93365576441221,7.8596725,,,,,,,,,,,442760.06,1370036.8,725656.94,743749.5,2152338.0,661730.56,
345,100.93365619708679,8.066585,,,,,,,,,,,1855549.6,3793995.0,675002.5,592429.1,1140582.0,759258.7,
379,100.93365617307792,8.317039,,,,,,,,,,,1092597.6,2772637.5,3341746.5,691006.7,1675860.0,1122458.5,
14,102.95686163954977,0.35353208,,,,,,,,,,,502875.0,606866.4,742800.1,316679.1,325408.3,334452.7,
486,112.98567618330983,10.169555,,,,,,,,,,,543504.94,567727.06,558320.9,1020180.7,621565.06,709261.4,
11,112.98568210201691,0.33608234,,,,9.0,,,,,,,3434551.5,3218065.0,1643631.5,3591475.2,3492552.5,3645057.2,
501,112.98568124227666,10.271987,,,,2.0,,,,,,,4271278.0,3740123.0,3630231.0,2167654.2,2916501.5,2314974.2,
443,115.92075271808778,8.952598,,,,,,,,,,,1050374.2,1716109.6,4937334.0,2873669.8,1032670.6,791375.9,
487,115.9207585366125,10.198894000000001,,,,53.0,,,,,,,6102739.0,5001268.5,4685319.5,3960577.8,3447992.5,3631693.0,
352,115.9207592987873,8.191487,,,,,,,,,,,22956276.0,18390328.0,3097980.0,1309689.5,3272745.2,1109313.1,
295,115.92075992797407,7.720978,,,,,,,,,,,941693.0,947389.25,1111488.5,868638.5,2500541.5,1454585.4,
371,115.9207610407131,8.276441,,,,0.0,,,,,,,4010668.2,5247871.5,18440454.0,11631265.0,10189245.0,15939919.0,
333,115.92076140268524,7.9847813,,,,6.0,,,,,,,1885097.5,3296047.5,1143598.4,4280714.5,5161455.5,5215941.5,
305,115.92076249170641,7.8409457,,,,8.0,,,,,,,2716332.5,2872983.5,2125517.5,3592083.5,5494121.0,5156863.0,
515,116.92856906456458,10.361048,,,,,,,,,,,1372200.0,1685961.6,1642246.1,1446841.0,1409579.6,1521580.0,
304,116.92856976353228,7.839618700000001,,,,8.0,,,,,,,12393366.0,9459970.0,9250374.0,2341646.5,2326403.0,2649981.5,
253,116.92857383256916,7.334378,,,,,,,,,,,824096.44,729084.9,745948.25,839607.25,425759.62,631202.44,
294,116.92857604033877,7.7277203,,,,,,,,,,,2052267.8,1607187.6,1562418.0,2529460.8,2993136.2,3511324.0,
50,117.01927499144873,0.68051594,,,,,,,,,,,72869.56,107081.586,95671.56,661157.56,2601133.2,3566065.5,
48,119.0171375427583,0.5864205,,,,,,,,,,,1146205.5,1116984.4,1062496.9,1181549.6,1165489.1,1138258.4,
49,121.03276497234108,0.6478581999999999,,,,,,,,,,,1903476.9,1934985.2,1875031.0,1982424.4,1873149.6,1837446.2,
290,122.97577247016564,7.682517999999999,,,,,,,,,,,0.0,0.0,0.0,86957.734,93194.33,129808.84,
451,122.97577280893692,9.009146000000001,,,,,,,,,,,216129.06,206725.3,209791.78,356743.38,360409.03,470112.53,
311,122.975774241757,7.8666024000000006,,,,,,,,,,,0.0,5013.7570000000005,0.0,130429.98,108767.945,190800.8,
322,122.975777166183,7.9466686,,,,,,,,,,,0.0,0.0,0.0,188347.1,236951.31,259761.42,
