"MetaboAnalyst_ID","NEG_D5.Ctrl.a.P.EAMeOH_Run29.mzML","NEG_D5.Ctrl.b.P.EAMeOH_Run32.mzML","NEG_D5.Ctrl.c.P.EAMeOH_Run35.mzML","NEG_D5.211.C2.a_Run119.mzML","NEG_D5.211.C2.b_Run122.mzML","NEG_D5.211.C2.c_Run125.mzML","shared_name"
"95/156.0666mz/2.06min",2.9910352857112,3.00794992424586,3.1457465249449,2.99602938332116,3.04677513131586,3.00937186098902,"95"
"99/175.0612mz/2.51min",2.73558169978191,2.66502576096803,2.89014434847862,2.60494205032428,2.66097825147146,2.58325911849525,"99"
"102/230.1014mz/2.61min",2.50749651750637,2.47450935251075,2.57958160892181,2.54085393559048,2.58485335718259,2.53443545914635,"102"
"103/297.0856mz/2.61min",2.706673442063,2.66210100237704,2.79736459934664,2.71246371234327,2.75568147331566,2.71053699696431,"103"
"104/229.0982mz/2.61min",3.35966058129478,3.31516398818356,3.46436197746573,3.38344751658571,3.43320703062025,3.3780397997402,"104"
"107/229.0982mz/2.73min",3.02982859603727,3.00176028018815,3.14814161428548,3.06235520102587,3.10693610298804,3.04714289155433,"107"
"109/233.1031mz/2.8min",2.44896530144689,2.35589418344836,2.6902679738724,2.60830097409562,2.64453760891493,2.56810442014682,"109"
"110/131.0714mz/2.9min",2.62461427803954,2.6661059418661,3.03844405824218,2.01057428168503,2.15403045709393,2.75080451105097,"110"
"114/172.098mz/3.04min",2.62336536815337,2.59251954551642,2.87928798141029,2.73969683082565,2.80045736104243,2.70077359544851,"114"
"115/165.0557mz/3.09min",2.34145939989668,2.32507219619828,2.64507536477768,2.82422716258646,2.84270495460636,2.78549207897828,"115"
"116/217.0424mz/3.52min",2.9825944618489,3.01761715495228,3.07274175991646,2.93446648628062,2.94507073138073,2.92084269944426,"116"
"118/449.203mz/3.85min",2.67297933792757,2.5707541785265,2.87359364361054,2.81944993103402,2.89665814093045,2.82797891636273,"118"
"121/229.9644mz/4.69min",2.98835425133092,2.98706631788414,2.98803608626314,2.98920290405424,2.9857815161833,2.98633171265407,"121"
"123/426.9677mz/4.98min",3.79810288952349,3.83422525868181,3.89201704027365,3.60165507445812,3.49850732965648,3.46827751373625,"123"
