"","filter","NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML","NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML","NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML","NEG_D5-211-C2-a_Run119.mzML","NEG_D5-211-C2-b_Run122.mzML","NEG_D5-211-C2-c_Run125.mzML"
"95/156.0666mz/2.06min",2094420.35,1733748.8,1872108.8,2523212.8,2059053.9,2262684.5,2129786.8
"96/117.0557mz/2.14min",172077.845,277106.16,316710.8,639036.44,3855.6716,7818.665,67049.53
"97/145.0507mz/2.2min",66569.238,22439.887,28718.418,87804.89,73839.66,71177.16,61961.316
"98/203.0827mz/2.24min",370165.83,467016.78,534114.5,1071897.4,273314.88,245039.56,216527.08
"99/175.0612mz/2.51min",890356.9,962792.25,849976.5,1400721.2,836720.44,930737.3,798405.25
"101/158.9786mz/2.52min",5885.5801,3536.664,707.3328,4014.6902,262453.34,7756.47,129439.3
"102/230.1014mz/2.61min",699332.32,569439.25,548138.75,685155.2,721925.3,781092.06,713509.44
"103/297.0856mz/2.61min",1071030.3,900791.6,844271.56,1131284.8,1071771.1,1157524.9,1070289.5
"104/229.0982mz/2.61min",5000918.25,4051459.2,3797914.2,5254959,5024419,5508786,4977417.5
"105/158.9785mz/2.68min",14498.1458,3703.0503,3427.2007,24763.277,309832.4,4233.0146,117001.32
"106/230.1015mz/2.7min",368868.22,465087.56,162285.1,378078.5,330040,359657.94,465255.38
"107/229.0982mz/2.73min",2361053.6,1895743.1,1845616.4,2537166.5,2398797.2,2598872.5,2323310
"108/297.0857mz/2.73min",538804.025,446782.88,432685.75,596428.06,546743.75,603859,530864.3
"109/233.1031mz/2.8min",807121.15,497641.03,417133.75,884046.94,843216.9,896161.9,771025.4
"110/131.0714mz/2.9min",798897.475,745701.75,852093.2,1970840.2,212918.08,289653.84,1174272.2
"111/172.098mz/2.99min",215077.5015,410828.25,377352.62,52802.383,670888.25,49090.445,34525.703
"112/306.0763mz/3.0min",3322.7008,3322.7008,3322.7008,3322.7008,3322.7008,16613.504,59855.625
"113/130.0873mz/3.03min",113550.948,64281.227,59318.617,141443.4,113411.016,123750.164,113690.88
