"","filter","NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML","NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML","NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML","NEG_D5-211-C2-a_Run119.mzML","NEG_D5-211-C2-b_Run122.mzML","NEG_D5-211-C2-c_Run125.mzML"
"114/172.098mz/3.04min",1093813.4,743560.4,719284.5,1366140.4,1141130.1,1283235.1,1046496.7
"115/165.0557mz/3.09min",1034293.85,388517.22,388555.75,796677.8,1386326.4,1414340,1271909.9
"116/217.0424mz/3.52min",1788596.6,1700377.5,1914248.5,2132795,1786918.8,1790274.4,1737028.6
"117/361.1506mz/3.65min",540481.1,392541.62,332334.75,822678.4,541178.2,578469.1,539784
"118/449.203mz/3.85min",1359752.65,833547.25,684124.8,1348344.9,1371160.4,1601426.5,1402630.2
"119/295.9539mz/4.68min",434178.165,405551.97,425607.03,410886.97,462104.12,442749.3,464533.44
"120/297.9518mz/4.68min",416514.56,387331.97,409474,395731.28,442559.72,423555.12,443915.2
"121/229.9644mz/4.69min",1875214.2,1723078.8,1784216.2,1754863.9,2026941.6,1966212.2,2019742.4
"122/227.9666mz/4.69min",1934900.4,1769908.8,1838150.9,1803878.8,2077965.5,2031649.9,2084319.4
"123/426.9677mz/4.98min",9711405,11118694,12548922,14067742,8304116,6402597.5,6126914
"124/494.9552mz/4.97min",514303.685,602897.9,696935.25,771930.44,425709.47,327623.75,316297.66
"126/450.2626mz/5.67min",131906.65,47963.566,51488.184,67519.91,258883.23,196293.39,284285.6
"127/538.3148mz/5.71min",82966.866,27655.622,27655.622,27655.622,181889.61,138278.11,160697.34
"129/450.2626mz/5.77min",680519.345,55889.31,63590.492,69777.09,1766379.5,1291261.6,1671825.4
"130/538.3149mz/5.81min",1005404.52,335134.84,335134.84,335134.84,2355299.2,1680298.4,1675674.2
"131/478.2934mz/5.81min",18979.2354,6326.4118,6326.4118,6326.4118,57878.883,31632.059,35613.816
"132/277.1842mz/5.9min",173720.285,145080.17,1045204.75,202360.4,129334.76,83043.24,343931.03
"133/265.1479mz/6.07min",939306.53,1104937,1241907.1,1456497.9,773676.06,721934.7,757901.1
"134/217.0423mz/6.1min",816556.35,481186.7,845823,555241.9,851732,787289.7,896082.06
"135/277.1841mz/6.15min",51034.3885,46292.902,513862.94,55775.875,10584.406,17778.125,67250.1
"136/452.2783mz/6.16min",658098.19,59045.008,63510.99,82779.28,1512235,1233417.1,1441079
"137/271.2279mz/6.2min",198450.79,131797.38,126720.76,189121.61,222515.67,207779.97,232613.83
"138/540.3306mz/6.2min",521412,173804,173804,173804,1214259.2,894363.7,869020
"139/478.2939mz/6.23min",389419.58,254580.6,265953.34,297923.38,629176.25,480915.78,585507.1
"140/566.3461mz/6.27min",110445.36,36815.12,36815.12,36815.12,226128.88,184075.6,190549.47
"141/496.2682mz/6.32min",405335.35,88521.49,97876.2,78690.78,855731.8,712794.5,768181.44
"142/277.1842mz/6.26min",58029.9575,63073.477,484446.06,86923.15,1748.6852,8743.426,52986.438
"143/478.2938mz/6.3min",284966.465,48826.35,50700.543,261750.27,385446.94,308182.66,351485.66
"144/566.3461mz/6.37min",256673.964,85557.988,85557.988,85557.988,595035.94,427789.94,442717.56
"145/291.1999mz/6.36min",122319.41,90224.68,989414.9,154414.14,60389.914,60446.887,247746.86
"146/571.2887mz/6.44min",3741125.4,1247041.8,1247041.8,1247041.8,7037970.5,6329394.5,6235209
"147/271.2278mz/6.51min",40441.287,38811.418,37512.03,66051.22,34649.72,42071.156,43080.355
"148/311.1686mz/6.54min",572500.2,156348.81,151854.1,176904.1,1169051.2,1009835.3,968096.3
"149/654.1322mz/6.56min",332557.54,394565.16,391032.94,351954.7,307096.12,306860.47,313160.38
"150/571.289mz/6.56min",848954.1,904295.8,1052554.6,793612.4,2211479.5,67132.164,51944.316
"151/291.2mz/6.54min",18476.9096,3345.4172,357237.1,33608.402,669.08344,669.08344,71938.32
"152/299.259mz/6.61min",91690.2,98935.83,104150.34,42225.164,42422.273,128401,84444.57
"153/311.1686mz/6.64min",1133510.7,1547892.8,1420470.9,1531263.8,846550.5,684435.1,720535.06
"154/718.1449mz/6.66min",271636.645,335500.06,323824.22,287828.6,242250.25,248599.8,255444.69
"155/291.2mz/6.7min",21102.42,7034.14,383065,35170.7,7034.14,7034.14,62700.125
"156/299.259mz/6.74min",126397.08,146126.11,94998.1,84303.62,184693.28,106668.05,743261.06
"157/782.1574mz/6.75min",184582.25,222726.42,220702.92,197190.48,171491.52,171974.02,165348.08
"158/311.1686mz/6.72min",614927.11,1025905.8,1002933.3,1119045.8,224676,174315.73,226920.92
"159/654.1323mz/6.78min",796318.52,948187.9,916515.94,868030.6,724606.44,464235.9,681030.9
"160/568.3616mz/6.79min",206495.04,68831.68,68831.68,68831.68,440015.4,344158.4,358519.06
"161/299.259mz/6.83min",411059.81,391360.9,444463.7,381722.44,430758.72,386643.4,462585.28
"162/846.1698mz/6.83min",130651.43,131716.23,139503.3,131231.05,130071.81,96357.41,102896.07
"163/718.145mz/6.86min",864661.47,1043433.44,1007725.9,925504.5,803818.44,760394,789020.8
"164/291.2001mz/6.89min",4158.2976,6930.496,378309.38,46061.45,1386.0992,1386.0992,1386.0992
"165/782.1576mz/6.93min",722781.23,874427.94,833843.1,763492.9,666207.3,646892.06,682069.56
"166/271.2279mz/6.94min",101676.192,89789.65,89301,35324.2,116262.07,113562.734,128958.266
"167/654.1324mz/6.95min",197269.84,255446.12,237351.8,211918.73,164343.83,168907.42,182620.95
"168/846.1699mz/7.0min",549407.235,690194.4,636983.75,586957.94,511856.53,493897.88,480843.9
"169/718.145mz/7.02min",395410.265,488503.66,463638.22,446542.03,331069.62,328300.7,344278.5
"170/782.1576mz/7.09min",464598.18,569648.3,540491.56,522495.7,406700.66,398491.06,395664.25
"171/325.1842mz/7.12min",768214.87,153780.34,119658.25,144691.75,1507916.9,1408834.8,1382649.4
"172/846.1699mz/7.14min",448592.45,511073.56,476029.22,459274.84,437910.06,407262.44,378926.16
"173/271.2279mz/7.15min",1471203.85,1431407.9,1610510.8,975112.25,1551029.1,1415897.2,1510999.8
"174/716.5239mz/7.17min",2530923.3,843641.1,843641.1,843641.1,4218205.5,4593414.5,4817535
"175/325.1842mz/7.28min",1576077.1,2131096.5,2035603.8,2225115.8,1116550.4,1099892.1,1105853.6
"176/327.2904mz/7.25min",94114.725,49892.492,97359.43,36921.676,120877.375,90870.02,128369.18
"177/293.1794mz/7.29min",441448.44,735747.4,943518.5,1074625.2,147149.48,147149.48,147149.48
"179/782.1575mz/7.31min",32996.915,47919.246,43359.98,34889.473,31104.357,24157.398,29660.324
"182/129.9757mz/7.37min",1167100.5,1524657.2,1220047.8,1547980.1,1114153.2,984188.7,1091276.4
"184/372.1163mz/7.37min",378287.24,451424.2,483819.8,522969.47,284230.25,262160.44,305150.28
"185/321.2045mz/7.37min",247335.715,236019.45,258651.98,349076.25,270820.72,202234.8,151748.39
"187/338.1949mz/7.37min",473656.77,471503.88,378760.56,528925.9,540197.3,454381.06,475809.66
"189/194.9058mz/7.37min",157363.948,306840.97,342409.84,383743.3,1392.425,6962.125,7886.926
"190/114.9341mz/7.37min",700902.25,775412.94,878201,1005206,599543.75,597982.8,626391.56
"191/116.9285mz/7.37min",13847901.5,15537813,17655614,19481938,11557926,11517864,12157990
"193/316.9477mz/7.37min",565940.515,795290.06,825371.25,863041.1,265236.66,300190.8,336590.97
"194/384.9352mz/7.37min",248633.28,403357.38,406755.16,427882.4,20042.695,44898.793,93909.18
"195/353.1426mz/7.37min",16072137.25,24609580,26378220,28063858,7062395.5,6657488.5,7534694.5
"196/117.9286mz/7.37min",1606137,1816391.6,2054288.6,2226538.5,1337640.6,1319757.5,1395882.4
"197/248.9604mz/7.37min",717377.95,957737.4,953050.5,1023884.3,411712.47,455287.84,481705.4
"198/253.2173mz/7.37min",666203.39,976446.44,1171405.6,1498809.5,355960.34,254851.34,302414.3
"199/299.2226mz/7.37min",189776.635,285794.7,305866.94,431549.38,93758.57,57663.023,62748.242
"201/351.1481mz/7.37min",799929.15,1239322.5,1324088,1407829.5,340718.62,321534.88,360535.8
"202/590.3646mz/7.37min",340659.94,385792.44,410310.06,462320.3,295527.44,238043.27,252166.73
"204/421.1299mz/7.37min",319774.107,575269.3,618204,687943.56,52837.19,53827.613,64278.914
"205/452.9229mz/7.38min",116779.896,194633.16,200083.83,307778.9,38926.632,38926.632,38926.632
"206/438.1199mz/7.38min",536918.025,900318.1,917648.2,971947.2,122709.77,138855.31,173517.95
"208/369.1372mz/7.43min",738033.375,1043773,1080299.6,1168180.9,432293.75,407026.34,411775.47
"209/325.1842mz/7.43min",656420.905,1335688.6,1226595.4,1334047.5,70597.734,71425.78,86246.41
"210/776.5452mz/7.48min",3248013.9,1082671.3,1082671.3,1082671.3,6597769.5,6432584.5,5413356.5
"211/299.2591mz/7.52min",220351.105,237085.34,251109.58,145161.4,213343.77,218815.66,221886.55
"212/599.3208mz/7.57min",4749254.498,38500.21,26183.957,45742.996,10569145,9452766,9848113
"213/192.9289mz/7.62min",69521.97,212554.77,131027.53,115869.95,23173.99,23173.99,23173.99
"214/802.561mz/7.72min",772527.48,257509.16,257509.16,257509.16,6500998,1805449.9,1287545.8
"215/299.2591mz/7.71min",1200698.65,1128106.8,1262897.5,1191283.5,1210113.8,1190360.1,1220396
"216/319.2312mz/7.79min",6174.8951,3916.7942,597724.94,18842.71,783.35884,783.35884,8432.996
"218/114.9341mz/7.77min",1155904.4,1382408,1456305,1532052.8,895881.9,914573.4,929400.8
"219/194.9058mz/7.78min",265482.7595,541459.8,540921.4,518278.78,11109.916,12686.739,11582.402
"220/161.9136mz/7.77min",68012.714,111120.53,152836.78,156548.1,24904.898,22551.95,24394.416
"221/353.1638mz/7.77min",1168479.67,1861436,1970406.6,2011554.1,475523.34,443099.75,466602.88
"222/355.1582mz/7.77min",23051537.5,36159264,38542260,39498668,9943811,9656555,9890955
"223/255.2329mz/7.77min",266994.55,282712.72,370546.75,442908.28,251276.38,205543.4,222042.06
"224/116.9285mz/7.77min",22009570,26316296,27924852,29336672,17702844,17590228,17126088
"225/117.9286mz/7.77min",2545550,3033445.2,3214081.8,3403749.5,2051908.5,2057654.8,1982415.6
"229/357.1626mz/7.77min",591178.485,941152.75,993018.9,1032652.94,241204.22,231599.4,217596.98
"230/248.9604mz/7.82min",550963.51,816504.9,828754.56,906851.9,81734.65,264782.53,285422.12
"231/452.9228mz/7.78min",112245,187075,194525.17,194788.69,37415,37415,37415
"232/423.1454mz/7.77min",328743.922,610450.5,676266.44,701636.6,47037.344,45108.652,46130.42
"234/316.9477mz/7.79min",377248.835,664526.9,794491,738958.6,65356.793,89970.77,18977.8
"235/384.9355mz/7.78min",196252.236,327087.06,386250.03,377597.2,65417.412,65417.412,65417.412
"236/356.1605mz/7.77min",6237870.4,10041797,10597945,10934939,2433943.8,2366817.2,2404509.8
"237/440.1355mz/7.78min",666772.71,1241087.5,1344435.6,1302154.5,81154.35,45656.613,92457.92
"238/371.1529mz/7.82min",1012894.8,1379018.9,1357279.2,1391410.1,660253.75,668510.4,653348.44
"239/366.226mz/7.89min",251711.61,243585.8,240006.98,259837.42,335297.72,563149.1,167771.02
"240/863.566mz/7.87min",214552.325,33652.15,33652.15,168260.75,344741.75,357332.5,260843.9
"243/400.1474mz/7.87min",413934.905,463691.1,486467.47,321059.62,416186.03,411683.78,409024.12
"244/129.9757mz/7.82min",823474.35,811923.9,785089.2,587306.75,835024.8,922135.1,976552.5
"246/382.1762mz/7.87min",13488295.5,20419564,21573630,22025230,6557027,6234832.5,6425159.5
"247/116.9285mz/7.87min",45715279,70393360,71638310,69426330,22004228,20527880,20456504
"248/117.9286mz/7.87min",5328595,8231066,8418889,8070851.5,2586338.5,2395783,2413654.2
"249/137.8917mz/7.89min",82292.535,186175.8,80424.09,84160.98,66122.016,36602.38,275193.53
"250/132.9002mz/7.9min",240528.9,229351.69,157927.77,187892.89,389278.34,251706.11,389313.4
"251/118.9267mz/7.87min",1285340.9,2111296,1943342.5,2056716.4,627339.3,599468.9,595472
"252/114.9341mz/7.87min",2369209.2,3923872,3835831.5,3573632,1164786.4,1116641,1123855.5
"254/327.254mz/7.87min",800491.75,1001906.7,1143418.1,1198347.9,599076.8,494825.53,513160.47
"255/319.2311mz/7.88min",3979.8666,3959.6504,718580.44,43133.242,791.93008,791.93008,4000.0828
"256/371.3166mz/7.86min",236046.74,239190.1,286985.34,252159.28,232903.38,206864.77,227980.39
"257/118.9241mz/7.87min",1319941.3,2130508.5,2213051,2141550,414118.84,509374.1,498543.47
"258/248.9604mz/7.87min",639561.75,1037526.3,1058218.6,1010993.94,142887.69,253508.36,268129.56
"259/316.9477mz/7.87min",420478.965,802113.7,787739.3,843617.8,11410.559,21009.672,53218.63
"261/349.2359mz/7.87min",770678.35,794263.9,893270.44,884501.9,747092.8,688678.56,711493.3
"262/118.9326mz/7.87min",437718.87,595614.8,687782.7,687664,279822.94,166267.58,211337.05
"263/194.9058mz/7.87min",618846.633,1186140.2,1329884.5,1269888.1,26986.014,12686.739,51553.066
"264/216.8538mz/7.88min",401093.82,668489.7,973149.44,862056,133697.94,133697.94,133697.94
"265/281.2485mz/7.88min",4808115.4,6488629,8489138,8117734.5,3127601.8,2736107.5,2950885.2
"266/379.1794mz/7.88min",2400447.75,3606033.5,3783579.5,3692489.5,1194862,1126518.5,1168150.6
"267/381.1739mz/7.88min",47317557,70434344,74421850,72639320,24200770,23124690,23746116
"269/835.5352mz/7.88min",827500.925,1207926.5,794264.75,362230.16,996715.56,830046.1,824955.75
"270/383.1777mz/7.88min",1680298.43,2518106.8,2664641,2626973.2,814365.06,792267.1,842490.06
"271/380.1829mz/7.87min",441857.755,676412.9,725432.2,716866.25,202751.19,202422.28,207302.61
"272/563.5046mz/7.88min",163724.4975,231458.62,312250.28,321396.8,95990.375,86610.56,90669.71
"273/646.4274mz/7.88min",326752.5,338354.88,389267.38,361945.44,315150.12,286186.75,307612.94
"276/112.9857mz/7.87min",7831327,9266560,10080119,9583707,6304683.5,6396094,6312238.5
"278/417.2234mz/7.88min",299131.49,493855.5,602175.9,606197.6,104407.48,63173.305,59755.61
"279/485.2105mz/7.88min",215100.11,395356.47,447977.4,444085.16,34843.75,15362.367,13870.85
"280/449.1611mz/7.88min",760763.385,1339123,1457810.8,1385385,182403.77,165892.55,156960.44
"282/134.8946mz/7.9min",7191782.5,6695883,9364370,8913711,3484883,1004094.6,7687682
"284/466.1512mz/7.9min",1138941.2,2143656,2204805,2179617,79648.64,134226.4,127575.164
"285/397.1685mz/7.94min",2269412.7,3193003,3277430.2,3305024.8,1333236.8,1345822.4,1319544.8
"286/802.5612mz/7.98min",858402.9302,7733.8604,1546.77208,1546.77208,1709072,8162926.5,7789979.5
"288/341.2696mz/8.01min",325264.34,296960.94,324550.06,165080.03,338343.12,325978.62,340781.53
"289/369.1737mz/8.0min",230443.7,286416.4,307003.53,329958.6,139509.06,152456.16,174471
"290/327.2904mz/8.02min",270159.82,332657.44,336760.12,309998.97,218224.86,226346.64,230320.67
"291/686.4769mz/8.05min",4767187.2,1589062.4,1589062.4,1589062.4,9008074,8444626,7945312
"292/786.4023mz/8.05min",719309.52,239769.84,239769.84,239769.84,1418950.2,1313782.6,1198849.2
"293/599.3205mz/8.01min",241859.65,557483.4,611897.94,390488.6,89523.16,60289.76,93230.7
"294/197.8078mz/8.15min",33440.61,11146.87,11146.87,11146.87,55734.35,156489.31,67707.91
"295/195.8108mz/8.22min",77573.49,23203.36,43955.13,31109.043,111191.85,144280.11,258036.38
"297/150.8894mz/8.25min",379008.755,175913.7,126460.91,221686.31,3986051,536331.2,556444.9
"299/399.1842mz/8.21min",1215852.05,1689519.4,1799364.1,1929165.2,742184.7,680559,740392.6
"300/339.1997mz/8.19min",1028023.49,1835327.2,1847445.8,2034314.2,58716.73,120289.78,220719.78
"301/385.1935mz/8.21min",703596.4,1052919,1166910.6,1140056.2,354273.8,346671.22,337205.12
"302/383.1895mz/8.21min",20827190.5,30075600,33172790,32476836,11255547,10561413,11578781
"303/381.195mz/8.22min",1017056.23,1503062.4,1632880.6,1632886.6,527299.06,511212,531050.06
"304/114.9341mz/8.22min",1864247.15,2310395.2,2593703.2,3114751.5,1418099.1,970793.1,1360428.1
"305/451.1768mz/8.21min",136626.6615,251194.53,269132.7,275106.06,16217.57,9047.736,22058.793
"307/118.9268mz/8.22min",917266.8,1420843.9,1605568.9,1234394.6,600139,523025.62,565423.44
"308/118.9326mz/8.22min",286523.96,479180.34,380247.06,373840.5,129938.484,166120.88,199207.42
"310/117.9286mz/8.22min",4148632.9,5943876,6202175,6796124,2278556.2,2308671.8,2353389.8
"311/137.8917mz/8.23min",509869.35,121016.375,303335.9,368588.9,941855.9,651149.8,866072.8
"312/118.9241mz/8.21min",265002.925,434264.53,313547.16,427842.16,71555.29,160115.2,216458.69
"314/129.9757mz/8.22min",1214991.775,2522566.5,2886986.2,1624150.8,805832.75,746773.25,738070.8
"315/132.9002mz/8.23min",928062.4,185368.62,605878,580009.25,1366422.2,1304393.4,1250246.8
"316/402.1632mz/8.22min",436219.74,690810.2,719005.56,581188.1,291251.38,256220.33,246288.14
"317/146.9659mz/8.23min",4773478.75,6921576,4442929,4206469,3973630,5104028.5,5442345
"319/134.8946mz/8.23min",17691943,11392770,10811952,10436432,26457582,24989824,23991116
"321/195.8108mz/8.27min",98021.182,31256.828,43428.254,27021.473,200252.17,152614.11,213600.03
"322/468.1668mz/8.22min",1420907.11,2442020.5,2808658.8,2795071.8,399793.72,360220.7,376365.22
"323/427.2338mz/8.23min",244203.361,475089.1,517400.8,459326.8,21778.547,29079.922,21173.492
"324/197.8079mz/8.28min",129915.565,48803.49,64569.77,62282.875,318137.75,195261.36,601704.75
"325/319.2312mz/8.25min",2420.94816,806.98272,560793.1,6874.9053,806.98272,806.98272,4034.9136
"326/199.8049mz/8.33min",91929.595,70624.44,42914.24,14695.143,271123,256007.77,113234.75
"327/409.205mz/8.27min",585328.225,614892.75,635009.94,629367.06,465982.88,555763.7,501059.66
"328/339.1997mz/8.38min",526587.803,1006382.7,1053037.4,1249621.5,46700.5,39043.137,46792.906
"334/150.8895mz/8.35min",766424.375,650247.4,700203.4,748584.75,784264,3268813,3270779
"335/137.8917mz/8.3min",410430.95,359632.47,429940.56,221488.19,390921.34,474712.16,496235.88
"336/134.8946mz/8.28min",13480528,11710992,12271997,6369324,16129868,14689059,56539120
"337/132.9002mz/8.28min",320998.32,287176.8,311449.62,325340.3,724970,714812.5,316656.34
"340/199.9292mz/8.37min",299913.085,160650.78,367008,232818.17,110147.9,898927.7,390359.3
"341/698.9113mz/8.43min",965371.95,1025711,952850.25,977337.8,994811.06,927693.6,953406.1
"342/199.8049mz/8.45min",2080514.6,429679.28,1145446.2,344687.16,3533031.2,3521141.5,3015583
"343/195.8108mz/8.46min",3614949.45,2068569.9,1926392.6,1964532.9,6057082.5,6002538.5,5161329
"344/197.8079mz/8.46min",4592076.9,2681708.8,2460178.2,2535487.2,7672784,7441444,6502445
"345/473.2824mz/8.45min",553877.185,1184990,1039627.25,502969.47,410600.1,456974.88,604784.9
"348/488.1503mz/8.52min",279828.93,1370497.6,569208.5,147845.36,411812.5,112371.125,114247.48
"351/199.9292mz/8.53min",222486.54,134115.86,88160.836,42406.902,884987.56,310857.22,867714.5
"352/187.8609mz/8.54min",228737.195,900024.4,361643.5,383769.3,95830.89,40962.203,6153.4756
"353/321.2104mz/8.54min",889390.55,968151.6,1331307.6,1500563.2,735288.8,761450.06,810629.5
"354/243.8992mz/8.54min",3153824.6,4405302,4806851.5,4889621.5,1873279.4,1828937.2,1902347.2
"355/245.8947mz/8.54min",1624669.55,1817124.2,1770158.9,2016705.6,734991.94,1479180.2,777911.5
"358/368.9786mz/8.57min",1106900.7,2329366.2,2007990.4,1072907.1,1094411.9,1078628.6,1119389.5
"359/161.9136mz/8.56min",3363693.8,1014303.5,3055466.8,2973224.8,3671920.8,3732371.2,3732852.8
"360/132.8678mz/8.61min",2553608.6,1115998.1,862774.06,1307663,3799554.2,4805896.5,4126636
"361/134.8651mz/8.59min",1975339.35,674311.25,1378044.9,702460.06,2572633.8,2690365,2842679.8
"362/136.863mz/8.62min",749529.55,332791.5,71675.54,521354.3,1156445.9,977704.8,1083784.8
"363/132.9002mz/8.65min",664057.675,543326.1,259818.33,431473.16,784789.25,2174821.8,1016960.6
"364/137.8917mz/8.69min",462626.92,452924.4,175015.14,430295.9,1952078.2,472329.44,1494006
"365/489.2775mz/8.64min",188947.83,107789.42,122916.48,240227.25,263632.38,188348.72,189546.94
"367/119.9468mz/8.68min",3853314.75,968558.75,1034571.8,3395151,4467453.5,4311478.5,4408193.5
"368/101.9808mz/8.7min",2517787.25,1184664.1,1691019.5,1505512.8,3814603.5,3344555,3590127.2
"369/124.9967mz/8.7min",926424.925,500961.88,380063.6,526219.25,1590549.9,1326630.6,1518553.5
"371/146.9659mz/8.7min",31469564,28447076,32079522,29935212,30859606,34636948,34967036
"372/135.9709mz/8.69min",1469283.65,1608053.6,1865696.4,1577413.4,1361153.9,358051.7,1359280.8
"373/134.8946mz/8.72min",20662865,35567868,13348032,13184080,56104804,21077656,20248074
"375/150.8894mz/8.74min",527197.13,270332.38,532918.6,521475.66,318375.3,661979.1,1805020.8
"377/132.9001mz/8.73min",721965.85,468333.97,675936.4,659364.75,2748029.2,767995.3,2703463
"379/229.9008mz/8.73min",5641027,4951586.5,5252055,5197470,6083483.5,6029999,6068991.5
"380/265.1477mz/8.75min",768611.33,852108.1,839030.6,870252.25,698192.06,686016.2,688270.9
"381/118.9326mz/8.8min",118819.3675,61277.395,509133.06,157598.86,80039.875,58566.734,241285.14
"383/183.9342mz/8.77min",22149219.5,14033952,14902111,14791948,29396328,29931486,29745950
"385/118.9267mz/8.78min",3909941.1,2937265.2,1037809.4,1044313.4,5161378,5024566,4882617
"389/114.9341mz/8.79min",5539162.5,1947574,1936432,1951678,9416744,9249176,9126647
"391/489.2774mz/8.78min",335379.05,436260.5,385630.9,704603.25,285127.2,214171.4,207992.5
"392/199.9292mz/8.8min",1219639.55,706977.6,573852.25,345690.3,1785231.9,1760208.6,1732301.5
"394/113.9263mz/8.8min",23338260,5729708.5,20030294,21385308,25291212,26278608,25758958
"395/115.9207mz/8.8min",440850650,409033000,380767780,407996960,472668300,496697440,488919740
"397/142.9289mz/8.8min",4234703.25,3958321.5,3354581.2,3514142.2,4801635,4942363.5,4511085
"398/312.836mz/8.8min",4779393.5,5254899,5084606.5,5082138,4380471.5,4415476,4476649
"399/139.9444mz/8.8min",3294322.75,1672026,2717828,2680945.2,4323318.5,3870817.5,3958177.5
"400/99.9258mz/8.8min",63969926,55844468,52549636,50850188,72095384,72736480,72519470
"401/100.9336mz/8.8min",59313227,64546780,60214540,59378850,56512828,59247604,59062316
"402/132.9234mz/8.81min",17972886,17576664,15432818,15019782,18369108,20022242,18923090
"403/144.9234mz/8.81min",96459440,83811496,84269500,89383070,103535810,104130750,107217110
"405/339.1996mz/8.82min",245941.15,493194.47,478509.3,419975,71907.3,51112.17,51659.12
"406/325.1841mz/8.83min",778605.625,1002488.44,959085.25,1008023.3,567527.75,598126,563674.94
"408/311.1685mz/8.83min",923081.67,1444498.2,1185405.4,1688608.9,618524.1,660757.94,657303.44
"410/427.2337mz/8.88min",2393113.55,4763145.5,4827510,4334679.5,384888.12,414154.03,451547.6
"411/319.2314mz/8.88min",125031.48,125031.48,625157.4,125031.48,125031.48,125031.48,125031.48
"412/113.9263mz/8.85min",6157529.5,21425272,5492794,5370789.5,6232810,6108407.5,6206651.5
"413/139.9444mz/8.88min",1506135.15,2609137,1286217.6,1604582.2,958887.7,2018415.9,1407688.1
"414/150.8895mz/8.89min",327135.89,171467.58,81968.27,193824.62,596046.06,592489.5,460447.16
"415/132.9002mz/8.95min",337948.36,338965.22,92336.81,276682.56,655519.1,774856.2,336931.5
"416/439.252mz/8.95min",2906959.2,2623511,2745644.2,2661216,3234083,3068274.2,3350417.2
"417/101.9809mz/8.95min",4937027.5,6077206,6455545,6359520,3474957.5,3796849,3702825
"418/124.9967mz/8.95min",2183299.2,2820117.5,3140471.5,3007812.2,1397575.5,1546480.9,1433199.8
"420/119.9468mz/8.96min",1012668.25,661845.44,730150.94,1252390.4,1038861.1,1127755.5,986475.4
"425/124.0015mz/8.96min",1077110.4,1190035.6,1041489.7,1028044.1,1088978.2,1127124.4,1065242.6
"426/523.3458mz/8.95min",478954.69,808001.2,622955.94,1000947.2,243246.22,334953.44,254579.45
"427/135.9709mz/8.96min",1394871.55,1715621.1,3004121.8,1895993,944807.4,1074122,971557.9
"429/495.2572mz/8.96min",4910548,5920688.5,6242625.5,6395924,3829092.2,3668968.8,3900407.5
"431/102.9568mz/8.96min",1732526.9,1540077.9,1626869.9,1706891,1853375.1,1966434.8,1758162.8
"432/383.1894mz/8.96min",1634753.3,1527508.9,1560173.6,1608005.2,1672176.5,1661501.4,1757017
"433/129.9757mz/8.96min",4784523.75,4966447,4706763,4876680,2731604.2,4862284.5,2791593.5
"434/134.865mz/8.96min",1812620.95,3402182.8,2286220.5,3645039.8,1339021.4,1318853.2,1312917.5
"438/112.9857mz/8.96min",7694943.25,6577795,7137746.5,8252140,6257414.5,8539650,8486291
"439/248.9603mz/8.97min",1102380,1288573.6,1364341,1321688.6,890192.5,900941.1,916186.4
"440/132.8678mz/8.97min",3542851.4,5101591,5439703.5,5503391,1984111.8,1555969.8,1951628.2
