"","PC1","PC2","PC3","PC4","PC5","PC6"
"NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML",-3.7342,0.0041041,-1.1255,0.51304,0.44453,2.1875e-15
"NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML",-4.141,-0.29719,-0.18511,-0.90786,-0.5096,2.0348e-15
"NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML",-3.9957,0.33019,1.2624,0.44841,0.051673,2.0071e-15
"NEG_D5-211-C2-a_Run119.mzML",3.8293,-1.5205,0.24059,0.12176,0.14653,1.9117e-15
"NEG_D5-211-C2-b_Run122.mzML",4.2049,0.63849,-0.29597,0.4198,-0.79901,1.6441e-15
"NEG_D5-211-C2-c_Run125.mzML",3.8367,0.84495,0.10368,-0.59515,0.66588,1.7391e-15
