"","Filename","2024_NEG_Y-EV_1_CTRL_Run89.mzML","2024_NEG_Y-EV_2_CTRL_Run118.mzML","2024_NEG_Y-EV_3_CTRL_Run139.mzML","2024_NEG_Y-p11_1_Run98.mzML","2024_NEG_Y-p11_2_Run127.mzML","2024_NEG_Y-p11_3_Run151.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","128/175.0611mz/2.04min","33782.637","47234.715","59266.492","11274.707","5276.804","5592.1025"
"3","130/156.0666mz/2.06min","1941036.9","2403060.0","2666349.5","1307875.5","1599446.8","1549933.8"
"4","131/378.1338mz/2.1min","1795059.2","1754215.5","2076771.2","1225354.0","1473481.2","1408806.8"
"5","133/328.9796mz/2.12min","1287814.6","1309428.2","1167734.8","1240279.6","1444877.4","1193320.5"
"6","134/117.0558mz/2.12min","2737682.0","3140698.2","5628634.0","3412776.8","3100053.5","3079805.5"
"7","135/288.0725mz/2.17min","422992.06","359066.75","1185276.6","569651.1","471202.22","493289.75"
"8","136/322.0603mz/2.29min","700599.56","390128.78","1830993.4","412568.6","450686.44","462331.7"
"9","137/272.0776mz/2.33min","101462.875","107388.11","341064.5","135190.14","94698.52","115843.95"
"10","138/290.0882mz/2.33min","2449404.8","2665860.8","6628149.5","3294209.5","2475916.2","2753488.0"
"11","139/223.0724mz/2.37min","315993.7","362429.84","352128.34","196314.34","230255.3","240196.86"
"12","140/190.0547mz/2.41min","214606.98","147239.72","1032941.6","248529.0","165154.34","192810.16"
"13","141/175.0611mz/2.43min","150813.27","202875.27","370098.16","220824.33","193685.22","166649.05"
"14","142/129.0558mz/2.44min","821257.75","1109955.6","7938902.5","3803578.5","2022776.8","2343201.2"
"15","144/237.0881mz/2.52min","961308.0","972926.0","1005261.06","639698.25","725905.6","827113.3"
"16","145/176.0645mz/2.52min","236457.88","277225.12","564928.94","331046.44","282757.75","257018.64"
"17","146/175.0612mz/2.52min","3410724.2","4025306.2","7878366.5","4744425.0","4148151.8","3678597.5"
"18","147/292.0463mz/2.54min","81182.52","86465.484","194920.5","107864.8","73151.62","76848.055"
