sample_name	filename	ATTRIBUTE_GROUP
POS_D5-Ctrl-a-P-EAMeOH_Run28.mzML	POS_D5-Ctrl-a-P-EAMeOH_Run28.mzML	CTRL
POS_D5-Ctrl-b-P-EAMeOH_Run31.mzML	POS_D5-Ctrl-b-P-EAMeOH_Run31.mzML	CTRL
POS_D5-Ctrl-c-P-EAMeOH_Run34.mzML	POS_D5-Ctrl-c-P-EAMeOH_Run34.mzML	CTRL
POS_D5-211-C2-a_Run118.mzML	POS_D5-211-C2-a_Run118.mzML	EXP
POS_D5-211-C2-b_Run121.mzML	POS_D5-211-C2-b_Run121.mzML	EXP
POS_D5-211-C2-c_Run124.mzML	POS_D5-211-C2-c_Run124.mzML	EXP
