row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_Y-p12_1_Run95.mzML Peak area,2024_NEG_Y-p12_3_Run133.mzML Peak area,2024_NEG_Y-EV_1_CTRL_Run89.mzML Peak area,2024_NEG_Y-p12_2_Run112.mzML Peak area,2024_NEG_Y-EV_2_CTRL_Run118.mzML Peak area,2024_NEG_Y-EV_3_CTRL_Run139.mzML Peak area,Unnamed: 19
331,325.1843823805793,6.790673700000001,,,,24.0,,,,,,,517195.9,247669.98,167602.98,547223.2,479567.56,557967.44,
510,325.18438979565605,10.229434,,,,0.0,,,,,,,140612.16,64597.52,95049.414,150141.66,90886.95,127244.08,
551,328.9795879784568,10.547836,,,,61.0,,,,,,,310322.25,230039.02,277631.22,202590.47,225123.66,212243.66,
131,328.9796022160906,2.1133726000000004,,,,4.0,,,,,,,1146922.9,1308096.6,1287814.6,1179658.5,1309428.2,1167734.8,
168,338.08830939901856,2.9797926,,,,15.0,,,,,,,1429262.9,1225429.4,1273225.5,1197184.6,1359826.1,3427858.2,
223,341.04862183982294,4.558142,,,,62.0,,,,,,,757897.75,816663.06,713415.0,743011.5,724789.75,691402.25,
407,353.1422883016708,7.444653999999999,,,,,,,,,,,18005.404,142593.92,576094.6,143705.48,296982.38,187134.27,
427,355.1578983556672,7.838358400000001,,,,,,,,,,,19270.334,24476.207000000002,579718.25,85482.74,84741.88,105062.82,
149,373.00551723610215,2.7014952,,,,,,,,,,,1913506.0,2033083.6,1937484.5,1888425.2,1870944.9,1873511.6,
92,377.0853595925158,0.6208916,,,,34.0,,,,,,,1225254.2,990667.44,1649218.9,1089386.2,1729380.1,528574.06,
21,377.0854011146984,0.36401966,,,,52.0,,,,,,,2972101.0,2547640.8,4417247.5,3389543.5,4029518.2,4285864.5,
130,378.1338301329091,2.1013134,,,,,,,,,,,1357477.2,1356449.1,1795059.2,1493560.0,1754215.5,2076771.2,
441,381.17358112607,7.94377,,,,,,,,,,,0.0,13087.246000000001,493932.72,55820.453,58877.254,60497.83,
109,387.1142417070149,0.7873874,,,,,,,,,,,4348980.5,13808193.0,5409573.5,13813614.0,5624840.0,2320007.0,
19,387.11424237564313,0.36129403,,,,52.0,,,,,,,6485261.5,5682752.5,10821309.0,9070926.0,8429544.0,6253991.0,
114,387.11425068019935,0.8555166999999999,,,,,,,,,,,12978909.0,3907744.2,23304308.0,5093109.0,22331920.0,13833697.0,
113,388.1176060869127,0.85270506,,,,,,,,,,,1885315.4,1533893.0,2872100.8,2577365.2,3276416.2,556985.06,
166,389.1563654964037,2.9434566,,,,,,,,,,,639484.56,402699.8,591402.8,412664.9,636973.7,1668351.4,
37,390.0359236683039,0.3864092,,,,11.0,,,,,,,880649.06,869331.94,756578.3,670529.5,796781.9,564635.1,
64,390.0359262973279,0.51010495,,,,26.0,,,,,,,1506104.9,1410338.2,1556044.0,1553936.4,1433435.2,1280425.8,
65,391.0322094266123,0.5129395999999999,,,,26.0,,,,,,,6092026.5,6381141.5,6918032.0,6644070.5,7304544.0,5160618.5,
46,391.0322332547687,0.38820484,,,,11.0,,,,,,,3554505.5,3433929.2,3009436.8,3413318.0,3230783.8,2363972.0,
175,397.005517457683,3.128706,,,,45.0,,,,,,,302240.53,287502.84,288246.78,276402.94,298091.1,278670.6,
392,401.0861970906446,7.33225,,,,,,,,,,,330939.25,16178.666000000001,104558.57,166261.94,260244.34,15270.518,
184,403.1720010725945,3.2759647000000003,,,,,,,,,,,2943258.0,2489584.8,2711957.8,2513380.2,2815448.2,6745427.0,
200,403.1721524436388,3.5464017,,,,,,,,,,,18560.996,12774.726,6695.3677,9738.055,23232.672000000002,137740.3,
224,404.04437076773786,4.5608587,,,,62.0,,,,,,,492383.88,511512.28,441468.97,462657.53,450982.16,397570.47,
57,404.10432497231596,0.38985896,,,,,,,,,,,54225.75,72999.82,265042.25,255878.83,365182.34,50706.37,
118,404.10436854822257,0.90814686,,,,,,,,,,,994167.2,665316.6,4615992.5,3010514.0,4245112.5,704668.0,
202,405.0106716134389,3.5989504,,,,32.0,,,,,,,19095352.0,19223994.0,18992736.0,18981512.0,19084708.0,16496108.0,
32,405.02849836388003,0.39092755,,,,,,,,,,,10012068.0,6637253.0,5527150.5,6925222.5,5313283.0,8688384.0,
78,405.02850457674737,0.5296373999999999,,,,5.0,2.0,[M+Na]+,,2.0,72;78,382.03944,29665408.0,22498746.0,31381754.0,32940376.0,32696306.0,50021836.0,
205,406.01376980667715,3.603139,,,,,,,,,,,3551974.8,3432815.5,3849010.0,3456080.5,3454241.5,3167832.8,
203,407.0044528327539,3.5989504,,,,32.0,,,,,,,1299426.8,1278029.0,1281045.5,1269399.2,1295570.2,1165651.9,
148,407.1206372362756,2.6007109,,,,,,,,,,,917780.6,867776.25,1015384.1,1028119.56,1109963.1,1189438.8,
503,411.38412489569146,9.37796,,,,,,,,,,,380818.3,349805.9,905600.5,450340.5,1134214.9,698695.9,
201,417.18768151352026,3.5536292,,,,,,,,,,,702589.1,467246.44,649944.56,606287.0,610076.2,1654156.2,
211,419.02629306668155,4.1471972,,,,,,,,,,,295739.6,302454.1,300497.2,283376.3,280903.5,293252.8,
51,421.00257574896204,0.40792668,,,,,,,,,,,59794.07,162571.47,33880.363,47785.246,130005.19,116155.48,
72,421.00275472985527,0.5249031999999999,,,,5.0,2.0,[M+K]+,,2.0,72;78,382.03944,682556.56,676045.94,519550.7,518687.5,431195.56,1268647.9,
207,421.0055774384156,3.8390505,,,,,,,,,,,550270.94,470294.88,470162.9,443450.06,432973.6,526468.06,
189,421.00559314375084,3.3962065999999997,,,,27.0,,,,,,,3064274.5,3079343.8,3074538.5,3080472.5,2818251.0,2790453.5,
185,421.00561634675074,3.295149,,,,,,,,,,,70776.28,82403.41,83364.69,72342.19,70822.27,69917.45,
368,421.2264205757289,7.1414347000000005,,,,,,,,,,,0.0,0.0,1359465.2,0.0,0.0,0.0,
335,421.226439977081,6.840281,,,,24.0,,,,,,,1390850.4,1415998.6,0.0,1446076.9,0.0,1422667.0,
343,421.22644444339966,6.8926835,,,,,,,,,,,0.0,1428589.9,0.0,994885.0,1359082.9,0.0,
220,422.9767828475792,4.515935400000001,,,,,,,,,,,744994.44,778573.5,769498.75,739642.94,752181.2,732330.94,
236,426.96779554662635,4.910485700000001,,,,20.0,,,,,,,8686591.0,10778514.0,8612498.0,10100743.0,12882144.0,9713083.0,
63,427.01039726017456,0.45590472,,,,,,,,,,,1584426.1,337626.7,1145148.4,1353200.9,1153299.4,2262944.0,
98,439.08612330588653,0.6521293,,,,,,,,,,,122370.266,28325.132999999998,638307.2,61241.875,782826.3,97451.586,
25,439.0870884989416,0.37441647,,,,11.0,,,,,,,1356523.8,1309623.1,2416516.2,1586431.8,2380624.5,1039640.7,
391,447.09183559007135,7.3340836,,,,,,,,,,,2494235.8,164420.17,774130.8,1236383.4,1824385.2,166565.94,
254,450.2625225597979,5.7445235,,,,,,,,,,,785738.44,696602.0,1683228.9,914614.3,1443856.4,1159980.8,
261,450.26252621284755,5.850141000000001,,,,,,,,,,,942655.4,803286.56,1762260.1,936992.7,1478695.0,1120471.4,
278,452.27816720149764,6.2390194,,,,6.0,,,,,,,807702.0,691197.06,1604940.4,875535.2,1446845.4,1132612.8,
272,452.27816803724784,6.126644000000001,,,,,,,,,,,38103.88,51058.33,90030.08,51141.176,73919.84,49219.535,
296,478.293870999168,6.406703500000001,,,,,,,,,,,451128.34,545271.0,1022420.94,592421.5,850315.56,539887.3,
286,478.29390516060965,6.3076324,,,,23.0,,,,,,,1096196.8,1118398.8,2730147.0,1564281.0,2066201.2,1756986.8,
240,481.04210606963767,4.922978,,,,42.0,,,,,,,5090010.0,4940399.0,4716066.0,4836029.5,4431022.5,5408636.0,
239,483.0378817335005,4.922079599999999,,,,,,,,,,,337073.34,336187.72,299999.25,318604.66,282577.3,344453.97,
316,485.0687467414077,6.647913000000001,,,,,,,,,,,402543.4,53803.55,242018.06,202539.45,1104102.2,65853.0,
434,485.0687718977877,7.880171000000001,,,,7.0,,,,,,,1320330.8,588762.9,776480.56,997377.6,1228509.4,555348.1,
20,488.1621240145389,0.36492595,,,,,,,,,,,182930.97,181563.17,392892.4,212131.3,561937.8,148238.77,
476,489.27743476250504,8.443925,,,,,,,,,,,211631.67,0.0,0.0,218635.31,0.0,459246.28,
479,489.2774521388715,8.657796000000001,,,,,,,,,,,233994.23,94395.12,193800.17,213611.7,260265.17,313777.22,
279,496.268118935266,6.260055,,,,6.0,,,,,,,587872.6,397274.97,1316831.6,713543.44,1195454.2,756255.0,
214,497.0370906242328,4.4048742999999995,,,,,,,,,,,889040.8,987025.25,886725.5,868097.1,852719.5,830051.6,
225,497.0371120168461,4.671844999999999,,,,,,,,,,,1529234.0,1773976.1,1529486.2,1489853.6,1528771.4,1537139.2,
431,513.0636814488915,7.8794694000000005,,,,,,,,,,,410490.22,180727.34,233326.53,309069.06,390487.47,174052.64,
288,522.2838249311093,6.3154244,,,,,,,,,,,360159.9,294299.62,919418.4,496045.94,763793.9,490750.5,
305,522.2839195369695,6.4610043,,,,,,,,,,,34401.195,40549.387,114812.22,47824.61,90225.13,46831.914000000004,
60,524.9882594730492,0.42987347,,,,,,,,,,,2254842.2,1142943.6,1864426.6,2039794.5,223034.7,3095731.0,
66,524.9883091309047,0.47991368,,,,,,,,,,,763790.4,418149.88,295171.16,298552.88,1950762.9,777395.7,
30,533.1360668776483,0.38371792,,,,11.0,,,,,,,2095846.4,1944955.9,2603491.2,2444462.5,2435220.0,1915419.0,
265,538.3152133026674,5.8961773,,,,,,,,,,,1020327.25,778408.56,2262575.5,1076164.2,1940860.0,1254277.1,
257,538.3152228935746,5.7924430000000005,,,,,,,,,,,1145111.4,828207.25,2747602.5,1375277.2,2403146.8,1591195.5,
275,540.3308434041934,6.1876664,,,,,,,,,,,110317.36,87519.44,302719.3,117465.375,239334.4,136489.69,
283,540.3308578597722,6.302482,,,,23.0,,,,,,,1084247.9,773639.6,2327327.8,1214563.1,1925540.4,1438008.6,
241,544.0379679442685,4.9243765,,,,42.0,,,,,,,2071322.8,2071277.2,1927776.9,2066659.2,1844131.1,2129204.2,
502,544.4161057950901,9.301724,,,,,,,,,,,0.0,6022.6035,30645.332000000002,0.0,34050.973,21854.69,
501,544.4161090006409,9.13606,,,,,,,,,,,492542.53,708699.3,1027976.94,710447.2,1218720.8,909649.75,
314,548.0644108940737,6.643607,,,,,,,,,,,101363.94,11001.296999999999,172924.17,55474.585999999996,536029.06,0.0,
106,555.1179702164459,0.6639243,,,,34.0,,,,,,,1079781.6,908403.7,1092647.2,1066592.6,774186.3,963666.75,
24,555.1179911519498,0.37083694,,,,25.0,,,,,,,1211799.9,1081033.4,1384845.5,1230172.0,1325351.0,270983.03,
264,555.3053263363456,5.8792057,,,,,,,,,,,180834.47,134898.66,429407.53,186909.6,356028.28,177070.75,
256,555.3053274511909,5.7915845,,,,,,,,,,,216088.58,162259.64,548359.25,255382.05,456981.25,299621.47,
432,557.1084100140791,7.880171000000001,,,,7.0,,,,,,,662946.75,298507.5,370389.78,505397.16,611533.9,282995.03,
276,557.3209942782585,6.1840196,,,,,,,,,,,5936.2480000000005,0.0,43890.645,9998.0625,44186.14,11460.731000000002,
285,557.3210120863987,6.3048797,,,,,,,,,,,179106.67,131320.31,399340.1,192228.25,328969.88,245813.8,
198,560.9990886216411,3.5163383,,,,3.0,5.0,[M+H]+,,2.0,199;198,559.99179,3596345.2,3851427.0,3583817.2,3637644.2,3651039.8,3427484.0,
259,562.0039019537693,5.829527,,,,,,,,,,,48950.55,52728.12,68394.65,54885.69,57438.547,51688.758,
197,562.9950555336053,3.5164356,,,,,,,,,,,384397.88,433293.78,403432.22,417699.84,408134.9,389286.3,
301,566.3465334822038,6.469235,,,,17.0,,,,,,,665044.6,592442.44,1657019.2,773233.44,1425127.4,734856.4,
293,566.3465582044148,6.3638268,,,,51.0,,,,,,,1994996.0,1549551.4,4988551.0,2312187.8,4053222.0,2509659.0,
339,568.3621796435046,6.918728,,,,12.0,,,,,,,408591.53,321544.28,1035367.9,499344.62,830028.5,576461.9,
328,568.3622097458923,6.7936416,,,,,,,,,,,12129.527,12334.616000000002,74914.25,27037.373,53738.905999999995,23529.664,
266,569.2733370480507,5.865621,,,,,,,,,,,0.0,126050.586,408909.06,0.0,390778.53,4567.683,
258,569.2733707368683,5.799404,,,,,,,,,,,194976.34,147961.11,640074.7,229030.34,423179.66,282660.5,
253,569.2733977626989,5.669282,,,,,,,,,,,324889.0,204419.44,0.0,367150.47,599113.3,436429.12,
271,571.2889610217667,6.1313195,,,,,,,,,,,57108.585999999996,39156.207,12149.491000000002,53227.297,114593.5,78958.53,
281,571.2890710169407,6.278304599999999,,,,,,,,,,,1948227.2,1395644.8,97504.51,2389682.8,3461764.5,2388800.5,
298,571.2891284352897,6.392057,,,,,,,,,,,3940.5209999999997,0.0,4426674.5,5592.3936,61535.348,27328.402000000002,
325,573.1293706982366,6.676107400000001,,,,19.0,,,,,,,781013.5,334914.66,463431.7,417684.03,369878.94,580677.2,
304,573.1293792132441,6.500627,,,,43.0,,,,,,,581144.56,454231.25,337159.75,488935.66,442889.1,732384.9,
199,582.9809846220032,3.5167072,,,,3.0,5.0,[M+Na]+,,2.0,199;198,559.99179,685819.7,718871.1,692068.7,701109.0,695000.56,639792.8,
292,583.3366789179578,6.36278,,,,51.0,,,,,,,314818.3,260375.9,830090.44,380864.8,659075.25,397502.34,
302,583.3367074525003,6.4703183,,,,17.0,,,,,,,93273.85,83973.086,298116.0,110171.49,241249.17,121198.9,
326,590.119560855431,6.734453,,,,,,,,,,,185773.8,442437.75,383900.94,267203.56,367029.03,281122.06,
303,590.1195997948475,6.5003095,,,,43.0,,,,,,,472449.7,531199.0,753082.44,534037.44,762551.94,693075.3,
323,597.3047885128328,6.7193246,,,,,,,,,,,0.0,0.0,386943.9,0.0,0.0,0.0,
291,597.3047927006853,6.3520103,,,,,,,,,,,695227.75,424736.7,39150.008,842023.2,1433355.4,880595.7,
308,597.3047929902418,6.5305860000000004,,,,,,,,,,,159210.1,107011.52,1637929.2,176623.64,337744.28,198071.75,
367,599.3204732683699,7.116225,,,,,,,,,,,1013070.5,0.0,0.0,1215174.5,8003.2080000000005,1156092.4,
414,599.3204853705582,7.593192999999999,,,,,,,,,,,0.0,0.0,2331344.0,0.0,0.0,0.0,
382,599.3205177851128,7.254967999999999,,,,,,,,,,,11536.498,664030.4,19149.56,0.0,2077303.2,14425.378999999999,
212,603.009966892415,4.147384,,,,,,,,,,,331211.12,370959.28,318339.25,312082.62,303079.34,306254.62,
433,603.1140993284718,7.8785386,,,,7.0,,,,,,,535879.4,235981.78,315187.5,417765.5,522505.2,216238.0,
209,605.0257810632855,4.048879,,,,,,,,,,,810182.3,888156.2,620017.56,699772.6,677980.8,664150.06,
104,611.1448975087054,0.7146428000000001,,,,,,,,,,,1262235.6,1120855.4,1424585.5,1243485.0,1493171.5,210296.83,
