Filename,GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML,GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML,GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML,GF_PF_MC_RCG_1_pos_20210511_Run78.mzML,GF_PF_MC_RCG_2_pos_20210511_Run96.mzML,GF_PF_MC_RCG_3_pos_20210511_Run197.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
7061/467.2864mz/4.01min,175028.83,141733.66,179990.31,385830.97,317811.97,523640.56
7082/383.2298mz/4.0min,274428.4,174846.6,406245.84,703900.4,546217.4,540803.8
7088/352.2019mz/4.01min,206793.94,159862.64,243111.94,447202.53,354392.8,134012.83
7093/436.2437mz/4.02min,0.0,0.0,26058.201,638521.56,872631.44,271068.16
7098/676.3085mz/4.03min,54451.555,46365.11,115900.09,382504.03,351471.66,269748.97
7099/623.3399mz/4.02min,1911528.1,1343827.4,2560284.5,4469330.0,5247207.0,4381806.0
7102/645.3216mz/4.03min,221004.03,220749.34,293806.6,440332.62,532768.6,561008.9
7103/473.2758mz/4.03min,1533547.4,1229695.8,1464926.2,402523.5,513971.9,312639.44
7109/365.1243mz/4.03min,9810.569,0.0,7926.797,1188272.6,1471181.2,997750.3
7111/669.3603mz/4.03min,243659.22,141970.34,276539.16,172649.72,207861.38,161622.7
7113/406.1948mz/4.03min,733587.6,760191.3,826245.5,158955.31,194174.28,134060.9
7114/747.3711mz/4.03min,3361351.5,2614354.0,3556627.5,2629546.0,2727114.2,2106097.0
7115/384.2127mz/4.03min,5982511.5,4341477.0,6529141.5,1848803.5,2120518.5,1230418.4
7117/376.1865mz/4.04min,320952.7,250352.42,323810.3,189505.3,198505.14,157940.75
7121/430.2mz/4.03min,1067998.8,713798.7,1578744.2,75800.59,572129.3,24048.986
7122/557.297mz/4.04min,136834.8,85728.16,203014.62,283547.97,261350.88,193987.0
7124/370.2699mz/4.05min,440043.62,297971.66,441647.53,17459.047,7617.4185,0.0
7126/467.2864mz/4.05min,223910.86,178804.47,203237.58,1110511.6,939619.8,1044460.94
7127/211.1693mz/4.05min,89162.57,80880.305,71577.22,245989.17,221139.11,443749.7
7130/339.7025mz/4.05min,1711862.2,1053147.1,1254787.9,449516.88,541378.1,78268.68
7133/660.8814mz/4.06min,500762.62,134452.67,587398.06,195420.66,206126.11,24108.762
7135/552.3029mz/4.07min,229375.73,44171.723,272009.9,1107340.1,1044963.5,619101.8
7136/586.3241mz/4.07min,78010.44,53150.96,84892.32,644007.75,569883.25,780169.75
7138/331.1862mz/4.07min,299860.44,203856.75,407960.16,732590.3,785378.2,766932.25
7141/523.253mz/4.08min,46283.562,47702.062,40626.023,330726.56,211410.05,424990.3
7142/501.2707mz/4.08min,290619.0,192500.39,289063.62,1582741.5,1270280.1,1737300.8
7143/398.2284mz/4.08min,1958503.2,1336319.5,2157784.2,1487590.1,1538982.2,960468.0
7148/550.3599mz/4.08min,795786.06,537333.75,880746.44,311075.44,300585.78,134093.53
7149/510.2925mz/4.09min,356024.06,246045.89,373065.16,273299.53,238905.5,172295.56
7150/207.138mz/4.09min,319680.12,306379.16,156907.97,291513.53,189221.61,521373.8
7151/216.1595mz/4.09min,389349.84,236694.62,481984.2,526951.9,345120.3,222880.36
7158/177.0547mz/4.1min,435520.75,256904.0,514979.3,361534.22,424345.75,441819.4
7159/526.295mz/4.1min,362383.34,304778.78,461254.2,3115.0654,6986.932,0.0
7163/352.1693mz/4.11min,459876.78,300001.25,399544.2,54870.344,47787.805,6757.5493
