row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML Peak area,GF_PF_MC_RCG_3_pos_20210511_Run197.mzML Peak area,GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML Peak area,GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML Peak area,GF_PF_MC_RCG_2_pos_20210511_Run96.mzML Peak area,GF_PF_MC_RCG_1_pos_20210511_Run78.mzML Peak area,
9795,81.52050416092312,10.580734,,,,79,,,,,,,2.096267E7,2.0800594E7,1.7443514E7,2.2351994E7,1.7761014E7,1.5419835E7,
618,84.04439929481877,0.63431144,,,,227,,,,,,,955835.6,77221.32,1380322.0,423075.62,82196.54,37281.63,
2042,84.04445185152598,1.5896726,,,,,,,,,,,409427.78,1405641.2,63289.54,3005939.5,5353853.5,692091.1,
661,84.08080509249362,0.5999982,,,,,,,,,,,862802.75,3023028.2,438932.44,1.1549085E7,3725379.5,872749.06,
337,84.0808151040432,0.48411107,,,,,,,,,,,9808898.0,9397296.0,1.1414111E7,1.3086403E7,1.1417519E7,1.2805346E7,
9804,84.95965479666978,10.604051,,,,79,,,,,,,2470491.8,2179071.0,1751762.2,2484688.5,1812623.6,1874917.8,
16,84.95972352573936,0.19264059,,,,,,,,,,,2862996.0,172645.6,1013314.8,215108.97,1182141.0,1188277.1,
9,84.95972435515789,0.13143753,,,,,,,,,,,431500.0,2917543.2,1431946.4,625804.2,2259102.2,2239821.0,
674,86.06007288172678,0.7072036,,,,,,,,,,,8352520.0,1164559.0,6633347.5,7897731.5,528426.6,2566534.8,
926,86.0600743776486,0.78663015,,,,,,,,,,,1.5792183E7,2.1825486E7,2.9983332E7,3.6954776E7,1.5361557E7,1.99995E7,
2148,86.06007723876017,1.6455339,,,,,,,,,,,407349.84,8228851.0,967606.94,756290.56,1368248.8,9805103.0,
4037,86.09641493224383,2.597169,,,,,,,,,,,2812249.0,4370419.5,4976873.0,3690026.5,2535633.5,7553924.5,
2647,86.09643270113789,2.049701,,,,252,,,,,,,1.8164618E7,1.5810833E7,1.3045444E7,2.8024118E7,1.5531615E7,1.7239672E7,
735,86.09643797749094,0.673732,,,,199,,,,,,,2.2435098E8,3.4347766E8,2.4482752E8,3.208461E8,4.133772E8,4.2329677E8,
3167,86.09643904545557,2.241171,,,,,,,,,,,4452251.5,7420551.0,4574654.0,7461569.5,2015864.5,1697933.5,
933,87.06340609608509,0.78581315,,,,,,,,,,,161093.52,209244.38,463427.56,1539292.4,105743.31,136287.25,
1918,89.05973682901387,1.477965,,,,,,,,,,,0,1341222.6,0,8701131.0,8001155.5,4291463.0,
2308,89.05974400266459,1.8028238,,,,,,,,,,,0,3087080.8,208257.58,789617.4,2493343.2,602940.9,
1663,89.05974560343795,1.2462202,,,,,,,,,,,3569.2227,3024.8481,3309.9258,512677.38,1285584.0,35223.5,
2076,89.05974833596402,1.5774195,,,,,,,,,,,0,5343438.0,0,1627126.2,392680.97,256243.1,
2125,89.05975187376593,1.6277655,,,,,,,,,,,0,1.0444084E7,0,8038967.0,5982924.0,7004765.5,
365,90.05497975319402,0.4952027,,,,218,,,,,,,3796744.5,2018784.4,3100551.5,7486891.0,2503602.8,1985317.0,
1003,90.05498938346035,0.8364558,,,,,,,,,,,648142.0,5446862.0,572271.4,426068.06,1.1476344E7,7999744.5,
1238,90.05500253337459,0.91294485,,,,,,,,,,,28966.775,2.6252448E7,73703.5,4608488.0,2436687.8,738542.06,
1827,90.0550118964103,1.3830591,,,,,,,,,,,10839.902,1280165.1,32669.805,222010.23,7098394.5,4702927.0,
2143,90.0550167416197,1.6414547,,,,,,,,,,,17784.945,1618047.8,13823.572,162401.31,3570710.5,3196693.2,
1989,90.05501969703921,1.5325861,,,,,,,,,,,31358.715,2.0613654E7,32669.805,162401.31,1927882.5,3578137.8,
1071,90.09137550002698,0.86505914,,,,,,,,,,,7162.3213,5087818.5,3705.0435,32219.238,131735.36,2678245.5,
2294,90.09140661517637,1.7793865,,,,,,,,,,,4554.5913,1957309.8,0,34341.64,4930540.5,395577.25,
2196,90.09141245776358,1.6925491,,,,,,,,,,,4554.5913,1931454.5,0,39852.688,281858.56,335975.84,
9798,90.52584088935588,10.58392,,,,79,,,,,,,4.270891E7,4.189254E7,3.6592052E7,4.3708844E7,3.2961416E7,2.8992918E7,
38,90.97666532158694,0.34020618,,,,57,,,,,,,2010937.4,946788.1,1883023.9,1487193.9,1215142.6,1254356.6,
8425,91.05417747366992,6.468996,,,,241,,,,,,,425385.75,521902.62,379797.25,411567.62,779274.56,560078.8,
1710,91.05424915265398,1.2072088,,,,54,,,,,,,9066734.0,1.2388903E7,8114647.5,1.2775176E7,1.3190696E7,1.0746672E7,
6133,91.0542470440112,3.3454494,,,,,,,,,,,493804.84,186913.39,1496237.6,188221.53,117727.1,162911.5,
1628,93.06993205759188,1.2092546,,,,54,,,,,,,3460040.5,4826520.0,3954651.5,4952162.0,5468480.0,4852723.5,
9779,94.04502807086163,10.523036,,,,32,,,,,,,4119539.5,3514320.2,3696415.8,4323375.5,3029307.0,3347367.2,
950,95.01613336520758,0.8004575,,,,,,,,,,,1326438.8,1408961.6,1440855.1,1676631.9,1306441.9,1848702.8,
1579,95.04916202314068,1.1527871,,,,,,,,,,,1193823.5,2110999.0,1295568.6,2058893.1,1581462.5,2158429.5,
1381,95.04916235564497,1.0571522,,,,,,,,,,,616517.4,465790.0,643074.56,1471438.6,578730.8,1196263.8,
