"","filter","Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML","Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML","Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML","POS_D5-211-C4-a_Run181.mzML","POS_D5-211-C4-b_Run184.mzML","POS_D5-211-C4-c_Run187.mzML"
"30/217.1048mz/2.24min",992426.025,873157.44,1119584.6,874888.25,1343361.4,960376.25,1024475.8
"31/140.0683mz/2.43min",76906.93,43240.918,77680.5,86683.18,81337.05,76133.36,61839.53
"32/316.2116mz/2.52min",158870.25,378905,172567.9,192132.47,145172.6,39348.89,13114.0205
"33/316.2116mz/2.67min",189879.975,483951.94,316461.5,108783.01,270976.94,83129.195,59131.586
"34/89.0598mz/2.74min",466983.165,1227202.5,453200.8,361792.6,1349534.2,480765.53,350682.2
"35/272.1855mz/2.74min",277890.985,457010.9,316054.78,286595.44,269186.53,153962.55,67224.625
"36/217.1071mz/2.8min",229403.305,302399.5,251867.11,562677.25,201435.47,206939.5,171718.53
"37/257.0995mz/2.8min",615178.7,635531,551323.1,1194898,668852.8,535928.5,594826.4
"38/120.0445mz/2.83min",2185473.5,2561646,2504766,2225040,1816323.2,1747241.2,2145907
"39/138.0551mz/2.83min",639822.94,729429,699165.94,635383.44,554544,518518.12,644262.44
"40/171.0992mz/2.86min",1553933.18,490318.56,465511.38,267178.84,2902201,2862992.5,2617547.8
"42/345.1518mz/3.13min",184529.22,252543.84,184725.34,539637.94,184333.1,154999.4,164241.61
"43/212.1258mz/3.19min",614659.94,538042.2,523679.94,545192.94,684126.94,717701.25,709725.2
"44/194.1153mz/3.19min",6435311.75,5550690,5608868.5,5752086.5,7134885,7203201.5,7118537
"45/172.1333mz/3.19min",1100068.85,1050209.2,1000862.06,1013033.6,1208850.9,1223413.5,1149928.5
"47/239.089mz/3.35min",695657.18,585025.5,621064.56,785703.9,736321.06,1340444.8,654993.3
"48/219.0571mz/3.52min",523744.32,472468.16,704063.7,571939.8,475548.84,658626.94,422532.34
"49/233.0726mz/3.55min",99709.67,111962.734,61915.23,174515.22,108887.52,52644.004,90531.82
"50/255.0545mz/3.56min",104941.985,103437.08,40652.473,154486.44,129714.82,75440.35,106446.89
"51/385.1466mz/3.65min",316558.82,311265.3,259329.77,648033.3,401148.72,321852.34,298493.5
"52/201.0597mz/3.65min",192555.995,183206.77,150574.69,383144.03,264318.9,201905.22,180691.2
"53/217.1072mz/3.66min",121440.5375,123977.27,96024.46,165238.33,151387.22,118903.805,107172.86
"54/345.1542mz/3.66min",51382.4375,50080.805,46512.25,134678.56,69929.984,52684.07,47734.188
"55/140.0683mz/3.73min",104821.875,70989.58,104845.33,104798.42,41694.08,147325.95,128840.01
"56/322.0966mz/3.77min",61287.238,60915.984,55392.29,106577.98,68688.6,61658.492,49004.664
"57/324.1122mz/3.8min",2063788.9,2224620.2,1698226.6,3029360.2,2253286.2,1601594.6,1902957.6
"58/302.1303mz/3.8min",704423.825,955356.5,634986.25,1293005.6,773861.4,498198.4,631179.3
"59/217.1072mz/3.84min",62677.675,77007.41,56348.49,150358.2,69006.86,44892.465,54353.42
"60/468.2437mz/3.84min",198821.53,326846.06,266037.78,521222.72,131605.28,101564.6,95691.23
"61/245.0858mz/3.84min",493012.92,520364.78,465661.06,900811.2,543723.1,432224.97,431353.53
"62/433.2064mz/3.84min",115952.6375,140299.77,108370.22,256059.61,123535.055,100902.27,91096.445
"63/451.2171mz/3.84min",495046.215,556432.06,477445.4,979511.1,512647.03,415860.12,403434.34
"64/473.1992mz/3.84min",1784233.85,2087157.5,1775188.2,3451053.8,1793279.5,1523700.1,1493870.6
"65/300.1147mz/3.9min",773107.75,959815.4,733447.1,1374672.9,812768.4,597263.2,706789.1
"66/322.0965mz/3.9min",773022.55,789315.5,610660.44,1131831,835668.2,643500.3,756729.6
"67/203.0621mz/3.9min",139860.05,159196.42,175056.88,221874,120523.68,88397.45,103433.59
"68/561.2515mz/4.0min",209366.5,252184.88,131366.05,417414.56,248154.03,156400.34,170578.97
"69/222.1465mz/4.05min",620903.5,555436.4,555364,540602.9,686370.6,730199.3,722209.5
"70/325.1255mz/4.24min",871870.175,856377.1,824488.94,809217.3,887363.25,918981.44,935019.06
"71/233.0726mz/4.36min",405381.97,430908.72,316282.84,681919.6,406568.16,281445.6,404195.78
"72/255.0545mz/4.36min",481871.925,429370.25,324965.4,696547.7,534373.6,377881.7,549683.25
"73/226.1802mz/4.37min",122160.7425,138396.81,117282.11,127039.375,157993.83,93502.14,106007.78
"74/266.1726mz/4.37min",85947.545,88478.78,83416.31,90807.68,125792.016,76429.734,66487.39
"75/244.1907mz/4.37min",48788.13,51615.07,45961.19,52564.145,80068.555,40916.824,38903.562
"76/236.1621mz/4.45min",83593.68,82167.91,66461.484,77752.49,85019.45,85248.61,85146.9
"78/689.2988mz/4.5min",445800.5,553162.1,431136.62,874201.06,460464.38,340121.5,365642.2
"79/433.2068mz/4.54min",5049285,5378270,4720300,8173895.5,5757083.5,4656686.5,4389583
"80/450.2335mz/4.54min",1877032.2,2713164.2,2280884.2,3885283.5,1473180.2,1125730.6,1065734.1
"81/455.1887mz/4.54min",34433220,36426240,33078956,46258470,35787484,31191972,30488858
"82/236.0806mz/4.54min",2208916,2251770.5,2062183.1,3239293.5,2590672.8,2166061.5,2048349.1
"84/244.0667mz/4.54min",346694.86,392515.88,343792.88,535368.5,349596.84,297468.9,228648.22
"85/211.9707mz/4.69min",4070863.25,3885960.8,4098365.8,4073209,3815734,4068517.5,4182913.8
"86/213.9686mz/4.69min",3864817.75,3691907.5,3870384,3859251.5,3627606.8,3875476.2,3946837.8
"87/229.9813mz/4.69min",9188205.5,8713632,9201769,9118387,9174642,9532286,9679648
"88/231.9791mz/4.69min",9001334.5,8553489,9007000,8944106,8995669,9376527,9458757
"89/232.9823mz/4.69min",756533.68,706129.5,762901.06,750166.3,742553.1,776460.6,799266.9
"90/230.9845mz/4.69min",758701.75,722326.3,755746.25,758790.56,758612.94,778043.94,805590.8
"91/469.109mz/4.69min",396734.05,404024,341365.66,429135.84,389444.1,333578.38,405277.97
"92/447.127mz/4.69min",431463.825,489896.84,396407.16,514181.6,435797.62,348860.2,427130.03
"93/247.0883mz/4.7min",426874.91,456514.1,474250.84,599881.7,397235.72,368461,354807.62
"94/269.0701mz/4.7min",431806.11,414863.53,436035.22,552757.1,438550.84,427577,406904.03
"95/568.2963mz/4.73min",495585.25,768481.94,756033,653115.9,338054.6,278796.72,277309.03
"96/573.2517mz/4.73min",4125485.5,4522530,4588901.5,4186200.5,4056385.8,4064770.5,3471808.2
"97/228.1959mz/4.81min",192953.21,216914.27,135601.77,210690.34,268872.9,137778.3,175216.08
