"MetaboAnalyst_ID","Yeast_HE_D5.Ctrl_a_pos_20190515_Run37.mzML","Yeast_HE_D5.Ctrl_b_pos_20190515_Run40.mzML","Yeast_HE_D5.Ctrl_c_pos_20190515_Run43.mzML","POS_D5.211.C4.a_Run181.mzML","POS_D5.211.C4.b_Run184.mzML","POS_D5.211.C4.c_Run187.mzML","shared_name"
"513/851.7097mz/8.96min",3.73597082330451,3.59052866366021,3.6766759391172,3.27060727158093,3.19690901858847,2.38773508752416,"513"
"514/380.339mz/8.96min",2.38094529960928,2.38130613316428,2.37685651294733,2.20335650994905,1.83357535955829,1.7504283531866,"514"
"515/827.7099mz/8.97min",1.11053631170596,2.48819922573705,2.54171172446359,1.08814640482573,1.81420731316634,1.76384591906046,"515"
"517/823.6789mz/8.97min",3.35741599689564,3.61630446651594,3.57879578088707,3.36644998088758,3.47271417858898,3.40794495589874,"517"
"518/481.2922mz/8.97min",2.56827400883931,2.56791985091578,2.60001107250463,2.40058213096141,2.43633619614699,2.42629355842038,"518"
"519/853.72mz/8.97min",2.52257338798525,2.76451585831265,2.7687768937408,1.70374431747415,2.12772991164732,2.36380793405706,"519"
"520/879.7406mz/8.97min",1.58421025984548,2.26506194803352,2.35871983180576,1.56182034819596,2.24418240929397,2.52971575814699,"520"
"524/352.3392mz/9.08min",2.39804595744257,2.35161000517027,2.35583420000963,2.00042719096657,2.01179150354293,2.05711757380171,"524"
"526/587.4645mz/9.61min",2.26617422035599,2.10170517717418,1.95287202250651,2.07457926831551,2.01694232193109,1.91030402130917,"526"
"528/853.7238mz/9.64min",-1.05894633152583,2.50897804018263,2.81235834709272,-0.383399788181703,2.31983541104422,3.38198614335644,"528"
"531/613.4226mz/9.62min",2.96779557922867,2.84751805916515,2.92917735718504,2.63205793618617,2.56371548680884,2.62793676507509,"531"
"532/451.2452mz/9.63min",1.55700434623721,1.62773594755996,1.76485516168006,1.80108945179687,2.02536014134011,2.1534875320507,"532"
"533/879.7408mz/9.62min",1.02950297419924,3.22717773760763,3.26239241664984,1.00711306975085,3.06373278723892,1.68281256026886,"533"
"534/383.1827mz/9.63min",1.58860697616175,1.64603355507747,1.77697695925044,1.83351520825243,2.05603669761771,2.1847840450621,"534"
"535/771.6469mz/9.79min",1.95954005615245,1.74924524567897,1.38506417281014,2.59683685244375,2.4982527548887,1.63564055551772,"535"
"538/743.6157mz/9.93min",1.81404313617922,1.57440441197093,1.64580185774038,1.83189850335861,2.27623865699489,2.30394828616171,"538"
"540/226.9515mz/9.93min",2.1878966856388,2.39734407975722,2.39041180828229,2.20601329392716,2.04359554162356,2.03685642706283,"540"
"543/853.724mz/9.98min",0.764572794640098,3.50250702936195,3.54403632946083,0.0432193834326703,3.36548913332646,1.98317472891791,"543"
"545/743.6156mz/9.98min",2.32404297594541,2.09987548555074,2.07389393392493,2.43226645273901,1.7199406353406,1.79816757321,"545"
"546/771.6464mz/9.98min",2.58458703905656,2.32217463766529,2.29977307429333,1.80777955736249,1.43211825413186,0.94877784204437,"546"
"548/726.4617mz/10.08min",2.22380588825546,2.20941152547988,2.21013163147874,1.97612131173521,1.93408127082648,1.95078507092811,"548"
"549/685.4355mz/10.08min",3.24622949133952,3.18586339707084,3.18211297352201,3.08401641154674,3.0230851396658,3.02642672670811,"549"
"550/663.4536mz/10.08min",2.25539535665367,2.22724276968091,2.2316880438321,1.9296343876523,1.88892955728126,1.8958269403424,"550"
"552/708.511mz/10.08min",1.94297940394959,1.9377190078948,1.93272923321364,1.75787940246344,1.72508338121699,1.61320202857319,"552"
"553/797.6625mz/10.17min",1.75983680499426,1.67494547819112,1.63110597706752,2.63357909200627,2.57755307210115,2.53712254801131,"553"
"557/769.6311mz/10.17min",1.549046852057,1.46626463555814,1.40704243201222,2.38959740621576,2.36267703295084,2.40876719990293,"557"
"558/823.6782mz/10.11min",1.543100461029,1.44764165475757,1.40451223139607,2.05562151664937,2.1275673220449,2.54721939523097,"558"
"561/146.9803mz/10.17min",3.04726996463658,2.57259065154956,2.54925328001555,2.95495500539629,2.9376242737217,2.91940842179827,"561"
"562/101.0709mz/10.17min",2.38138248181363,2.3501512213067,2.34457048249248,2.38971845022622,2.37799480904994,2.37457407367364,"562"
"563/144.9822mz/10.17min",3.39073507540091,2.91163211294547,3.2237538365097,3.30202646614563,3.28421728017433,3.11190086727403,"563"
"564/589.4799mz/10.18min",2.5812891982697,2.52427430611827,2.37411007456814,2.37035923889983,2.37872130617288,2.30361921775742,"564"
"565/80.9479mz/10.18min",2.02850045427953,1.9653496188696,1.95176080281038,1.67812460415457,1.70056199074371,1.67958434778055,"565"
"566/216.9227mz/10.2min",2.60701943495423,2.4256899101257,2.2821677064529,2.42403167390315,2.16086369598291,2.13437867916364,"566"
"568/615.4953mz/10.21min",1.98775994800718,1.99731893759906,2.02667073503849,2.30531586965042,2.24049274897288,2.34892685762847,"568"
"570/738.5039mz/10.22min",2.15595060496953,2.0318648633388,2.07937277387483,1.97807555166518,1.85623190247796,1.94042810925739,"570"
"572/158.9641mz/10.23min",2.47877739329917,2.31632347545742,2.31185091134469,2.53503770943453,2.44784514329807,2.44383765843756,"572"
"574/226.9514mz/10.23min",2.95053855040855,2.61904173964131,2.61039551171137,3.04547393348133,2.9675451577605,2.95947787542784,"574"
"575/430.9133mz/10.23min",1.70483777994734,1.68583498089742,1.6850070839567,1.91915041185863,1.88527126312687,1.89404500296987,"575"
"576/362.926mz/10.23min",1.76431935490098,1.73475287054541,1.72510999650884,1.94643089305144,1.90837266497797,1.89987969037588,"576"
"577/716.5218mz/10.23min",2.52683130243568,2.43256129095035,2.06572351542917,2.40006409174519,2.30791484384324,2.36214601929813,"577"
"578/140.0682mz/10.25min",1.87888096423321,1.78462021492553,1.81540008331096,1.75921407402621,1.67761718472906,1.69262166914749,"578"
"581/385.7239mz/10.31min",2.26730778082576,2.18952790993678,2.23575598944724,2.28540950966624,2.20768672315996,2.26142957914244,"581"
"582/223.9882mz/10.31min",2.70110719419404,2.65174459996397,2.65486301684195,2.71722215162712,2.64309968461067,2.69003251265704,"582"
"585/328.9148mz/10.32min",1.71866079728857,1.72332061202445,1.7778802258451,2.01796009473165,1.96990140474735,1.988420136405,"585"
"586/213.9828mz/10.32min",2.53026045159048,2.51383282329916,2.36670151433038,2.25537293631566,2.2150338257664,2.20055557099491,"586"
