row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_Y-EV_1_CTRL_Run89.mzML Peak area,2024_NEG_Y-6MSAS_2_Run109.mzML Peak area,2024_NEG_Y-6MSAS_3_Run136.mzML Peak area,2024_NEG_Y-6MSAS_1_Run92.mzML Peak area,2024_NEG_Y-EV_2_CTRL_Run118.mzML Peak area,2024_NEG_Y-EV_3_CTRL_Run139.mzML Peak area,Unnamed: 19
85,85.02942498271605,0.55588204,,,,9.0,,,,,,,2167861.2,876081.1,1802064.6,910380.5,2023626.4,559091.25,
33,85.02943461961333,0.38706240000000003,,,,4.0,1.0,[M+H]+,,2.0,33;41,84.02158,1332960.4,868991.75,693596.4,1058957.1,1059721.9,952515.9,
173,85.06588279464835,3.1325552000000005,,,,,,,,,,,200423.47,309159.8,119433.805,235849.1,234140.6,428468.75,
36,87.00862232766592,0.38885704,,,,4.0,,,,,,,881645.94,890890.1,731407.25,797082.6,900738.25,1186008.9,
78,87.00862364533968,0.5374297,,,,9.0,,,,,,,973430.9,1924712.1,1119340.2,399523.2,1781740.6,1682582.2,
513,89.02441148382691,9.824344,,,,,,,,,,,5976888.0,6257172.5,1214233.1,6323171.5,1281513.9,1253072.0,
514,89.0244121241757,9.97482,,,,,,,,,,,1256348.4,1248302.2,6444865.0,1277879.0,6460971.5,6124960.5,
503,89.02441559680632,8.978177,,,,,,,,,,,623249.25,812377.2,1679256.5,1573729.4,1553249.5,1799351.2,
7,92.92803027494641,0.34242156,,,,,,,,,,,129087.43,153626.36,139852.25,122114.41,133467.64,295466.34,
563,96.9601272247386,10.623275,,,,,,,,,,,8486505.0,8527320.0,2617984.5,2665016.5,3694926.5,8677302.0,
4,96.96014893890695,0.32336724,,,,,,,,,,,567085.0,674658.06,711561.94,800526.6,668463.2,646148.06,
5,96.969632158567,0.33116218,,,,,,,,,,,1613287.5,1960938.0,1742565.4,1782312.8,1939389.8,1521483.4,
486,100.93365108411443,8.43385,,,,,,,,,,,371033.4,2409849.0,1167850.5,497050.84,313244.03,874049.56,
500,100.93365019048242,8.828872,,,,,,,,,,,557022.94,407864.38,163653.44,2205582.2,471762.0,2992499.5,
489,100.93365102071016,8.536612,,,,,,,,,,,259101.08,750179.75,691489.1,894719.2,313244.03,452373.84,
459,100.93365262205357,8.068488,,,,,,,,,,,1167684.6,1395100.6,616011.94,672985.2,477862.25,485824.72,
